Cluster 0,Cluster 1
45.3,27.7
44.5,27.4
43.9,27.1
43.5,26.6
43.0,26.3
42.5,26.05
42.2,25.9
41.9,25.75
43.0,25.7
45.9,27.35
48.9,30.0
52.0,32.1
53.9,34.0
55.6,35.150000000000006
56.6,35.95
57.1,36.2
56.8,35.4
55.2,33.4
52.1,31.4
49.8,30.25
48.4,29.75
47.4,29.1
46.4,28.6
45.8,28.0
45.0,27.5
44.5,27.2
43.9,27.1
43.5,26.7
42.9,26.3
42.5,26.15
42.2,26.0
41.9,25.7
42.9,25.75
45.8,27.35
48.8,30.0
51.6,32.05
53.7,33.8
55.7,35.05
56.7,35.8
57.2,36.150000000000006
56.8,35.5
55.3,33.5
52.1,31.55
49.7,30.200000000000003
48.3,29.6
47.5,29.05
46.5,28.5
45.9,28.05
45.2,27.65
44.5,27.3
43.9,26.9
43.4,26.7
43.1,26.35
42.7,26.0
42.3,25.8
42.1,25.5
42.9,25.549999999999997
46.0,27.35
49.1,29.95
51.7,31.95
54.0,33.7
55.6,35.0
56.7,35.7
57.1,36.150000000000006
56.8,35.6
55.4,33.55
52.2,31.6
49.9,30.25
48.4,29.6
47.6,29.0
46.7,28.5
45.9,28.0
45.2,27.6
44.6,27.1
43.9,26.85
43.4,26.5
43.0,26.2
42.6,25.9
42.3,25.65
42.0,25.5
43.0,25.5
46.0,27.45
48.9,30.0
51.8,32.0
54.0,33.75
55.8,35.0
56.6,35.7
57.1,36.1
57.1,35.650000000000006
55.3,33.7
52.3,31.65
49.9,30.35
48.5,29.75
47.6,29.1
46.7,28.5
46.0,28.05
45.3,27.65
44.8,27.2
44.1,26.8
43.5,26.55
43.0,26.3
42.6,26.0
42.3,25.6
42.1,25.55
42.9,25.55
46.1,27.6
49.2,29.9
51.9,32.0
54.0,33.75
55.8,35.05
56.8,35.75
57.5,36.0
57.2,35.650000000000006
55.5,33.7
52.5,31.7
49.9,30.1
48.6,29.55
47.6,28.95
46.7,28.45
45.9,27.95
45.1,27.5
44.5,27.05
44.1,26.7
43.6,26.3
43.0,26.0
42.5,25.75
42.2,25.5
41.9,25.35
42.9,25.4
45.9,27.4
49.3,29.7
51.7,31.9
53.8,33.7
55.6,35.05
56.8,35.650000000000006
57.3,35.849999999999994
57.1,35.4
55.4,33.6
