Cluster 0,Cluster 1,Cluster 2
35.25,23.75,46.0
34.650000000000006,23.3,45.45
34.2,23.1,45.0
33.75,22.9,44.5
33.3,22.6,44.0
33.05,22.4,43.6
32.8,22.1,43.2
32.7,22.05,42.9
32.95,22.1,43.8
35.5,24.15,47.2
38.150000000000006,26.8,50.349999999999994
39.95,28.55,53.05
41.349999999999994,29.9,55.1
42.4,31.15,56.9
43.2,31.75,58.099999999999994
43.3,32.0,58.55
42.7,31.3,58.0
41.45,29.8,55.95
39.75,27.95,53.2
38.6,26.7,50.55
37.7,26.15,49.3
36.95,25.55,48.5
36.1,24.7,47.7
35.6,24.2,46.7
35.05,23.8,46.05
34.5,23.5,45.4
33.9,23.25,45.0
33.6,23.05,44.4
33.25,22.75,43.95
33.05,22.45,43.5
32.8,22.3,43.05
32.6,22.0,42.8
32.8,22.2,43.9
35.2,24.3,47.2
37.95,26.8,50.25
40.05,28.65,52.95
41.349999999999994,30.05,55.150000000000006
42.4,31.15,56.8
43.2,31.7,58.15
43.25,31.9,58.6
42.8,31.35,58.05
41.5,29.7,56.05
39.7,28.0,53.25
38.8,26.65,50.7
37.7,26.15,49.5
37.0,25.55,48.55
36.2,24.9,47.7
35.55,24.4,46.7
35.05,24.05,46.05
34.55,23.8,45.55
34.05,23.45,45.1
33.7,23.15,44.6
33.25,22.85,44.25
32.95,22.5,43.75
32.75,22.25,43.4
32.650000000000006,22.05,43.150000000000006
32.9,22.5,44.0
35.150000000000006,24.2,47.2
37.8,26.7,50.4
40.0,28.4,53.2
41.45,30.1,55.2
42.4,31.1,56.900000000000006
43.1,31.75,58.3
43.4,32.0,58.6
42.9,31.4,58.1
41.349999999999994,29.8,56.150000000000006
39.75,28.299999999999997,53.349999999999994
38.650000000000006,26.9,51.05
37.6,26.25,49.5
36.9,25.6,48.5
36.2,25.1,47.7
35.4,24.65,46.75
34.9,24.4,46.150000000000006
34.45,23.95,45.55
34.1,23.5,45.0
33.6,23.15,44.55
33.3,22.9,44.2
32.9,22.55,43.8
32.75,22.35,43.349999999999994
32.45,22.25,43.0
32.9,22.5,43.849999999999994
35.150000000000006,24.35,47.0
37.75,26.8,50.45
39.8,28.5,53.15
41.349999999999994,30.1,55.2
42.55,31.15,57.099999999999994
43.2,31.8,58.349999999999994
43.349999999999994,31.95,58.650000000000006
42.95,31.4,58.2
41.349999999999994,29.8,56.349999999999994
39.650000000000006,28.4,53.4
38.55,26.9,51.1
37.75,26.35,49.55
36.95,25.799999999999997,48.45
36.4,25.3,47.55
35.650000000000006,24.65,46.7
35.05,24.299999999999997,46.1
34.55,23.85,45.45
34.15,23.4,44.9
33.8,23.049999999999997,44.349999999999994
33.5,22.85,44.05
33.1,22.55,43.650000000000006
32.849999999999994,22.35,43.3
32.650000000000006,22.15,42.95
33.05,22.4,43.8
35.2,24.2,47.1
37.849999999999994,26.8,50.4
39.9,28.4,53.1
41.349999999999994,30.05,55.2
42.650000000000006,31.2,57.099999999999994
43.25,31.7,58.45
43.3,31.8,58.7
42.95,31.25,58.2
41.349999999999994,29.85,56.5
39.75,28.3,53.25
38.6,27.0,51.0
37.75,26.4,49.5
37.0,25.700000000000003,48.45
36.349999999999994,25.0,47.4
35.650000000000006,24.5,46.75
34.95,24.0,46.150000000000006
34.45,23.700000000000003,45.5
34.05,23.3,44.8
33.849999999999994,22.95,44.25
33.45,22.799999999999997,43.95
33.150000000000006,22.4,43.6
32.75,22.3,43.25
32.55,21.95,42.9
33.05,22.25,43.7
35.05,24.05,46.9
37.55,26.5,50.2
39.7,28.25,52.95
41.2,30.1,55.05
42.6,31.2,57.0
43.349999999999994,31.8,58.25
43.45,31.9,58.6
42.95,31.25,58.05
41.3,29.8,56.349999999999994
39.5,28.1,53.2
38.4,26.95,50.900000000000006
37.5,26.299999999999997,49.45
36.7,25.6,48.3
36.0,24.85,47.150000000000006
35.4,24.4,46.55
34.8,24.05,45.9
34.349999999999994,23.65,45.349999999999994
33.9,23.4,44.7
33.55,22.95,44.150000000000006
33.25,22.6,43.650000000000006
33.0,22.45,43.3
32.7,22.15,43.0
32.45,21.9,42.6
32.75,22.2,43.4
34.9,24.1,46.75
37.35,26.3,49.95
39.45,28.35,52.75
41.05,30.1,55.05
42.6,31.15,57.0
43.349999999999994,31.85,58.150000000000006
43.4,32.0,58.55
42.9,31.4,58.05
41.2,29.75,56.25
39.25,28.1,53.05
38.150000000000006,27.0,50.85
37.3,26.25,49.3
36.5,25.55,48.2
35.75,24.9,47.2
35.2,24.450000000000003,46.25
34.55,24.1,45.6
34.2,23.55,45.15
33.849999999999994,23.25,44.4
33.45,22.95,44.05
33.05,22.55,43.6
32.75,22.25,43.150000000000006
32.4,21.9,42.8
32.2,21.75,42.5
32.45,22.2,43.3
35.0,24.0,46.650000000000006
37.25,26.2,49.8
39.45,28.5,52.55
41.1,30.2,55.05
42.650000000000006,31.15,56.95
43.349999999999994,31.95,58.05
43.45,32.0,58.45
42.75,31.4,58.0
41.2,29.75,56.25
39.2,28.2,53.05
37.9,27.1,50.9
37.05,26.4,49.35
36.349999999999994,25.7,48.3
35.650000000000006,25.15,47.3
35.0,24.6,46.3
34.5,24.25,45.6
34.0,23.9,45.0
33.55,23.5,44.5
33.2,23.15,44.0
32.849999999999994,22.799999999999997,43.5
