day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93,Median
38.2,39.3,40.4,42.400000000000006,43.85,46.25,49.5,51.55,52.9,53.4,53.6,53.0,52.2,50.85,48.75,46.35,42.95,39.25,36.1,36.6,37.2,38.25,39.55,40.6,41.8,43.35,44.95,46.9,48.95,51.6,55.55,57.25,58.150000000000006,59.150000000000006,59.2,58.65,57.75,56.4,54.7,52.4,50.1,46.3,42.45,41.5,42.5,43.7,44.55,45.8,47.2,48.45,50.25,52.35,55.3,59.45,63.3,65.30000000000001,66.15,66.35,66.05,65.1,63.75,62.0,59.95,57.85,55.2,52.3,49.6,47.55,48.3,49.150000000000006,50.3,51.2,52.35,54.05,56.0,58.9,61.75,65.5,69.3,71.9,73.65,74.05,74.0,73.15,71.5,69.2,66.9,64.19999999999999,60.65,56.7,54.150000000000006,51.6,52.05,52.9,52.35
37.35,38.35,39.35,40.5,42.55,43.9,46.3,49.45,51.7,53.05,53.8,53.8,53.25,52.45,51.0,49.0,46.55,43.1,39.5,36.150000000000006,36.6,37.35,38.55,39.650000000000006,40.85,42.0,43.55,45.3,47.0,49.25,51.75,55.6,57.55,58.45,59.25,59.2,58.8,57.9,56.8,55.1,52.6,50.35,46.6,42.7,41.6,42.85,44.0,44.900000000000006,46.0,47.55,48.85,50.55,52.75,55.6,59.7,63.4,65.30000000000001,66.35,66.45,66.15,65.05,63.9,62.2,60.15,57.8,55.25,52.45,49.65,47.9,48.45,49.5,50.45,51.55,52.75,54.5,56.45,59.2,62.0,66.1,69.6,72.5,73.9,74.15,73.9,73.19999999999999,71.44999999999999,69.25,67.1,64.45,60.85,56.8,54.25,51.8,52.4,52.525000000000006
36.35,37.5,38.4,39.3,40.55,42.5,43.9,46.3,49.55,51.900000000000006,53.35,54.0,54.05,53.400000000000006,52.8,51.25,49.150000000000006,46.6,43.35,39.8,36.25,36.7,37.6,38.7,39.85,40.9,42.25,43.7,45.4,47.3,49.25,52.15,56.0,57.900000000000006,58.8,59.3,59.35,58.95,58.4,57.150000000000006,55.45,52.85,50.650000000000006,46.95,42.900000000000006,41.9,43.0,44.0,45.05,46.3,48.05,49.3,50.9,53.05,55.75,59.75,63.45,65.45,66.35,66.45,66.19999999999999,65.4,64.05,62.5,60.3,57.9,55.4,52.55,50.0,48.150000000000006,48.650000000000006,49.75,50.6,51.75,53.15,54.7,56.85,59.35,62.25,66.35,70.1,72.65,73.94999999999999,74.2,73.85,73.15,71.4,69.44999999999999,67.4,64.55,61.15,57.05,54.4,52.15,52.825
35.650000000000006,36.5,37.55,38.35,39.35,40.55,42.55,43.85,46.5,49.85,52.05,53.65,54.25,54.25,53.75,53.0,51.6,49.3,46.75,43.6,40.0,36.45,36.9,37.75,38.85,40.0,41.25,42.55,43.95,45.55,47.4,49.3,52.5,56.35,58.45,59.1,59.7,59.6,59.45,58.85,57.45,55.6,53.0,50.9,47.2,43.1,42.1,43.35,44.1,45.4,46.85,48.5,49.6,51.150000000000006,53.25,55.9,59.9,63.5,65.3,66.15,66.5,66.35,65.5,64.05,62.7,60.25,58.1,55.650000000000006,52.85,50.35,48.4,49.2,49.95,50.75,51.9,53.5,54.75,57.1,59.7,62.45,66.44999999999999,70.7,72.85,74.1,74.1,73.95,73.2,71.65,69.75,67.6,64.8,61.55,57.25,54.6,53.0
34.9,35.8,36.65,37.55,38.45,39.3,40.6,42.6,44.0,46.650000000000006,50.25,52.45,53.85,54.4,54.55,54.1,53.2,51.75,49.45,46.85,43.85,40.1,36.5,37.1,37.85,39.0,40.2,41.55,42.95,44.25,45.650000000000006,47.4,49.55,52.85,56.95,58.75,59.55,60.0,60.0,59.9,59.1,57.7,55.7,53.2,51.150000000000006,47.4,43.35,42.45,43.4,44.45,45.95,47.45,48.75,49.7,51.35,53.3,56.1,60.0,63.45,65.2,66.19999999999999,66.6,66.45,65.4,64.25,62.65,60.55,58.35,56.0,53.1,50.6,48.7,49.5,50.2,51.05,52.1,53.85,54.95,57.4,59.95,62.65,66.69999999999999,70.95,73.0,74.15,74.15,74.0,73.19999999999999,71.75,70.0,68.0,65.15,61.8,57.45,53.150000000000006
34.150000000000006,35.05,35.75,36.75,37.55,38.55,39.25,40.75,42.8,44.3,46.9,50.55,52.95,54.1,54.650000000000006,54.65,54.15,53.35,52.0,49.45,47.0,44.05,40.3,36.9,37.3,38.1,39.2,40.5,41.900000000000006,43.15,44.35,45.650000000000006,47.85,49.85,53.400000000000006,57.2,59.2,59.95,60.35,60.400000000000006,60.3,59.4,57.95,55.95,53.45,51.3,47.8,43.7,42.6,43.75,45.05,46.45,47.75,48.85,50.05,51.6,53.55,56.1,60.15,63.6,65.4,66.3,66.7,66.45,65.35,64.3,62.9,61.0,58.6,56.2,53.45,50.95,49.05,49.7,50.4,51.3,52.25,54.05,55.1,57.7,60.150000000000006,62.55,67.19999999999999,71.35,73.05000000000001,74.3,74.25,74.2,73.35,72.05,70.4,68.3,65.6,62.1,53.375
33.45,34.25,35.1,35.85,36.65,37.650000000000006,38.55,39.3,40.85,42.9,44.55,47.5,50.85,53.15,54.4,54.85,54.8,54.1,53.3,52.0,49.6,47.25,44.4,40.7,37.15,37.45,38.35,39.5,40.8,42.15,43.35,44.35,46.0,48.150000000000006,50.150000000000006,53.95,57.65,59.6,60.35,60.7,60.85,60.75,59.7,58.05,56.35,53.9,51.55,48.2,44.1,42.95,44.3,45.650000000000006,46.65,47.95,48.95,50.2,51.7,53.6,56.150000000000006,60.35,63.55,65.4,66.4,66.7,66.25,65.3,64.5,63.25,61.45,58.900000000000006,56.5,53.95,51.35,49.5,49.9,50.6,51.4,52.55,54.2,55.5,57.75,60.2,62.75,67.6,71.35,73.25,74.25,74.5,74.4,73.7,72.55,70.80000000000001,68.65,66.1,53.224999999999994
34.95,33.650000000000006,34.4,35.2,35.9,36.75,37.650000000000006,38.55,39.45,41.05,43.1,44.85,47.85,51.1,53.2,54.65,54.95,54.85,54.150000000000006,53.3,52.2,50.05,47.7,44.8,41.05,37.45,37.7,38.6,39.8,41.2,42.35,43.45,44.75,46.3,48.45,50.55,54.3,58.05,60.0,60.7,61.1,61.3,60.95,59.75,58.35,56.75,54.3,51.650000000000006,48.55,44.6,43.55,44.85,45.9,46.7,48.1,49.0,50.3,51.85,53.85,56.35,60.55,63.35,65.55,66.6,66.65,66.25,65.5,64.9,63.75,61.85,59.25,56.85,54.4,51.5,49.75,50.05,50.75,51.4,52.55,54.45,55.8,58.05,60.3,62.95,67.69999999999999,71.4,73.25,74.35,74.8,74.9,74.2,73.1,71.35,68.80000000000001,52.875
39.150000000000006,35.15,33.7,34.6,35.25,36.05,36.65,37.7,38.75,39.5,41.25,43.45,45.2,48.0,51.3,53.5,54.75,55.1,54.95,54.150000000000006,53.55,52.45,50.5,48.05,45.2,41.55,37.6,38.0,38.9,40.1,41.4,42.2,43.75,45.0,46.55,48.7,50.9,54.650000000000006,58.35,60.1,61.0,61.35,61.45,60.85,60.05,58.75,56.75,54.650000000000006,51.8,48.95,45.05,44.0,45.25,45.9,46.9,48.2,49.25,50.35,52.2,54.05,56.65,60.650000000000006,63.55,65.85,66.6,66.75,66.5,65.9,65.4,64.2,62.400000000000006,59.65,57.55,54.75,51.75,50.0,50.3,50.85,51.5,52.8,54.7,56.1,58.150000000000006,60.650000000000006,63.1,67.9,71.5,73.35,74.6,75.2,75.3,74.80000000000001,73.6,71.7,52.625
42.8,39.3,35.2,33.8,34.8,35.349999999999994,36.0,36.7,37.9,38.95,39.85,41.5,43.75,45.4,48.45,51.7,53.55,54.9,55.15,54.95,54.4,53.7,52.9,50.85,48.4,45.6,41.9,37.95,38.2,39.25,40.4,41.3,42.55,43.85,45.4,46.75,48.9,51.25,54.9,58.45,60.2,61.05,61.55,61.5,61.150000000000006,60.3,59.0,57.25,54.95,52.2,49.5,45.6,44.45,45.5,46.25,47.150000000000006,48.45,49.45,50.55,52.45,54.45,56.85,60.7,63.9,65.85,66.65,66.9,66.85,66.3,66.0,64.9,63.1,60.2,57.95,55.1,51.9,50.1,50.3,51.0,51.650000000000006,53.150000000000006,54.8,56.3,58.2,60.8,63.25,68.1,71.65,73.69999999999999,74.94999999999999,75.55,75.7,75.2,74.25,52.675
