day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89
28.2,28.35,28.75,28.7,28.95,29.35,30.4,31.4,32.3,32.7,25.1,25.5,26.3,26.7,27.45,28.0,28.65,30.15,31.8,32.349999999999994,32.4,31.65,30.45,28.85,26.85,24.85,23.35,22.95,23.1,23.0,23.0,23.4,24.0,24.5,24.95,25.4,25.8,26.4,26.9,27.8,29.1,31.4,32.95,33.2,32.6,31.5,30.0,28.2,26.0,23.9,22.1,21.4,21.9,22.45,22.95,23.65,24.1,24.75,25.45,26.35,27.200000000000003,28.05,29.200000000000003,30.85,33.05,35.5,36.75,37.45,37.2,36.35,35.2,33.6,31.9,30.35,28.6,27.25,27.95,28.85,29.95,31.2,32.3,33.150000000000006,34.2,35.6,36.8,38.2,39.95,41.8,44.1,46.650000000000006
28.0,27.95,28.4,28.4,28.5,28.6,29.25,30.2,31.1,32.05,24.6,25.1,25.75,26.3,26.8,27.35,27.8,28.6,30.2,31.6,32.45,32.6,31.7,30.2,28.6,26.95,24.8,23.3,22.85,22.65,22.8,23.3,23.65,24.05,24.6,25.05,25.3,25.700000000000003,26.25,26.9,27.8,29.3,31.55,32.85,32.75,32.3,31.4,29.75,28.2,26.15,23.95,22.25,21.7,22.1,22.5,23.3,23.700000000000003,24.3,24.95,25.75,26.6,27.35,28.4,29.45,31.15,33.4,35.75,36.75,37.65,37.3,36.6,35.6,34.25,32.4,31.0,29.1,27.95,28.55,29.5,30.55,31.7,32.75,33.6,35.0,36.1,37.35,38.6,40.2,41.8,44.45
27.55,27.65,28.05,28.2,28.15,28.1,28.45,29.15,29.9,30.7,24.4,24.75,25.15,25.9,26.4,26.65,27.15,27.75,28.6,30.45,31.8,32.5,32.75,31.6,30.1,28.6,26.95,24.7,23.2,22.6,22.6,22.85,23.3,23.65,24.2,24.6,24.8,25.25,25.65,26.3,26.95,28.0,29.45,31.4,32.45,32.6,32.15,31.1,29.85,28.25,26.15,24.05,22.45,21.9,22.1,22.85,23.3,23.85,24.4,25.35,26.1,26.9,27.7,28.7,29.75,31.4,33.7,35.9,37.2,37.8,37.75,37.1,36.2,34.900000000000006,33.1,31.7,29.6,28.65,29.1,30.1,31.05,32.05,33.2,34.4,35.5,36.5,37.7,38.85,40.3,41.85
27.1,27.3,27.6,27.85,27.95,27.8,28.0,28.1,28.85,29.5,23.95,24.3,24.85,25.35,25.9,26.15,26.5,26.95,27.6,28.65,30.55,31.85,32.7,32.650000000000006,31.5,30.3,28.55,26.9,24.75,22.95,22.4,22.7,23.0,23.4,23.9,24.2,24.5,24.75,25.3,25.8,26.4,26.95,28.2,29.3,30.8,32.25,32.5,32.1,31.3,29.85,28.25,26.3,24.3,22.65,21.95,22.5,22.9,23.5,24.0,24.8,25.75,26.35,27.3,28.0,29.05,30.0,31.65,33.95,35.95,37.5,38.1,38.0,37.75,36.85,35.5,33.8,32.5,30.55,29.2,29.75,30.45,31.5,32.6,33.8,34.849999999999994,35.9,36.9,37.85,38.9,40.4
26.8,27.0,27.35,27.45,27.55,27.55,27.6,27.4,27.95,28.45,23.9,24.15,24.5,25.0,25.45,25.7,26.0,26.4,26.9,27.7,28.85,30.65,31.9,32.6,32.55,31.65,30.2,28.5,26.75,24.6,22.75,22.55,22.85,23.05,23.5,23.8,24.2,24.35,24.75,25.4,25.8,26.4,27.1,28.0,29.15,30.65,32.150000000000006,32.5,32.2,31.3,29.9,28.55,26.75,24.55,22.7,22.15,22.6,23.1,23.6,24.3,25.2,25.8,26.65,27.5,28.4,29.25,30.200000000000003,31.8,34.150000000000006,36.1,37.85,38.3,38.6,38.150000000000006,37.4,36.25,34.75,33.3,31.35,29.75,30.15,30.95,32.1,33.1,34.2,35.25,36.3,37.1,37.9,39.0
26.65,26.75,27.0,27.05,27.1,27.25,27.35,27.0,27.05,27.75,23.5,23.95,24.15,24.6,25.0,25.3,25.6,25.85,26.35,27.0,27.7,29.0,30.6,31.85,32.7,32.7,31.6,30.05,28.4,26.25,24.3,22.8,22.7,22.8,23.1,23.45,23.7,24.05,24.3,24.8,25.45,25.85,26.5,26.950000000000003,27.8,28.9,30.7,32.150000000000006,32.75,32.45,31.3,30.5,28.75,26.85,24.75,23.0,22.4,22.75,23.2,23.8,24.7,25.4,26.15,26.85,27.9,28.6,29.45,30.3,31.85,34.4,36.3,38.1,38.95,39.1,38.85,38.25,37.05,35.7,34.150000000000006,31.9,30.35,30.65,31.55,32.5,33.55,34.55,35.650000000000006,36.4,37.1,38.05
26.25,26.55,26.7,26.65,26.85,26.8,27.05,26.7,26.55,26.85,23.45,23.65,24.0,24.3,24.6,24.8,25.1,25.3,25.8,26.35,27.1,27.95,28.95,30.4,31.8,32.75,32.6,31.45,29.95,28.05,26.15,24.4,23.15,22.65,22.9,23.3,23.25,23.55,24.05,24.3,25.0,25.35,25.9,26.3,26.8,27.5,28.95,30.75,32.349999999999994,32.849999999999994,32.4,31.85,30.65,29.0,27.05,24.8,23.3,22.6,23.0,23.6,24.2,24.9,25.65,26.35,27.3,28.15,28.7,29.55,30.55,32.150000000000006,34.6,37.0,38.5,39.3,39.55,39.55,39.05,38.05,36.55,34.7,32.4,30.8,31.2,32.05,33.0,34.0,35.0,35.849999999999994,36.5,37.1
26.1,26.200000000000003,26.5,26.4,26.4,26.5,26.6,26.45,26.15,26.4,23.25,23.5,23.7,24.0,24.4,24.5,24.6,25.0,25.35,25.9,26.5,27.1,27.95,28.75,30.25,31.85,32.6,32.5,31.4,29.95,28.25,26.4,24.65,23.15,22.8,23.0,22.95,23.15,23.6,24.05,24.3,24.95,25.4,25.65,26.1,26.55,27.45,28.95,31.0,32.5,32.95,32.65,32.0,30.85,29.4,27.25,25.2,23.45,22.75,23.3,23.95,24.5,25.15,25.95,26.75,27.55,28.25,28.85,29.55,30.85,32.55,34.9,37.45,38.8,39.75,40.150000000000006,40.2,39.85,38.95,37.35,35.25,33.05,31.35,31.75,32.45,33.4,34.349999999999994,35.05,35.8,36.5
26.5,26.1,26.0,26.15,26.15,26.25,26.1,26.0,25.85,25.7,23.6,23.3,23.55,23.75,24.0,24.2,24.3,24.65,24.95,25.5,26.0,26.5,27.15,27.9,28.700000000000003,30.3,31.8,32.6,32.349999999999994,31.4,29.85,28.35,26.7,24.65,23.05,22.9,22.8,22.9,23.2,23.55,24.0,24.4,24.9,25.35,25.6,25.9,26.5,27.2,28.950000000000003,31.05,32.4,33.15,32.9,32.2,31.15,29.75,27.4,25.4,23.8,23.15,23.55,24.1,24.7,25.55,26.15,27.0,27.65,28.4,28.7,29.8,31.25,32.849999999999994,35.45,37.75,39.35,40.3,40.9,41.0,40.6,39.650000000000006,38.1,36.05,33.8,32.2,32.2,32.9,33.8,34.4,35.2,35.8
28.3,26.4,25.9,25.6,25.9,25.85,25.85,25.700000000000003,25.4,25.4,25.6,23.7,23.35,23.7,23.75,23.8,24.1,24.35,24.65,25.2,25.65,26.1,26.7,27.3,27.8,28.6,30.25,31.6,32.5,32.150000000000006,31.1,30.1,28.5,26.7,24.7,23.3,22.75,22.75,22.9,23.1,23.45,24.1,24.55,24.75,25.05,25.3,25.85,26.35,27.25,29.15,31.200000000000003,32.8,33.349999999999994,33.05,32.4,31.35,29.8,27.65,25.8,24.05,23.35,23.7,24.35,25.0,25.7,26.4,27.1,27.75,28.25,29.0,30.15,31.55,33.5,35.849999999999994,38.4,40.2,41.3,41.8,41.75,41.2,40.05,38.7,36.85,34.6,32.6,32.6,33.4,33.95,34.5,35.25
