Cluster 0,Cluster 1,Cluster 2,Cluster 3
35.3,23.6,46.150000000000006,25.1
34.8,23.25,45.6,24.6
34.3,22.950000000000003,45.05,24.4
33.8,22.55,44.6,23.95
33.4,22.1,44.150000000000006,23.9
33.1,21.450000000000003,43.650000000000006,23.5
32.8,20.9,43.25,23.45
32.6,20.5,43.0,23.25
33.0,21.65,43.849999999999994,23.6
35.6,24.6,47.2,25.6
38.2,27.45,50.45,27.35
40.1,30.25,53.150000000000006,29.299999999999997
41.7,32.3,55.150000000000006,30.7
42.7,33.2,57.15,31.7
43.4,33.7,58.4,32.2
43.8,33.85,58.650000000000006,32.25
43.7,32.650000000000006,58.150000000000006,31.7
41.7,30.6,56.05,30.2
40.2,29.25,53.25,28.95
39.0,28.15,50.7,28.15
38.1,26.6,49.4,27.4
37.1,25.6,48.5,26.6
36.4,24.75,47.7,25.95
35.8,24.15,46.7,25.5
35.3,24.0,46.150000000000006,25.1
34.7,23.700000000000003,45.6,24.75
34.2,23.299999999999997,45.05,24.299999999999997
33.8,22.8,44.5,24.15
33.3,22.5,44.05,23.95
33.1,22.1,43.650000000000006,23.65
32.8,21.75,43.25,23.5
32.6,21.4,43.05,23.3
32.9,22.2,43.9,23.7
35.6,24.9,47.2,25.45
38.0,28.3,50.349999999999994,27.35
40.1,30.35,53.150000000000006,29.35
41.5,32.45,55.25,30.6
42.6,33.75,57.099999999999994,31.6
43.4,34.45,58.4,32.25
43.7,34.85,58.7,32.4
43.7,33.3,58.150000000000006,31.75
41.8,31.1,56.1,30.35
40.2,29.55,53.349999999999994,28.9
38.9,28.85,50.8,28.0
38.1,27.0,49.6,27.3
37.2,26.0,48.6,26.75
36.5,25.4,47.9,26.3
35.8,24.65,46.95,25.75
35.3,24.35,46.25,25.15
34.8,23.95,45.650000000000006,24.85
34.2,23.5,45.2,24.5
33.7,23.1,44.7,24.15
33.4,22.85,44.3,24.0
33.3,22.549999999999997,43.9,23.7
33.0,22.2,43.5,23.55
32.9,21.9,43.25,23.35
32.9,22.55,44.0,23.85
35.7,25.049999999999997,47.2,25.3
38.0,28.450000000000003,50.55,27.35
40.2,30.5,53.349999999999994,29.3
41.6,32.55,55.25,30.5
42.6,33.9,57.150000000000006,31.7
43.7,34.849999999999994,58.45,32.3
44.0,35.25,58.7,32.55
43.6,33.75,58.2,31.85
42.0,31.35,56.2,30.4
39.9,29.65,53.45,28.8
38.8,29.0,51.2,28.1
37.9,27.45,49.7,27.4
37.1,26.35,48.6,26.7
36.3,25.75,47.849999999999994,26.3
35.6,25.1,46.849999999999994,25.9
35.2,24.700000000000003,46.25,25.35
34.7,24.25,45.6,25.0
34.2,23.9,45.1,24.6
33.8,23.5,44.650000000000006,24.3
33.6,23.4,44.3,24.0
33.2,23.1,43.9,23.75
32.9,22.700000000000003,43.45,23.7
32.8,22.45,43.150000000000006,23.55
33.0,22.950000000000003,43.9,23.85
35.7,25.35,47.05,25.35
38.0,28.549999999999997,50.5,27.35
40.0,30.9,53.3,29.2
41.6,32.900000000000006,55.3,30.55
42.7,34.1,57.3,31.700000000000003
43.7,35.1,58.599999999999994,32.349999999999994
44.2,35.55,58.75,32.5
43.6,33.95,58.349999999999994,31.95
42.0,31.450000000000003,56.4,30.5
40.0,29.7,53.4,28.95
38.9,29.0,51.150000000000006,28.15
38.0,27.65,49.75,27.45
37.2,26.65,48.5,26.8
36.6,25.95,47.6,26.4
35.8,25.35,46.75,25.9
35.3,25.0,46.150000000000006,25.45
34.9,24.4,45.5,25.0
34.5,24.0,45.0,24.6
34.0,23.6,44.5,24.4
33.6,23.4,44.1,24.0
33.4,23.05,43.7,23.75
33.2,22.65,43.4,23.65
33.0,22.4,43.0,23.65
33.2,22.799999999999997,43.8,23.700000000000003
35.8,25.299999999999997,47.1,25.35
38.1,28.5,50.45,27.1
40.1,30.9,53.25,29.15
41.6,32.85,55.45,30.35
42.7,33.95,57.4,31.5
43.8,34.9,58.650000000000006,32.15
44.1,35.349999999999994,58.75,32.25
43.6,33.9,58.4,31.7
42.1,31.450000000000003,56.5,30.25
39.9,29.6,53.349999999999994,28.95
38.8,29.0,51.2,28.0
37.9,27.549999999999997,49.650000000000006,27.35
37.1,26.450000000000003,48.5,26.65
36.5,25.85,47.5,26.15
35.8,25.3,46.8,25.7
35.3,24.85,46.2,25.299999999999997
34.8,24.3,45.55,24.799999999999997
34.4,23.75,44.9,24.5
33.9,23.35,44.4,24.2
33.7,23.05,44.0,23.8
33.3,22.65,43.650000000000006,23.65
33.0,22.35,43.3,23.45
32.9,22.2,42.9,23.3
33.1,22.7,43.75,23.55
35.6,25.2,47.0,25.15
38.0,28.35,50.349999999999994,27.05
39.9,30.95,53.1,29.0
41.5,32.85,55.2,30.35
42.8,33.95,57.2,31.45
43.9,34.650000000000006,58.55,32.2
44.1,35.25,58.650000000000006,32.2
43.4,34.0,58.25,31.75
41.7,31.55,56.4,30.0
39.8,29.6,53.25,28.65
38.5,28.9,51.150000000000006,27.8
37.7,27.65,49.65,27.15
36.9,26.4,48.4,26.5
36.3,25.85,47.3,26.0
35.6,25.4,46.6,25.6
35.0,25.1,46.1,25.1
34.5,24.5,45.4,24.6
34.1,23.85,44.8,24.3
33.8,23.35,44.25,24.1
33.4,23.1,43.75,23.8
33.1,22.55,43.4,23.65
32.7,22.25,43.05,23.4
32.5,22.15,42.650000000000006,23.299999999999997
33.0,22.8,43.5,23.45
35.3,25.4,46.8,24.85
