Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4
42.4,24.2,57.7,24.8,33.1
41.8,23.7,57.3,24.3,32.7
41.3,23.2,56.7,23.9,32.2
40.7,22.7,56.3,23.6,32.0
40.2,22.4,56.0,23.4,31.4
39.9,22.2,55.5,23.2,31.1
39.5,22.0,55.35,23.0,30.8
39.1,21.5,55.15,22.9,30.6
39.7,21.8,55.5,23.3,30.9
42.6,24.9,58.45,25.2,32.7
45.8,28.5,61.75,27.1,34.7
48.7,30.4,64.2,28.7,36.7
51.0,32.4,66.05000000000001,30.2,38.7
52.6,34.1,67.35,31.2,40.1
53.9,34.5,68.15,31.8,40.8
54.3,35.0,68.6,32.0,41.0
54.0,33.4,68.5,31.5,40.3
51.9,31.0,67.25,30.0,38.6
49.0,29.5,63.65,28.7,36.8
46.6,28.7,61.150000000000006,27.7,35.8
45.4,26.9,60.150000000000006,26.8,34.9
44.3,25.7,59.400000000000006,26.1,34.3
43.3,25.2,58.7,25.5,33.8
42.7,24.6,58.150000000000006,25.1,33.3
42.1,24.2,57.650000000000006,24.8,32.9
41.6,23.9,57.1,24.3,32.4
41.1,23.5,56.7,23.9,31.8
40.6,23.2,56.2,23.5,31.5
40.2,23.0,55.7,23.4,31.3
39.7,22.6,55.2,23.2,31.0
39.3,22.4,54.85,23.1,31.0
39.1,22.3,54.55,22.8,30.9
39.4,22.2,55.0,23.3,31.1
42.8,25.2,58.0,25.1,32.7
45.9,28.9,61.55,27.1,34.7
48.6,30.6,64.05,28.9,36.5
50.9,33.1,65.75,30.2,38.6
52.6,34.1,67.2,31.3,40.0
53.9,35.2,68.0,31.8,40.7
54.4,35.7,68.45,31.9,40.8
54.0,34.3,68.25,31.4,40.4
51.9,31.9,67.05,30.0,38.7
49.0,29.8,63.3,28.6,36.9
46.9,28.9,60.900000000000006,27.7,35.8
45.4,27.1,59.95,27.0,34.9
44.4,26.0,59.099999999999994,26.0,34.2
43.5,25.5,58.4,25.5,33.7
42.7,25.2,57.95,25.0,33.1
42.1,24.9,57.4,24.6,32.8
41.5,24.0,56.849999999999994,24.2,32.2
41.0,23.8,56.4,23.8,31.9
40.6,23.6,55.95,23.5,31.7
40.2,23.4,55.45,23.3,31.5
39.8,23.1,55.05,23.2,31.2
39.5,22.8,54.7,23.0,30.9
39.2,22.6,54.85,22.9,30.7
39.6,22.6,55.55,23.1,31.1
42.9,25.6,57.9,25.0,32.7
46.0,29.0,61.45,26.9,34.7
48.7,30.7,64.0,29.0,36.6
51.0,33.3,65.80000000000001,30.3,38.6
52.5,34.1,67.2,31.2,39.8
53.8,35.4,68.05000000000001,31.9,40.7
54.3,35.9,68.45,32.1,40.8
54.0,34.6,68.3,31.5,40.5
52.0,32.5,67.15,30.0,38.5
49.1,30.0,63.8,28.5,36.8
47.2,29.1,61.45,27.8,35.7
45.6,27.5,60.5,27.2,34.9
44.5,26.5,59.45,26.3,34.1
43.6,26.1,58.5,25.6,33.5
42.7,25.7,58.0,25.1,33.1
42.3,25.2,57.55,24.8,32.6
41.6,24.4,57.1,24.4,32.2
41.1,24.2,56.55,24.0,31.8
40.6,24.0,56.15,23.8,31.5
