day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90
66.9,67.6,68.5,69.8,71.0,72.5,76.2,79.1,80.3,80.8,80.0,78.2,76.1,73.4,70.2,66.2,61.4,57.0,56.1,56.2,56.1,56.3,56.8,57.4,58.0,58.5,59.3,60.6,61.7,62.9,65.3,69.0,70.3,70.9,70.0,69.3,67.4,64.4,61.3,56.8,52.7,48.0,47.8,48.1,48.8,49.1,49.4,49.7,50.2,50.7,51.6,52.3,53.2,54.8,56.9,59.9,62.8,63.0,62.3,61.2,59.0,56.1,52.6,48.6,44.5,41.5,41.9,42.3,42.9,43.0,43.1,43.2,43.2,44.1,44.6,44.9,45.4,46.5,48.7,52.4,55.1,55.3,54.7,53.1,51.5,49.0,45.7,42.0,39.1,38.4,39.1
66.3,66.7,67.3,68.3,69.4,70.6,72.2,75.7,78.7,80.1,80.4,79.5,77.6,75.6,73.1,70.0,66.3,61.1,56.5,55.7,55.6,55.7,56.1,56.7,57.1,57.6,58.3,59.1,60.0,61.2,62.7,64.8,68.6,70.1,70.5,70.0,69.1,66.8,64.2,61.2,56.5,52.4,47.6,47.6,48.3,48.5,48.6,49.0,49.5,49.9,50.4,51.3,51.8,52.8,54.5,56.5,59.4,62.4,62.7,62.1,60.9,58.8,56.0,52.1,48.3,44.2,41.3,41.8,42.1,42.3,42.6,42.5,42.7,42.8,43.5,44.1,44.8,45.4,46.4,48.6,52.2,54.9,55.1,54.5,53.0,51.6,48.9,45.9,42.4,39.0,38.7
65.3,65.9,66.5,67.1,67.8,69.0,70.2,71.8,75.4,78.5,79.6,79.6,79.0,76.9,75.4,72.8,69.5,65.7,60.8,56.1,55.2,55.3,55.5,55.9,56.2,56.6,57.2,58.0,58.7,59.3,60.5,62.4,64.4,68.1,70.0,70.5,69.9,68.6,66.7,63.9,60.9,56.2,52.0,47.4,47.7,48.0,48.0,48.3,48.8,49.2,49.6,50.2,50.8,51.3,52.5,54.0,56.1,59.1,62.0,62.5,61.7,60.6,58.6,55.5,51.7,48.1,43.9,41.2,41.5,41.6,41.9,42.0,42.1,42.4,42.7,43.3,44.0,44.7,45.4,46.3,48.4,52.1,54.7,54.9,54.5,53.4,51.7,49.1,45.9,42.4,38.9
64.5,65.0,65.7,66.2,66.9,67.5,68.4,69.7,71.5,75.0,78.0,79.1,79.1,78.3,76.4,74.9,72.5,69.4,65.2,60.5,55.7,55.0,54.9,55.3,55.5,55.9,56.2,57.0,57.5,58.1,58.8,59.9,61.9,64.0,67.8,69.7,70.1,69.5,68.4,66.4,63.5,60.4,55.9,51.6,47.4,47.5,47.5,47.7,48.0,48.5,48.9,49.3,49.9,50.3,51.1,52.1,53.6,55.9,59.0,61.6,62.3,61.6,60.2,58.3,55.0,51.4,47.7,43.6,41.0,41.2,41.1,41.5,41.5,41.7,41.9,42.4,43.0,43.8,44.5,45.1,46.2,48.1,51.9,54.6,54.7,54.6,53.7,51.6,49.4,46.0,42.4
64.0,64.1,64.8,65.2,65.8,66.5,67.3,67.9,69.4,71.3,74.3,77.3,78.6,78.4,77.7,76.1,74.7,71.8,68.9,64.9,60.1,55.3,54.4,54.7,54.9,55.1,55.4,56.0,56.5,57.0,57.8,58.4,59.5,61.6,63.7,67.7,69.3,69.6,69.1,68.1,66.0,63.1,59.9,55.7,51.1,47.2,47.0,47.1,47.3,47.7,48.3,48.6,49.0,49.5,50.1,50.8,51.8,53.3,55.5,58.7,61.2,62.0,61.1,60.0,57.7,54.5,51.1,47.5,43.4,41.1,40.8,40.8,41.0,41.2,41.3,41.5,42.0,42.9,43.6,44.2,44.9,46.0,48.0,51.7,54.5,54.8,54.7,53.5,51.6,49.3,45.9
63.3,63.7,63.8,64.4,64.9,65.5,66.1,66.8,67.6,69.1,70.7,73.6,76.9,78.0,77.9,77.3,75.6,74.2,71.4,68.7,64.5,59.7,55.2,54.3,54.3,54.6,54.7,55.3,55.5,55.9,56.5,57.3,57.9,59.3,61.0,63.3,67.3,69.1,69.5,68.9,67.7,65.7,62.9,59.6,55.5,50.7,46.6,46.5,46.8,47.0,47.4,47.9,48.3,48.6,49.2,49.8,50.3,51.3,53.0,55.1,58.5,61.0,61.5,60.7,59.5,57.3,54.1,50.9,47.1,42.9,40.6,40.5,40.4,40.8,40.8,40.9,41.4,41.9,42.7,43.3,44.0,44.5,45.7,47.8,51.7,54.4,55.0,54.7,53.4,51.4,49.1
62.7,63.0,63.4,63.4,64.0,64.5,65.1,65.8,66.5,67.2,68.6,70.2,73.0,76.1,77.5,77.6,76.4,75.2,73.7,71.3,68.1,64.1,59.6,54.9,54.0,54.1,54.2,54.6,54.6,55.3,55.4,56.0,56.9,57.8,58.7,60.6,63.1,67.0,68.9,69.3,68.5,67.2,65.5,62.7,59.2,55.0,50.1,46.1,46.2,46.5,46.9,47.1,47.6,47.8,48.3,48.8,49.4,50.0,50.9,52.5,54.9,58.1,60.7,61.1,60.5,59.1,56.7,54.0,50.6,46.5,42.1,40.3,40.1,40.4,40.4,40.3,40.8,41.3,41.8,42.6,43.1,43.7,44.3,45.6,47.6,51.6,54.4,54.9,54.6,53.4,51.2
63.9,62.5,62.7,62.9,63.1,63.4,64.1,64.7,65.4,66.1,66.7,68.0,69.7,72.2,75.7,77.2,77.0,75.9,74.7,73.2,70.8,67.7,63.6,59.2,54.4,53.6,53.6,54.0,53.9,54.4,54.8,55.0,55.7,56.6,57.4,58.5,60.2,62.7,66.7,68.6,68.9,68.1,67.0,65.4,62.3,58.7,54.5,49.8,45.9,45.9,46.3,46.5,47.0,47.3,47.6,48.0,48.6,49.0,49.7,50.4,52.2,54.6,57.9,60.0,60.7,60.1,58.8,56.3,53.7,50.3,45.9,41.6,40.1,40.1,40.0,39.9,40.2,40.8,41.2,41.4,42.4,42.9,43.4,44.1,45.6,47.7,51.3,54.4,54.9,54.5,53.2
67.4,63.5,62.1,62.4,62.7,62.8,63.1,63.5,64.1,65.0,65.6,66.2,67.4,69.1,71.8,75.3,76.6,76.4,75.6,74.5,72.8,70.3,67.3,63.2,58.8,54.2,53.2,53.4,53.3,53.7,53.9,54.4,54.7,55.3,56.1,57.2,58.2,59.9,62.5,66.4,68.3,68.6,68.1,66.8,64.8,61.9,58.1,54.0,49.3,45.6,45.8,45.9,46.3,46.6,47.1,47.4,47.8,48.3,48.7,49.2,50.1,51.9,54.1,57.4,59.7,60.4,59.9,58.3,56.1,53.3,49.8,45.4,41.2,39.9,39.7,39.6,39.8,40.3,40.7,40.8,41.1,42.2,42.6,43.2,44.1,45.6,47.7,51.3,54.3,54.8,54.1
71.5,67.1,63.1,61.7,62.0,62.2,62.3,62.7,63.2,63.7,64.5,65.0,65.8,66.9,68.7,71.4,74.7,75.9,76.0,75.4,74.2,72.5,70.0,67.0,62.6,58.5,53.7,52.8,52.8,52.9,53.1,53.5,54.0,54.4,54.9,55.9,56.9,58.0,59.8,62.3,65.8,68.0,68.5,67.9,66.5,64.4,61.4,57.8,53.7,48.9,45.4,45.4,45.7,46.0,46.4,46.8,47.1,47.5,47.9,48.2,48.9,50.1,51.7,53.7,56.9,59.3,60.1,59.6,58.0,55.6,52.9,49.2,44.9,40.9,39.2,39.2,39.4,39.8,40.1,40.3,40.6,41.1,41.9,42.3,43.1,44.0,45.7,47.8,51.2,54.2,54.7
