Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
38.9,43.65,56.65,24.1,31.6,21.9
38.2,43.05,56.2,23.6,31.3,21.4
37.3,42.5,55.8,23.7,31.0,21.2
36.8,42.05,55.349999999999994,23.2,30.8,20.9
36.4,41.7,54.9,23.0,30.35,20.6
36.0,41.35,54.599999999999994,22.9,30.15,20.5
35.7,41.0,54.25,22.6,30.0,20.3
35.5,40.650000000000006,53.85,22.6,29.9,20.2
35.8,41.9,54.150000000000006,22.8,30.15,20.4
39.2,44.75,57.25,24.8,31.95,23.0
42.1,47.9,60.849999999999994,26.8,34.25,27.1
45.5,50.45,63.9,28.5,35.9,30.2
48.0,52.4,65.7,29.8,37.55,31.3
50.1,54.0,66.85,30.9,38.7,31.9
51.0,55.1,67.65,31.6,39.5,33.0
51.6,55.25,67.6,31.8,39.55,32.7
51.0,54.55,66.9,31.2,39.150000000000006,32.2
49.4,52.25,65.45,29.8,37.3,30.1
45.3,49.5,62.4,28.0,35.650000000000006,27.9
43.0,47.8,60.15,26.8,34.4,26.0
41.8,46.7,59.05,26.3,33.7,25.0
41.0,45.4,58.349999999999994,25.7,33.0,24.7
40.0,44.6,57.7,25.2,32.4,23.6
39.2,43.9,57.0,24.5,32.0,22.7
38.4,43.3,56.55,24.2,31.65,22.1
37.9,42.8,56.25,23.8,31.15,21.5
37.3,42.3,55.75,23.4,30.65,21.6
36.7,41.849999999999994,55.2,23.2,30.4,21.5
36.4,41.4,54.8,23.0,30.1,21.3
35.9,41.1,54.6,22.9,29.75,21.1
35.7,40.8,54.35,22.7,29.65,21.0
35.4,40.5,54.0,22.6,29.6,20.4
35.7,41.55,54.25,22.8,30.0,21.1
39.2,44.5,57.0,24.7,31.9,23.6
42.3,47.6,60.6,26.8,34.05,27.6
45.5,50.3,63.7,28.4,35.9,30.1
48.0,52.349999999999994,65.6,29.7,37.5,32.0
50.1,54.1,66.85,30.7,38.75,32.8
51.0,55.05,67.65,31.6,39.45,33.4
51.7,55.25,67.65,31.7,39.45,33.1
51.1,54.55,67.0,31.2,39.0,32.6
49.6,52.349999999999994,65.6,29.7,37.5,30.1
45.4,49.3,62.5,28.1,35.75,28.7
43.1,47.75,60.05,26.9,34.35,26.3
42.1,46.6,58.9,26.2,33.650000000000006,25.9
41.2,45.4,58.150000000000006,25.8,33.2,25.2
40.6,44.8,57.45,25.2,32.65,23.9
39.6,44.150000000000006,56.7,24.5,32.1,23.0
39.2,43.65,56.25,24.2,31.700000000000003,22.6
38.2,43.05,55.900000000000006,23.8,31.25,22.1
37.4,42.5,55.4,23.5,30.7,22.2
37.0,42.0,54.95,23.3,30.4,22.0
36.6,41.6,54.55,23.1,30.0,21.6
36.0,41.3,54.349999999999994,22.9,29.7,21.4
35.7,41.05,54.15,22.7,29.5,21.2
35.5,40.650000000000006,54.05,22.6,29.3,20.5
36.0,41.5,54.2,22.9,29.8,21.6
39.1,44.55,57.1,24.6,31.700000000000003,24.0
42.4,47.650000000000006,60.6,26.6,33.95,27.5
45.9,50.25,63.7,28.2,36.05,29.7
48.0,52.35,65.6,29.8,37.55,32.3
50.1,54.150000000000006,66.9,31.0,38.7,33.1
51.4,55.1,67.69999999999999,31.6,39.599999999999994,33.5
51.9,55.3,67.6,31.6,39.650000000000006,33.4
51.3,54.7,67.1,31.1,38.95,32.8
49.8,52.4,65.8,29.7,37.5,30.3
45.7,49.5,62.7,28.4,35.6,29.1
43.2,47.849999999999994,60.3,27.0,34.45,26.7
42.0,46.7,59.3,26.3,33.75,26.3
41.2,45.6,58.650000000000006,25.9,33.150000000000006,25.6
40.5,44.849999999999994,58.2,25.3,32.55,24.2
39.6,44.2,57.65,24.7,32.05,23.3
39.2,43.7,57.05,24.4,31.55,23.0
38.2,43.1,56.45,24.0,31.15,22.5
37.4,42.5,55.85,23.8,30.7,22.6
37.0,42.05,55.45,23.3,30.299999999999997,22.5
36.6,41.6,54.95,23.1,29.9,22.1
36.0,41.349999999999994,54.6,22.9,29.5,21.9
35.7,41.1,54.3,22.7,29.3,21.5
35.4,40.8,54.0,22.4,29.1,20.8
35.9,41.6,54.099999999999994,22.8,29.65,21.9
39.3,44.6,57.099999999999994,24.7,31.5,24.5
42.4,47.8,60.8,26.7,33.9,27.7
46.0,50.349999999999994,63.75,28.2,36.0,29.9
48.3,52.55,65.55,29.9,37.45,32.6
50.1,54.25,66.95,31.0,38.9,33.3
51.5,55.150000000000006,67.85,31.6,39.6,33.7
52.1,55.3,68.05,31.7,39.8,33.5
51.8,54.7,67.75,31.3,39.2,32.8
50.3,52.45,66.75,29.8,37.45,30.4
46.1,49.650000000000006,62.95,28.4,35.6,29.1
43.5,47.849999999999994,60.2,27.2,34.4,26.8
42.2,46.7,59.2,26.5,33.75,26.4
41.5,45.6,58.55,26.0,33.25,25.9
40.6,45.0,58.1,25.3,32.7,24.4
39.8,44.400000000000006,57.55,24.7,32.25,23.5
39.3,43.8,57.0,24.4,31.75,23.2
38.3,43.25,56.45,24.0,31.4,22.7
37.5,42.75,55.85,23.6,30.85,22.7
37.1,42.3,55.400000000000006,23.2,30.45,22.6
36.7,41.8,54.900000000000006,23.1,30.05,22.3
36.1,41.349999999999994,54.55,22.7,29.65,22.2
35.8,41.05,54.2,22.6,29.45,21.6
35.5,40.849999999999994,53.85,22.4,29.25,21.0
35.9,41.75,54.0,22.8,29.700000000000003,22.2
39.4,44.7,57.099999999999994,24.6,31.7,24.7
42.5,47.7,60.75,26.7,34.0,27.4
46.1,50.4,63.7,28.3,36.0,29.8
48.5,52.6,65.69999999999999,29.9,37.6,32.1
50.2,54.3,67.1,31.0,38.9,33.3
51.6,55.2,68.05,31.4,39.5,33.9
52.1,55.5,68.1,31.6,39.7,33.5
52.0,54.8,67.85,31.0,39.05,33.0
50.2,52.75,66.94999999999999,29.6,37.55,30.1
46.2,49.75,63.05,28.3,35.45,29.0
43.7,47.95,60.3,27.3,34.2,27.0
42.4,46.8,59.25,26.4,33.6,26.5
41.6,45.7,58.55,25.8,33.150000000000006,26.0
40.8,44.95,58.15,25.2,32.6,24.4
39.9,44.3,57.55,24.5,32.1,23.5
39.2,43.75,56.900000000000006,24.2,31.6,23.1
38.2,43.3,56.35,23.8,31.2,22.7
37.6,42.8,55.75,23.4,30.65,22.6
37.2,42.45,55.35,23.2,30.35,22.6
36.5,41.9,54.85,22.9,30.049999999999997,22.3
36.2,41.6,54.4,22.7,29.75,22.0
35.8,41.15,54.1,22.4,29.45,21.6
35.3,40.8,53.7,22.4,29.200000000000003,21.1
35.8,41.6,53.85,22.3,29.6,22.3
39.2,44.55,56.85,24.4,31.6,24.4
42.5,47.55,60.55,26.4,34.0,27.4
45.9,50.3,63.6,28.1,36.1,29.5
48.3,52.4,65.6,29.9,37.55,31.8
50.1,54.1,67.05,30.8,38.8,33.2
51.6,55.05,67.85,31.4,39.45,34.1
52.0,55.45,67.95,31.6,39.5,33.7
51.7,54.8,67.80000000000001,31.0,38.9,33.1
50.3,52.6,66.75,29.7,37.349999999999994,30.1
46.1,49.6,63.099999999999994,28.1,35.2,29.1
43.7,47.8,60.4,26.9,34.150000000000006,27.0
42.3,46.6,59.150000000000006,26.2,33.55,26.4
41.3,45.75,58.45,25.5,32.95,26.1
40.8,44.95,58.05,25.0,32.45,24.5
39.7,44.25,57.4,24.6,32.1,23.6
39.0,43.75,56.75,24.3,31.5,23.3
38.1,43.2,56.2,23.9,31.1,22.8
37.4,42.8,55.599999999999994,23.5,30.7,22.7
36.9,42.3,55.099999999999994,23.2,30.4,22.6
36.2,41.85,54.599999999999994,22.8,30.15,22.3
35.9,41.3,54.25,22.5,29.85,22.2
35.6,40.95,53.9,22.5,29.5,21.9
35.3,40.6,53.45,22.3,29.25,21.4
35.6,41.3,53.55,22.4,29.65,22.2
39.0,44.45,56.7,24.3,31.5,24.4
42.6,47.4,60.45,26.2,33.8,27.4
45.7,50.2,63.5,28.0,35.95,29.6
48.4,52.150000000000006,65.45,29.8,37.5,31.5
50.1,53.8,67.05,31.0,38.650000000000006,33.2
51.8,54.95,67.9,31.6,39.349999999999994,34.3
52.1,55.45,68.1,31.7,39.4,34.0
51.9,54.9,67.75,31.0,38.9,33.4
50.5,52.7,66.4,29.6,37.349999999999994,30.4
46.2,49.55,63.05,28.0,35.150000000000006,28.9
43.7,47.75,60.55,27.0,34.3,27.1
42.2,46.5,59.05,26.2,33.650000000000006,26.4
41.4,45.5,58.4,25.5,33.1,26.1
40.6,44.9,57.8,25.0,32.599999999999994,24.6
39.9,44.2,57.099999999999994,24.6,32.1,23.7
39.0,43.7,56.400000000000006,24.2,31.5,23.3
38.1,42.95,55.85,23.6,30.950000000000003,22.9
37.5,42.5,55.25,23.3,30.5,22.8
36.9,42.1,54.8,23.1,30.2,22.7
36.2,41.650000000000006,54.35,22.8,29.9,22.4
35.6,41.05,53.95,22.9,29.6,22.3
35.3,40.650000000000006,53.7,22.7,29.35,21.9
35.1,40.349999999999994,53.3,22.5,29.1,21.5
35.4,41.25,53.4,22.5,29.35,22.3
38.9,44.2,56.55,24.3,31.35,24.8
42.6,47.349999999999994,60.3,26.0,33.7,27.9
45.7,50.05,63.15,28.3,35.7,29.7
48.5,52.25,65.4,29.8,37.4,31.6
50.5,53.8,66.8,30.9,38.7,33.3
51.8,55.0,67.69999999999999,31.7,39.3,34.5
52.4,55.45,68.1,31.7,39.35,34.4
52.3,54.8,67.4,30.9,38.7,33.3
50.9,52.7,66.0,29.4,37.15,30.6
46.6,49.6,62.8,28.1,35.15,29.0
43.9,47.8,60.5,27.1,34.4,27.5
42.4,46.5,59.05,26.4,33.5,26.7
41.4,45.4,58.3,25.7,32.85,26.4
40.5,44.55,57.5,25.3,32.25,25.2
40.0,43.8,56.7,24.7,31.9,24.1
39.2,43.349999999999994,56.0,24.5,31.4,23.6
38.2,42.7,55.45,23.9,30.799999999999997,23.2
37.3,42.349999999999994,55.0,23.6,30.2,23.1
36.9,41.9,54.55,23.4,29.95,23.0
36.3,41.45,54.15,23.1,29.65,22.7
35.7,41.1,53.8,22.7,29.35,22.6
35.3,40.8,53.5,22.5,29.1,22.2
35.1,40.45,53.25,22.3,28.9,21.7
35.8,41.150000000000006,53.4,22.7,29.15,22.7
38.9,44.1,56.45,24.1,31.3,25.1
42.5,47.4,60.2,26.3,33.45,27.9
45.8,50.0,63.05,28.3,35.5,29.6
48.7,52.150000000000006,65.65,29.7,37.349999999999994,31.9
50.7,53.8,66.85,30.8,38.55,33.4
51.8,55.0,67.95,31.6,39.15,34.7
52.4,55.45,68.15,31.7,39.45,34.7
52.5,54.8,67.6,31.0,38.7,33.5
50.9,52.650000000000006,65.94999999999999,29.5,37.05,30.8
46.8,49.75,62.9,28.2,35.2,28.9
44.1,47.849999999999994,60.5,27.3,34.3,28.0
42.7,46.7,59.2,26.5,33.4,26.8
41.5,45.45,58.2,25.9,32.7,26.5
40.6,44.6,57.3,25.3,32.2,25.5
39.8,44.0,56.45,24.9,31.700000000000003,24.3
39.2,43.349999999999994,55.75,24.4,31.25,23.8
38.2,42.75,55.25,23.9,30.8,23.6
37.4,42.25,54.849999999999994,23.7,30.200000000000003,23.2
37.0,41.849999999999994,54.4,23.2,29.799999999999997,23.1
36.3,41.6,54.0,22.8,29.6,22.9
35.7,41.150000000000006,53.75,22.7,29.25,22.9
35.2,40.8,53.45,22.6,29.049999999999997,22.5
35.1,40.55,53.15,22.3,28.9,22.1
36.0,41.1,53.5,22.6,29.1,22.9
39.1,44.150000000000006,56.65,24.2,31.2,25.3
42.4,47.4,60.25,26.4,33.55,27.9
46.1,50.05,63.2,28.4,35.45,29.8
48.8,52.25,65.80000000000001,29.9,37.4,32.0
50.8,53.8,66.94999999999999,31.0,38.5,33.5
52.0,55.2,68.0,31.7,39.05,34.8
52.9,55.6,68.19999999999999,31.8,39.45,34.8
52.8,54.9,67.55,31.0,38.650000000000006,33.8
51.2,52.8,66.05,29.5,37.05,31.1
47.2,49.9,62.95,28.2,35.400000000000006,29.2
44.3,48.0,60.55,27.4,34.35,28.3
42.8,46.8,59.25,26.5,33.55,27.1
41.9,45.7,58.05,26.0,32.7,26.8
40.8,44.7,57.15,25.5,32.25,25.6
40.0,44.2,56.45,25.0,31.75,24.5
39.3,43.45,55.7,24.4,31.35,24.2
38.2,43.0,55.3,24.1,31.05,23.8
37.4,42.4,54.7,23.7,30.5,23.5
37.0,42.0,54.3,23.3,30.05,23.5
36.4,41.650000000000006,53.8,22.9,29.85,23.2
35.8,41.25,53.599999999999994,22.8,29.6,23.3
35.4,41.0,53.35,22.8,29.4,22.8
35.3,40.7,53.0,22.5,29.2,22.4
36.0,41.15,53.45,22.8,29.4,23.2
39.2,44.25,56.7,24.4,31.35,25.6
42.6,47.45,60.25,26.5,33.6,28.1
46.3,50.150000000000006,63.2,28.4,35.5,30.1
48.9,52.349999999999994,65.7,29.9,37.3,32.4
50.9,53.9,67.05,31.0,38.45,33.6
52.2,55.25,68.05000000000001,31.6,39.2,34.9
53.1,55.7,68.25,31.8,39.599999999999994,35.0
53.2,55.1,67.6,31.1,38.7,34.1
51.6,52.95,66.15,29.5,37.150000000000006,31.4
47.5,50.05,63.05,28.3,35.55,29.5
44.6,48.2,60.5,27.4,34.400000000000006,28.4
43.0,46.85,59.3,26.6,33.55,27.2
