day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93
50.65,51.75,53.2,54.5,55.85,58.4,61.95,64.5,66.2,66.95,66.75,66.35,65.3,63.8,61.5,58.25,54.9,51.3,48.25,48.65,49.8,50.7,51.6,52.35,53.4,54.7,56.25,57.75,60.1,62.85,66.4,70.05,72.05,73.0,73.0,72.3,71.05,69.35,67.5,65.2,61.9,57.95,53.7,53.05,53.75,54.75,56.1,57.3,59.0,60.5,61.8,63.3,65.5,68.25,71.65,74.65,76.9,78.05,78.19999999999999,77.2,75.6,73.25,70.8,67.85,64.65,61.8,58.0,55.65,56.7,58.2,59.6,60.85,62.3,62.8,65.15,68.05,70.65,75.5,79.35,82.05,83.15,84.25,84.2,83.30000000000001,81.7,79.7,77.45,74.4,70.9,66.8,63.45,62.2,62.95,63.55
49.75,50.6,51.85,53.25,54.5,56.05,58.55,62.1,64.8,66.4,67.35,67.05,66.5,65.45,64.05,61.7,58.45,55.1,51.5,48.35,48.7,49.8,50.8,51.8,52.55,53.6,54.95,56.400000000000006,58.1,60.35,62.9,66.75,70.55,72.44999999999999,73.45,73.55000000000001,72.85,71.5,69.55,67.65,65.4,62.1,58.15,53.900000000000006,53.2,53.95,55.0,56.25,57.5,59.150000000000006,60.650000000000006,62.05,63.35,65.6,68.35,71.75,74.94999999999999,77.1,78.0,78.05000000000001,77.45,75.4,73.75,70.9,67.95,64.7,61.8,58.150000000000006,55.75,57.0,58.45,59.9,61.1,62.5,63.1,65.85,68.6,71.1,75.85,79.45,82.2,83.35,84.4,84.15,83.45,81.85,79.85,77.7,74.69999999999999,71.25,67.3,63.6,62.400000000000006,63.150000000000006
49.1,49.7,50.7,51.85,53.25,54.55,56.25,58.650000000000006,62.35,64.95,66.80000000000001,67.7,66.94999999999999,66.4,65.69999999999999,64.15,61.8,58.650000000000006,55.25,51.55,48.45,48.75,49.85,50.95,51.95,52.7,53.75,55.35,56.65,58.45,60.55,62.95,67.25,70.8,72.85,74.05,74.05,73.3,71.75,69.85,67.75,65.55,62.3,58.5,54.15,53.25,54.150000000000006,55.15,56.35,57.8,59.4,60.8,62.35,63.4,65.65,68.4,72.0,75.19999999999999,76.95,78.05000000000001,78.35,77.5,75.4,73.8,71.2,68.05000000000001,64.8,61.85,58.2,56.05,57.3,59.0,60.150000000000006,61.45,62.7,63.45,66.25,69.2,71.55,76.15,79.6,82.44999999999999,83.55,84.25,84.2,83.55,82.0,80.1,78.05,75.19999999999999,71.85,67.6,63.7,62.5
48.4,49.1,49.8,50.75,51.95,53.35,54.650000000000006,56.35,58.9,62.45,65.15,67.0,67.6,67.25,66.65,65.69999999999999,64.25,61.900000000000006,58.75,55.55,51.75,48.5,48.85,50.0,51.05,52.150000000000006,52.85,54.0,55.55,56.95,58.75,60.95,63.1,67.55000000000001,71.1,73.4,74.5,74.45,73.55000000000001,72.05,70.05,67.80000000000001,65.75,62.7,58.75,54.5,53.35,54.35,55.3,56.5,58.1,59.650000000000006,61.05,62.5,63.45,65.75,68.6,72.1,75.3,76.9,78.2,78.55,77.2,75.85,73.85,71.4,68.15,64.8,62.0,58.35,56.3,57.8,59.35,60.5,61.8,62.8,63.8,66.8,69.6,71.9,76.4,79.75,82.35,83.44999999999999,84.25,84.35,83.75,82.3,80.5,78.45,75.80000000000001,72.19999999999999,67.75,63.8
47.7,48.35,49.2,49.8,50.8,52.25,53.65,54.75,56.650000000000006,59.1,62.6,65.19999999999999,66.75,67.75,67.7,66.85,65.80000000000001,64.4,62.05,58.900000000000006,55.7,51.85,48.6,48.95,50.25,51.25,52.150000000000006,53.05,54.150000000000006,55.85,57.25,59.0,61.35,63.150000000000006,67.75,71.55,73.85,74.8,74.75,73.85,72.3,70.05,67.9,66.0,63.0,58.9,54.8,53.5,54.4,55.4,56.65,58.25,60.0,61.25,62.6,63.5,65.95,68.7,72.25,75.15,77.0,78.15,78.30000000000001,77.35,76.2,74.0,71.55,68.25,64.94999999999999,62.05,58.65,56.75,58.2,59.65,60.8,62.1,62.900000000000006,64.35,67.35,69.95,72.30000000000001,76.6,80.05,82.4,83.6,84.4,84.5,84.15,82.9,81.05,78.80000000000001,76.1,72.5,67.9
47.3,47.75,48.4,49.2,49.85,51.2,52.55,53.6,55.0,56.85,59.35,62.650000000000006,65.6,67.0,68.05,68.0,67.05,66.0,64.5,62.1,59.0,55.8,52.0,48.75,49.25,50.400000000000006,51.4,52.35,53.35,54.45,55.95,57.55,59.3,61.8,63.6,68.19999999999999,71.9,74.15,75.2,75.05000000000001,74.05000000000001,72.5,70.19999999999999,68.15,66.25,63.1,59.05,55.1,53.6,54.55,55.650000000000006,56.85,58.55,60.2,61.3,62.7,63.55,66.0,68.65,72.35,75.2,77.05,78.05000000000001,78.3,77.6,76.4,74.35,71.80000000000001,68.55000000000001,65.19999999999999,62.25,59.1,57.15,58.45,59.95,61.2,62.4,63.1,64.85,67.69999999999999,70.30000000000001,72.5,76.75,80.05,82.55,83.75,84.6,84.9,84.55,83.45,81.6,79.05000000000001,76.35,72.75
46.75,47.3,47.9,48.55,49.2,50.2,51.45,52.4,53.8,55.05,57.1,59.5,62.650000000000006,65.80000000000001,67.35,68.55000000000001,68.25,67.15,66.1,64.5,62.1,59.2,56.0,52.35,49.05,49.5,50.5,51.6,52.650000000000006,53.45,54.75,56.2,57.85,59.6,62.1,64.05,68.55,72.15,74.5,75.55000000000001,75.3,74.25,72.75,70.55,68.35,66.25,63.3,59.3,55.35,53.75,54.6,55.85,57.2,58.85,60.3,61.35,62.95,63.55,66.05,68.6,72.55,75.1,77.05,78.35,78.35,77.6,76.55,74.7,72.05000000000001,68.9,65.55000000000001,62.45,59.45,57.65,58.8,60.4,61.55,62.6,63.5,65.25,68.0,70.6,72.80000000000001,76.75,80.15,82.8,83.9,85.0,85.45,85.0,83.9,81.9,79.15,76.55
48.0,46.8,47.3,47.8,48.6,49.35,50.400000000000006,51.6,52.650000000000006,53.8,55.3,57.2,59.650000000000006,62.9,66.05000000000001,67.75,68.75,68.5,67.55,66.2,64.5,62.400000000000006,59.45,56.35,52.650000000000006,49.3,49.7,50.7,51.85,52.85,53.55,55.0,56.6,58.150000000000006,60.1,62.4,64.5,68.9,72.5,74.85,75.80000000000001,75.45,74.55,73.1,70.9,68.5,66.35,63.3,59.65,55.55,53.95,54.75,56.1,57.400000000000006,59.1,60.4,61.6,62.95,63.5,66.05,68.85,72.7,75.05000000000001,77.05,78.4,78.55,77.9,76.75,75.0,72.25,69.4,66.05000000000001,62.650000000000006,59.8,58.0,59.150000000000006,60.7,61.9,62.8,63.65,65.6,68.2,70.9,72.85,76.85,80.3,82.95,84.25,85.45,86.0,85.5,84.25,82.15,79.3
52.15,48.1,46.85,47.3,47.85,48.650000000000006,49.55,50.8,51.8,52.85,54.0,55.35,57.35,59.8,63.3,66.15,67.80000000000001,68.95,68.8,67.65,66.2,64.85,62.6,59.8,56.7,52.95,49.55,49.95,51.05,52.0,52.85,53.6,55.3,56.85,58.45,60.4,62.7,64.85,69.19999999999999,72.8,75.05000000000001,75.8,75.7,74.9,73.35,71.2,68.6,66.5,63.45,60.05,55.85,54.15,55.0,56.15,57.6,59.1,60.55,61.85,62.95,63.45,66.05,69.1,73.25,75.4,77.15,78.6,78.7,78.2,77.1,75.3,72.69999999999999,69.85,66.3,63.1,60.150000000000006,58.4,59.650000000000006,61.05,62.05,63.0,63.900000000000006,65.85,68.65,71.1,72.95,77.0,80.45,83.1,84.75,85.9,86.5,85.85,84.45,82.4
55.85,52.3,48.3,46.900000000000006,47.35,47.9,48.8,49.85,51.0,51.9,53.05,54.1,55.5,57.55,60.05,63.4,66.5,67.9,68.85,68.9,67.7,66.45,65.1,63.0,60.05,57.0,53.2,50.0,50.25,51.3,52.0,52.85,53.85,55.6,57.15,58.8,60.75,62.75,65.3,69.55000000000001,72.85,75.0,76.05000000000001,76.1,75.19999999999999,73.65,71.5,68.75,66.5,63.650000000000006,60.2,56.15,54.400000000000006,55.35,56.25,57.7,59.3,60.650000000000006,61.95,62.9,63.35,65.95,69.44999999999999,73.55000000000001,75.95,77.4,79.05,78.85,78.69999999999999,77.65,75.75,73.05000000000001,70.2,66.65,63.5,60.650000000000006,58.8,60.0,61.3,62.2,63.1,64.0,66.15,68.9,71.2,73.15,77.25,81.0,83.44999999999999,85.3,86.25,86.8,86.05,84.6
