day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93
73.95,75.0,76.05,77.4,79.15,82.3,85.15,86.7,87.85,88.6,88.8,88.3,87.55,85.9,83.9,81.55,78.9,75.55,73.1,72.55,72.95,73.5,74.1,74.75,75.55,76.45,77.2,78.15,79.85,82.5,85.3,87.05,88.3,89.05,89.3,88.9,88.05,86.3,84.25,81.85,78.75,75.55,73.3,73.2,73.7,74.15,74.55,75.1,75.6,76.2,77.05,78.2,79.55,81.85,84.8,86.7,87.7,88.4,88.7,88.1,86.9,84.95,82.85,80.25,76.9,73.5,71.35,71.5,71.7,72.0,72.25,72.55,73.25,73.7,74.7,75.5,76.65,78.85,82.3,84.5,85.65,86.2,86.1,85.25,83.8,81.75,79.1,75.6,71.9,68.2,66.35,66.30000000000001,66.5,66.85
73.05,74.05,75.05,76.1,77.45,79.2,82.3,84.95,86.5,87.7,88.6,88.8,88.35,87.55,86.0,83.95,81.5,78.85,75.55,73.1,72.55,73.0,73.6,74.2,74.9,75.5,76.35,77.2,78.15,79.7,82.5,85.3,87.1,88.3,89.0,89.15,88.85,88.0,86.3,84.2,81.8,78.85,75.55,73.4,73.25,73.7,74.1,74.5,75.0,75.55,76.25,77.05,78.1,79.4,81.7,84.8,86.6,87.7,88.35,88.6,87.95,86.8,84.85,82.85,80.25,76.85,73.5,71.25,71.3,71.55,71.8,72.1,72.35,73.05,73.65,74.5,75.3,76.45,78.55,82.1,84.25,85.55,86.0,85.85,85.0,83.45,81.30000000000001,78.9,75.35,71.5,68.0,66.1,66.15,66.30000000000001
72.35,73.3,74.15,75.1,76.2,77.5,79.2,82.1,84.7,86.5,87.8,88.6,88.75,88.4,87.6,86.0,84.05,81.6,78.9,75.65,73.15,72.65,73.1,73.7,74.3,74.9,75.5,76.3,77.1,78.15,79.8,82.5,85.35,87.1,88.25,89.0,89.1,88.8,87.95,86.2,84.25,81.85,78.95,75.6,73.5,73.25,73.65,74.0,74.45,74.9,75.5,76.15,77.05,78.0,79.3,81.6,84.7,86.6,87.6,88.25,88.4,87.85,86.7,84.9,82.9,80.1,76.75,73.45,71.15,71.15,71.3,71.55,71.85,72.15,72.9,73.6,74.4,75.2,76.35,78.30000000000001,81.8,84.2,85.4,85.8,85.65,84.75,83.1,81.1,78.55,75.1,71.30000000000001,67.75,65.8,65.9
71.75,72.65,73.45,74.25,75.15,76.3,77.5,79.15,82.0,84.7,86.5,87.8,88.55,88.7,88.45,87.65,86.0,84.05,81.7,78.9,75.7,73.2,72.7,73.3,73.8,74.3,74.8,75.5,76.2,77.05,78.15,79.85,82.5,85.4,87.0,88.2,88.9,89.1,88.85,87.9,86.15,84.25,81.95,78.95,75.6,73.45,73.2,73.6,73.95,74.3,74.9,75.4,76.15,76.85,77.85,79.25,81.5,84.6,86.45,87.4,88.0,88.3,87.8,86.6,84.9,82.8,80.0,76.7,73.3,70.9,70.95,71.15,71.3,71.6,72.1,72.75,73.45,74.2,75.05,76.1,78.05,81.6,84.1,85.1,85.6,85.35,84.4,82.94999999999999,80.8,78.2,74.9,71.2,67.6,65.65
71.30000000000001,72.1,72.75,73.5,74.3,75.2,76.35,77.5,79.05,81.9,84.75,86.45,87.9,88.6,88.8,88.45,87.65,85.9,84.0,81.75,78.9,75.75,73.3,72.85,73.4,73.8,74.2,74.75,75.55,76.2,77.1,78.1,79.8,82.5,85.3,87.0,88.2,88.9,89.2,88.85,87.8,86.2,84.35,82.0,78.95,75.6,73.4,73.15,73.5,73.8,74.3,74.85,75.45,76.0,76.75,77.75,79.2,81.45,84.5,86.25,87.25,87.95,88.25,87.7,86.7,84.85,82.7,79.9,76.6,73.15,70.75,70.75,70.9,71.05,71.55,72.0,72.55,73.3,74.05,74.8,75.85,77.85,81.35,83.75,84.9,85.4,85.1,84.2,82.75,80.5,77.9,74.65,70.9,67.45
70.95,71.45,72.25,72.75,73.5,74.4,75.3,76.4,77.4,79.0,82.0,84.75,86.55,87.95,88.75,88.8,88.5,87.6,86.0,84.0,81.8,78.94999999999999,75.8,73.35,73.0,73.4,73.75,74.2,74.75,75.5,76.2,77.1,78.15,79.75,82.4,85.3,86.9,88.15,88.85,89.25,88.9,87.9,86.25,84.4,82.0,78.9,75.6,73.25,73.05,73.4,73.7,74.2,74.8,75.35,75.95,76.65,77.55,79.1,81.3,84.15,86.0,87.15,87.9,88.1,87.65,86.7,84.75,82.6,79.80000000000001,76.5,73.0,70.55,70.5,70.6,70.95,71.4,71.80000000000001,72.5,73.1,73.85,74.6,75.7,77.6,81.0,83.7,84.65,85.1,84.8,84.0,82.5,80.30000000000001,77.65,74.4,70.69999999999999
72.1,71.19999999999999,71.7,72.25,72.85,73.55,74.55,75.3,76.3,77.4,79.05,82.25,84.8,86.65,88.0,88.6,88.7,88.5,87.6,86.0,84.2,81.9,79.05000000000001,75.9,73.5,73.0,73.35,73.8,74.2,74.8,75.5,76.2,77.1,78.15,79.7,82.4,85.2,87.0,88.1,88.80000000000001,89.25,89.05,88.0,86.2,84.35,81.9,78.85,75.55,73.15,72.95,73.35,73.7,74.2,74.7,75.2,75.9,76.55,77.4,78.9,81.1,84.0,85.9,87.15,87.9,88.0,87.5,86.5,84.69999999999999,82.5,79.75,76.35,72.85,70.35,70.2,70.5,70.9,71.2,71.75,72.25,72.9,73.65,74.4,75.4,77.3,80.8,83.4,84.3,84.85,84.65,83.8,82.2,80.1,77.45,74.2
74.75,72.2,71.3,71.7,72.35,72.9,73.65,74.6,75.35,76.3,77.45,79.1,82.2,84.85,86.7,87.85,88.7,88.75,88.45,87.5,86.2,84.3,81.95,79.15,75.9,73.45,72.9,73.3,73.75,74.2,74.8,75.5,76.2,77.2,78.1,79.7,82.35,85.2,86.95,88.1,88.75,89.4,89.2,87.95,86.2,84.25,81.8,78.75,75.5,73.05,72.9,73.35,73.7,74.2,74.6,75.2,75.75,76.5,77.25,78.7,80.9,83.9,85.85,87.1,87.9,87.9,87.4,86.5,84.65,82.4,79.7,76.15,72.45,70.15,70.1,70.35,70.7,71.15,71.5,72.0,72.7,73.30000000000001,74.15,75.1,77.05,80.4,83.1,84.1,84.6,84.5,83.5,81.95,79.9,77.3
78.2,74.9,72.3,71.3,71.8,72.4,73.0,73.8,74.6,75.35,76.35,77.55,79.15,82.25,84.95,86.7,87.95,88.55,88.65,88.5,87.5,86.25,84.3,82.05,79.19999999999999,75.9,73.4,72.9,73.3,73.7,74.2,74.8,75.45,76.2,77.15,78.1,79.65,82.3,85.3,87.0,88.15,89.0,89.4,89.2,87.9,86.1,84.2,81.7,78.7,75.4,72.95,72.9,73.35,73.7,74.1,74.55,74.95,75.6,76.4,77.1,78.4,80.7,83.8,85.8,87.1,87.8,87.75,87.4,86.30000000000001,84.55,82.4,79.55,75.85,72.15,69.95,69.9,70.2,70.6,70.95,71.3,71.75,72.4,73.05,73.9,74.75,76.8,80.05,82.85,83.85,84.25,84.25,83.4,81.9,79.9
81.25,78.35,75.0,72.4,71.35,71.9,72.5,73.1,73.7,74.6,75.4,76.4,77.55,79.35,82.35,85.0,86.75,87.85,88.45,88.6,88.45,87.65,86.35,84.45,82.15,79.35,75.95,73.3,72.85,73.3,73.7,74.2,74.8,75.5,76.25,77.1,78.2,79.65,82.3,85.2,87.1,88.3,89.1,89.5,89.1,87.8,86.1,84.15,81.6,78.65,75.45,72.9,72.85,73.3,73.6,74.05,74.4,74.85,75.4,76.1,77.0,78.25,80.6,83.8,85.8,86.95,87.65,87.75,87.3,86.3,84.45,82.2,79.2,75.7,72.0,69.85,69.8,70.15,70.4,70.75,71.05,71.55,72.1,72.7,73.6,74.55,76.35,79.75,82.65,83.65,84.0,84.0,83.15,81.5
