day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,Median
52.2,53.0,53.6,54.9,56.3,58.1,61.0,64.8,66.8,67.0,66.2,64.2,62.2,59.4,57.0,52.9,48.4,42.4,41.6,41.7,41.8,42.7,42.6,43.4,43.4,44.2,45.3,46.3,47.3,48.7,51.0,54.1,56.7,57.3,56.7,56.1,54.6,51.9,48.5,44.6,39.2,35.7,34.4,34.9,35.3,35.3,35.7,36.3,36.4,36.5,36.8,37.6,38.0,39.5,41.0,43.9,47.2,48.0,48.1,47.2,45.6,42.3,38.3,34.6,30.0,28.2,28.3,28.5,28.4,28.2,28.2,28.7,28.5,28.8,28.8,29.4,29.9,30.8,31.9,33.9,37.2,37.6,36.9,35.9,34.2,32.0,30.3,27.1,24.1,23.7,24.0,41.7
51.5,51.9,52.9,53.3,54.7,55.8,57.4,60.2,64.4,66.4,66.4,65.4,63.4,61.5,59.3,56.5,52.5,48.0,42.0,41.4,41.7,41.6,42.3,42.3,43.2,43.4,43.8,45.0,46.0,46.8,48.2,50.8,53.4,56.3,56.9,56.3,55.6,54.3,51.6,48.1,44.2,38.7,35.1,34.3,34.5,34.7,35.0,35.3,35.8,36.1,36.3,36.4,37.3,37.7,39.2,40.3,43.5,46.7,47.7,47.8,47.0,45.5,41.9,37.8,34.1,29.9,28.0,28.1,28.2,28.0,27.9,27.9,28.1,28.3,28.4,28.6,29.2,29.7,30.7,31.7,33.7,36.7,37.0,36.7,35.7,34.2,31.8,30.1,27.1,24.0,23.7,41.7
51.3,51.3,51.7,52.6,53.0,54.2,55.3,57.1,59.6,64.1,65.8,65.6,64.4,62.7,60.9,59.0,56.1,52.2,47.6,41.7,41.2,41.4,41.4,42.1,42.1,42.8,43.4,43.4,44.3,45.5,46.3,48.0,50.5,52.9,56.1,56.6,56.1,55.5,54.2,51.3,47.8,43.8,38.3,34.8,34.2,34.2,34.4,34.7,34.9,35.5,35.7,35.8,36.2,37.0,37.3,38.7,39.7,42.7,46.2,47.4,47.6,46.7,45.1,41.4,37.2,33.7,29.4,27.8,27.9,27.8,27.7,27.6,27.7,27.7,27.8,28.2,28.5,29.0,29.6,30.3,31.5,33.7,36.2,36.9,36.5,35.6,34.3,31.7,30.0,27.1,24.0,41.4
49.9,51.1,51.0,51.3,52.4,52.8,53.7,55.0,56.9,59.4,63.4,64.8,64.7,63.5,61.9,60.5,58.7,55.6,52.0,47.2,41.5,40.8,41.1,41.3,41.7,41.8,42.4,42.9,43.1,43.7,45.1,45.9,47.4,50.3,52.6,55.8,56.3,55.8,55.2,53.9,50.9,47.4,43.3,38.0,34.5,34.1,33.9,34.1,34.5,34.6,35.3,35.5,35.6,36.0,36.5,36.5,38.1,39.1,42.3,46.0,47.2,47.5,46.3,44.6,40.9,36.8,33.2,29.1,27.6,27.4,27.2,27.3,27.4,27.4,27.6,27.8,28.0,28.2,28.9,29.3,30.0,31.1,33.3,35.8,36.7,36.5,35.3,34.1,31.7,30.1,26.9,41.5
48.6,49.6,50.6,50.8,51.0,52.1,52.5,53.1,54.9,56.4,58.7,62.3,63.9,63.8,62.7,61.6,60.1,58.4,55.2,51.5,46.7,41.2,40.5,40.9,41.2,41.3,41.5,42.0,42.6,42.9,43.2,44.6,45.2,46.7,49.9,52.2,55.3,56.0,55.6,54.9,53.5,50.6,47.0,42.9,37.7,34.1,33.7,33.7,33.8,34.0,34.3,34.8,35.2,35.3,35.9,35.9,36.1,37.7,38.7,41.8,45.9,47.1,47.0,46.0,43.9,40.4,36.2,32.8,28.8,27.3,26.8,26.8,27.0,26.9,26.9,27.2,27.6,27.7,28.1,28.5,29.2,29.7,30.6,32.9,35.6,36.4,36.2,35.0,33.8,31.6,29.9,41.3
48.4,48.4,49.1,50.3,50.4,50.5,51.6,52.1,52.6,54.5,55.8,57.7,61.6,62.9,62.9,62.2,61.4,60.0,58.2,54.7,51.3,46.5,40.9,40.1,40.6,40.9,41.1,41.3,41.3,42.1,42.4,42.9,44.2,45.1,46.4,49.5,52.0,54.9,55.5,55.7,54.7,53.3,50.3,46.7,42.5,37.4,33.9,33.4,33.4,33.3,33.6,33.9,34.1,34.6,35.0,35.4,35.6,35.7,37.4,38.5,41.7,45.6,46.8,46.5,45.6,43.2,39.9,35.8,32.1,28.1,26.6,26.3,26.4,26.4,26.5,26.7,27.1,27.4,27.7,27.9,28.5,28.9,29.4,30.4,32.7,35.3,36.5,36.2,34.8,33.4,31.6,41.3
47.7,48.2,48.1,48.9,49.9,50.0,50.3,51.0,51.8,52.4,54.1,55.1,57.2,60.8,62.3,62.5,61.8,61.0,59.7,58.0,54.5,51.1,46.2,40.8,39.7,40.2,40.6,40.9,40.6,40.9,41.6,41.9,42.5,43.7,44.7,46.1,48.9,51.8,54.5,55.3,55.5,54.2,53.0,50.0,46.2,42.0,37.0,33.6,32.9,32.9,33.0,33.2,33.3,33.6,34.6,34.3,34.8,35.3,35.2,37.0,38.3,41.8,45.0,46.3,46.1,45.0,42.6,39.4,35.2,31.4,27.6,26.2,26.1,26.0,25.8,26.1,26.4,27.0,27.3,27.5,27.6,28.1,28.4,29.2,30.5,32.4,34.8,36.1,36.0,34.7,33.1,40.9
50.8,47.3,47.8,47.7,48.5,49.4,49.7,50.2,50.6,51.6,52.0,53.6,54.9,56.5,60.0,61.9,62.0,61.4,60.8,59.5,57.7,54.6,50.7,45.7,40.6,39.5,39.8,40.5,40.5,40.3,40.4,41.2,41.5,42.1,43.2,44.3,45.8,48.5,51.5,54.4,55.3,55.1,53.9,52.7,49.5,45.8,41.5,36.6,33.1,32.6,32.5,32.7,32.6,32.9,33.6,34.0,33.9,34.5,34.8,34.9,36.7,38.0,41.2,44.4,45.9,45.7,44.5,42.1,38.6,34.7,30.8,27.1,25.8,25.8,25.5,25.5,25.9,26.1,26.8,27.1,27.1,27.4,27.6,28.0,29.1,30.4,32.1,34.2,35.9,35.8,34.5,41.2
55.2,50.5,47.0,47.3,47.2,48.1,48.8,49.7,50.0,50.4,51.2,51.4,53.1,54.3,55.9,59.2,61.5,61.6,61.1,60.4,59.2,57.5,54.4,50.6,45.2,40.2,39.3,39.9,40.2,40.2,40.0,40.1,41.0,41.3,42.0,42.8,43.9,45.5,48.3,51.1,54.2,55.0,54.8,53.6,52.1,48.8,45.2,41.1,36.2,32.7,32.4,31.9,32.2,32.2,32.9,33.2,33.5,33.5,33.9,34.4,34.7,36.4,37.3,40.7,43.9,45.4,45.0,43.8,41.1,38.0,34.2,30.6,26.7,25.4,25.0,25.0,25.5,25.6,26.1,26.4,26.6,26.7,27.0,27.5,28.2,29.1,30.5,32.1,34.0,35.6,35.4,41.0
58.9,54.8,50.1,46.7,47.0,46.7,47.5,48.5,49.3,49.8,50.1,50.6,50.8,52.4,53.8,55.8,58.8,61.2,61.3,61.1,60.2,59.0,57.0,53.9,50.3,44.9,39.7,39.2,39.7,39.9,39.9,39.8,39.9,40.4,40.8,41.7,42.3,43.4,45.2,48.1,50.5,53.7,54.6,54.2,53.2,51.2,48.2,44.7,40.6,35.8,32.3,31.7,31.6,31.9,32.0,32.5,33.0,32.9,33.1,33.6,34.0,34.5,35.8,36.8,40.2,43.4,44.7,43.9,42.8,40.2,37.1,33.7,30.3,26.2,24.8,24.7,25.0,25.1,25.6,25.9,26.0,26.3,26.2,26.8,27.5,28.0,29.2,30.4,31.9,33.8,35.2,40.4
