Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
41.400000000000006,43.65,39.2,24.7,31.3,21.9,55.95
40.75,43.05,38.4,24.2,30.9,21.4,55.5
40.349999999999994,42.5,37.6,23.8,30.4,21.0,55.05
39.849999999999994,42.05,37.1,23.5,30.1,20.7,54.599999999999994
39.5,41.7,36.4,23.3,29.7,20.6,54.099999999999994
39.1,41.35,36.2,23.1,29.4,20.3,53.75
38.849999999999994,41.0,35.8,22.8,29.2,20.0,53.45
38.6,40.650000000000006,35.6,22.7,28.9,19.8,53.25
38.9,41.9,35.8,23.3,29.2,20.3,53.650000000000006
42.4,44.75,38.6,25.0,31.5,22.6,56.75
45.650000000000006,47.95,42.1,27.0,33.8,26.3,60.099999999999994
49.0,50.5,45.4,28.6,35.6,29.0,63.15
51.7,52.349999999999994,47.9,29.9,37.2,30.3,65.35
53.35,54.0,49.5,31.1,38.4,31.5,66.55
54.45,54.95,51.0,31.7,39.1,32.6,67.05
54.9,55.150000000000006,51.6,32.0,39.0,32.5,66.9
54.2,54.5,51.0,31.4,38.3,31.3,66.6
51.4,52.2,49.3,29.9,36.5,29.8,65.30000000000001
48.8,49.349999999999994,45.0,28.5,34.9,27.3,62.3
46.8,47.7,43.2,27.3,33.9,25.9,59.95
45.25,46.7,42.3,26.7,33.1,25.0,58.45
44.2,45.4,41.4,25.9,32.4,24.3,57.599999999999994
43.25,44.6,40.7,25.5,31.9,23.5,56.85
42.25,43.9,39.6,24.9,31.4,22.7,56.150000000000006
41.599999999999994,43.3,39.2,24.5,31.0,22.1,55.7
41.0,42.8,38.4,24.1,30.7,21.5,55.349999999999994
40.400000000000006,42.3,37.6,23.8,30.4,21.0,54.95
40.0,41.849999999999994,37.0,23.5,30.0,20.8,54.45
39.55,41.4,36.4,23.2,29.6,21.0,53.95
39.25,41.1,36.1,23.0,29.2,20.8,53.8
38.9,40.8,35.7,22.8,29.0,20.4,53.45
38.65,40.5,35.6,22.8,28.9,19.8,53.3
39.1,41.55,36.1,23.1,29.1,20.8,53.6
42.7,44.5,38.6,24.9,31.4,23.3,56.5
