day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93,Median
64.25,66.9,69.3,71.9,75.85,80.85,83.44999999999999,85.6,86.7,86.75,86.30000000000001,85.25,83.80000000000001,81.95,79.65,76.5,72.0,67.75,64.1,60.3,61.1,63.05,64.8,66.55,68.15,70.1,72.45,74.94999999999999,78.85,83.35,86.85,88.55,89.15,89.2,88.55,87.25,85.3,82.8,79.8,76.35,72.1,68.0,63.2,60.5,61.25,62.3,64.1,65.45,66.5,68.30000000000001,70.44999999999999,72.7,75.15,79.69999999999999,83.15,84.85,85.85,86.15,85.7,84.45,82.45,79.9,76.9,73.05,68.4,64.25,59.35,58.2,58.8,59.7,61.150000000000006,62.7,64.0,65.3,66.85,68.80000000000001,70.94999999999999,73.95,77.19999999999999,79.4,80.1,80.1,79.35,78.05,76.0,73.5,70.1,65.7,60.85,55.7,52.05,52.05,52.4,53.05,72.575
62.7,64.75,67.0,69.5,72.05,75.94999999999999,80.9,83.75,85.94999999999999,86.8,86.9,86.25,85.44999999999999,84.05,81.95,79.55000000000001,76.45,71.95,67.9,64.15,60.4,61.25,63.35,64.85,66.55,68.3,70.1,72.6,75.1,78.95,83.35,86.7,88.4,89.1,89.15,88.35,87.0,85.05000000000001,82.55,79.6,76.1,71.9,67.8,62.900000000000006,60.25,61.05,62.150000000000006,63.9,65.1,66.3,68.2,70.4,72.7,75.1,79.75,83.05,84.9,85.85,85.95,85.65,84.4,82.35,79.9,76.80000000000001,72.95,68.35,64.2,59.05,58.0,58.7,59.6,60.95,62.3,63.75,65.0,66.55,68.45,70.55,73.5,76.80000000000001,79.05,79.65,79.65,79.1,77.6,75.8,73.19999999999999,69.75,65.4,60.45,55.25,51.55,51.6,52.2,72.65
60.85,63.1,64.9,67.5,69.75,72.1,76.25,81.15,84.19999999999999,86.15,86.85,87.05,86.5,85.55,84.15,82.1,79.44999999999999,76.55,72.05000000000001,67.95,64.19999999999999,60.5,61.5,63.35,64.94999999999999,66.65,68.45,70.05,72.65,75.2,78.95,83.35,86.5,88.45,89.2,89.05,88.2,86.69999999999999,84.69999999999999,82.30000000000001,79.4,75.8,71.55000000000001,67.5,62.6,60.2,60.95,61.95,63.75,64.95,66.2,68.1,70.4,72.75,75.0,79.65,83.1,85.0,85.75,85.85,85.55,84.25,82.1,79.8,76.65,72.80000000000001,68.1,64.05,58.75,57.900000000000006,58.6,59.45,60.650000000000006,62.05,63.6,64.69999999999999,66.2,68.15,69.95,73.0,76.4,78.5,79.3,79.15,78.65,77.19999999999999,75.5,72.9,69.45,65.0,60.2,54.8,51.150000000000006,51.35,72.7
59.25,61.150000000000006,63.3,65.25,67.85,69.80000000000001,72.35,76.55000000000001,81.4,84.45,86.1,87.0,87.25,86.75,85.75,84.25,82.15,79.65,76.65,72.4,68.15,64.25,60.65,61.6,63.45,65.05,66.8,68.5,70.15,72.8,75.2,79.0,83.25,86.55,88.4,89.2,88.85,87.9,86.5,84.5,82.05,79.1,75.4,71.25,67.35,62.3,60.150000000000006,60.85,61.85,63.5,64.75,66.05,68.05,70.30000000000001,72.7,74.80000000000001,79.6,83.19999999999999,84.85,85.65,85.85,85.35,83.95,81.9,79.65,76.5,72.65,67.7,63.7,58.45,57.8,58.5,59.2,60.45,61.9,63.3,64.35,65.9,67.69999999999999,69.5,72.5,75.95,78.05,78.85,78.65,78.19999999999999,76.8,75.1,72.45,69.0,64.95,60.0,54.4,50.95,72.475
58.150000000000006,59.65,61.400000000000006,63.55,65.9,68.05000000000001,69.8,72.65,76.80000000000001,81.5,84.55,86.05,87.0,87.35,86.9,85.85,84.4,82.25,79.80000000000001,76.7,72.8,68.35,64.35,60.75,61.7,63.5,65.19999999999999,66.75,68.5,70.25,72.85,75.25,78.8,83.25,86.35,88.1,89.0,88.6,87.69999999999999,86.3,84.25,81.75,78.85,75.2,71.1,67.3,62.1,60.1,60.8,61.7,63.45,64.6,66.05,68.0,70.19999999999999,72.6,74.85,79.35,82.94999999999999,84.65,85.6,85.6,85.05,83.75,81.85,79.45,76.55,72.5,67.5,63.5,58.25,57.7,58.3,59.0,60.2,61.5,62.8,64.05,65.55,67.25,69.0,72.05,75.55,77.65,78.25,78.2,77.75,76.5,74.80000000000001,72.1,68.80000000000001,64.85,59.8,54.2,72.55
57.45,58.5,59.65,61.7,63.900000000000006,66.1,68.25,69.9,73.0,77.0,81.75,84.4,85.95,86.8,87.3,86.9,86.05,84.4,82.35,80.0,76.9,73.0,68.45,64.45,60.9,61.85,63.7,65.19999999999999,66.85,68.7,70.30000000000001,72.69999999999999,75.3,78.75,83.05,86.15,87.7,88.69999999999999,88.4,87.45,86.1,83.9,81.55,78.55,74.95,70.85,67.15,61.75,59.95,60.7,61.6,63.35,64.55000000000001,66.0,68.0,70.35,72.4,74.85,79.2,82.7,84.5,85.3,85.35,85.05000000000001,83.7,81.65,79.25,76.35,72.35,67.35,63.3,57.900000000000006,57.45,57.95,58.8,59.900000000000006,61.1,62.2,63.9,65.25,66.80000000000001,68.65,71.55,75.1,77.15,77.9,78.0,77.35,76.15,74.5,72.05,68.55,64.65,59.7,72.375
60.35,57.8,58.6,59.75,62.2,64.3,66.35,68.25,70.15,73.2,77.19999999999999,81.85,84.4,85.75,86.75,87.3,86.9,86.25,84.55,82.6,80.15,77.0,73.15,68.65,64.5,61.0,62.1,63.8,65.19999999999999,66.95,68.69999999999999,70.35,72.8,75.35,78.55,82.9,86.0,87.35,88.4,88.15,87.30000000000001,85.75,83.65,81.5,78.5,74.85,70.69999999999999,66.94999999999999,61.7,59.75,60.7,61.400000000000006,63.3,64.65,66.1,68.0,70.35,72.35,74.7,78.85,82.44999999999999,84.25,85.0,85.35,85.0,83.65,81.55,78.9,75.9,72.15,67.15,63.0,57.5,57.25,57.7,58.5,59.55,60.6,61.9,63.6,64.8,66.4,68.3,71.15,74.75,76.69999999999999,77.6,77.69999999999999,76.94999999999999,76.05,74.35,71.75,68.5,64.45,72.25
65.0,60.75,57.95,58.85,60.1,62.6,64.44999999999999,66.69999999999999,68.4,70.35,73.35,77.3,81.85,84.45,85.7,86.80000000000001,87.4,87.1,86.4,84.80000000000001,82.75,80.45,77.19999999999999,73.25,68.69999999999999,64.69999999999999,61.2,62.2,63.8,65.4,66.95,68.7,70.5,72.85,75.3,78.35,82.80000000000001,85.75,87.15,88.25,87.94999999999999,86.9,85.45,83.5,81.30000000000001,78.4,74.85,70.65,66.80000000000001,61.5,59.7,60.55,61.35,63.150000000000006,64.7,66.0,68.15,70.4,72.25,74.4,78.6,82.25,84.0,85.0,85.4,84.85,83.2,81.45,78.85,75.65,72.05,66.9,62.8,57.2,57.1,57.45,58.15,59.15,60.35,61.5,63.2,64.45,66.19999999999999,67.94999999999999,70.7,74.35,76.45,77.25,77.3,76.6,75.69999999999999,74.2,71.55,68.3,72.15
70.2,65.4,61.0,58.150000000000006,58.85,60.45,62.9,64.65,66.9,68.55,70.65,73.45,77.2,81.85,84.35,85.8,86.95,87.75,87.30000000000001,86.55,84.9,82.95,80.55,77.25,73.35,68.85,64.9,61.3,62.3,63.9,65.4,66.95,68.80000000000001,70.6,72.85,75.25,78.35,82.45,85.44999999999999,86.95,87.85,87.65,86.65,85.35,83.45,81.30000000000001,78.4,74.94999999999999,70.65,66.65,61.3,59.6,60.5,61.25,62.9,64.6,66.05000000000001,68.25,70.35,72.05,74.25,78.35,82.05,83.95,84.95,85.3,84.4,82.85,81.15,78.65,75.55,71.69999999999999,66.7,62.5,57.0,56.8,57.05,57.75,58.900000000000006,60.0,61.0,62.75,64.15,65.85,67.7,70.25,74.0,76.3,76.85,76.7,76.4,75.65,74.0,71.35,71.875
74.5,70.65,65.5,61.25,58.25,59.1,60.75,63.1,64.85,67.1,68.55,70.95,73.4,77.4,81.85,84.4,86.0,87.3,87.85,87.3,86.6,85.05,83.1,80.45,77.2,73.6,68.95,65.05,61.4,62.3,63.9,65.35,66.95,68.85,70.6,72.85,75.25,78.19999999999999,82.2,85.2,86.85,87.5,87.4,86.55000000000001,85.1,83.35,81.35,78.4,74.9,70.55,66.35,61.05,59.5,60.55,61.3,63.1,64.55,66.2,68.3,70.2,71.9,74.15,78.15,81.9,83.85,84.85,84.9,84.05,82.65,80.95,78.5,75.30000000000001,71.5,66.4,62.150000000000006,56.65,56.4,56.7,57.45,58.45,59.6,60.55,62.3,63.75,65.35,67.30000000000001,69.85,73.65,75.75,76.35,76.44999999999999,76.15,75.6,73.94999999999999,72.375
