Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
39.8,24.0,44.5,19.5,23.4,33.5,26.85,57.7
39.0,23.5,43.8,19.15,23.2,33.0,26.55,57.3
38.6,23.15,43.3,18.9,22.8,32.75,26.15,56.7
38.1,22.799999999999997,42.8,18.549999999999997,22.5,32.4,26.0,56.3
37.6,22.4,42.2,18.35,22.4,32.150000000000006,25.75,56.0
37.2,21.8,41.9,18.1,22.3,31.95,25.45,55.5
36.7,21.5,41.5,17.9,22.1,31.700000000000003,25.1,55.35
36.4,20.95,41.3,17.8,22.1,31.5,24.85,55.15
37.1,21.75,42.1,18.05,21.8,31.15,24.9,55.5
40.1,24.6,45.0,19.950000000000003,24.9,32.9,26.85,58.45
43.7,28.0,48.1,22.5,28.9,34.95,29.15,61.75
46.5,31.15,50.7,25.1,29.0,36.7,30.7,64.2
49.0,34.2,52.8,27.2,29.5,38.7,32.1,66.05000000000001
50.9,35.75,54.4,28.4,30.2,40.0,33.3,67.35
52.3,36.65,55.4,28.9,30.4,40.8,34.1,68.15
53.4,36.4,55.5,28.799999999999997,30.5,40.95,34.25,68.6
52.8,35.55,54.8,27.5,30.4,40.55,33.6,68.5
50.4,33.4,52.9,25.4,29.8,38.849999999999994,32.45,67.25
47.4,30.5,50.3,23.549999999999997,29.1,37.1,30.75,63.65
45.3,28.75,48.3,22.4,26.1,35.9,29.7,61.150000000000006
43.8,26.95,46.9,21.9,25.8,35.1,28.55,60.150000000000006
42.4,25.799999999999997,46.3,21.15,25.6,34.45,28.1,59.400000000000006
41.4,25.1,45.6,20.75,24.5,33.9,27.8,58.7
40.5,24.450000000000003,44.7,20.2,24.0,33.45,27.4,58.150000000000006
39.8,24.1,44.1,19.8,24.0,33.0,26.7,57.650000000000006
39.0,23.85,43.4,19.450000000000003,25.0,32.6,26.299999999999997,57.1
38.4,23.45,43.0,19.200000000000003,24.5,32.25,25.95,56.7
38.0,23.15,42.6,19.0,23.9,32.0,25.85,56.2
37.6,22.85,42.0,18.75,23.5,31.75,25.6,55.7
37.1,22.4,41.8,18.35,22.9,31.6,25.299999999999997,55.2
36.7,22.3,41.2,18.1,22.8,31.4,25.05,54.85
36.4,22.05,40.9,18.0,22.3,31.35,24.9,54.55
37.0,22.2,41.9,18.5,22.5,31.4,24.8,55.0
40.0,24.9,44.8,20.65,26.0,32.9,26.75,58.0
43.4,28.85,47.9,22.9,29.1,34.75,29.0,61.55
46.4,32.1,50.4,25.200000000000003,29.8,36.6,30.55,64.05
48.8,34.95,52.8,27.299999999999997,30.6,38.55,32.2,65.75
51.0,36.45,54.4,28.450000000000003,31.1,39.95,33.3,67.2
52.4,37.35,55.3,29.05,30.9,40.7,34.15,68.0
53.4,37.45,55.5,29.15,30.7,40.849999999999994,34.3,68.45
52.8,35.9,54.9,28.25,30.5,40.5,33.7,68.25
50.7,33.55,53.0,25.75,30.0,38.849999999999994,32.3,67.05
47.3,30.6,50.2,23.85,29.4,37.1,30.65,63.3
45.5,28.95,48.3,22.85,28.0,35.95,29.65,60.900000000000006
43.9,27.25,46.9,22.2,26.9,35.1,28.65,59.95
42.4,26.15,46.2,21.45,26.0,34.349999999999994,28.15,59.099999999999994
41.5,25.45,45.6,21.0,25.9,33.849999999999994,27.65,58.4
40.6,24.95,44.9,20.55,25.8,33.3,27.45,57.95
39.8,24.65,44.2,20.1,25.1,32.9,26.95,57.4
39.4,24.0,43.6,19.55,25.1,32.55,26.299999999999997,56.849999999999994
38.7,23.65,43.2,19.299999999999997,24.6,32.150000000000006,25.95,56.4
38.3,23.5,42.8,19.05,24.0,31.8,25.6,55.95
37.8,23.25,42.3,18.65,23.7,31.65,25.4,55.45
37.2,22.75,41.7,18.35,23.2,31.45,25.1,55.05
36.8,22.7,41.4,18.25,23.0,31.5,24.9,54.7
36.4,22.450000000000003,41.0,18.299999999999997,22.7,31.25,24.75,54.85
37.1,22.5,42.1,18.7,22.9,31.45,24.8,55.55
40.0,25.049999999999997,44.9,20.6,26.5,32.7,26.6,57.9
43.8,29.25,48.1,22.95,29.0,34.7,28.7,61.45
46.4,32.3,50.6,25.5,29.4,36.6,30.35,64.0
49.2,35.1,52.8,27.6,30.3,38.4,32.05,65.80000000000001
51.2,36.95,54.4,28.65,30.8,39.8,33.2,67.2
52.5,37.5,55.4,29.1,30.8,40.75,34.05,68.05000000000001
53.4,37.599999999999994,55.5,29.35,30.8,40.9,34.2,68.45
53.0,36.35,54.9,28.4,30.3,40.75,33.75,68.3
50.8,33.900000000000006,52.9,26.1,29.9,38.650000000000006,32.150000000000006,67.15
47.8,30.85,50.4,24.2,29.4,36.95,30.700000000000003,63.8
45.6,29.2,48.5,23.200000000000003,28.6,36.05,29.7,61.45
43.7,27.6,47.0,22.45,27.5,35.3,28.799999999999997,60.5
42.6,26.549999999999997,46.3,21.799999999999997,26.5,34.3,28.15,59.45
41.4,26.0,45.8,21.3,26.2,33.75,27.55,58.5
40.6,25.4,45.0,20.799999999999997,26.0,33.2,27.35,58.0
39.8,25.0,44.4,20.5,25.5,32.7,27.05,57.55
39.4,24.35,43.8,19.95,25.5,32.4,26.4,57.1
38.7,24.049999999999997,43.2,19.65,25.1,32.05,25.9,56.55
38.2,23.9,42.7,19.45,24.5,31.75,25.8,56.15
37.8,23.6,42.2,19.0,24.2,31.6,25.4,55.75
37.3,23.25,41.9,18.75,23.7,31.35,25.15,55.35
36.9,23.1,41.3,18.6,23.6,31.35,24.95,55.25
36.5,22.85,41.0,18.65,23.3,31.15,24.8,55.05
37.0,22.9,42.0,18.75,23.5,31.25,24.8,55.65
40.2,25.35,44.9,20.799999999999997,26.9,32.75,26.9,58.650000000000006
43.9,29.65,48.3,23.05,28.9,34.6,28.7,61.900000000000006
46.5,32.599999999999994,50.7,25.55,29.3,36.65,30.4,64.3
49.4,35.349999999999994,52.9,27.6,30.3,38.45,32.0,66.3
51.4,37.3,54.5,28.65,31.0,39.9,33.150000000000006,67.55000000000001
52.8,37.65,55.6,29.200000000000003,31.0,40.849999999999994,34.15,68.55000000000001
53.6,37.85,55.8,29.299999999999997,30.8,41.1,34.55,68.95
53.5,36.400000000000006,55.1,28.1,30.4,40.85,34.0,68.7
51.1,34.1,52.9,26.1,29.7,38.6,32.25,67.25
48.0,30.9,50.3,24.25,29.3,37.0,30.700000000000003,63.9
45.8,29.45,48.5,23.0,29.0,36.2,29.7,61.55
43.9,27.75,47.1,22.2,27.8,35.400000000000006,28.95,60.6
42.8,26.85,46.2,21.65,26.8,34.45,28.1,59.45
41.5,26.1,45.7,21.15,26.2,33.75,27.65,58.45
40.8,25.5,45.0,20.6,26.0,33.3,27.4,57.95
40.0,25.15,44.4,20.3,25.8,32.8,27.05,57.45
39.6,24.55,43.8,19.75,25.6,32.4,26.4,57.05
38.9,24.25,43.2,19.5,25.5,32.25,25.95,56.45
38.4,23.85,42.8,19.25,24.9,31.9,25.75,56.15
37.9,23.45,42.3,18.85,24.5,31.65,25.45,55.7
37.4,23.1,41.9,18.700000000000003,24.0,31.4,25.1,55.3
36.9,22.85,41.5,18.6,23.8,31.4,24.8,55.2
36.5,22.65,41.2,18.6,23.5,31.25,24.6,55.0
37.1,22.799999999999997,41.9,18.799999999999997,23.7,31.35,24.7,55.5
40.4,25.299999999999997,45.1,20.75,27.2,32.95,26.65,58.6
43.9,29.45,48.4,22.9,28.8,34.75,28.85,61.9
46.7,32.45,50.6,25.05,29.2,36.75,30.6,64.3
49.7,35.400000000000006,52.9,27.45,30.4,38.45,32.150000000000006,66.4
51.5,36.95,54.5,28.65,31.1,40.1,33.05,67.6
53.0,37.8,55.6,29.2,31.2,40.849999999999994,34.05,68.65
53.8,37.849999999999994,55.8,29.15,30.9,41.25,34.25,69.1
53.7,36.35,55.3,28.0,30.6,40.9,33.7,68.75
51.2,33.75,53.2,26.15,29.8,38.650000000000006,32.1,67.19999999999999
48.0,30.65,50.4,24.299999999999997,29.3,37.0,30.65,63.85
