day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93
43.2,44.0,44.9,46.0,47.2,49.0,51.7,53.4,54.2,54.7,54.7,54.2,53.1,51.6,50.2,48.1,45.8,43.5,41.9,42.1,42.7,43.3,44.2,44.8,45.5,46.4,47.4,48.9,50.8,53.5,56.7,58.8,59.8,60.0,59.9,59.4,58.3,57.0,55.1,52.9,50.3,47.6,45.1,44.6,44.9,45.5,46.6,47.5,48.6,49.9,51.8,54.1,56.4,60.5,64.1,66.1,67.1,67.1,66.4,65.1,63.3,61.2,59.4,57.4,55.2,52.6,50.3,48.8,49.1,49.8,50.4,51.3,52.3,53.5,55.1,57.3,60.0,64.1,66.9,69.2,70.2,70.1,69.2,67.8,66.2,64.5,62.6,60.4,57.9,55.2,52.7,50.7,51.0,51.9
42.6,43.3,44.1,45.0,46.1,47.4,49.0,51.6,53.5,54.5,55.1,55.1,54.4,53.5,52.0,50.3,48.4,45.9,43.5,41.8,42.2,42.9,43.6,44.2,44.8,45.6,46.3,47.4,49.1,51.0,53.7,56.9,59.0,60.1,60.4,60.4,59.7,58.6,57.2,55.4,53.2,50.5,47.9,45.3,44.5,45.0,45.9,46.7,47.7,48.9,50.3,52.3,54.3,56.7,60.7,64.1,66.2,67.0,66.9,66.3,64.9,63.1,61.2,59.5,57.5,55.2,52.7,50.4,48.9,49.3,49.9,50.7,51.6,52.6,53.7,55.4,57.4,60.2,64.2,67.2,69.3,70.1,69.9,69.0,67.8,66.3,64.5,62.7,60.5,58.0,55.4,52.8,50.9,51.3
42.1,42.6,43.4,44.2,45.1,46.2,47.4,48.9,51.7,53.8,54.9,55.5,55.3,54.8,53.8,52.1,50.5,48.5,46.0,43.4,41.9,42.4,43.1,43.7,44.2,44.9,45.5,46.3,47.6,49.2,51.1,53.9,57.1,59.4,60.5,60.9,60.7,59.9,58.9,57.5,55.7,53.5,50.9,48.1,45.4,44.5,45.3,45.9,46.8,48.0,49.3,50.8,52.5,54.5,56.9,60.7,64.2,66.1,66.8,66.9,66.1,64.6,63.1,61.3,59.6,57.6,55.3,52.7,50.5,49.1,49.4,50.1,50.9,51.8,52.7,53.9,55.5,57.6,60.3,64.5,67.4,69.2,69.8,69.6,69.0,67.9,66.3,64.6,62.7,60.6,58.1,55.5,53.0,51.1
41.8,42.2,42.7,43.4,44.2,45.1,46.2,47.3,49.1,52.0,54.1,55.4,55.8,55.7,55.2,54.0,52.4,50.7,48.5,45.9,43.6,42.1,42.6,43.2,43.7,44.3,44.7,45.5,46.6,47.7,49.2,51.3,54.1,57.5,59.7,61.0,61.2,61.0,60.1,59.2,57.6,56.0,53.8,51.1,48.2,45.5,44.9,45.4,45.9,47.1,48.4,49.8,51.0,52.7,54.6,57.0,60.9,64.1,65.9,66.7,66.7,65.8,64.6,63.2,61.4,59.6,57.7,55.4,52.8,50.7,49.2,49.6,50.3,51.1,52.0,52.9,54.0,55.5,57.6,60.6,64.7,67.3,69.0,69.5,69.6,69.0,67.9,66.3,64.6,62.8,60.8,58.3,55.8,53.3
41.4,41.8,42.2,42.8,43.5,44.2,45.1,46.1,47.5,49.4,52.5,54.6,55.6,56.2,56.1,55.4,54.2,52.5,50.7,48.4,46.1,44.0,42.4,42.6,43.1,43.7,44.1,44.8,45.7,46.6,47.7,49.4,51.5,54.5,57.9,60.1,61.3,61.5,61.2,60.4,59.4,57.9,56.3,54.0,51.3,48.4,46.0,44.9,45.4,46.2,47.5,48.9,49.9,51.1,52.8,54.6,57.1,60.9,64.0,65.7,66.6,66.4,65.8,64.7,63.3,61.5,59.7,57.8,55.5,53.0,50.8,49.5,49.8,50.5,51.3,52.1,53.0,54.0,55.6,57.8,60.8,64.6,67.2,68.9,69.6,69.7,69.0,68.0,66.4,64.7,63.0,61.0,58.6,56.2
41.1,41.4,41.8,42.3,42.8,43.4,44.2,45.1,46.3,47.8,49.8,52.9,54.8,56.0,56.7,56.3,55.7,54.3,52.5,50.7,48.7,46.4,44.3,42.4,42.5,43.1,43.5,44.1,45.0,45.7,46.6,47.8,49.6,51.8,54.9,58.3,60.4,61.6,61.6,61.4,60.5,59.6,58.2,56.5,54.3,51.6,48.8,46.0,45.0,45.7,46.6,48.0,49.1,50.1,51.3,52.8,54.7,57.1,60.9,63.8,65.6,66.3,66.4,65.9,64.8,63.4,61.5,59.9,58.0,55.7,53.2,51.2,49.6,49.9,50.7,51.4,52.2,53.1,54.1,55.8,58.0,60.7,64.7,67.2,68.9,69.6,69.7,69.1,68.0,66.5,64.9,63.2,61.3,59.1
40.9,41.1,41.4,41.8,42.3,42.8,43.4,44.2,45.3,46.6,48.2,50.2,53.2,55.2,56.4,56.9,56.4,55.7,54.3,52.5,50.9,49.0,46.9,44.5,42.4,42.5,42.9,43.5,44.3,45.1,45.7,46.8,48.0,49.9,52.1,55.2,58.6,60.7,61.6,61.8,61.5,60.8,60.0,58.5,56.9,54.5,52.0,49.0,46.2,45.2,46.1,47.2,48.2,49.2,50.3,51.4,53.0,54.8,57.1,60.7,63.7,65.4,66.3,66.6,66.0,64.9,63.4,61.8,60.0,58.1,55.9,53.6,51.4,49.8,50.1,50.8,51.5,52.2,53.2,54.3,56.0,57.9,60.7,64.6,67.2,69.0,69.7,69.7,69.2,68.1,66.7,65.2,63.7,61.8
41.2,40.9,41.0,41.4,41.9,42.2,42.8,43.3,44.4,45.5,47.0,48.5,50.4,53.5,55.6,56.6,57.1,56.5,55.7,54.1,52.8,51.2,49.4,47.1,44.6,42.3,42.3,42.9,43.6,44.3,45.0,45.9,47.0,48.2,50.2,52.5,55.6,58.8,60.7,61.8,61.9,61.8,61.2,60.2,58.8,57.2,54.9,52.2,49.1,46.5,45.6,46.6,47.4,48.3,49.4,50.4,51.5,53.1,54.8,57.1,60.6,63.5,65.5,66.5,66.7,66.1,65.0,63.7,61.9,60.2,58.4,56.3,53.9,51.6,50.0,50.2,50.9,51.5,52.3,53.3,54.6,56.0,57.9,60.7,64.7,67.4,69.0,69.7,69.8,69.3,68.3,67.0,65.7,64.2
43.3,41.2,40.8,41.1,41.4,41.8,42.2,42.7,43.5,44.6,46.0,47.3,48.7,50.8,53.8,55.7,56.9,57.1,56.4,55.5,54.4,53.1,51.6,49.7,47.2,44.6,42.2,42.3,43.1,43.6,44.3,45.1,46.0,47.3,48.6,50.4,52.7,55.8,58.9,60.9,61.9,62.2,62.3,61.4,60.6,59.2,57.6,55.1,52.4,49.5,47.0,46.2,46.9,47.6,48.5,49.5,50.5,51.7,53.2,54.8,57.1,60.6,63.7,65.7,66.6,66.8,66.1,65.2,63.8,62.1,60.5,58.8,56.6,54.1,51.8,50.1,50.3,50.9,51.5,52.4,53.5,54.5,56.0,57.9,60.7,64.9,67.4,69.0,69.8,69.9,69.5,68.6,67.6,66.2
45.6,43.4,41.1,40.8,41.1,41.3,41.8,42.1,42.9,43.8,45.0,46.2,47.4,49.0,51.0,54.1,56.0,56.8,57.0,56.2,55.8,54.7,53.5,52.0,49.9,47.3,44.6,42.3,42.5,43.0,43.6,44.4,45.4,46.3,47.6,48.7,50.7,52.9,56.0,59.1,61.0,62.2,62.7,62.5,61.9,61.1,59.5,57.7,55.4,52.8,50.0,47.6,46.4,47.1,47.8,48.6,49.6,50.7,51.7,53.2,54.9,57.0,60.7,63.8,65.7,66.6,66.9,66.4,65.3,63.9,62.4,61.0,59.2,56.9,54.3,52.0,50.2,50.2,51.0,51.7,52.6,53.4,54.4,55.9,57.8,60.9,64.9,67.5,69.1,70.0,70.1,69.9,69.3,68.2
