day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90
56.4,57.2,58.0,58.8,59.5,60.1,62.2,66.6,70.1,72.4,73.0,72.3,72.1,70.3,66.8,62.5,58.1,53.4,52.0,52.5,52.9,53.4,53.9,54.3,55.0,55.6,56.5,57.2,58.0,59.1,60.7,64.4,67.9,69.8,70.6,71.0,70.5,67.8,63.5,58.6,53.6,49.4,48.8,48.9,49.2,49.4,49.7,50.2,50.7,51.2,52.0,52.7,53.4,54.6,56.3,58.9,62.4,64.1,65.0,65.1,63.6,60.4,56.4,51.9,47.5,44.8,44.9,45.3,45.5,45.7,46.2,46.6,47.0,47.4,48.2,49.1,50.1,51.5,53.1,55.4,58.3,60.1,60.5,59.6,57.8,55.0,51.4,47.7,44.0,43.0,43.0
56.0,56.5,57.3,57.9,58.8,59.4,60.0,62.2,66.7,69.9,71.9,72.4,71.8,72.0,70.4,67.1,62.6,58.1,53.3,52.0,52.4,52.9,53.4,53.9,54.4,55.0,55.7,56.4,57.1,57.9,59.0,60.5,64.0,67.5,69.7,70.7,71.1,70.5,67.6,63.2,58.1,53.2,48.9,48.5,48.8,48.9,49.2,49.7,50.1,50.6,51.1,51.8,52.5,53.2,54.5,56.2,58.8,62.3,64.1,65.0,65.0,63.2,60.0,56.0,51.4,47.2,44.6,44.8,45.1,45.3,45.5,46.2,46.3,46.9,47.4,48.3,49.1,50.2,51.4,53.1,55.2,58.1,60.0,60.2,59.3,57.5,54.8,51.3,47.6,43.9,42.8
55.4,56.1,56.5,57.2,57.9,58.6,59.2,59.9,62.2,66.5,69.5,71.3,71.9,71.6,72.1,70.7,67.2,62.5,58.0,53.2,51.9,52.5,52.9,53.3,54.0,54.4,55.1,55.6,56.2,57.0,57.7,58.7,60.1,63.5,67.4,69.8,70.9,71.1,70.3,67.3,62.7,57.7,52.7,48.6,48.4,48.5,48.7,49.2,49.6,49.9,50.4,50.9,51.6,52.4,53.1,54.4,56.1,58.7,62.4,64.1,64.9,64.6,62.8,59.7,55.5,51.1,46.9,44.4,44.6,44.8,45.0,45.4,45.9,46.2,46.9,47.5,48.3,49.2,50.2,51.4,52.9,55.1,58.0,59.7,60.0,59.1,57.3,54.6,51.2,47.4,43.6
54.9,55.5,56.0,56.4,57.1,57.7,58.4,59.1,59.9,61.8,66.2,69.0,70.9,71.9,71.8,72.5,70.8,67.1,62.4,57.9,53.2,52.0,52.5,53.0,53.4,53.9,54.5,55.0,55.5,56.2,56.8,57.5,58.3,59.8,63.4,67.4,69.9,70.9,70.9,70.0,66.7,62.2,57.2,52.3,48.5,48.2,48.3,48.7,49.1,49.4,49.9,50.2,50.7,51.6,52.3,52.9,54.2,56.0,58.7,62.4,64.0,64.6,64.2,62.3,59.2,55.2,50.9,46.7,44.2,44.3,44.6,45.0,45.2,45.8,46.3,47.0,47.4,48.3,49.1,50.2,51.2,52.8,55.0,57.8,59.5,59.7,58.8,57.1,54.5,51.0,47.2
54.6,55.0,55.4,55.9,56.4,57.0,57.4,58.3,59.0,59.6,61.6,65.7,68.6,70.8,72.0,72.2,72.6,70.8,66.9,62.4,57.8,53.1,52.0,52.6,53.0,53.4,54.1,54.4,54.9,55.5,56.0,56.5,57.2,58.0,59.6,63.4,67.5,69.9,70.7,70.6,69.4,66.2,61.7,56.8,52.0,48.2,48.0,48.2,48.6,48.9,49.3,49.7,50.0,50.7,51.4,52.1,52.8,54.1,55.9,58.7,62.2,63.7,64.3,63.7,61.8,58.8,54.9,50.7,46.5,43.9,44.1,44.5,44.8,45.1,45.9,46.3,46.9,47.6,48.3,49.1,50.0,51.1,52.6,54.8,57.6,59.3,59.5,58.7,57.0,54.3,50.8
54.2,54.7,55.0,55.3,55.9,56.2,56.7,57.3,58.3,58.9,59.4,61.3,65.5,68.7,70.9,72.2,72.5,72.5,70.5,67.0,62.2,57.6,53.0,52.1,52.6,52.9,53.5,54.0,54.3,54.9,55.2,55.7,56.2,56.9,57.8,59.6,63.5,67.5,69.8,70.5,70.1,68.9,65.7,61.2,56.5,51.7,48.0,48.0,48.1,48.5,48.9,49.2,49.5,50.1,50.6,51.3,52.0,52.7,54.0,55.9,58.6,62.0,63.4,64.0,63.3,61.5,58.5,54.8,50.5,46.2,43.7,44.1,44.4,44.7,45.2,45.9,46.3,47.0,47.5,48.3,49.0,49.9,50.9,52.4,54.6,57.5,59.0,59.3,58.5,56.7,54.1
54.0,54.3,54.6,54.8,55.3,55.7,55.9,56.5,57.3,58.1,58.6,59.1,61.0,65.5,68.9,71.2,72.5,72.4,72.4,70.6,66.8,62.0,57.4,53.0,52.2,52.6,53.0,53.3,53.8,54.2,54.6,54.9,55.4,55.9,56.7,57.8,59.6,63.4,67.3,69.5,69.9,69.7,68.4,65.1,60.8,56.1,51.5,48.0,47.9,48.0,48.4,48.8,49.1,49.5,50.0,50.4,51.1,51.9,52.6,53.9,55.8,58.4,61.7,63.1,63.5,62.9,61.0,58.3,54.6,50.3,46.0,43.6,43.9,44.3,44.8,45.2,45.8,46.4,47.0,47.5,48.1,48.9,49.7,50.7,52.2,54.5,57.4,58.8,59.1,58.3,56.5
55.8,54.0,54.3,54.5,54.8,55.1,55.4,55.7,56.5,57.1,57.9,58.4,59.0,61.0,65.7,69.1,71.2,72.3,72.4,72.5,70.5,66.5,61.7,57.3,53.1,52.1,52.6,52.8,53.2,53.7,54.0,54.3,54.6,55.1,55.8,56.6,57.8,59.5,63.1,67.0,69.1,69.4,69.3,67.8,64.6,60.4,55.9,51.4,47.8,47.7,48.0,48.3,48.6,49.2,49.4,49.8,50.3,51.1,51.8,52.5,53.8,55.6,58.1,61.4,62.7,63.2,62.5,60.8,58.2,54.4,50.0,45.8,43.4,43.8,44.3,44.8,45.2,45.9,46.3,47.0,47.4,48.1,48.8,49.6,50.5,52.0,54.4,57.3,58.7,58.9,58.0
59.6,55.8,53.9,54.1,54.4,54.6,54.8,55.2,55.7,56.4,56.9,57.7,58.2,58.9,61.0,65.9,69.2,71.0,72.1,72.5,72.4,70.3,66.2,61.5,57.3,53.1,52.2,52.4,52.7,53.1,53.5,53.6,54.0,54.3,54.9,55.7,56.6,57.7,59.3,62.8,66.5,68.6,68.9,68.8,67.4,64.2,60.2,55.8,51.2,47.7,47.7,47.9,48.1,48.7,49.0,49.2,49.7,50.2,51.0,51.6,52.4,53.6,55.3,57.7,61.0,62.3,62.8,62.3,60.7,58.0,54.2,49.9,45.6,43.4,43.9,44.4,44.8,45.3,45.8,46.4,46.9,47.4,47.9,48.6,49.4,50.3,51.9,54.4,57.2,58.5,58.7
63.7,59.7,55.8,53.8,54.0,54.3,54.3,54.5,55.2,55.6,56.1,56.7,57.5,58.1,58.9,61.1,65.8,69.0,70.9,72.1,72.4,72.2,70.0,66.0,61.5,57.4,53.1,52.0,52.2,52.6,52.8,53.1,53.3,53.7,54.1,54.8,55.6,56.4,57.5,59.0,62.3,66.2,68.0,68.4,68.3,67.0,64.1,60.2,55.6,51.0,47.5,47.6,47.7,48.2,48.6,48.8,49.1,49.7,50.2,50.8,51.5,52.2,53.3,54.9,57.4,60.7,62.0,62.6,62.2,60.6,57.8,54.1,49.6,45.5,43.5,44.0,44.4,44.9,45.2,45.9,46.2,46.8,47.2,47.8,48.4,49.2,50.2,51.9,54.2,57.0,58.3
