day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,Median
46.85,47.400000000000006,48.0,48.75,49.75,50.55,52.1,54.400000000000006,56.55,56.85,44.6,45.2,45.95,46.6,47.4,48.85,50.7,53.6,55.6,55.95,55.55,54.6,53.3,51.2,48.650000000000006,45.45,42.5,41.650000000000006,41.6,41.8,42.2,42.55,43.150000000000006,43.95,44.6,45.5,46.45,47.6,49.0,50.6,53.15,56.7,58.65,59.4,58.85,57.8,56.2,54.05,51.150000000000006,47.6,44.25,42.650000000000006,42.9,43.5,44.0,44.8,45.6,46.6,47.85,48.7,49.7,50.8,52.3,54.5,57.25,60.3,61.35,61.9,61.8,61.15,59.8,57.650000000000006,55.4,52.35,49.15,46.55,46.9,47.75,48.7,49.7,50.35,50.95,51.95,53.2,54.8,56.55,58.150000000000006,60.35,63.8,66.0,50.45
46.400000000000006,46.8,47.400000000000006,47.85,48.65,49.5,50.3,51.75,54.1,56.400000000000006,44.0,44.5,45.3,45.9,46.45,47.55,48.650000000000006,50.6,53.650000000000006,55.7,56.05,55.65,54.75,53.35,51.4,48.7,45.5,42.400000000000006,41.3,41.4,41.8,42.1,42.8,43.35,43.9,44.6,45.6,46.6,47.7,49.05,50.650000000000006,53.45,57.0,59.05,59.35,58.95,57.8,56.1,53.8,51.3,47.95,44.3,42.7,43.1,43.650000000000006,44.2,44.95,46.0,47.0,48.1,48.95,49.85,51.0,52.85,54.9,57.3,60.4,61.55,62.1,61.8,61.3,59.8,58.05,55.9,52.75,49.55,46.95,47.35,48.2,48.95,50.0,50.400000000000006,51.25,52.55,53.7,55.3,56.95,58.3,60.6,63.9,49.925
45.95,46.400000000000006,46.8,47.400000000000006,47.75,48.55,49.1,49.95,51.25,54.1,43.6,43.95,44.650000000000006,45.2,45.85,46.55,47.45,48.650000000000006,50.55,53.75,55.85,56.25,55.75,54.85,53.4,51.35,48.8,45.650000000000006,42.3,41.2,41.55,41.7,42.25,42.8,43.35,43.95,44.95,45.7,46.7,47.8,49.150000000000006,50.85,53.6,57.25,59.0,59.4,58.8,57.7,56.0,54.150000000000006,51.5,48.1,44.4,42.95,43.2,43.7,44.4,45.4,46.3,47.35,48.1,49.05,50.05,51.5,53.45,55.150000000000006,57.5,60.25,61.6,62.2,62.1,61.4,60.2,58.5,56.5,53.25,50.05,47.3,47.8,48.25,49.2,50.05,50.8,52.0,53.0,54.3,55.75,57.2,58.5,60.6,49.575
45.45,45.85,46.3,46.7,47.25,47.85,48.25,48.6,49.5,50.9,43.1,43.5,44.1,44.55,45.25,45.85,46.3,47.35,48.55,50.6,53.85,56.05,56.4,55.95,54.8,53.25,51.35,48.7,45.4,42.1,41.2,41.45,41.95,42.4,42.75,43.400000000000006,44.3,44.9,45.9,46.85,47.9,49.35,51.05,53.85,57.400000000000006,59.2,59.3,58.900000000000006,57.7,56.4,54.35,51.6,48.05,44.7,43.05,43.35,44.05,44.7,45.7,46.6,47.45,48.2,49.2,50.55,52.150000000000006,53.5,55.25,57.7,60.45,61.7,62.45,62.2,61.8,60.650000000000006,59.1,56.85,53.7,50.75,47.9,47.85,48.45,49.5,50.25,51.45,52.4,53.35,54.8,56.150000000000006,57.3,58.5,49.275000000000006
45.0,45.25,45.650000000000006,46.1,46.7,47.1,47.55,47.85,48.35,49.150000000000006,42.6,42.9,43.6,44.0,44.5,45.2,45.7,46.35,47.2,48.5,50.7,54.0,56.25,56.5,56.0,54.75,53.3,51.35,48.5,45.3,41.9,41.25,41.650000000000006,41.95,42.150000000000006,42.8,43.650000000000006,44.3,45.2,45.95,46.95,48.1,49.45,51.35,53.9,57.6,59.05,59.35,58.7,57.95,56.6,54.4,51.7,48.25,44.8,43.0,43.6,44.25,45.05,45.95,46.85,47.45,48.35,49.55,51.2,52.3,53.5,55.35,57.75,60.7,61.85,62.55,62.45,62.2,61.3,59.4,57.5,54.1,51.3,48.1,48.0,48.7,49.75,50.85,51.9,52.8,53.9,55.150000000000006,56.3,57.3,48.6
44.7,44.8,45.150000000000006,45.55,46.1,46.55,46.8,47.3,47.4,48.05,42.2,42.45,43.05,43.55,43.95,44.5,45.05,45.45,46.25,47.3,48.55,50.8,54.2,56.400000000000006,56.5,56.05,54.75,53.25,51.1,48.35,45.3,42.0,41.45,41.650000000000006,41.7,42.3,43.0,43.650000000000006,44.4,45.35,46.150000000000006,47.1,48.1,49.85,51.25,54.1,57.75,59.0,59.15,59.05,58.1,56.6,54.55,51.95,48.5,45.0,43.150000000000006,43.75,44.65,45.45,46.1,46.8,47.5,48.8,50.3,51.4,52.4,53.6,55.400000000000006,57.85,61.05,62.05,62.9,63.0,62.8,61.45,60.150000000000006,58.05,54.650000000000006,51.55,48.3,48.3,49.25,50.35,51.2,52.1,52.95,54.150000000000006,55.35,56.3,48.525
44.2,44.45,44.7,45.05,45.6,46.05,46.150000000000006,46.6,46.8,47.0,41.8,41.95,42.55,43.05,43.5,43.9,44.4,44.8,45.45,46.150000000000006,47.35,48.7,50.95,54.55,56.5,56.5,56.05,54.75,53.05,50.95,48.3,45.35,42.1,41.35,41.4,41.9,42.6,42.95,43.8,44.5,45.4,46.150000000000006,47.25,48.4,49.75,51.45,54.35,57.8,58.8,59.5,59.15,58.15,56.75,54.9,52.2,48.65,45.150000000000006,43.45,44.3,44.900000000000006,45.55,46.05,46.8,48.1,49.4,50.45,51.4,52.45,53.650000000000006,55.5,57.95,61.150000000000006,62.35,63.25,63.4,62.85,62.25,60.650000000000006,58.35,55.05,51.650000000000006,48.5,48.75,49.7,50.650000000000006,51.55,52.45,53.2,54.35,55.25,48.675
43.9,44.05,44.35,44.650000000000006,45.1,45.5,45.7,45.9,46.2,46.4,41.45,41.650000000000006,42.1,42.5,43.05,43.4,43.8,44.3,44.9,45.4,46.25,47.55,48.85,51.0,54.5,56.45,56.6,56.05,54.8,52.95,51.0,48.35,45.55,42.2,41.3,41.6,42.25,42.5,43.150000000000006,43.85,44.55,45.4,46.25,47.6,48.55,49.9,51.6,54.6,57.7,59.2,59.6,59.2,58.3,57.1,55.05,52.3,48.85,45.5,43.85,44.55,45.1,45.5,46.15,47.3,48.4,49.5,50.45,51.55,52.5,53.7,55.6,58.0,61.3,62.7,63.5,63.5,63.25,62.650000000000006,61.0,58.55,55.4,52.0,49.1,49.4,50.150000000000006,50.95,51.75,52.8,53.4,54.25,48.85
45.25,43.85,44.05,44.3,44.7,45.0,45.2,45.3,45.4,45.7,42.35,41.35,41.85,42.0,42.650000000000006,43.0,43.150000000000006,43.75,44.150000000000006,44.8,45.5,46.4,47.650000000000006,49.15,51.25,54.4,56.55,56.65,56.0,54.8,53.1,51.1,48.5,45.75,42.2,41.3,41.95,42.15,42.650000000000006,43.150000000000006,43.95,44.650000000000006,45.45,46.5,47.55,48.75,50.1,51.7,54.55,58.05,59.3,59.6,59.35,58.650000000000006,57.1,55.1,52.45,49.0,46.05,44.1,44.75,45.1,45.45,46.75,47.6,48.6,49.55,50.6,51.55,52.4,53.9,55.7,58.35,61.55,63.25,63.85,64.0,63.55,62.9,61.150000000000006,58.7,55.85,52.45,49.9,49.85,50.45,51.2,52.2,52.8,53.4,48.875
48.1,44.95,43.85,44.0,44.3,44.55,44.650000000000006,44.8,44.8,45.0,45.4,42.35,41.55,41.650000000000006,42.1,42.55,42.650000000000006,43.150000000000006,43.55,44.1,44.85,45.7,46.5,47.9,49.35,51.35,54.4,56.6,56.65,55.85,55.0,53.3,51.3,48.7,45.650000000000006,42.3,41.6,41.9,42.25,42.75,43.25,44.0,44.65,45.75,46.5,47.6,48.8,50.05,51.6,54.9,58.25,59.3,59.8,59.75,58.75,57.25,55.05,52.35,49.150000000000006,46.25,44.35,44.7,44.95,45.95,46.95,47.85,48.7,49.75,50.55,51.6,52.55,53.95,55.85,58.6,61.7,63.55,64.35,64.35,63.85,63.0,61.3,59.150000000000006,56.25,53.150000000000006,50.35,50.2,50.9,51.5,52.3,52.7,48.75
