,0
0,2
1,3
2,4
3,3
4,0
5,3
6,3
7,4
8,0
9,0
10,4
11,4
12,4
13,0
14,0
15,0
16,0
17,4
18,0
19,4
20,0
21,4
22,0
23,0
24,0
25,4
26,0
27,0
28,1
29,0
30,4
31,4
32,0
33,1
34,4
35,4
36,0
37,0
38,4
39,4
40,0
41,2
42,0
43,3
44,4
45,3
46,0
47,3
48,0
49,4
50,3
51,4
52,4
53,0
54,0
55,0
56,3
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,4
65,2
66,0
67,3
68,3
69,0
70,2
71,0
72,0
73,0
74,4
75,0
76,3
77,0
78,4
79,3
80,0
81,0
82,4
83,0
84,0
85,3
86,0
87,3
88,0
89,0
90,1
91,3
92,4
93,4
94,1
95,3
96,4
97,3
98,4
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,4
113,3
114,4
115,2
116,2
117,2
118,0
119,2
120,2
121,2
122,2
123,0
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,0
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,0
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,0
166,2
167,2
168,2
169,0
170,4
171,3
172,0
173,0
174,0
175,4
176,4
177,4
178,4
179,4
180,4
181,0
182,3
183,0
184,4
185,3
186,0
187,0
188,0
189,4
190,4
191,0
192,4
193,0
194,4
195,3
196,4
197,2
198,0
199,0
200,4
201,0
202,0
203,0
204,0
205,4
206,3
207,2
208,0
209,0
210,4
211,0
212,4
213,0
214,4
215,0
216,0
217,4
218,0
219,0
220,0
221,0
222,0
223,4
224,0
225,0
226,0
227,4
228,0
229,2
230,0
231,0
232,0
233,0
234,0
235,0
236,3
237,0
238,3
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,3
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,1
265,0
266,0
267,3
268,3
269,1
270,3
271,0
272,3
273,3
274,3
275,3
276,3
277,4
278,4
279,4
280,3
281,4
282,3
283,3
284,3
285,3
286,4
287,3
288,3
289,3
290,4
291,4
292,4
293,3
294,4
295,3
296,4
297,3
298,3
299,4
300,3
301,4
302,4
303,4
304,3
305,4
306,4
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,1
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,1
350,3
351,3
352,1
353,3
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,3
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,0
373,0
374,3
375,0
376,0
377,0
378,3
379,0
380,0
381,0
382,3
383,3
384,1
385,0
386,3
387,1
388,3
389,1
390,1
391,3
392,3
393,4
394,4
395,1
396,0
397,0
398,0
399,0
400,0
401,4
402,4
403,0
404,0
405,4
406,0
407,1
408,1
409,0
410,3
411,0
412,3
413,0
414,0
415,0
416,0
417,3
418,0
419,0
420,0
421,0
422,4
423,4
424,0
425,4
426,4
427,0
428,0
429,4
430,1
431,4
432,0
433,4
434,4
435,4
436,0
437,4
438,4
439,1
440,4
441,4
442,4
443,4
444,0
445,3
446,3
447,3
448,3
449,3
450,3
451,4
452,3
453,3
454,3
455,3
456,3
457,4
458,3
459,3
460,3
461,3
462,3
463,4
464,4
465,3
466,1
467,3
468,3
469,3
470,1
471,1
472,1
473,3
474,1
475,1
476,1
477,1
478,3
479,1
480,3
481,4
482,1
483,4
484,1
485,3
486,1
487,4
488,4
489,1
490,1
491,1
492,4
493,4
494,4
495,1
496,4
497,4
498,1
499,4
500,1
501,1
502,1
503,1
504,4
505,0
506,1
507,1
508,1
509,1
510,1
511,3
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,4
526,0
527,0
528,0
529,3
530,4
531,0
532,4
533,4
534,4
535,0
536,0
537,2
538,0
539,4
540,2
541,0
542,4
543,4
544,2
545,3
546,4
547,4
548,0
549,0
550,4
551,0
552,0
553,0
554,3
555,0
556,0
557,0
558,3
559,0
560,0
561,0
562,0
563,2
564,0
565,0
566,0
567,0
568,2
569,2
570,0
571,0
572,4
573,4
574,0
575,0
576,0
577,4
578,3
579,4
580,4
581,4
582,4
583,4
