,0
0,2
1,1
2,3
3,1
4,0
5,1
6,1
7,3
8,0
9,0
10,3
11,3
12,3
13,0
14,0
15,2
16,0
17,3
18,0
19,3
20,0
21,3
22,0
23,0
24,0
25,3
26,0
27,0
28,1
29,0
30,3
31,3
32,0
33,0
34,3
35,3
36,0
37,0
38,3
39,3
40,0
41,2
42,0
43,3
44,3
45,1
46,0
47,1
48,0
49,3
50,1
51,3
52,3
53,0
54,0
55,2
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,3
65,2
66,0
67,1
68,1
69,0
70,2
71,0
72,0
73,0
74,3
75,0
76,0
77,0
78,3
79,1
80,0
81,0
82,3
83,0
84,0
85,1
86,2
87,1
88,0
89,0
90,1
91,1
92,3
93,3
94,3
95,1
96,3
97,3
98,3
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,3
113,1
114,3
115,2
116,2
117,2
118,0
119,2
120,2
121,2
122,2
123,0
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,0
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,0
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,0
166,2
167,2
168,2
169,0
170,3
171,1
172,0
173,0
174,0
175,3
176,3
177,3
178,3
179,3
180,3
181,0
182,3
183,0
184,3
185,3
186,0
187,0
188,0
189,3
190,3
191,0
192,3
193,0
194,3
195,1
196,3
197,2
198,0
199,0
200,3
201,0
202,0
203,2
204,0
205,3
206,1
207,2
208,0
209,0
210,3
211,0
212,3
213,0
214,3
215,0
216,0
217,3
218,0
219,0
220,0
221,0
222,0
223,3
224,0
225,0
226,0
227,3
228,0
229,2
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,2
260,0
261,0
262,0
263,1
264,1
265,0
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,3
275,1
276,1
277,3
278,3
279,3
280,1
281,3
282,3
283,1
284,3
285,1
286,3
287,1
288,1
289,1
290,3
291,3
292,3
293,1
294,3
295,1
296,3
297,1
298,1
299,3
300,3
301,1
302,3
303,3
304,1
305,3
306,3
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,3
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,0
373,0
374,1
375,0
376,0
377,0
378,1
379,0
380,0
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,3
394,3
395,1
396,0
397,0
398,0
399,0
400,3
401,3
402,3
403,0
404,0
405,3
406,0
407,1
408,1
409,0
410,1
411,0
412,1
413,0
414,3
415,0
416,3
417,1
418,0
419,3
420,0
421,1
422,3
423,3
424,0
425,3
426,3
427,0
428,0
429,3
430,1
431,3
432,0
433,3
434,3
435,3
436,0
437,3
438,3
439,0
440,3
441,3
442,3
443,3
444,3
445,1
446,1
447,1
448,1
449,1
450,1
451,3
452,1
453,1
454,1
455,1
456,1
457,3
458,1
459,1
460,1
461,1
462,1
463,1
464,3
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,3
477,3
478,1
479,1
480,1
481,3
482,3
483,3
484,1
485,1
486,1
487,3
488,3
489,1
490,0
491,0
492,3
493,3
494,3
495,1
496,3
497,3
498,3
499,3
500,0
501,3
502,1
503,3
504,3
505,0
506,0
507,3
508,0
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,3
526,0
527,0
528,0
529,1
530,3
531,0
532,3
533,3
534,3
535,0
536,0
537,2
538,0
539,3
540,2
541,0
542,3
543,3
544,2
545,1
546,3
547,3
548,0
549,0
550,3
551,0
552,0
553,0
554,1
555,0
556,0
557,0
558,1
559,0
560,0
561,0
562,0
563,2
564,0
565,0
566,0
567,0
568,2
569,2
570,0
571,0
572,0
573,3
574,0
575,0
576,0
577,3
578,1
579,3
580,3
581,3
582,3
583,3
584,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,2
598,2
599,2
600,1
601,1
602,1
603,1
604,3
605,0
606,1
607,1
608,3
609,1
610,1
611,1
612,1
613,1
614,3
615,0
616,3
617,0
618,0
619,0
620,3
621,3
622,0
623,0
624,0
625,3
626,0
627,0
628,3
629,3
630,0
631,3
632,0
633,3
634,0
635,1
636,0
637,3
638,0
639,0
640,3
641,3
642,0
643,3
644,0
645,3
646,0
647,3
648,0
649,3
650,3
651,0
652,3
653,0
654,0
655,3
656,3
657,3
658,3
659,0
660,0
661,3
662,0
663,0
664,0
665,0
666,3
667,3
668,3
669,1
670,1
671,3
672,1
673,1
674,0
675,1
676,3
677,0
678,2
679,0
680,0
681,0
682,0
683,2
684,1
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,1
695,1
696,0
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,3
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,0
716,1
717,3
718,1
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,0
727,3
728,3
729,3
730,3
731,1
