,0
0,6
1,1
2,7
3,1
4,1
5,3
6,3
7,7
8,1
9,1
10,7
11,0
12,0
13,5
14,0
15,2
16,5
17,0
18,2
19,0
20,5
21,5
22,5
23,5
24,5
25,0
26,2
27,2
28,4
29,2
30,7
31,0
32,2
33,5
34,0
35,0
36,2
37,2
38,5
39,7
40,2
41,6
42,2
43,7
44,7
45,3
46,2
47,3
48,2
49,0
50,3
51,0
52,7
53,2
54,2
55,2
56,1
57,1
58,2
59,1
60,2
61,2
62,1
63,2
64,1
65,6
66,2
67,1
68,1
69,2
70,6
71,2
72,1
73,2
74,1
75,2
76,1
77,1
78,7
79,1
80,2
81,1
82,1
83,2
84,2
85,1
86,2
87,3
88,1
89,2
90,1
91,3
92,7
93,7
94,5
95,3
96,7
97,3
98,7
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,7
112,7
113,3
114,7
115,6
116,6
117,6
118,2
119,6
120,6
121,6
122,6
123,0
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,0
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,0
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,6
165,2
166,6
167,6
168,6
169,1
170,0
171,3
172,2
173,2
174,0
175,0
176,0
177,7
178,7
179,7
180,7
181,1
182,3
183,2
184,7
185,1
186,2
187,2
188,2
189,0
190,7
191,2
192,7
193,1
194,1
195,1
196,5
197,6
198,2
199,2
200,0
201,2
202,2
203,6
204,0
205,7
206,3
207,6
208,2
209,2
210,0
211,2
212,7
213,2
214,0
215,2
216,2
217,0
218,2
219,2
220,2
221,2
222,5
223,0
224,2
225,2
226,2
227,0
228,2
229,6
230,2
231,2
232,2
233,1
234,1
235,1
236,1
237,2
238,1
239,1
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,1
249,0
250,2
251,1
252,1
253,1
254,1
255,1
256,2
257,2
258,1
259,2
260,2
261,2
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,7
275,3
276,3
277,7
278,7
279,7
280,3
281,7
282,7
283,3
284,3
285,7
286,7
287,3
288,3
289,3
290,7
291,7
292,7
293,7
294,5
295,1
296,7
297,3
298,3
299,7
300,7
301,7
302,7
303,7
304,3
305,7
306,7
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,7
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,1
350,3
351,3
352,1
353,3
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,3
362,6
363,6
364,6
365,6
366,6
367,6
368,6
369,6
370,6
371,6
372,2
373,1
374,1
375,1
376,1
377,2
378,1
379,2
380,1
381,2
382,1
383,1
384,4
385,2
386,3
387,1
388,1
389,1
390,1
391,1
392,3
393,0
394,7
395,1
396,1
397,2
398,2
399,2
400,0
401,0
402,0
403,2
404,5
405,0
406,2
407,1
408,3
409,2
410,0
411,2
412,3
413,2
414,0
415,2
416,0
417,1
418,2
419,0
420,2
421,1
422,7
423,0
424,5
425,0
426,1
427,0
428,0
429,0
430,1
431,0
432,5
433,5
434,0
435,0
436,5
437,0
438,0
439,5
440,0
441,5
442,0
443,5
444,5
445,3
446,3
447,3
448,3
449,3
450,3
451,7
452,3
453,3
454,3
455,3
456,3
457,7
458,3
459,3
460,3
461,3
462,3
463,7
464,7
465,3
466,4
467,3
468,3
469,3
470,1
471,5
472,4
473,1
474,1
475,7
476,5
477,7
478,7
479,5
480,3
481,7
482,5
483,7
484,1
485,3
486,1
487,7
488,7
489,4
490,4
491,5
492,0
493,7
494,7
495,1
496,5
497,5
498,5
499,7
500,5
501,5
502,1
503,5
504,7
505,5
506,4
507,5
508,5
509,4
510,4
511,3
512,4
513,4
514,4
515,4
516,4
517,4
518,4
519,4
520,4
521,4
522,4
523,4
524,4
525,0
526,5
527,5
528,0
529,1
530,0
531,2
532,0
533,7
534,7
535,2
536,2
537,6
538,2
539,7
540,6
541,2
542,0
543,0
544,6
545,1
546,0
547,5
548,1
549,2
550,0
551,2
552,5
553,2
554,1
555,1
556,2
557,2
558,1
559,2
560,2
561,2
562,2
563,6
564,2
565,2
566,1
567,2
568,6
569,6
570,2
571,2
572,5
573,0
574,1
575,2
576,2
577,7
578,3
579,7
580,7
581,7
582,7
583,7
584,7
585,7
586,7
587,7
588,7
589,7
590,7
591,7
592,3
593,7
594,7
595,7
596,7
597,6
598,6
599,6
600,4
601,4
602,4
603,1
604,7
605,1
606,4
607,1
608,0
609,3
610,4
611,1
612,4
613,4
614,7
615,2
616,1
617,0
618,5
619,5
620,0
621,7
622,0
623,4
624,0
625,0
626,5
627,2
628,0
629,0
630,2
631,5
632,2
633,0
634,5
635,7
636,5
637,7
638,2
639,2
640,0
641,7
642,2
643,7
644,2
645,3
646,2
647,5
648,2
649,7
650,0
651,2
652,0
653,2
654,2
655,0
656,5
657,7
658,7
659,2
660,5
661,0
662,5
663,2
664,2
665,2
666,5
667,1
668,7
669,3
670,3
671,7
672,3
673,1
674,1
675,3
676,7
677,2
678,6
679,2
680,2
681,2
682,2
683,6
684,1
685,2
686,2
687,2
688,1
689,1
690,2
691,1
692,2
693,2
694,3
695,3
696,2
697,1
698,3
699,3
700,3
701,3
702,3
703,3
704,7
705,3
706,3
707,3
708,3
709,4
710,3
711,3
712,3
713,3
714,3
715,4
716,5
717,7
718,3
719,7
720,5
721,5
722,7
723,7
724,7
725,5
726,5
727,5
728,5
729,7
730,7
731,3
732,3
733,3
734,7
735,3
736,7
737,3
738,7
739,7
740,7
741,3
742,5
743,3
744,3
745,3
746,3
747,3
748,7
749,3
750,3
751,7
752,3
753,3
754,3
755,3
756,3
757,7
758,3
759,3
760,3
761,3
762,3
763,3
764,3
765,3
766,3
767,3
768,3
769,3
770,3
771,3
772,3
773,3
774,3
775,3
776,3
777,3
778,7
