,0
0,4
1,1
2,5
3,1
4,0
5,1
6,1
7,5
8,1
9,0
10,5
11,0
12,0
13,3
14,0
15,0
16,3
17,0
18,0
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,5
29,3
30,5
31,5
32,3
33,5
34,3
35,0
36,3
37,0
38,5
39,5
40,3
41,4
42,0
43,1
44,5
45,1
46,3
47,1
48,3
49,3
50,1
51,3
52,5
53,0
54,0
55,4
56,1
57,0
58,0
59,0
60,3
61,4
62,0
63,0
64,5
65,4
66,3
67,1
68,1
69,3
70,0
71,0
72,0
73,3
74,1
75,3
76,0
77,0
78,5
79,1
80,0
81,1
82,3
83,0
84,0
85,1
86,3
87,1
88,3
89,0
90,1
91,2
92,5
93,5
94,5
95,1
96,5
97,1
98,5
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,5
113,1
114,5
115,4
116,4
117,4
118,3
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,0
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,0
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,4
169,0
170,1
171,1
172,3
173,3
174,3
175,0
176,5
177,5
178,5
179,5
180,5
181,0
182,1
183,0
184,5
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,5
193,0
194,5
195,1
196,5
197,4
198,3
199,3
200,3
201,3
202,0
203,4
204,0
205,5
206,1
207,4
208,3
209,3
210,3
211,3
212,5
213,3
214,3
215,3
216,3
217,0
218,3
219,0
220,0
221,0
222,3
223,3
224,3
225,0
226,3
227,3
228,0
229,4
230,3
231,3
232,0
233,0
234,0
235,0
236,1
237,3
238,1
239,0
240,3
241,0
242,3
243,0
244,0
245,3
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,4
260,0
261,3
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,5
275,2
276,2
277,5
278,5
279,1
280,1
281,5
282,1
283,1
284,1
285,5
286,5
287,1
288,1
289,1
290,5
291,5
292,5
293,5
294,5
295,1
296,5
297,1
298,1
299,5
300,1
301,5
302,5
303,5
304,1
305,1
306,5
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,2
322,1
323,1
324,1
325,1
326,1
327,1
328,2
329,1
330,2
331,2
332,2
333,2
334,2
335,1
336,1
337,1
338,1
339,1
340,2
341,1
342,2
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,2
356,1
357,1
358,1
359,1
360,2
361,1
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,4
370,4
371,4
372,0
373,0
374,1
375,0
376,0
377,0
378,1
379,0
380,0
381,0
382,1
383,0
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,5
395,1
396,0
397,0
398,0
399,0
400,0
401,3
402,3
403,3
404,3
405,3
406,3
407,1
408,2
409,3
410,1
411,0
412,2
413,0
414,0
415,0
416,3
417,1
418,0
419,0
420,0
421,1
422,5
423,3
424,3
425,0
426,1
427,0
428,0
429,5
430,1
431,5
432,3
433,5
434,5
435,0
436,3
437,3
438,3
439,5
440,5
441,3
442,5
443,3
444,3
445,1
446,2
447,2
448,1
449,1
450,1
451,5
452,2
453,1
454,1
455,2
456,1
457,5
458,1
459,1
460,1
461,1
462,1
463,5
464,5
465,2
466,5
467,1
468,1
469,1
470,1
471,1
472,5
473,1
474,1
475,5
476,5
477,5
478,1
479,1
480,2
481,5
482,5
483,5
484,1
485,1
486,1
487,5
488,5
489,2
490,5
491,5
492,0
493,5
494,5
495,5
496,5
497,5
498,5
499,5
500,5
501,5
502,1
503,5
504,5
505,3
506,5
507,5
508,5
509,2
510,2
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,2
524,2
525,3
526,3
527,3
528,0
529,1
530,3
531,3
532,0
533,5
