,0
0,0
1,1
2,2
3,1
4,1
5,1
6,1
7,2
8,1
9,0
10,2
11,0
12,2
13,2
14,0
15,0
16,2
17,2
18,0
19,2
20,0
21,2
22,2
23,2
24,2
25,2
26,0
27,0
28,2
29,0
30,2
31,2
32,2
33,2
34,2
35,2
36,0
37,0
38,2
39,2
40,0
41,0
42,0
43,1
44,2
45,1
46,2
47,1
48,0
49,2
50,1
51,2
52,2
53,0
54,0
55,0
56,1
57,1
58,0
59,1
60,2
61,0
62,1
63,0
64,2
65,0
66,0
67,1
68,1
69,0
70,0
71,2
72,0
73,2
74,2
75,0
76,2
77,0
78,2
79,1
80,0
81,1
82,2
83,0
84,0
85,1
86,0
87,1
88,2
89,0
90,1
91,1
92,2
93,2
94,2
95,1
96,2
97,1
98,2
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,2
113,1
114,2
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,2
170,2
171,1
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,0
182,1
183,2
184,2
185,2
186,0
187,2
188,2
189,2
190,1
191,2
192,2
193,2
194,2
195,1
196,2
197,0
198,0
199,2
200,2
201,0
202,0
203,0
204,0
205,2
206,1
207,0
208,0
209,0
210,2
211,2
212,2
213,0
214,2
215,0
216,2
217,2
218,2
219,0
220,0
221,0
222,2
223,2
224,0
225,0
226,0
227,2
228,0
229,0
230,0
231,2
232,2
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,2
256,0
257,0
258,1
259,0
260,0
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,2
273,1
274,1
275,1
276,1
277,1
278,1
279,2
280,1
281,2
282,1
283,1
284,1
285,1
286,2
287,1
288,1
289,1
290,2
291,2
292,2
293,2
294,2
295,1
296,1
297,1
298,1
299,2
300,1
301,2
302,1
303,2
304,1
305,2
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,1
375,2
376,0
377,0
378,1
379,0
380,1
381,0
382,1
383,1
384,1
385,2
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,2
394,2
395,1
396,0
397,0
398,0
399,0
400,2
401,2
402,2
403,0
404,2
405,2
406,0
407,1
408,1
409,0
410,2
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,0
419,2
420,0
421,2
422,2
423,2
424,2
425,2
426,2
427,0
428,2
429,2
430,1
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,2
483,2
484,1
485,1
486,1
487,2
488,2
489,1
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,1
500,2
501,2
502,1
503,2
504,2
505,2
506,2
507,2
508,2
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,2
526,2
527,2
528,0
529,1
530,2
531,0
532,2
533,2
534,2
535,2
536,0
537,0
538,0
539,2
540,0
541,0
542,2
543,2
544,0
545,1
546,2
547,2
548,0
549,0
550,2
551,2
552,2
553,2
554,1
555,2
556,0
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,2
571,0
572,2
573,2
574,2
575,0
576,0
577,2
578,1
579,2
580,2
581,2
582,2
583,2
584,2
585,1
586,2
587,2
588,2
589,2
590,2
591,2
592,1
593,2
594,2
595,2
596,2
597,0
598,0
599,0
600,1
601,1
602,1
603,1
604,2
605,0
606,1
607,1
608,2
609,1
610,1
611,1
612,1
613,1
614,2
615,0
616,2
617,2
618,0
619,2
620,2
621,1
622,0
623,1
624,0
625,2
626,0
627,0
628,2
629,2
630,0
631,2
632,0
633,2
634,2
635,1
636,2
637,2
638,0
639,2
640,2
641,2
642,2
643,2
644,0
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,0
664,0
665,2
666,2
667,2
668,2
669,1
670,1
671,2
672,1
673,1
674,2
675,1
676,2
677,0
678,0
679,0
680,0
681,2
682,0
683,0
684,1
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,1
695,1
696,0
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,2
716,1
717,2
718,1
719,1
720,1
721,2
722,2
723,2
724,2
725,2
726,2
727,2
728,2
729,2
730,2
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,2
739,2
740,1
741,1
742,2
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,2
