,0
0,5
1,3
2,1
3,3
4,0
5,3
6,3
7,1
8,3
9,0
10,1
11,0
12,0
13,4
14,0
15,0
16,4
17,0
18,0
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,0
27,4
28,1
29,4
30,1
31,4
32,4
33,4
34,4
35,4
36,4
37,0
38,4
39,4
40,0
41,0
42,0
43,3
44,4
45,3
46,4
47,3
48,4
49,4
50,3
51,4
52,3
53,0
54,0
55,0
56,3
57,3
58,0
59,3
60,4
61,0
62,0
63,0
64,3
65,0
66,4
67,3
68,3
69,4
70,0
71,0
72,0
73,4
74,3
75,4
76,3
77,0
78,4
79,3
80,0
81,3
82,4
83,0
84,0
85,3
86,4
87,3
88,4
89,0
90,3
91,2
92,3
93,1
94,1
95,2
96,1
97,3
98,1
99,3
100,3
101,2
102,3
103,3
104,2
105,2
106,3
107,3
108,3
109,3
110,3
111,3
112,1
113,3
114,1
115,5
116,5
117,5
118,4
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,0
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,0
149,0
150,5
151,5
152,5
153,5
154,0
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,0
164,0
165,0
166,5
167,5
168,5
169,0
170,3
171,3
172,4
173,4
174,4
175,0
176,4
177,1
178,4
179,1
180,1
181,0
182,3
183,0
184,4
185,3
186,0
187,0
188,0
189,3
190,3
191,0
192,3
193,4
194,3
195,3
196,4
197,5
198,0
199,4
200,4
201,4
202,0
203,0
204,0
205,3
206,3
207,5
208,0
209,0
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,0
218,4
219,5
220,0
221,0
222,4
223,4
224,4
225,0
226,0
227,4
228,0
229,0
230,4
231,4
232,0
233,0
234,3
235,0
236,3
237,4
238,3
239,3
240,4
241,0
242,4
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,3
256,0
257,0
258,3
259,4
260,0
261,4
262,3
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,3
273,3
274,2
275,2
276,2
277,1
278,1
279,3
280,3
281,1
282,3
283,3
284,3
285,1
286,3
287,3
288,3
289,2
290,1
291,1
292,3
293,3
294,1
295,3
296,1
297,2
298,3
299,1
300,3
301,1
302,1
303,1
304,3
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,2
322,3
323,3
324,3
325,3
326,3
327,3
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,3
336,1
337,2
338,3
339,2
340,2
341,2
342,2
343,3
344,3
345,3
346,2
347,3
348,3
349,3
350,2
351,3
352,3
353,3
354,2
355,2
356,3
357,3
358,2
359,3
360,2
361,2
362,5
363,5
364,0
365,0
366,5
367,5
368,5
369,5
370,5
371,5
372,0
373,0
374,3
