,0
0,6
1,2
2,3
3,1
4,2
5,3
6,3
7,3
8,2
9,4
10,3
11,0
12,8
13,5
14,0
15,0
16,5
17,2
18,8
19,8
20,4
21,5
22,4
23,5
24,5
25,8
26,0
27,0
28,3
29,8
30,1
31,8
32,8
33,1
34,8
35,8
36,4
37,4
38,8
39,8
40,4
41,4
42,8
43,1
44,1
45,1
46,8
47,1
48,4
49,4
50,1
51,8
52,1
53,4
54,4
55,4
56,2
57,2
58,4
59,2
60,8
61,4
62,2
63,4
64,2
65,4
66,4
67,2
68,2
69,4
70,2
71,8
72,2
73,8
74,2
75,8
76,2
77,2
78,2
79,2
80,4
81,2
82,8
83,2
84,4
85,2
86,4
87,2
88,2
89,4
90,3
91,3
92,1
93,3
94,5
95,3
96,1
97,1
98,1
99,1
100,1
101,3
102,1
103,1
104,3
105,3
106,3
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,6
116,6
117,6
118,4
119,4
120,6
121,6
122,4
123,6
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,4
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,4
149,4
150,4
151,4
152,4
153,6
154,4
155,6
156,6
157,6
158,6
159,4
160,6
161,6
162,4
163,4
164,4
165,4
166,6
167,4
168,4
169,2
170,2
171,2
172,8
173,8
174,8
175,8
176,8
177,1
178,8
179,1
180,1
181,8
182,2
183,8
184,8
185,2
186,8
187,4
188,4
189,8
190,2
191,8
192,2
193,8
194,2
195,2
196,8
197,4
198,4
199,8
200,8
201,4
202,4
203,4
204,4
205,1
206,1
207,4
208,8
209,4
210,4
211,4
212,8
213,4
214,4
215,8
216,8
217,8
218,8
219,4
220,4
221,8
222,8
223,4
224,4
225,8
226,4
227,8
228,8
229,4
230,4
231,8
232,8
233,2
234,2
235,2
236,2
237,4
238,2
239,2
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,8
250,8
251,2
252,2
253,2
254,2
255,2
256,4
257,4
258,2
259,4
260,4
261,8
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,1
270,2
271,2
272,2
273,2
274,3
275,3
276,3
277,3
278,1
279,1
280,1
281,1
282,1
283,2
284,2
285,1
286,1
287,1
288,1
289,3
290,3
291,3
292,1
293,1
294,1
295,1
296,3
297,3
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,3
317,1
318,1
319,1
320,3
321,3
322,1
323,1
324,1
325,1
326,1
327,1
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,1
339,3
340,3
341,3
342,3
343,1
344,1
345,1
346,3
347,1
348,1
349,1
350,3
351,3
352,1
353,3
354,3
355,3
356,1
357,1
358,3
359,3
360,3
361,3
362,6
363,6
364,4
365,4
366,6
367,6
368,6
369,6
370,6
371,6
372,8
373,2
374,2
375,2
376,4
377,4
378,1
379,4
380,2
381,4
382,2
383,2
384,1
385,2
386,2
387,3
388,3
389,2
390,1
391,2
392,1
393,2
394,3
395,1
396,4
397,0
398,0
399,0
400,2
401,8
402,5
403,4
404,5
405,8
406,8
407,1
408,3
409,4
410,2
411,0
412,3
413,0
414,0
415,0
416,5
417,3
418,0
419,2
420,0
421,2
422,1
423,5
424,5
425,5
426,2
427,0
428,2
429,5
430,1
431,5
432,8
433,5
434,5
435,8
436,5
437,8
438,8
