,0
0,6
1,5
2,3
3,5
4,1
5,5
6,5
7,3
8,1
9,2
10,3
11,0
12,2
13,7
14,0
15,0
16,7
17,1
18,2
19,1
20,2
21,7
22,2
23,7
24,7
25,2
26,0
27,0
28,3
29,2
30,5
31,1
32,1
33,1
34,2
35,1
36,2
37,2
38,1
39,1
40,2
41,2
42,2
43,5
44,1
45,5
46,1
47,5
48,2
49,2
50,5
51,2
52,5
53,2
54,2
55,2
56,1
57,1
58,2
59,1
60,1
61,2
62,1
63,2
64,1
65,2
66,2
67,1
68,5
69,2
70,2
71,1
72,1
73,1
74,1
75,2
76,1
77,1
78,1
79,5
80,2
81,1
82,1
83,2
84,2
85,1
86,2
87,1
88,1
89,2
90,3
91,3
92,5
93,3
94,5
95,3
96,5
97,5
98,5
99,5
100,5
101,3
102,5
103,5
104,3
105,3
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,2
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,2
149,2
150,6
151,6
152,6
153,6
154,2
155,6
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,2
164,2
165,2
166,6
167,6
168,6
169,1
170,1
171,1
172,2
173,2
174,1
175,1
176,1
177,5
178,1
179,5
180,5
181,1
182,1
183,1
184,1
185,1
186,2
187,2
188,2
189,1
190,1
191,2
192,1
193,1
194,1
195,1
196,1
197,2
198,2
199,1
200,2
201,2
202,2
203,2
204,2
205,5
206,5
207,6
208,2
209,2
210,2
211,2
212,1
213,2
214,2
215,2
216,2
217,2
218,2
219,6
220,2
221,1
222,1
223,2
224,2
225,2
226,2
227,1
228,2
229,2
230,2
231,2
232,1
233,1
234,1
235,1
236,1
237,2
238,1
239,1
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,1
253,1
254,1
255,1
256,2
257,2
258,1
259,2
260,2
261,2
262,1
263,5
264,1
265,1
266,1
267,1
268,1
269,5
270,1
271,1
272,1
273,1
274,3
275,3
276,3
277,3
278,5
279,5
280,5
281,5
282,5
283,1
284,5
285,5
286,5
287,5
288,5
289,3
290,3
291,3
292,5
293,5
294,5
295,5
296,3
297,3
298,5
299,5
300,5
301,5
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,5
311,5
312,5
313,5
