,0
0,3
1,2
2,1
3,2
4,0
5,2
6,2
7,1
8,2
9,0
10,1
11,3
12,0
13,0
14,3
15,3
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,3
27,3
28,1
29,0
30,2
31,0
32,0
33,2
34,0
35,0
36,3
37,3
38,2
39,2
40,0
41,3
42,0
43,2
44,2
45,2
46,0
47,2
48,0
49,0
50,2
51,0
52,2
53,0
54,0
55,3
56,2
57,0
58,0
59,0
60,0
61,3
62,0
63,0
64,2
65,3
66,0
67,2
68,2
69,0
70,0
71,0
72,0
73,0
74,2
75,0
76,2
77,0
78,2
79,2
80,0
81,2
82,0
83,0
84,0
85,2
86,0
87,2
88,0
89,0
90,2
91,1
92,2
93,1
94,2
95,1
96,2
97,2
98,2
99,2
100,2
101,1
102,2
103,2
104,1
105,1
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,0
170,2
171,2
172,0
173,0
174,0
175,0
176,0
177,2
178,2
179,2
180,2
181,0
182,2
183,0
184,2
185,0
186,0
187,0
188,0
189,2
190,2
191,0
192,2
193,0
194,2
195,2
196,0
197,3
198,3
199,0
200,0
201,0
202,0
203,3
204,3
205,2
206,2
207,3
208,0
209,3
210,0
211,0
212,2
213,3
214,0
215,0
216,0
217,0
218,0
219,3
220,0
221,0
222,0
223,0
224,0
225,0
226,3
227,0
228,0
229,3
230,0
231,0
232,0
233,0
234,0
235,0
236,2
237,0
238,2
239,0
240,0
241,0
242,0
243,0
244,0
245,3
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,3
260,0
261,0
262,0
263,2
264,2
265,2
266,0
267,2
268,2
269,2
270,0
271,2
272,2
273,2
274,1
275,1
276,1
277,1
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,1
290,1
291,1
292,2
293,2
294,2
295,2
296,1
297,1
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,1
317,2
318,2
319,2
320,2
321,1
322,2
323,2
324,2
325,2
326,2
327,2
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,2
336,1
337,1
338,2
339,1
340,1
341,1
342,1
343,2
344,2
345,2
346,1
347,2
348,2
349,2
350,1
351,2
352,2
353,2
354,1
355,1
356,2
357,2
358,1
359,2
360,1
361,1
362,3
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,0
373,0
374,0
375,0
376,0
377,0
378,2
379,0
380,0
381,0
382,0
383,0
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,2
393,0
394,1
395,2
396,0
397,0
398,3
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,2
408,1
409,0
410,2
411,3
412,1
413,0
414,0
415,0
416,0
417,2
418,3
419,0
420,3
421,2
422,2
423,0
424,2
425,0
426,2
427,3
428,0
429,2
430,2
431,2
432,0
433,2
434,2
435,0
436,0
437,0
438,0
439,2
440,2
441,0
442,2
443,0
444,0
445,1
446,1
447,1
448,2
449,1
450,1
451,1
452,1
453,2
454,1
455,1
456,2
457,1
458,2
459,2
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,2
470,2
471,2
472,1
473,2
474,2
475,2
476,1
477,2
478,1
479,2
480,1
481,1
482,2
483,1
484,2
485,1
486,2
487,2
488,2
489,1
490,2
491,2
492,0
493,2
494,2
495,2
496,2
497,2
498,2
499,1
500,2
501,2
502,2
