,0
0,3
1,1
2,6
3,6
4,5
5,6
6,6
7,2
8,1
9,5
10,2
11,0
12,5
13,4
14,0
15,0
16,4
17,5
18,5
19,5
20,5
21,4
22,5
23,4
24,4
25,5
26,0
27,0
28,2
29,5
30,6
31,1
32,5
33,1
34,5
35,1
36,5
37,5
38,1
39,1
40,5
41,3
42,5
43,6
44,1
45,1
46,5
47,6
48,5
49,5
50,1
51,5
52,1
53,5
54,5
55,0
56,1
57,1
58,5
59,1
60,5
61,5
62,5
63,0
64,1
65,3
66,5
67,1
68,1
69,5
70,5
71,5
72,5
73,1
74,1
75,5
76,1
77,5
78,1
79,1
80,5
81,1
82,1
83,5
84,5
85,1
86,5
87,1
88,1
89,5
90,6
91,2
92,6
93,2
94,6
95,2
96,6
97,6
98,6
99,6
100,6
101,2
102,6
103,6
104,2
105,2
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,0
148,0
149,0
150,3
151,3
152,3
153,3
154,0
155,3
156,3
157,0
158,3
159,0
160,3
161,3
162,3
163,0
164,0
165,0
166,3
167,3
168,3
169,1
170,1
171,1
172,5
173,5
174,5
175,1
176,1
177,6
178,1
179,1
180,1
181,5
182,1
183,1
184,1
185,1
186,5
187,5
188,5
189,1
190,1
191,5
192,1
193,1
194,1
195,1
196,1
197,3
198,5
199,5
200,5
201,5
202,5
203,3
204,5
205,6
206,6
207,3
208,5
209,5
210,5
211,5
212,1
213,5
214,5
215,5
216,5
217,5
218,5
219,3
220,5
221,5
222,5
223,5
224,5
225,5
226,3
227,1
228,5
229,5
230,5
231,5
232,5
233,5
234,1
235,5
236,1
237,5
238,1
239,1
240,5
241,5
242,5
243,5
244,5
245,0
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,5
255,1
256,5
257,5
258,1
259,3
260,5
261,5
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,2
275,2
276,2
277,2
278,6
279,1
280,6
281,6
282,6
283,1
284,1
285,6
286,6
287,6
288,6
289,2
290,2
291,2
292,1
293,6
294,6
295,6
296,2
297,2
298,6
299,6
300,6
301,6
302,6
303,6
304,6
305,1
306,6
307,6
308,6
309,6
310,1
311,6
312,6
313,6
314,6
315,6
316,2
317,6
318,6
319,6
320,6
321,2
322,6
323,6
324,6
325,6
326,6
327,6
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,6
336,2
337,2
338,6
339,2
340,2
341,2
342,2
343,6
344,6
345,6
346,2
347,6
348,6
349,6
350,2
351,6
352,6
353,6
354,2
355,2
356,6
357,6
358,2
359,6
360,2
361,2
362,3
363,3
364,0
365,0
366,3
367,3
368,3
369,3
370,3
371,3
372,5
373,5
374,1
375,5
376,5
377,5
378,6
379,5
380,5
381,5
382,1
383,1
384,6
385,1
386,1
387,6
388,6
389,1
390,1
391,1
392,6
393,5
394,6
395,1
396,5
397,0
398,0
399,0
400,5
401,5
402,4
403,5
404,4
405,5
406,5
407,6
408,2
409,5
410,1
411,0
412,2
413,0
414,0
415,0
416,4
417,6
418,0
419,5
420,0
421,1
422,1
423,4
424,4
425,4
426,1
427,0
428,1
429,4
430,6
431,4
432,5
433,4
434,4
435,5
436,4
437,5
438,5
439,4
440,4
441,1
442,4
443,1
444,4
445,6
446,2
447,2
448,6
449,6
450,2
451,2
452,2
453,6
454,2
455,2
456,6
457,2
458,6
459,6
460,6
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,6
470,6
471,6
472,2
473,6
474,1
475,6
476,2
477,1
478,6
479,6
480,2
481,2
482,6
483,2
484,6
485,2
486,1
487,6
488,1
489,2
490,6
491,6
492,5
493,1
494,6
495,6
496,1
497,6
498,4
499,2
500,1
501,6
502,4
503,4
504,6
505,5
506,6
507,4
508,4
509,7
510,7
511,7
512,7
513,7
514,7
515,7
516,7
517,7
518,7
519,7
520,7
521,7
522,7
523,7
524,7
525,5
526,5
527,4
528,0
529,1
530,5
531,5
532,5
533,1
534,6
535,5
536,5
537,3
538,5
539,1
540,5
541,3
542,5
543,5
544,5
545,1
546,5
547,1
548,5
549,5
550,5
551,5
552,5
553,5
554,1
555,1
556,5
557,5
558,1
559,5
560,5
561,5
562,5
563,3
564,5
565,5
566,5
567,5
568,3
569,3
570,1
571,5
572,5
573,5
574,1
575,5
576,5
577,6
578,6
579,6
580,6
581,2
582,6
583,2
584,6
585,6
586,2
587,2
588,6
589,6
590,6
591,6
592,6
593,6
594,6
595,2
596,6
597,3
598,3
599,3
600,2
601,7
602,2
603,6
604,1
605,5
606,6
607,1
608,5
609,1
610,2
611,6
612,6
613,2
614,1
615,0
616,1
617,5
618,4
619,4
620,4
621,6
622,0
623,6
624,4
625,5
626,4
627,5
628,4
629,1
630,5
631,4
632,5
633,5
634,4
635,2
636,5
637,1
638,5
639,5
640,1
641,1
642,5
643,1
644,5
645,1
646,5
647,1
648,5
649,1
650,1
651,5
652,5
653,5
654,5
655,1
656,1
657,6
658,1
659,5
660,1
661,1
662,5
663,3
664,5
665,1
666,1
667,1
668,1
669,1
670,6
671,1
672,1
673,1
674,1
675,1
676,6
677,5
678,3
679,5
680,5
681,5
682,5
683,3
684,1
685,5
686,5
687,5
688,5
689,1
690,5
691,5
692,5
693,5
694,1
695,1
696,5
697,1
698,2
699,2
700,2
701,6
702,2
703,2
704,2
705,2
706,2
707,2
708,6
709,2
710,2
711,6
712,2
713,2
714,2
715,2
716,6
717,6
718,6
719,2
720,6
721,4
722,6
723,2
724,6
725,4
726,6
727,4
728,4
729,2
730,2
731,6
732,6
733,6
734,6
735,6
736,6
737,1
738,1
739,1
740,6
741,6
742,2
743,1
744,2
745,6
746,6
747,6
748,6
749,6
750,6
751,2
752,2
753,6
754,6
755,6
756,6
757,2
758,6
759,2
760,6
761,2
762,6
763,6
764,6
765,1
766,6
767,2
768,2
769,2
770,2
771,6
772,6
773,2
774,6
775,6
776,6
777,6
778,6
