,Name,State,Latitude,Longitude,Elevation,Mean temp winter,Mean temp spring,Mean temp summer,Mean temp autumn,Min temp winter,Max temp winter,Min temp spring,Max temp spring,Min temp summer,Max temp summer,Min temp autumn,Max temp autumn,Mean dew point winter,Mean dew point spring,Mean dew point summer,Mean dew point autumn,Mean sea level pressure winter,Mean sea level pressure spring,Mean sea level pressure summer,Mean sea level pressure autumn,Mean clouds clear percentage winter,Mean clouds clear percentage spring,Mean clouds clear percentage summer,Mean clouds clear percentage autumn,Mean clouds few percentage winter,Mean clouds few percentage spring,Mean clouds few percentage summer,Mean clouds few percentage autumn,Mean clouds scattered percentage winter,Mean clouds scattered percentage spring,Mean clouds scattered percentage summer,Mean clouds scattered percentage autumn,Mean clouds broken percentage winter,Mean clouds broken percentage spring,Mean clouds broken percentage summer,Mean clouds broken percentage autumn,Mean clouds overcast percentage winter,Mean clouds overcast percentage spring,Mean clouds overcast percentage summer,Mean clouds overcast percentage autumn,Heat index mean winter,Heat index mean summer,Heat index mean autumn,Wind chill mean winter,Wind chill mean spring,Wind chill mean summer,Wind chill mean autumn,Average wind speed winter,Average wind speed spring,Average wind speed summer,Average wind speed autumn,Percentage calm winter,Percentage calm spring,Percentage calm summer,Percentage calm autumn,Mean wind vector direction winter,Mean wind vector direction spring,Mean wind vector direction summer,Mean wind vector direction autumn,Mean wind vector magnitude winter,Mean wind vector magnitude spring,Mean wind vector magnitude summer,Mean wind vector magnitude autumn,Prevailing wind direction winter,Prevailing wind direction spring,Prevailing wind direction summer,Prevailing wind direction autumn,Prevailing wind percentage winter,Prevailing wind percentage spring,Prevailing wind percentage summer,Prevailing wind percentage autumn,Secondary wind direction winter,Secondary wind direction spring,Secondary wind direction summer,Secondary wind direction autumn,Secondary wind percentage winter,Secondary wind percentage spring,Secondary wind percentage summer,Secondary wind percentage autumn
5,LANAI AP 656, HI,20.7894,-156.9486,396.2,68.01083767155704,70.5206428248076,73.897555454957,71.68685072531586,62.6,75.2,63.8,78.4,67.1,80.3,64.9,79.6,61.388783719829625,63.5896785875962,66.59687641466726,64.82629854936827,1016.360908660672,1017.1508827523768,1015.5116342236308,1015.4097332709406,-8317.301940369143,-8553.968447261203,-8758.629379809867,-5427.218203088442,-8326.520965451964,-8562.289588048892,-8766.451923947487,-5455.025035095929,-8327.092948414576,-8563.006428248076,-8766.988229968312,-5457.049695835282,-8327.40937056318,-8563.212267994568,-8767.147578089633,-5458.197239120262,-8327.751869380028,-8563.698822996832,-8767.455092802173,-5459.022367805335,68.29124467581636,74.99302851969216,72.42115114646701,68.00690960719356,70.51263014938887,73.89502037120869,71.68062704726252,9.92527212494084,10.14309642372114,10.489316432775013,9.209405708937764,13.493137718883103,9.94545043005885,9.939339067451336,16.48554047730463,51.7709417889257,42.66410140334993,46.67768220914441,48.33645297145531,6.01859914813062,7.560751471253961,8.702218198279764,6.702058961160505,2.0,2.0,2.0,2.0,4.394226218646474,4.5672249886826615,4.418288818469896,4.3706130088909685,40.3,52.7,53.0,38.8,41.8338381448178,52.38918062471707,59.25260298777728,46.22152550304165
6,LAMAR MUNI AP, CO,38.07,-102.6881,1129.0,32.77297681022243,60.140380262562246,75.85210502489815,44.43458118858213,15.9,61.8,32.2,91.3,52.0,95.3,19.2,82.1,17.440274491244676,37.27125396106835,53.89628791308284,27.408797379503977,1017.3464268812116,1010.2105477591672,1011.6535083748304,1016.3483387927,82.9486038807383,-3259.718605703938,84.8971027614305,-607.0,3.018409843823947,-3309.901222272522,5.642915346310548,-685.5525035095928,2.0799810695693326,-3311.275509280217,3.293119058397465,-686.1395882077678,1.876952200662565,-3311.7842915346305,2.1193752829334542,-686.3610201216659,10.070137245622336,-3307.382752376641,4.053779990946129,-680.8855404773047,32.77297681022243,75.85826165685832,44.43458118858213,26.711878845243728,58.57555454956994,75.78669081032142,40.8697239120262,8.772692853762422,11.232593933906749,9.387188773200544,8.3518951801591,10.09110269758637,7.063331824354911,9.249841557265732,11.97182966775854,224.8845243729295,188.8234495246718,166.18017202354005,214.9546092653252,2.440937056318031,3.081665912177456,4.156450882752376,2.514225549836219,6.0,6.0,5.0,6.0,5.062470421202082,4.3168854685378,4.500679040289723,5.202620496022462,20.0,20.1,20.1,19.0,25.969332702318976,21.45848800362155,23.41140787686736,25.907580720636407
7,RIFLE GARFIELD CO AP, CO,39.5264,-107.7264,1685.5,28.709607193563656,54.74938886373925,70.59162516976006,40.1037903603182,13.4,54.9,31.4,86.2,45.7,89.9,18.6,75.9,17.481874112636064,28.325577184246264,40.82947034857402,24.16808610201217,1021.5378608613346,1012.080443639656,1013.933725667723,1020.0833411324288,-5168.934973970658,-615.4233137166138,84.89524671797193,-2916.3417875526443,-5197.754046379556,-676.4118605703937,5.93843368039837,-2967.640898455779,-5198.329673450071,-678.3149388863739,3.5173834314169308,-2968.4915301824985,-5197.923426407951,-678.8261656858307,2.6356722498868264,-2968.777538605522,-5192.151632749645,-675.3574468085106,3.015165233137166,-2964.251286850725,28.709607193563656,70.59162516976006,40.1037903603182,25.47240889730241,53.59153463105478,70.53626075147126,38.123069723912025,3.921769995267393,6.904979628791308,5.527976459936623,4.172671970051474,42.5640795078088,24.97976459936623,28.395744680851063,42.15287786616753,230.78797917652628,231.77501131733817,188.38750565866908,231.6069255966308,1.811026975863701,3.796106835672249,2.797872340425532,2.06757136172204,5.0,7.0,7.0,7.0,4.990061523899668,6.009506564056134,4.8116794929832505,5.422087037903603,12.1,12.4,13.3,12.6,17.139753904401328,24.13286555002264,22.99846084200996,18.388722508189048
8,DENVER INTL AP, CO,39.8328,-104.6575,1650.2,33.27378135352579,54.95586238116795,71.76899049343595,44.137014506317264,22.1,55.9,33.9,83.0,52.6,89.2,24.3,76.7,15.40241362991008,33.23191489361702,45.40158442734269,22.98451099672438,1015.6226691907242,1010.5026256224536,1012.2868266183796,1015.5006551240056,-6664.273828679602,-6638.458488003622,-6479.295020371208,-6639.396396817969,-6661.363937529579,-6634.802625622454,-6474.2973291081935,-6637.237810014038,-6660.260861334596,-6632.278904481666,-6471.635536441828,-6636.874309780065,-6656.102366303834,-6627.674784970574,-6469.488411045722,-6633.7787084698175,-6662.568764789399,-6634.945676776822,-6479.725169760072,-6639.983809078146,33.27378135352579,71.76899049343595,44.137014506317264,26.266161855182204,52.51045722046175,26.02258940697148,39.72012166588675,10.115712257453858,10.896876414667268,-35.79592575826165,9.570893776321949,4.881542830099385,3.959393390674513,-40.54517881394296,5.330088909686477,207.3279697113109,152.41738343141694,114.68356722498868,180.78240524099203,3.475295787979176,3.1896785875961973,-40.855002263467625,3.641132428638278,6.0,6.0,6.0,6.0,4.837671557027923,4.31869624264373,-40.6260751471254,4.54515676181563,17.7,18.2,21.6,18.7,27.755986748698533,25.00072430964237,-14.75504753282028,30.975526438933088
9,BORGER HUTCHINSON CO AP, TX,35.695,-101.395,930.9,42.34074775201136,66.49818922589407,80.04979628791308,53.336218998596166,28.5,65.3,43.1,91.8,61.6,94.4,31.6,83.1,21.40435399905348,41.41923947487551,57.35273879583522,32.78151614412728,1017.6412210127784,1011.0552738795832,1012.8450430058848,1016.7899859616284,44.67250354945575,57.67347215934812,79.11213218650974,86.76668226485728,-34.41902508282063,-17.025033952014486,8.13064735174287,3.1385587271876463,-36.25920492191197,-18.995971027614303,4.894114984155726,1.8410388394946184,-36.16786559394226,-20.22725215029425,3.262019013128112,1.421993448759944,-27.49569332702318,-14.805794477138978,4.6026256224536,6.834019653720168,42.34074775201136,80.07745586238117,53.336218998596166,37.84576431613819,65.71534631054776,80.03019465821639,50.99887693027609,10.054614292475154,11.492077863286555,9.680805794477138,9.732007487131492,6.881448177946048,4.8831145314622,5.974332277048438,7.254656059897052,234.5646000946521,193.0697148030783,180.6156631960163,220.04585868039308,3.093232371036441,4.321412403802626,5.87999094612947,3.632756200280768,6.0,5.0,5.0,6.0,4.584950307619498,4.716161158895428,4.840199185151652,4.637810014038371,21.7,21.8,38.8,27.2,25.41372456223379,27.395156179266635,38.26306020823903,29.883575105287782
10,BURLINGTON CARSON AP, CO,39.2447,-102.2842,1277.7,31.778466635115947,56.1244907197827,72.19420552286103,43.21417875526439,19.0,56.3,31.9,85.3,51.0,90.2,21.9,77.2,17.168859441552296,38.19203259393391,53.4986871887732,26.46883481516144,1017.5616658778988,1011.5917157084654,1013.2358985966504,1016.919794103884,-191.4755324183625,-1686.3332729741962,-25.090810321412388,-66.96995788488535,-266.118125887364,-1741.2095971027616,-96.40407424173834,-146.53444080486665,-267.3185991481306,-1743.5952467179718,-100.36364870982344,-147.5838090781469,-267.3485565546616,-1744.3165233137163,-101.37003168854685,-147.78867571361724,-259.09720776147657,-1738.1329108193754,-98.35590765052062,-141.2630790828264,31.778466635115947,72.19452240832956,43.21417875526439,23.369711310932324,53.47383431416931,72.07206880941602,37.9582124473561,12.238428774254611,13.336713444997736,10.56545948392938,11.568413664014974,2.3083767155702795,2.466093254866456,3.494975101856044,2.5804866635470285,267.02035021296734,196.0669986419194,167.7949298325034,251.97379503977533,4.137150970184571,3.0282933454051606,4.619013128112268,3.665652784277024,7.0,5.0,5.0,7.0,6.145291055371509,4.645540968764147,4.458125848800362,5.330837622835751,23.9,22.9,28.5,24.9,25.561050638902035,23.733182435491177,30.496287913082845,26.439167056621432
11,CLINES CORNERS, NM,35.0028,-105.6628,2159.8,34.12077614765736,55.66704391127207,67.56079674060662,43.80884417407581,21.7,56.4,33.4,82.9,50.2,83.5,24.7,72.8,15.576715570279225,24.21584427342689,45.552467179719336,23.79279363593823,1017.6194510175108,1011.9957446808512,1015.5149841557264,1017.8805802526906,-171.48310459062947,85.71190583974649,-492.5966500679039,-416.1830603649976,-252.1640795078088,6.217971933001358,-556.4496604798552,-497.052222742162,-253.12039753904403,3.5991851516523314,-560.2242643730194,-498.4079550772109,-253.4303360151444,1.86962426437302,-562.7243096423721,-499.1176415535799,-250.0407004259347,2.60312358533273,-562.7145314622001,-497.5060832943379,34.12077614765736,67.56079674060662,43.80884417407581,24.98159015617605,53.1313263920326,67.44237211407878,38.02985493682732,16.465120681495506,14.883340878225445,10.500135808057944,14.624286382779594,1.417652626597255,1.7450882752376642,3.780760525124491,1.4907814693495556,283.6743965925225,259.3295608872793,235.58578542326845,275.92559663079084,11.55929957406531,8.162381167949299,3.407876867360797,9.293916705662143,8.0,7.0,7.0,7.0,7.4131566493137715,6.436849253055681,6.066545948392938,7.469817501169865,37.8,32.5,20.8,38.7,40.24661618551822,33.22593933906745,23.54698958804889,36.38993916705663
12,WINDOW ROCK AP, AZ,35.6575,-109.0614,2054.0,31.98102224325603,54.51303757356269,68.25916704391128,41.88460458586804,14.0,56.9,27.4,85.2,42.4,86.2,19.5,74.7,16.0630383341221,20.29732910819375,41.77555454956995,21.27407580720637,1018.2064363464268,1010.6776369397916,1012.501267541874,1017.6070191857744,-124.5171793658306,-194.1692168401992,-2295.9699864191944,-538.5668226485728,-199.7632276384288,-270.0116342236306,-2346.2825260298778,-613.7257370145063,-200.5443445338381,-272.24925305568127,-2348.57315527388,-614.796443612541,-200.3059630856602,-273.4887732005433,-2350.514214576732,-614.9248011230699,-194.3150496923805,-273.4158442734269,-2351.054277953825,-612.2978942442677,31.98102224325603,68.25916704391128,41.88460458586804,29.01026975863701,53.552286102308734,68.20914440923495,40.33331773514272,5.079602460955987,7.57116342236306,4.738207333635129,4.690547496490408,43.7637955513488,30.502218198279763,39.32009959257583,46.04300421151146,235.13109323237103,229.38931643277505,213.95110909913987,226.5648104819841,2.7551348793185046,5.399366229062925,2.0363512901765506,2.4966775854000933,6.0,6.0,5.0,6.0,5.3752957879791765,5.961521050248981,5.206428248076053,5.515676181562939,11.0,14.0,9.6,12.5,17.930336015144345,27.338524219103668,16.427071072883656,17.37753860552176
13,GUYMON MUNI AP, OK,36.6817,-101.5053,951.9,38.55044959772835,63.3832956088728,77.77234042553192,49.61567618156294,24.3,63.6,37.7,91.5,57.1,95.1,27.3,83.1,20.633222905821107,41.8701674966048,57.53200543232232,31.612774918109498,1016.9476100331282,1010.2488909008604,1011.8612947034856,1016.0779597566684,-917.1487458589684,48.644363965595296,80.03331824354912,87.04894712213382,-991.4428300993848,-26.320190131281123,8.189271163422362,2.717033224146,-992.0851869380028,-28.345495699411497,4.463105477591671,1.7193729527374826,-992.1637482252722,-29.27790855590764,2.9007695789950203,1.386757136172204,-985.8464742072882,-23.443956541421464,4.414214576731553,7.124707533926064,38.55044959772835,77.83282028066999,49.61567618156294,32.92408897302414,62.15436849253056,77.74205522861024,46.43537669630322,10.760293421675344,12.433408782254414,10.300679040289722,10.456715021057557,6.589067676289636,4.205703938433681,5.586962426437302,7.273935423490876,255.5224798864174,204.5595291987325,179.7170665459484,235.77959756668227,2.7637955513487933,3.672249886826618,5.558216387505658,2.97604117922321,1.0,5.0,5.0,5.0,4.642214860388074,4.1620642824807605,4.906292440018108,4.303696771174544,19.7,24.3,38.1,24.3,23.31273071462376,28.09932095971028,38.84173834314169,27.350959288722507
14,ODESSA SCHLEMEYER FLD, TX,31.9206,-102.3867,914.7,48.67439659252248,72.05848800362153,81.49402444545042,58.119092185306506,33.7,72.4,49.1,95.0,64.6,94.5,36.3,83.9,26.12915286322764,43.495065640561336,58.29076505205976,38.3250818905007,1017.0407004259348,1010.3920778632864,1012.3868718877318,1016.4028544688816,-573.0294841457643,-649.1955183340878,-121.76392032593937,-1266.8649976602717,-650.5336488405111,-724.4807605251245,-190.4430964237211,-1340.2720168460455,-651.4436819687647,-726.1572204617476,-194.14373019465825,-1341.113710809546,-651.650496923805,-726.9675418741514,-196.2484382073337,-1341.6316799251288,-645.0522479886417,-724.3109099139881,-195.22127659574468,-1337.9017781937296,48.67439659252248,81.57917609778181,58.119092185306506,45.59417889256981,71.74345857854232,81.46844726120416,56.59943846513804,10.085991481306198,12.159393390674513,10.199773653236758,9.520121665886755,6.32910553715097,2.923132639203259,3.9348121321865097,6.381562938699112,208.13771888310453,170.45495699411498,150.7274784970575,182.1240056153486,2.0999526739233323,5.812267994567678,7.243232231779086,2.975339260645765,5.0,5.0,5.0,5.0,4.852342640795079,4.615663196016297,4.222272521502942,4.151614412728123,21.1,23.5,36.0,23.7,21.842120208234736,33.063014938886376,42.046627433227705,28.258165652784275
