Cluster 0,Cluster 1
44.4,26.6
43.8,26.15
43.3,25.8
42.7,25.45
42.3,25.1
41.9,24.75
41.5,24.5
41.2,24.25
41.9,24.5
44.7,26.45
47.9,29.1
50.7,30.75
52.9,32.4
54.6,33.75
55.6,34.45
56.2,34.45
55.8,33.75
53.8,32.1
50.8,30.5
48.8,29.05
47.4,28.3
46.6,27.7
45.7,27.2
44.9,26.65
44.3,26.3
43.6,25.9
43.2,25.55
42.6,25.3
42.3,25.0
41.8,24.75
41.4,24.5
40.9,24.25
41.6,24.4
44.5,26.5
47.7,29.0
50.7,30.75
52.9,32.650000000000006
54.4,33.849999999999994
55.6,34.5
56.2,34.5
55.8,33.75
53.8,32.2
50.8,30.55
48.8,29.2
47.5,28.3
46.4,27.75
45.8,27.1
45.0,26.6
44.4,26.2
43.8,25.8
43.3,25.5
42.7,25.2
42.3,24.9
41.7,24.65
41.4,24.35
41.0,24.15
41.7,24.55
44.7,26.5
47.8,28.85
50.7,30.85
52.9,32.650000000000006
54.5,33.8
55.7,34.55
56.3,34.65
55.9,33.849999999999994
54.0,32.3
50.9,30.5
48.9,29.3
47.5,28.55
46.5,27.8
45.8,27.25
45.1,26.6
44.4,26.25
43.8,25.9
43.2,25.55
42.7,25.25
42.1,25.1
41.7,24.700000000000003
41.3,24.45
41.0,24.3
41.8,24.75
44.6,26.85
47.9,28.9
50.8,31.1
53.0,32.75
54.6,33.849999999999994
55.9,34.55
56.5,34.7
56.2,34.0
54.1,32.3
51.0,30.6
48.9,29.4
47.5,28.7
46.5,27.9
45.8,27.3
45.1,26.75
44.5,26.35
43.8,26.1
43.2,25.65
42.8,25.35
42.3,25.05
41.8,24.75
41.4,24.55
41.1,24.4
41.8,24.7
44.7,26.65
48.0,28.95
50.8,31.0
53.1,32.650000000000006
54.7,33.8
56.2,34.55
56.6,34.650000000000006
56.4,33.8
54.1,32.2
51.2,30.45
48.9,29.35
47.7,28.4
46.5,27.6
45.7,27.2
45.1,26.7
44.4,26.25
43.9,25.95
43.2,25.5
42.7,25.15
42.1,24.8
41.6,24.5
41.3,24.3
41.1,24.2
41.6,24.45
44.5,26.35
48.1,28.7
50.7,30.9
53.0,32.6
54.7,33.6
55.9,34.349999999999994
56.5,34.5
56.3,33.75
54.0,32.1
51.2,30.4
48.7,29.35
47.6,28.3
46.3,27.5
45.6,26.95
45.0,26.6
44.2,26.05
43.5,25.65
43.0,25.3
42.5,25.1
42.0,24.8
41.5,24.45
41.2,24.25
41.0,24.2
41.4,24.3
44.5,26.2
47.9,28.5
50.7,30.75
53.0,32.4
54.7,33.45
55.9,34.4
56.7,34.650000000000006
56.3,33.9
54.2,32.05
51.1,30.4
48.7,29.3
47.5,28.3
46.4,27.55
45.5,26.95
44.7,26.55
43.9,26.1
43.4,25.75
42.8,25.5
42.3,25.05
41.8,24.8
41.5,24.55
41.1,24.4
40.9,24.2
41.3,24.15
44.4,26.15
47.7,28.45
50.7,30.8
53.0,32.25
54.8,33.55
56.0,34.5
56.8,34.7
56.3,33.95
54.4,32.05
51.2,30.35
48.8,29.3
47.4,28.5
46.4,27.8
45.5,27.1
44.7,26.4
44.1,25.95
43.5,25.6
43.0,25.4
42.3,25.1
41.8,24.75
41.4,24.6
41.1,24.25
40.9,24.2
41.5,24.25
44.4,26.3
47.7,28.5
50.7,30.75
53.0,32.349999999999994
54.8,33.650000000000006
56.1,34.45
56.9,34.7
56.4,34.150000000000006
54.6,32.05
51.3,30.4
48.9,29.45
47.4,28.6
46.4,27.85
45.5,27.3
44.8,26.7
44.1,26.2
43.5,25.6
42.9,25.4
42.3,25.15
41.8,24.7
41.4,24.5
41.1,24.4
40.8,24.2
41.5,24.3
44.6,26.45
47.8,28.6
50.7,30.8
53.1,32.5
54.9,33.9
56.4,34.650000000000006
57.0,34.8
56.5,34.1
54.8,32.2
51.5,30.5
49.0,29.6
47.5,28.75
46.5,28.05
45.6,27.5
44.9,26.9
44.3,26.3
43.6,25.9
43.0,25.5
42.4,25.3
41.9,25.0
41.5,24.7
41.2,24.5
40.9,24.3
41.6,24.5
44.6,26.6
47.9,28.85
50.8,30.95
53.3,32.650000000000006
55.0,33.8
56.5,34.650000000000006
57.2,34.9
56.9,34.2
55.1,32.349999999999994
51.8,30.65
49.2,29.6
47.7,28.8
46.6,28.15
45.7,27.65
45.0,27.2
44.2,26.5
43.7,26.05
43.1,25.75
42.6,25.5
42.1,25.25
41.6,24.8
41.3,24.7
41.0,24.4
41.8,24.55
44.9,26.65
48.1,28.8
50.9,30.95
53.4,32.650000000000006
55.3,33.7
56.8,34.8
57.3,34.849999999999994
57.0,34.3
55.2,32.5
52.0,30.8
49.5,29.75
47.9,28.85
46.7,28.15
45.8,27.75
45.0,27.3
44.2,26.7
43.7,26.2
43.1,25.85
42.6,25.6
42.2,25.2
41.8,24.9
41.4,24.7
41.1,24.45
42.0,24.6
45.1,26.7
48.3,28.8
51.1,30.8
53.6,32.650000000000006
55.5,33.650000000000006
57.0,34.75
57.5,34.9
57.1,34.3
55.4,32.6
52.3,30.65
49.8,29.7
48.1,28.95
46.9,28.1
46.0,27.65
45.2,27.1
44.5,26.6
43.8,26.2
43.2,25.85
42.7,25.5
42.4,25.0
41.9,24.7
41.6,24.35
41.4,24.1
42.0,24.35
45.2,26.6
48.5,28.75
51.3,30.75
53.7,32.55
55.7,33.7
57.0,34.55
57.6,34.6
57.3,34.2
55.6,32.6
52.4,30.65
49.9,29.7
48.2,28.95
47.1,28.1
46.1,27.5
45.2,27.0
44.6,26.5
43.9,26.1
43.3,25.7
42.9,25.4
42.4,24.9
42.1,24.6
41.8,24.3
41.5,24.05
42.1,24.3
45.3,26.5
48.6,28.7
51.3,30.7
53.6,32.4
55.7,33.6
57.0,34.4
57.5,34.5
57.3,34.2
55.6,32.6
52.6,30.6
49.9,29.7
48.4,28.85
47.2,28.05
46.2,27.4
45.3,26.9
44.7,26.35
44.0,25.9
43.4,25.6
43.0,25.25
42.5,24.85
42.1,24.5
41.8,24.2
41.6,23.95
42.2,24.15
45.3,26.5
48.5,28.6
51.3,30.7
53.8,32.4
55.7,33.5
57.1,34.3
57.5,34.5
57.2,34.2
55.6,32.6
52.6,30.5
49.9,29.6
48.3,28.7
47.1,28.0
46.2,27.3
45.5,26.8
44.6,26.25
44.1,25.8
43.5,25.4
43.0,25.2
42.5,24.8
42.1,24.4
41.8,24.1
41.4,23.8
42.1,24.15
45.0,26.2
48.5,28.55
51.4,30.65
53.9,32.3
55.8,33.45
57.1,34.25
57.5,34.45
57.2,34.05
55.6,32.5
52.4,30.55
49.9,29.55
48.3,28.7
47.1,27.9
46.1,27.35
45.3,26.75
44.6,26.3
43.9,25.85
43.3,25.5
42.8,25.15
42.3,24.8
41.9,24.4
41.5,24.1
41.3,23.85
42.0,24.1
45.1,26.2
48.4,28.45
51.4,30.45
54.1,32.2
55.9,33.45
57.2,34.25
57.7,34.45
57.4,34.05
55.7,32.45
52.5,30.6
49.9,29.35
48.2,28.4
47.0,27.8
45.9,27.0
45.2,26.6
44.5,26.2
43.8,25.75
43.2,25.3
42.8,24.95
42.3,24.55
41.9,24.2
41.5,23.8
41.2,23.65
42.1,24.0
45.2,26.0
48.4,28.3
51.4,30.5
54.1,32.3
55.8,33.45
57.3,34.3
57.7,34.5
57.5,34.05
55.7,32.349999999999994
52.7,30.5
50.0,29.3
48.3,28.4
47.0,27.6
45.9,27.0
45.1,26.5
44.4,26.1
43.7,25.5
43.3,25.1
42.8,24.85
42.4,24.45
42.0,24.1
41.6,23.8
41.2,23.5
41.8,23.9
45.3,25.85
48.4,28.2
51.6,30.5
54.2,32.4
55.8,33.75
57.4,34.6
57.8,34.75
57.6,34.2
55.8,32.5
52.7,30.7
50.2,29.25
48.4,28.35
47.0,27.65
46.0,27.0
45.2,26.65
44.5,25.95
43.7,25.55
43.2,25.25
42.8,24.85
42.3,24.4
42.0,24.1
41.6,23.75
41.3,23.5
41.9,24.05
45.3,25.9
48.4,28.2
51.8,30.45
54.4,32.5
56.2,33.75
57.7,34.650000000000006
58.1,34.9
57.9,34.2
56.2,32.5
53.0,30.8
50.5,29.4
48.6,28.5
47.3,27.7
46.3,27.1
45.3,26.7
44.6,26.05
43.9,25.6
43.3,25.15
42.9,24.9
42.4,24.5
42.1,24.1
41.7,23.85
41.5,23.5
42.1,24.2
45.5,26.0
48.6,28.4
52.0,30.65
54.6,32.55
56.5,33.9
57.9,34.8
58.4,34.95
58.0,34.3
56.4,32.650000000000006
53.2,30.9
50.6,29.5
48.8,28.55
47.6,27.85
46.4,27.2
45.4,26.7
44.7,26.15
44.1,25.65
43.5,25.25
43.0,24.95
42.5,24.6
42.3,24.25
41.8,23.95
41.6,23.7
42.2,24.3
45.8,26.15
48.9,28.35
52.3,30.85
54.8,32.6
56.8,34.150000000000006
58.0,34.95
58.4,35.2
58.0,34.4
56.4,32.849999999999994
53.1,30.95
50.6,29.6
49.0,28.65
47.7,27.9
46.4,27.35
45.6,26.85
44.8,26.2
44.1,25.700000000000003
43.5,25.35
43.0,24.95
42.6,24.7
42.2,24.25
41.8,23.95
41.5,23.7
42.2,24.4
45.8,26.3
49.1,28.6
52.6,30.9
54.9,32.8
56.9,34.2
58.3,35.05
58.8,35.2
58.4,34.5
56.7,32.95
53.5,30.95
50.9,29.7
49.1,28.8
47.8,28.05
46.7,27.4
45.7,26.9
45.0,26.35
44.3,25.85
43.7,25.3
43.1,25.05
42.6,24.7
42.2,24.3
41.8,24.1
41.6,23.85
42.5,24.55
46.0,26.4
49.4,28.85
52.7,31.1
55.2,32.95
57.2,34.25
58.5,35.1
59.0,35.3
58.7,34.7
57.1,33.150000000000006
53.7,31.15
51.2,29.8
49.4,28.85
48.1,28.2
47.0,27.45
46.0,26.8
45.1,26.3
44.4,25.75
43.8,25.25
43.4,25.0
42.8,24.55
42.4,24.1
42.1,23.9
41.7,23.7
42.6,24.3
46.2,26.3
49.5,28.85
52.9,31.15
55.2,33.0
57.2,34.4
58.5,35.25
58.9,35.4
58.7,34.849999999999994
57.0,33.2
53.8,31.3
51.2,29.85
49.5,28.85
48.1,28.2
47.0,27.35
46.0,26.7
45.2,26.1
44.4,25.7
43.9,25.3
43.3,24.9
42.8,24.5
42.4,24.15
42.1,23.85
41.8,23.7
42.8,24.05
46.3,26.3
49.6,28.9
52.8,31.15
55.3,32.95
57.3,34.349999999999994
58.6,35.1
59.0,35.3
58.7,34.75
57.1,33.3
53.8,31.2
51.3,29.8
49.6,28.8
48.2,28.15
