Cluster 0,Cluster 1,Cluster 2
48.650000000000006,35.4,23.0
48.15,34.9,22.65
47.6,34.4,22.25
47.150000000000006,34.1,22.1
46.7,33.650000000000006,21.700000000000003
46.25,33.349999999999994,21.5
45.95,32.95,21.1
45.75,32.75,20.799999999999997
46.650000000000006,33.0,21.35
50.3,35.6,23.4
53.2,38.349999999999994,26.2
55.95,40.9,27.95
57.95,42.849999999999994,29.45
59.7,44.349999999999994,30.5
60.650000000000006,45.55,31.2
60.95,45.849999999999994,31.35
60.55,45.349999999999994,31.0
58.35,43.3,29.1
55.6,41.05,27.2
53.45,39.55,25.95
51.849999999999994,38.4,25.15
50.9,37.4,24.4
49.95,36.6,23.6
49.15,36.0,23.3
48.5,35.4,23.0
48.0,34.849999999999994,22.55
47.650000000000006,34.3,22.2
47.2,33.9,21.95
46.7,33.5,21.6
46.2,33.2,21.4
45.8,32.95,21.05
45.5,32.9,20.95
46.349999999999994,33.0,21.3
50.150000000000006,35.4,23.5
53.2,38.2,26.1
55.8,40.849999999999994,27.8
58.0,42.849999999999994,29.4
59.6,44.3,30.5
60.6,45.45,31.2
60.95,45.7,31.35
60.6,45.4,30.8
58.5,43.25,29.15
55.650000000000006,41.2,27.05
53.5,39.55,25.9
52.0,38.3,25.2
50.9,37.3,24.4
50.0,36.55,23.85
49.3,35.9,23.35
48.55,35.45,22.8
48.1,34.8,22.5
47.6,34.2,22.25
47.1,33.849999999999994,21.9
46.8,33.5,21.55
46.4,33.1,21.4
45.95,33.0,21.15
45.6,32.9,20.85
46.3,33.150000000000006,21.3
50.25,35.45,23.55
53.25,38.3,25.9
56.05,40.7,27.8
58.1,42.8,29.4
59.75,44.349999999999994,30.7
60.7,45.4,31.3
61.0,45.849999999999994,31.3
60.650000000000006,45.95,30.8
58.7,43.55,29.25
55.7,41.150000000000006,27.25
53.650000000000006,39.45,26.25
52.1,38.2,25.25
50.95,37.3,24.6
50.150000000000006,36.5,23.9
49.4,35.8,23.3
48.7,35.349999999999994,22.799999999999997
48.150000000000006,34.75,22.45
47.6,34.349999999999994,22.2
47.150000000000006,33.8,21.95
46.75,33.5,21.7
46.5,33.0,21.6
46.1,32.849999999999994,21.35
45.75,32.8,20.85
46.3,33.2,21.5
50.349999999999994,35.55,23.7
53.2,38.4,26.1
56.1,40.75,28.0
58.25,43.05,29.6
59.8,44.55,30.7
60.8,45.55,31.3
61.05,46.2,31.4
60.75,46.0,30.9
58.75,43.8,29.3
55.8,41.150000000000006,27.35
53.75,39.650000000000006,26.2
52.3,38.4,25.25
51.1,37.45,24.45
50.1,36.7,23.9
49.3,36.0,23.45
48.9,35.5,22.9
48.150000000000006,35.0,22.4
47.55,34.45,22.2
47.05,34.0,21.75
46.6,33.6,21.700000000000003
46.25,33.2,21.549999999999997
45.9,33.0,21.450000000000003
45.6,33.0,21.0
46.25,33.2,21.55
50.150000000000006,35.65,23.8
53.4,38.45,26.1
56.150000000000006,40.6,27.85
58.2,42.8,29.5
59.8,44.45,30.5
60.75,45.5,31.1
61.1,46.2,31.3
60.849999999999994,45.95,30.8
58.75,44.0,29.2
55.8,41.2,27.2
53.650000000000006,39.55,26.05
52.1,38.3,25.2
51.1,37.349999999999994,24.3
50.2,36.6,23.8
49.3,35.95,23.3
48.7,35.3,22.700000000000003
48.150000000000006,34.75,22.3
47.5,34.4,21.8
46.95,33.9,21.65
46.4,33.55,21.6
46.05,33.2,21.5
45.6,32.9,21.2
45.3,32.9,20.95
46.349999999999994,33.1,21.45
