Cluster 0,Cluster 1,Cluster 2,Cluster 3
53.25,29.5,17.7,41.6
52.650000000000006,29.3,17.3,40.8
52.25,28.9,16.9,40.4
51.849999999999994,28.6,16.8,39.8
51.45,28.1,16.2,39.5
50.900000000000006,27.7,15.9,39.1
50.5,27.4,15.7,38.8
50.25,27.3,15.6,38.6
51.05,27.4,15.7,38.9
53.7,29.0,18.2,41.9
56.8,31.3,20.5,45.1
59.35,33.6,22.7,48.3
61.9,35.8,24.2,50.5
63.45,37.3,25.3,52.2
64.45,38.1,26.0,53.3
64.85,38.0,25.9,53.8
64.69999999999999,37.1,25.2,53.6
62.2,35.3,23.6,51.0
59.2,33.4,21.7,48.1
56.900000000000006,32.3,20.3,46.2
55.45,31.4,19.7,44.7
54.650000000000006,30.7,19.0,43.7
53.8,30.0,18.5,42.8
53.45,29.7,18.0,42.0
53.0,29.3,17.6,41.4
52.45,29.1,17.3,40.8
52.05,28.8,17.1,40.2
51.650000000000006,28.4,16.7,39.8
51.349999999999994,28.0,16.4,39.4
50.8,27.7,16.1,39.1
50.3,27.3,15.8,38.8
50.05,27.0,15.7,38.5
50.95,27.3,16.1,38.8
53.650000000000006,28.9,18.0,41.8
56.650000000000006,31.2,20.3,45.0
59.150000000000006,33.8,22.8,48.2
61.75,35.7,24.2,50.4
63.25,37.2,25.2,52.1
64.30000000000001,37.9,25.9,53.3
64.69999999999999,37.9,26.1,53.7
64.5,37.2,25.4,53.5
62.4,35.3,23.6,51.0
59.3,33.3,22.1,48.3
56.650000000000006,32.1,20.6,46.2
55.45,31.2,19.9,44.8
54.8,30.5,19.2,43.8
53.95,30.0,18.7,42.9
53.45,29.5,18.2,42.1
53.0,29.2,17.6,41.4
52.55,28.8,17.2,40.9
52.150000000000006,28.6,17.1,40.3
51.75,28.2,16.8,39.9
51.45,27.8,16.5,39.5
51.0,27.5,16.3,39.1
50.85,27.2,15.9,38.9
50.6,27.0,15.7,38.6
51.150000000000006,27.0,16.4,38.9
53.9,28.7,17.9,41.7
56.849999999999994,31.3,20.1,45.0
59.4,33.8,22.6,48.2
61.75,35.7,24.4,50.4
63.3,37.1,25.3,52.1
64.35,37.9,26.0,53.2
64.7,37.9,26.1,53.9
64.6,37.2,25.5,53.7
62.849999999999994,35.2,23.7,51.2
59.8,33.3,22.1,48.4
56.9,32.0,21.0,46.3
55.7,31.2,20.3,45.0
55.0,30.4,19.8,43.9
54.3,29.8,19.2,43.1
53.75,29.5,18.4,42.3
53.3,29.0,17.7,41.7
52.9,28.9,17.4,41.1
52.349999999999994,28.5,17.1,40.6
51.9,28.2,16.8,40.1
51.349999999999994,27.8,16.4,39.8
51.0,27.6,16.4,39.4
50.8,27.3,16.1,39.1
50.55,27.1,15.8,38.8
51.15,27.1,16.4,39.0
53.9,28.8,18.1,41.9
56.8,31.4,20.2,45.1
59.5,33.8,22.6,48.3
61.9,35.7,24.3,50.5
63.6,37.2,25.4,52.2
64.55,37.9,26.1,53.4
65.35,38.0,26.3,54.0
65.1,37.2,25.7,53.7
63.15,35.4,23.8,51.4
59.95,33.4,22.2,48.5
56.95,32.1,21.0,46.5
55.75,31.2,20.5,45.2
54.8,30.5,20.0,44.1
54.25,30.0,19.3,43.2
53.650000000000006,29.6,18.4,42.5
53.2,29.3,17.8,41.9
52.7,28.8,17.4,41.3
52.25,28.6,16.9,40.8
51.75,28.2,16.7,40.3
51.2,28.0,16.4,39.8
50.8,27.7,16.3,39.4
50.55,27.4,16.0,39.1
50.349999999999994,27.2,15.9,38.8
51.0,27.1,16.3,39.0
53.75,28.8,17.8,42.0
56.8,31.4,20.0,45.3
59.650000000000006,33.8,22.4,48.3
61.95,35.6,24.2,50.6
63.55,37.0,25.3,52.3
64.55000000000001,37.9,26.0,53.5
65.55,38.0,26.1,54.2
65.35,37.2,25.5,53.9
63.5,35.3,23.6,51.6
60.150000000000006,33.3,22.1,48.7
57.1,31.9,20.8,46.5
55.8,31.2,20.3,45.3
54.9,30.6,19.8,44.2
54.1,29.9,19.2,43.3
53.45,29.4,18.4,42.5
52.900000000000006,29.0,17.9,41.9
52.4,28.7,17.3,41.3
52.0,28.5,16.8,40.7
51.45,28.1,16.7,40.2
51.05,27.8,16.4,39.7
50.6,27.5,16.2,39.1
50.45,27.2,16.0,38.8
50.2,26.9,15.8,38.6
50.849999999999994,27.0,16.0,38.9
53.55,28.5,17.6,42.0
56.55,31.1,20.0,45.2
59.6,33.6,22.3,48.3
61.9,35.5,24.1,50.5
63.4,36.9,25.1,52.3
64.69999999999999,37.8,25.8,53.5
65.6,37.9,25.9,54.1
65.45,37.1,25.2,53.8
63.7,35.2,23.7,51.7
60.2,33.1,22.0,48.6
57.2,31.8,21.0,46.5
55.7,30.9,20.2,45.3
54.75,30.4,19.6,44.1
54.150000000000006,29.9,19.1,43.2
53.25,29.4,18.5,42.4
52.75,29.0,17.9,41.8
52.150000000000006,28.6,17.3,41.1
51.5,28.2,16.7,40.4
51.05,27.9,16.7,39.9
50.7,27.5,16.3,39.4
50.4,27.3,16.0,38.9
50.1,26.9,15.9,38.6
49.75,26.8,15.8,38.4
50.4,26.8,16.0,38.8
53.4,28.5,17.6,41.8
56.4,31.1,20.0,45.1
59.75,33.6,22.3,48.2
61.9,35.3,24.0,50.6
63.6,36.8,25.1,52.4
64.9,37.6,25.9,53.6
65.69999999999999,37.8,26.1,54.2
