Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4
44.7,28.950000000000003,17.4,41.6,54.3
44.2,28.65,17.0,40.8,53.849999999999994
43.5,28.35,16.6,40.349999999999994,53.45
42.8,27.85,16.3,39.8,53.099999999999994
42.2,27.55,15.9,39.5,52.599999999999994
42.0,27.2,15.8,39.1,52.25
41.4,27.0,15.3,38.8,51.95
41.2,26.8,15.1,38.6,51.6
41.6,27.0,15.4,38.849999999999994,52.25
45.6,28.75,17.0,41.650000000000006,54.45
50.3,30.95,18.9,44.75,56.95
54.6,33.3,21.2,47.9,59.7
57.6,35.349999999999994,23.0,50.2,61.95
59.8,36.650000000000006,24.6,52.0,63.55
61.2,37.55,25.4,53.05,64.6
61.6,37.650000000000006,25.5,53.45,65.4
61.8,36.75,24.5,53.05,65.15
58.2,34.9,22.8,50.9,63.95
54.4,33.1,20.9,48.0,60.6
52.7,31.7,20.0,46.1,57.8
50.0,30.8,19.3,44.6,56.400000000000006
47.6,30.15,18.8,43.7,55.5
46.3,29.75,18.1,42.8,55.0
45.5,29.299999999999997,17.6,42.0,54.55
44.9,28.85,17.3,41.349999999999994,54.150000000000006
44.3,28.6,16.8,40.75,53.45
43.6,28.15,16.5,40.2,52.9
42.8,27.75,16.0,39.8,52.65
42.3,27.55,15.8,39.4,52.35
42.0,27.1,15.6,39.05,52.099999999999994
41.4,26.85,15.3,38.75,51.85
41.4,26.65,15.1,38.5,51.55
41.8,26.8,15.4,38.75,52.0
45.7,28.6,16.9,41.7,54.4
50.4,30.9,19.0,44.849999999999994,56.85
54.8,33.150000000000006,21.5,47.95,59.7
58.0,35.349999999999994,23.7,50.2,61.9
60.1,36.8,24.8,51.95,63.349999999999994
61.4,37.5,25.5,52.95,64.5
62.0,37.650000000000006,25.6,53.5,65.3
62.1,36.650000000000006,24.9,53.05,65.0
58.5,34.95,23.1,50.9,63.900000000000006
54.6,32.849999999999994,21.1,48.05,60.65
52.9,31.55,20.1,46.1,57.75
50.3,30.7,19.3,44.7,56.25
47.9,30.15,18.7,43.8,55.45
46.4,29.55,18.1,42.9,54.95
46.5,29.2,17.6,42.05,54.349999999999994
45.4,28.85,17.1,41.4,54.0
44.5,28.5,16.9,40.849999999999994,53.25
43.8,28.2,16.5,40.3,52.75
43.1,28.0,16.0,39.9,52.5
42.5,27.6,15.9,39.5,52.25
42.1,27.2,15.5,39.1,52.2
41.6,26.9,15.2,38.849999999999994,52.0
41.7,26.65,15.0,38.6,51.75
42.5,26.9,15.6,38.849999999999994,52.150000000000006
46.8,28.5,16.9,41.7,54.4
51.6,30.8,19.3,44.9,56.9
55.4,33.150000000000006,21.8,47.95,59.55
58.2,35.2,23.6,50.2,61.849999999999994
60.6,36.75,25.0,51.9,63.45
61.9,37.650000000000006,25.7,53.05,64.5
62.6,37.650000000000006,25.8,53.5,65.25
62.4,36.650000000000006,24.9,53.349999999999994,65.05000000000001
59.6,35.0,23.4,51.1,64.25
56.1,32.95,21.4,48.2,61.15
53.7,31.5,20.5,46.25,58.5
51.5,30.65,19.3,44.9,57.05
49.7,30.1,18.6,43.849999999999994,55.9
48.4,29.45,18.1,43.1,55.2
46.8,29.15,17.5,42.3,54.4
45.7,28.8,17.2,41.7,54.150000000000006
44.7,28.4,16.8,41.1,53.45
43.9,28.2,16.5,40.55,53.099999999999994
43.3,27.9,16.3,40.1,52.85
42.6,27.55,16.0,39.75,52.45
42.3,27.25,15.8,39.4,52.1
41.8,27.0,15.4,39.1,51.900000000000006
41.8,26.8,15.3,38.7,51.55
42.7,26.9,15.6,38.9,52.1
47.0,28.4,17.0,41.75,54.349999999999994
51.9,30.8,19.6,45.0,57.0
55.7,33.3,22.2,48.1,60.150000000000006
58.5,35.349999999999994,24.0,50.3,62.15
60.9,36.9,24.9,52.0,63.8
62.2,37.7,25.7,53.150000000000006,65.05
63.0,37.650000000000006,25.7,53.7,66.0
62.8,36.55,25.0,53.6,65.75
60.0,34.95,23.5,51.150000000000006,64.3
56.4,32.9,21.6,48.25,61.2
54.1,31.65,20.2,46.4,58.55
51.6,30.8,19.3,45.05,57.099999999999994
49.8,30.2,18.6,44.0,55.9
48.6,29.6,18.0,43.150000000000006,55.099999999999994
47.1,29.2,17.6,42.45,54.4
45.9,28.9,17.2,41.849999999999994,54.150000000000006
45.1,28.5,16.7,41.3,53.45
44.3,28.3,16.4,40.75,53.05
43.5,27.9,16.3,40.3,52.8
42.7,27.6,15.8,39.8,52.4
42.4,27.3,15.5,39.4,52.05
41.9,27.0,15.1,39.1,51.85
41.9,26.8,15.0,38.75,51.5
42.8,27.0,15.5,38.95,51.9
47.2,28.45,17.1,41.75,54.349999999999994
52.1,30.85,19.6,45.150000000000006,56.95
56.0,33.05,22.2,48.2,60.150000000000006
58.9,35.05,23.7,50.4,62.15
61.2,36.7,24.8,52.1,63.900000000000006
62.5,37.650000000000006,25.4,53.3,65.2
63.5,37.7,25.7,53.9,66.19999999999999
63.2,36.6,24.8,53.7,65.8
60.4,35.0,23.1,51.3,64.25
56.8,32.9,21.4,48.45,61.2
54.5,31.5,20.2,46.4,58.5
51.9,30.7,19.1,45.3,57.05
50.1,30.05,18.5,44.05,55.849999999999994
48.8,29.55,17.8,43.25,55.15
47.4,29.05,17.4,42.5,54.4
46.2,28.8,17.0,41.9,54.1
45.2,28.4,16.5,41.25,53.45
44.3,28.15,16.4,40.7,53.0
43.6,27.75,16.2,40.2,52.7
42.8,27.45,15.8,39.650000000000006,52.25
42.5,27.1,15.5,39.1,51.9
42.0,26.8,15.1,38.8,51.65
41.9,26.6,14.7,38.55,51.35
42.9,26.75,15.4,38.9,51.75
47.4,28.3,16.8,41.8,54.25
52.3,30.75,19.7,45.0,56.8
56.2,33.0,21.8,48.0,59.95
59.3,34.849999999999994,23.3,50.1,62.05
61.5,36.4,24.6,52.0,63.8
62.8,37.5,25.6,53.2,65.1
63.8,37.55,25.7,53.9,66.0
63.6,36.6,25.0,53.7,65.65
60.7,34.8,23.1,51.3,64.1
57.1,32.8,21.3,48.5,61.150000000000006
54.8,31.45,20.3,46.3,58.35
52.1,30.65,19.3,45.0,56.900000000000006
50.2,30.0,18.7,44.0,55.7
49.1,29.45,17.9,43.1,55.0
47.7,29.0,17.7,42.349999999999994,54.2
46.5,28.55,17.1,41.75,54.0
45.4,28.25,16.5,41.1,53.4
44.5,27.95,16.4,40.4,52.900000000000006
43.7,27.7,16.1,39.9,52.45
43.1,27.4,15.8,39.4,52.099999999999994
42.7,27.0,15.6,38.9,51.65
42.2,26.8,15.3,38.6,51.4
42.0,26.6,15.0,38.349999999999994,51.099999999999994
43.1,26.6,15.2,38.6,51.45
47.6,28.1,16.6,41.7,54.0
52.4,30.65,19.7,44.8,56.95
56.5,32.849999999999994,21.7,47.8,59.849999999999994
59.4,34.8,23.4,50.05,62.05
61.7,36.4,24.8,51.9,63.8
63.0,37.349999999999994,25.6,53.150000000000006,64.95
63.9,37.5,25.8,53.849999999999994,65.9
63.7,36.7,25.1,53.55,65.45
61.0,34.9,23.3,51.349999999999994,63.95
57.3,32.7,21.5,48.4,60.95
55.2,31.35,20.4,46.3,58.150000000000006
52.4,30.7,19.6,44.9,56.7
50.6,30.0,19.0,43.9,55.400000000000006
49.4,29.4,18.2,43.1,54.8
47.8,29.0,17.8,42.3,54.099999999999994
46.6,28.4,17.2,41.5,53.9
45.7,28.0,16.8,40.9,53.45
44.7,27.75,16.3,40.3,52.85
43.9,27.4,15.9,39.7,52.3
43.3,27.2,15.9,39.3,51.7
43.0,26.85,15.7,38.9,51.2
42.5,26.6,15.5,38.55,51.05
42.1,26.4,15.4,38.25,50.8
43.1,26.4,15.7,38.650000000000006,51.0
47.7,28.05,16.6,41.55,53.900000000000006
52.5,30.55,19.8,44.650000000000006,56.85
56.7,32.9,22.1,47.8,59.7
59.6,34.75,23.6,50.150000000000006,62.05
62.0,36.349999999999994,24.8,51.9,63.650000000000006
63.4,37.25,25.9,53.25,64.85
64.1,37.5,26.1,54.0,65.7
64.0,36.7,25.3,53.55,65.3
61.5,34.8,23.2,51.4,63.9
57.5,32.7,21.6,48.4,60.95
55.6,31.4,20.3,46.25,58.25
52.8,30.5,19.5,44.9,56.4
50.9,29.8,19.1,43.8,55.2
49.7,29.25,18.4,43.0,54.65
48.1,28.8,17.9,42.2,54.099999999999994
46.8,28.3,17.4,41.349999999999994,53.8
46.1,27.9,16.9,40.8,53.349999999999994
45.0,27.6,16.4,40.3,52.75
44.2,27.2,16.2,39.55,52.2
43.5,26.9,15.8,39.1,51.55
43.2,26.65,15.8,38.7,50.95
42.8,26.35,15.7,38.5,50.45
42.3,26.15,15.5,38.3,50.35
43.5,26.3,15.5,38.650000000000006,50.6
47.9,28.0,16.6,41.5,53.95
52.7,30.5,20.0,44.650000000000006,56.95
56.9,32.7,22.2,47.75,59.65
59.9,34.95,23.7,50.25,62.05
62.1,36.45,25.1,51.9,63.6
63.7,37.3,26.0,53.349999999999994,64.94999999999999
64.2,37.45,26.2,54.0,65.85
64.2,36.7,25.6,53.650000000000006,65.44999999999999
61.9,34.849999999999994,23.4,51.5,64.1
57.7,32.9,21.9,48.5,61.15
55.8,31.3,20.7,46.25,58.3
53.1,30.4,19.6,44.849999999999994,56.349999999999994
51.2,29.85,19.1,43.8,55.25
49.8,29.3,18.5,43.0,54.75
48.2,28.7,18.0,42.2,54.2
46.9,28.25,17.5,41.3,53.75
46.3,27.9,17.2,40.75,53.3
45.3,27.6,16.6,40.3,52.75
44.4,27.3,16.3,39.7,52.2
43.7,27.05,16.0,39.15,51.599999999999994
43.3,26.8,15.7,38.75,50.95
42.7,26.5,15.6,38.5,50.45
42.3,26.3,15.4,38.3,50.25
43.6,26.4,15.5,38.650000000000006,50.5
47.9,28.1,16.9,41.55,54.099999999999994
52.8,30.6,20.1,44.8,57.15
57.0,32.849999999999994,22.1,47.8,59.900000000000006
60.0,35.05,23.7,50.3,62.2
62.3,36.45,25.2,52.05,63.75
63.9,37.2,26.1,53.6,65.1
64.4,37.3,26.4,54.150000000000006,65.9
64.3,36.650000000000006,25.6,53.75,65.6
62.1,34.8,23.5,51.7,64.25
57.9,32.95,22.0,48.6,61.3
56.0,31.5,20.8,46.45,58.349999999999994
53.3,30.45,19.8,45.0,56.5
51.3,29.85,19.1,44.0,55.5
49.8,29.4,18.5,43.150000000000006,55.0
48.2,28.85,18.3,42.45,54.400000000000006
46.9,28.5,17.8,41.5,53.9
46.6,28.1,17.2,40.9,53.25
45.5,27.75,16.8,40.45,52.7
44.5,27.45,16.3,39.95,52.1
43.8,27.15,16.0,39.4,51.5
43.4,26.95,15.7,39.0,50.849999999999994
42.8,26.65,15.6,38.7,50.55
