Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
44.95,20.4,7.8,41.95,54.8,31.0
44.25,20.0,7.8,41.4,54.2,30.6
43.55,19.7,7.7,40.9,53.8,30.2
42.9,19.4,7.7,40.349999999999994,53.5,29.8
42.3,19.2,7.65,39.9,53.3,29.4
42.0,18.8,7.6,39.6,53.1,29.2
41.45,18.6,7.65,39.25,52.9,28.9
41.35,18.2,7.65,39.0,52.6,28.7
41.8,18.4,7.9,39.05,52.9,28.8
46.0,21.1,8.35,42.25,54.9,31.0
50.75,23.6,9.35,45.4,58.0,33.5
54.8,26.0,11.75,48.45,60.7,35.6
57.7,28.0,12.8,50.55,63.1,37.3
59.95,29.2,14.05,52.3,65.0,38.3
61.25,29.7,15.05,53.5,66.1,39.0
61.8,29.5,15.65,54.150000000000006,66.2,39.2
61.8,28.5,15.9,53.7,66.2,38.6
58.650000000000006,26.4,16.05,51.25,64.5,36.6
54.9,24.6,13.95,48.6,61.9,34.9
53.0,23.4,12.399999999999999,46.349999999999994,59.6,34.0
50.5,22.5,11.25,45.05,58.3,33.2
48.45,21.7,10.9,44.05,57.0,32.6
47.0,21.2,10.55,43.25,55.8,31.9
45.9,20.6,10.3,42.5,54.8,31.3
45.099999999999994,20.3,10.05,41.8,54.6,30.9
44.4,19.9,9.75,41.2,54.1,30.5
43.6,19.6,9.600000000000001,40.7,53.9,30.1
42.9,19.6,9.45,40.2,53.5,29.7
42.349999999999994,19.1,9.4,39.75,53.3,29.3
42.05,18.6,9.2,39.349999999999994,52.8,29.0
41.5,18.3,9.1,39.1,52.5,28.8
41.45,18.1,9.05,38.849999999999994,52.2,28.6
42.0,18.6,9.0,39.150000000000006,52.6,28.7
46.1,21.0,9.6,42.05,54.6,31.0
50.849999999999994,23.6,10.35,45.2,57.5,33.3
55.0,26.1,12.25,48.3,60.3,35.5
58.0,28.1,14.5,50.5,62.8,37.1
60.150000000000006,29.2,16.25,52.2,64.7,38.2
61.5,29.8,17.05,53.45,65.8,38.9
62.2,29.6,17.200000000000003,54.05,66.2,39.0
62.150000000000006,28.6,16.85,53.8,66.0,38.6
58.9,26.5,16.05,51.3,64.6,36.4
55.2,24.7,13.649999999999999,48.5,61.8,34.8
53.2,23.5,12.1,46.4,59.5,33.9
50.8,22.7,10.899999999999999,45.05,58.0,33.1
48.7,21.9,10.55,44.1,56.6,32.4
47.2,21.3,10.3,43.25,55.5,31.7
46.7,20.6,10.35,42.5,54.7,31.2
45.599999999999994,20.3,10.1,41.8,54.4,30.7
44.7,20.0,9.95,41.3,54.1,30.3
43.849999999999994,19.8,9.75,40.849999999999994,53.9,29.8
43.2,19.5,9.55,40.3,53.5,29.5
42.6,19.2,9.4,39.9,53.1,29.1
42.2,18.8,9.15,39.45,53.0,28.8
41.75,18.6,9.05,39.2,52.7,28.6
41.75,18.4,9.0,39.1,52.6,28.4
42.95,18.6,9.05,39.25,53.0,28.5
47.05,20.9,9.3,42.2,56.4,30.8
51.7,23.8,10.149999999999999,45.3,58.0,33.3
55.45,26.4,12.0,48.25,60.4,35.5
58.35,28.3,14.4,50.5,62.9,37.0
60.6,29.2,16.15,52.25,64.7,38.1
61.95,29.6,16.9,53.45,65.9,38.8
62.75,29.7,17.1,53.95,66.2,39.0
62.75,28.8,16.7,53.849999999999994,66.1,38.6
60.0,26.7,16.05,51.5,65.0,36.5
56.25,24.7,13.8,48.7,62.2,34.7
53.8,23.7,12.25,46.55,59.6,33.8
51.8,22.7,11.05,45.25,58.1,33.0
49.900000000000006,22.1,10.399999999999999,44.25,57.1,32.2
48.4,21.6,10.2,43.3,56.4,31.7
47.0,21.0,10.15,42.6,55.9,31.1
45.85,20.6,10.100000000000001,42.0,55.3,30.7
44.900000000000006,20.0,9.95,41.4,54.7,30.2
44.0,19.7,9.75,40.95,54.1,29.8
43.349999999999994,19.5,9.55,40.45,53.7,29.4
42.6,19.1,9.350000000000001,40.05,53.2,29.0
42.4,18.9,9.2,39.7,52.8,28.8
41.9,18.7,9.2,39.4,52.5,28.5
41.9,18.7,9.25,39.05,52.4,28.3
43.1,18.7,9.2,39.25,52.8,28.6
47.25,20.9,9.35,42.3,56.2,30.7
51.95,23.8,10.25,45.349999999999994,59.2,33.2
55.75,26.3,12.100000000000001,48.45,62.4,35.4
58.6,28.3,14.399999999999999,50.5,65.0,36.9
60.9,29.2,15.950000000000001,52.3,66.1,38.0
62.2,29.7,16.75,53.55,66.4,38.8
63.05,29.7,16.9,54.1,66.6,39.1
63.099999999999994,28.7,16.4,53.95,66.5,38.6
60.45,26.7,15.7,51.55,64.9,36.7
56.55,24.6,13.8,48.9,62.1,34.8
54.150000000000006,23.6,12.2,46.7,59.6,33.9
52.05,22.7,11.1,45.5,58.0,33.1
50.099999999999994,22.1,10.350000000000001,44.45,57.0,32.3
48.650000000000006,21.7,9.8,43.45,56.3,31.7
47.2,21.0,9.75,42.7,55.9,31.2
46.05,20.6,9.7,42.150000000000006,55.3,30.8
45.2,19.9,9.65,41.6,54.6,30.4
44.3,19.7,9.6,41.1,54.1,29.9
43.5,19.4,9.2,40.650000000000006,53.7,29.5
42.75,19.1,9.05,40.150000000000006,53.2,29.2
42.5,18.8,9.05,39.8,52.7,28.9
42.05,18.6,9.15,39.45,52.4,28.6
42.0,18.6,9.15,39.150000000000006,52.2,28.4
43.3,18.7,9.25,39.5,52.7,28.7
47.45,20.8,9.25,42.45,56.2,30.8
52.2,23.8,10.1,45.55,59.3,33.2
56.05,26.2,12.0,48.5,62.5,35.3
59.0,28.0,14.15,50.650000000000006,65.2,36.8
61.25,29.1,15.7,52.45,66.2,38.0
62.55,29.7,16.55,53.8,66.5,38.7
63.5,29.6,16.7,54.3,66.4,38.9
63.5,28.5,16.3,54.05,66.6,38.2
60.9,26.6,15.600000000000001,51.75,65.1,36.4
56.95,24.7,13.65,48.849999999999994,62.2,34.8
54.55,23.3,12.15,46.75,59.7,33.8
52.25,22.5,11.05,45.4,58.0,33.0
50.45,22.0,10.35,44.45,57.1,32.2
48.9,21.3,9.600000000000001,43.5,56.3,31.7
47.5,21.0,9.6,42.8,55.9,31.1
46.35,20.5,9.55,42.2,55.1,30.7
45.400000000000006,19.9,9.55,41.5,54.5,30.2
44.45,19.6,9.649999999999999,41.0,53.9,29.8
43.7,19.4,9.25,40.55,53.5,29.4
42.9,19.0,9.1,40.150000000000006,53.0,29.0
42.6,18.8,9.1,39.75,52.6,28.7
