Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
44.7,19.9,7.8,37.849999999999994,46.8,30.7,61.6
44.2,19.4,7.8,37.349999999999994,46.2,30.2,61.0
43.5,19.1,7.7,37.0,45.6,29.75,60.4
42.8,18.7,7.7,36.55,45.3,29.45,59.8
42.2,18.6,7.65,36.05,44.8,29.05,59.3
42.0,18.3,7.6,35.7,44.5,28.8,58.9
41.4,18.1,7.65,35.35,44.1,28.55,58.6
41.2,17.9,7.65,35.1,44.0,28.3,58.5
41.6,18.0,7.9,35.650000000000006,44.7,28.3,59.3
45.6,20.4,8.35,38.4,47.6,29.9,62.3
50.3,23.3,9.35,41.3,50.9,32.25,66.0
54.6,25.5,11.75,44.2,53.8,34.55,69.3
57.6,27.7,12.8,46.25,56.0,36.1,70.6
59.8,28.8,14.05,47.650000000000006,57.3,37.5,71.5
61.2,29.4,15.05,48.9,58.8,38.3,71.7
61.6,29.2,15.65,49.45,58.9,38.2,71.3
61.8,28.1,15.9,49.150000000000006,58.3,37.6,70.7
58.2,25.8,16.05,46.849999999999994,56.2,35.7,69.3
54.4,24.2,13.95,44.150000000000006,53.3,34.05,66.4
52.7,23.1,12.399999999999999,42.1,51.7,33.0,64.6
50.0,22.2,11.25,40.849999999999994,50.4,32.349999999999994,63.8
47.6,21.5,10.9,40.0,49.1,31.7,63.0
46.3,20.9,10.55,39.1,48.1,31.2,62.3
45.5,20.3,10.3,38.55,47.5,30.8,61.6
44.9,19.8,10.05,37.849999999999994,46.8,30.4,61.1
44.3,19.5,9.75,37.25,46.2,30.05,60.6
43.6,19.0,9.600000000000001,36.650000000000006,45.7,29.7,60.0
42.8,18.7,9.45,36.3,45.3,29.4,59.4
42.3,18.4,9.4,35.95,44.9,29.1,58.9
42.0,18.2,9.2,35.4,44.5,28.75,58.5
41.4,18.0,9.1,35.150000000000006,44.1,28.5,58.2
41.4,17.9,9.05,34.849999999999994,43.9,28.2,58.0
41.8,17.9,9.0,35.55,44.7,28.3,58.7
45.7,20.5,9.6,38.25,47.6,29.85,61.9
50.4,23.2,10.35,41.349999999999994,50.9,32.150000000000006,65.6
54.8,25.7,12.25,44.05,53.8,34.4,68.9
58.0,28.0,14.5,45.95,55.8,36.0,70.3
60.1,29.0,16.25,47.6,57.4,37.3,71.2
61.4,29.6,17.05,48.849999999999994,58.7,38.05,71.4
62.0,29.3,17.200000000000003,49.25,58.8,38.2,70.9
62.1,28.3,16.85,49.0,58.3,37.5,70.4
58.5,26.2,16.05,46.8,56.3,35.7,69.1
54.6,24.1,13.649999999999999,44.150000000000006,53.4,33.849999999999994,66.1
52.9,23.0,12.1,42.150000000000006,51.7,32.9,64.2
50.3,22.2,10.899999999999999,40.9,50.4,32.150000000000006,63.4
47.9,21.5,10.55,39.95,49.2,31.45,62.6
46.4,20.9,10.3,39.150000000000006,48.2,31.0,61.9
46.5,20.4,10.35,38.5,47.6,30.65,61.2
45.4,19.9,10.1,37.849999999999994,46.9,30.3,60.7
44.5,19.3,9.95,37.2,46.2,29.9,60.2
43.8,19.0,9.75,36.75,45.4,29.6,59.6
43.1,18.7,9.55,36.3,45.1,29.2,59.1
42.5,18.3,9.4,35.9,44.9,28.9,58.6
42.1,18.1,9.15,35.45,44.5,28.55,58.2
41.6,17.9,9.05,35.2,44.1,28.3,57.9
41.7,17.7,9.0,34.900000000000006,43.8,28.0,57.8
42.5,17.8,9.05,35.5,44.7,28.05,58.4
46.8,20.6,9.3,38.349999999999994,47.7,29.799999999999997,61.6
51.6,23.2,10.149999999999999,41.349999999999994,51.0,32.1,65.5
55.4,25.7,12.0,44.1,53.7,34.3,68.9
58.2,27.8,14.4,45.95,55.8,36.0,70.3
60.6,28.7,16.15,47.55,57.4,37.349999999999994,71.2
61.9,29.4,16.9,48.9,58.9,38.0,71.5
62.6,29.4,17.1,49.3,59.1,38.1,71.0
62.4,28.4,16.7,49.0,58.3,37.45,70.5
59.6,26.4,16.05,46.849999999999994,56.4,35.7,69.1
56.1,24.2,13.8,44.3,53.7,33.75,66.2
53.7,23.1,12.25,42.349999999999994,52.0,32.8,64.3
51.5,22.4,11.05,41.0,50.7,32.0,63.5
49.7,21.5,10.399999999999999,40.0,49.2,31.3,62.8
48.4,21.1,10.2,39.0,48.2,30.8,62.0
46.8,20.5,10.15,38.3,47.6,30.55,61.6
45.7,20.0,10.100000000000001,37.8,46.8,30.15,60.9
44.7,19.5,9.95,37.3,46.1,29.8,60.3
43.9,19.1,9.75,36.75,45.6,29.5,59.7
43.3,18.9,9.55,36.2,45.2,29.1,59.2
42.6,18.6,9.350000000000001,35.7,45.0,28.8,58.7
42.3,18.3,9.2,35.4,44.5,28.45,58.3
41.8,18.0,9.2,35.0,44.0,28.25,58.1
41.8,17.7,9.25,34.75,43.8,28.0,57.9
42.7,18.0,9.2,35.4,44.6,28.05,58.9
47.0,20.6,9.35,38.349999999999994,47.6,29.75,62.4
51.9,23.2,10.25,41.4,50.9,32.1,65.8
55.7,25.7,12.100000000000001,44.05,53.6,34.3,69.2
58.5,27.9,14.399999999999999,45.95,55.8,36.05,71.5
60.9,28.8,15.950000000000001,47.75,57.4,37.4,72.4
62.2,29.4,16.75,48.95,59.0,37.9,72.6
63.0,29.4,16.9,49.3,59.1,38.2,72.1
62.8,28.3,16.4,49.0,58.5,37.45,71.3
60.0,26.4,15.7,47.0,56.5,35.7,69.9
56.4,24.3,13.8,44.349999999999994,53.7,33.8,66.7
54.1,23.1,12.2,42.5,52.0,32.8,64.4
51.6,22.3,11.1,41.2,50.6,32.05,63.5
49.8,21.5,10.350000000000001,40.1,49.1,31.4,62.8
48.6,21.1,9.8,39.25,48.3,31.0,62.0
47.1,20.5,9.75,38.55,47.5,30.65,61.6
45.9,20.2,9.7,38.0,46.6,30.3,60.9
45.1,19.4,9.65,37.4,46.0,29.95,60.4
44.3,19.1,9.6,37.05,45.6,29.5,59.8
43.5,18.8,9.2,36.5,45.3,29.2,59.3
42.7,18.6,9.05,36.0,44.8,28.9,58.7
42.4,18.2,9.05,35.650000000000006,44.5,28.6,58.4
41.9,18.1,9.15,35.150000000000006,44.1,28.4,58.0
41.9,17.9,9.15,34.849999999999994,43.8,28.3,57.9
42.8,18.1,9.25,35.5,44.5,28.3,58.9
47.2,20.5,9.25,38.45,47.5,29.9,62.3
52.1,23.1,10.1,41.6,50.9,32.2,65.9
56.0,25.6,12.0,44.0,53.8,34.150000000000006,69.2
58.9,27.7,14.15,46.1,56.0,36.0,71.5
61.2,28.8,15.7,47.8,57.6,37.150000000000006,72.3
62.5,29.3,16.55,49.05,59.0,37.9,72.4
63.5,29.3,16.7,49.45,59.1,38.05,72.0
63.2,28.1,16.3,49.1,58.6,37.5,71.2
60.4,26.3,15.600000000000001,47.0,56.6,35.6,69.7
56.8,24.2,13.65,44.55,53.6,33.75,66.6
54.5,23.0,12.15,42.55,51.8,32.7,64.3
51.9,22.1,11.05,41.25,50.5,32.0,63.4
50.1,21.3,10.35,40.25,49.1,31.35,62.7
48.8,20.8,9.600000000000001,39.2,48.1,30.95,61.8
47.4,20.4,9.6,38.55,47.5,30.5,61.5
46.2,19.9,9.55,38.05,46.5,30.2,60.7
45.2,19.4,9.55,37.349999999999994,45.9,29.8,60.3
44.3,19.1,9.649999999999999,36.9,45.6,29.5,59.7
43.6,18.7,9.25,36.3,45.3,29.1,59.2
42.8,18.5,9.1,35.8,44.8,28.8,58.6
42.5,18.2,9.1,35.4,44.2,28.4,58.3
42.0,18.1,9.25,34.95,43.8,28.200000000000003,57.8
41.9,17.8,9.3,34.75,43.7,28.0,57.7
42.9,18.2,9.3,35.25,44.4,28.1,58.7
47.4,20.5,9.15,38.2,47.3,29.6,62.1
52.3,23.1,10.05,41.3,50.7,31.950000000000003,65.7
56.2,25.6,12.0,43.8,53.7,34.0,69.0
59.3,27.7,13.95,46.0,55.9,35.75,71.3
61.5,28.8,15.5,47.6,57.5,37.0,72.1
62.8,29.2,16.5,48.849999999999994,58.8,37.8,72.2
63.8,29.2,16.65,49.3,58.9,38.0,71.7
63.6,28.4,16.25,48.9,58.4,37.349999999999994,70.9
60.7,26.4,15.4,46.9,56.4,35.55,69.5
57.1,24.6,13.5,44.55,53.4,33.75,66.3
54.8,23.3,11.95,42.45,51.6,32.650000000000006,64.0
52.1,22.3,10.75,41.1,50.3,31.95,63.2
50.2,21.5,10.1,40.05,49.0,31.2,62.5
49.1,21.0,9.4,39.2,48.0,30.75,61.6
47.7,20.4,9.4,38.4,47.1,30.3,61.3
46.5,19.8,9.45,37.849999999999994,46.3,30.0,60.6
45.4,19.5,9.4,37.05,45.9,29.6,60.1
44.5,19.2,9.35,36.7,45.4,29.25,59.5
43.7,18.8,9.0,36.1,44.9,28.85,58.9
43.1,18.7,8.899999999999999,35.650000000000006,44.5,28.45,58.3
42.7,18.4,8.85,35.3,44.0,28.15,58.0
42.2,18.2,8.95,34.9,43.6,27.85,57.5
42.0,18.0,9.05,34.65,43.3,27.7,57.5
43.1,18.1,9.0,35.05,43.9,27.8,58.6
47.6,20.5,9.0,37.9,47.1,29.5,61.9
52.4,23.1,9.9,41.2,50.5,31.75,65.5
56.5,25.6,11.8,43.8,53.4,34.1,68.7
59.4,27.6,13.55,46.0,55.8,35.55,71.0
61.7,28.7,15.15,47.7,57.6,36.9,71.8
63.0,29.2,16.4,48.849999999999994,58.8,37.7,72.0
63.9,29.3,16.6,49.2,59.0,37.849999999999994,71.5
63.7,28.5,16.05,48.849999999999994,58.3,37.150000000000006,70.7
61.0,26.5,15.25,46.849999999999994,56.4,35.349999999999994,69.2
57.3,24.8,13.5,44.55,53.3,33.7,66.0
55.2,23.4,11.95,42.349999999999994,51.3,32.6,63.6
52.4,22.6,10.600000000000001,41.05,50.0,31.700000000000003,62.7
50.6,21.7,10.0,39.9,48.8,31.1,62.1
49.4,21.2,9.25,39.05,47.7,30.5,61.3
47.8,20.5,9.25,38.349999999999994,46.9,30.1,60.8
46.6,20.1,9.2,37.6,46.4,29.8,60.1
45.7,19.5,9.25,37.0,45.6,29.35,59.6
44.7,19.2,9.2,36.45,45.1,28.9,58.9
43.9,18.9,8.85,35.9,44.6,28.65,58.4
43.3,18.6,8.75,35.6,44.2,28.25,57.8
43.0,18.3,8.7,35.2,43.8,27.9,57.4
42.5,18.2,8.75,34.75,43.5,27.7,57.1
42.1,18.1,8.85,34.45,43.0,27.45,57.0
43.1,18.1,8.8,34.85,43.7,27.6,58.0
47.7,20.5,8.8,37.7,46.9,29.15,61.5
52.5,23.2,9.899999999999999,40.95,50.5,31.55,65.0
56.7,25.8,11.85,43.849999999999994,53.3,33.849999999999994,68.2
59.6,27.5,13.5,45.9,55.8,35.45,70.5
62.0,28.6,15.15,47.8,57.7,36.8,71.3
63.4,29.2,16.25,48.8,58.7,37.650000000000006,71.5
64.1,29.6,16.5,49.25,58.9,37.7,71.0
64.0,28.7,15.95,48.9,58.2,37.1,70.2
61.5,26.6,15.149999999999999,47.05,56.4,35.3,68.8
57.5,24.8,13.55,44.45,53.3,33.5,65.6
55.6,23.7,12.149999999999999,42.6,51.3,32.5,63.5
52.8,22.8,10.85,41.1,50.0,31.55,62.4
50.9,22.1,10.2,39.95,48.8,30.9,61.8
49.7,21.5,9.5,39.0,47.8,30.4,61.0
48.1,21.0,9.05,38.3,47.1,29.9,60.4
46.8,20.5,9.0,37.6,46.5,29.5,59.8
46.1,19.9,8.95,37.05,45.7,29.0,59.2
45.0,19.5,9.0,36.4,45.1,28.7,58.5
44.2,19.1,8.7,35.9,44.7,28.4,57.9
43.5,18.8,8.55,35.45,44.2,28.05,57.3
43.2,18.6,8.55,35.150000000000006,43.7,27.75,57.0
42.8,18.4,8.55,34.75,43.4,27.5,56.7
42.3,18.2,8.600000000000001,34.5,43.1,27.3,56.5
43.5,18.3,8.55,34.9,43.7,27.4,57.6
47.9,20.4,8.5,37.65,46.9,29.1,61.1
52.7,23.4,10.05,40.95,50.4,31.45,64.6
56.9,25.8,11.95,43.849999999999994,53.3,33.75,67.9
59.9,27.6,13.399999999999999,45.9,55.9,35.45,70.3
62.1,28.6,15.05,47.75,57.7,36.8,71.1
63.7,29.2,16.25,48.650000000000006,58.6,37.55,71.3
64.2,29.4,16.5,49.3,58.8,37.55,70.8
64.2,28.8,16.0,48.95,58.1,37.1,70.1
61.9,27.0,15.2,47.2,56.4,35.349999999999994,68.7
57.7,25.1,13.7,44.349999999999994,53.3,33.45,65.4
55.8,24.0,12.25,42.5,51.2,32.45,63.3
53.1,23.0,11.0,41.05,49.8,31.6,62.2
51.2,22.4,10.35,40.0,48.8,30.9,61.4
49.8,21.7,9.7,39.1,47.8,30.5,60.8
48.2,21.2,9.3,38.4,47.1,29.85,60.3
46.9,20.7,9.0,37.6,46.4,29.5,59.6
46.3,20.3,9.05,37.0,45.9,29.1,59.0
45.3,19.7,9.0,36.45,45.2,28.75,58.3
44.4,19.3,8.7,36.05,44.6,28.4,57.8
43.7,19.0,8.6,35.6,44.1,28.1,57.3
43.3,18.7,8.6,35.150000000000006,43.6,27.8,56.9
42.7,18.4,8.6,34.9,43.2,27.6,56.5
42.3,18.3,8.5,34.6,42.9,27.45,56.4
43.6,18.3,8.5,34.9,43.8,27.4,57.6
47.9,20.5,8.4,37.7,46.9,29.200000000000003,61.1
52.8,23.4,10.149999999999999,41.1,50.4,31.6,64.5
57.0,25.9,12.0,43.95,53.3,33.6,67.8
60.0,27.5,13.4,46.05,55.9,35.3,70.2
62.3,28.6,15.100000000000001,47.8,57.7,36.6,71.2
63.9,29.2,16.35,48.8,58.7,37.3,71.4
64.4,29.4,16.7,49.45,58.9,37.5,70.9
64.3,28.6,16.1,49.2,58.1,37.0,70.2
62.1,26.9,15.3,47.349999999999994,56.4,35.4,68.6
57.9,25.2,13.85,44.55,53.3,33.55,65.5
56.0,24.1,12.45,42.650000000000006,51.1,32.4,63.2
53.3,23.0,11.15,41.25,49.7,31.7,62.0
51.3,22.4,10.45,40.150000000000006,48.8,31.0,61.2
49.8,21.8,9.75,39.25,47.8,30.55,60.6
48.2,21.3,9.4,38.55,47.2,30.0,60.0
46.9,20.8,9.0,37.8,46.5,29.55,59.5
46.6,20.5,8.899999999999999,37.2,45.8,29.2,58.8
45.5,19.9,8.95,36.650000000000006,45.2,28.85,58.1
44.5,19.6,8.6,36.2,44.7,28.6,57.5
43.8,19.1,8.55,35.7,44.1,28.3,57.1
43.4,18.8,8.5,35.25,43.7,28.0,56.6
42.8,18.5,8.45,34.849999999999994,43.2,27.799999999999997,56.2
42.5,18.3,8.45,34.650000000000006,43.0,27.65,56.1
43.6,18.5,8.399999999999999,35.1,43.8,27.65,57.3
48.1,20.8,8.3,37.849999999999994,47.1,29.299999999999997,60.9
53.0,23.6,10.3,41.25,50.4,31.700000000000003,64.3
57.2,26.1,11.95,44.1,53.5,33.75,67.8
60.1,27.5,13.350000000000001,46.150000000000006,55.9,35.4,70.1
62.5,28.5,15.149999999999999,47.849999999999994,57.9,36.8,71.2
64.1,29.3,16.4,48.9,58.9,37.5,71.5
64.6,29.5,16.7,49.55,59.1,37.5,71.0
64.5,28.9,16.15,49.4,58.3,37.05,70.2
62.5,27.0,15.35,47.55,56.6,35.55,68.7
58.1,25.3,13.95,44.75,53.5,33.7,65.5
56.3,24.3,12.65,42.7,51.1,32.6,63.2
53.4,23.3,11.3,41.4,49.8,31.85,62.0
51.4,22.6,10.7,40.2,48.8,31.1,61.1
50.0,22.1,9.95,39.3,47.9,30.6,60.3
48.4,21.6,9.7,38.7,47.1,30.1,59.7
47.1,21.1,9.25,37.849999999999994,46.5,29.55,59.2
46.8,20.6,8.95,37.25,45.7,29.2,58.5
45.7,20.1,8.85,36.7,45.2,28.95,57.9
44.9,19.8,8.45,36.25,44.5,28.6,57.3
44.2,19.4,8.5,35.75,44.0,28.2,56.8
43.6,19.1,8.35,35.349999999999994,43.7,27.95,56.5
43.0,18.9,8.4,35.05,43.3,27.7,56.1
42.8,18.6,8.35,34.7,42.9,27.5,55.9
43.8,18.7,8.35,35.05,43.8,27.5,57.1
48.2,21.1,8.5,38.0,47.1,29.299999999999997,60.9
53.1,23.8,10.5,41.5,50.5,31.75,64.3
57.4,25.9,12.1,44.150000000000006,53.6,33.849999999999994,67.8
60.3,27.3,13.45,46.5,56.0,35.55,70.1
62.7,28.5,15.399999999999999,48.150000000000006,58.2,36.9,71.3
64.2,29.4,16.65,49.25,59.1,37.5,71.5
64.9,29.6,16.950000000000003,49.8,59.3,37.6,71.0
64.6,28.9,16.4,49.55,58.7,37.0,70.3
62.7,27.2,15.7,47.7,56.8,35.650000000000006,68.8
58.4,25.5,14.25,45.0,53.8,33.9,65.6
56.5,24.4,12.9,42.9,51.1,32.650000000000006,63.3
53.6,23.4,11.649999999999999,41.4,49.8,31.85,62.1
51.6,22.6,11.0,40.25,48.8,31.2,61.2
50.2,22.0,10.3,39.4,47.8,30.65,60.4
48.6,21.6,10.0,38.849999999999994,47.1,30.2,59.8
47.2,21.2,9.6,38.05,46.4,29.7,59.1
47.0,20.7,9.35,37.349999999999994,45.6,29.25,58.6
45.9,20.2,9.1,36.95,45.1,28.95,58.0
45.1,19.8,8.8,36.5,44.4,28.6,57.4
44.4,19.4,8.75,35.9,44.0,28.25,56.9
43.7,19.2,8.65,35.5,43.5,27.95,56.6
43.1,18.9,8.75,35.2,43.3,27.7,56.2
42.9,18.6,8.7,34.9,42.9,27.5,55.9
43.9,18.8,8.7,35.25,43.9,27.55,57.1
48.3,21.1,8.8,38.150000000000006,47.2,29.4,60.8
53.3,23.8,10.85,41.55,50.7,31.8,64.3
57.6,25.8,12.55,44.2,53.8,33.849999999999994,67.8
60.4,27.3,13.9,46.55,56.2,35.55,70.1
62.7,28.4,15.899999999999999,48.349999999999994,58.2,36.9,71.3
64.2,29.3,17.15,49.45,59.2,37.5,71.5
65.0,29.6,17.4,50.05,59.5,37.5,71.0
64.7,28.7,16.9,49.849999999999994,58.7,37.0,70.3
62.8,26.9,16.2,48.0,56.9,35.6,69.0
58.4,25.3,14.75,45.1,53.9,33.9,65.6
56.6,24.2,13.35,43.0,51.2,32.6,63.5
53.6,23.4,12.1,41.45,49.9,31.75,62.1
51.5,22.7,11.5,40.349999999999994,48.7,31.1,61.1
50.2,22.1,10.7,39.6,47.9,30.6,60.4
48.6,21.7,10.5,38.8,47.3,30.200000000000003,59.8
47.3,21.3,10.15,38.1,46.5,29.7,59.1
46.9,20.6,9.8,37.4,45.8,29.200000000000003,58.7
