Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
45.400000000000006,35.1,44.1,18.6,7.8,28.45,59.35,46.1
44.45,34.55,43.6,18.2,7.8,28.1,58.8,45.5
43.55,34.1,43.1,17.6,7.7,27.8,58.150000000000006,44.9
42.9,33.650000000000006,42.6,17.3,7.7,27.55,57.65,44.7
42.3,33.150000000000006,42.2,16.9,7.65,27.3,57.3,44.2
42.0,32.75,41.7,16.7,7.6,26.95,57.0,43.9
41.5,32.45,41.5,16.3,7.65,26.85,56.55,43.8
41.5,32.2,41.2,16.3,7.65,26.7,56.25,43.8
42.45,32.349999999999994,41.5,16.6,7.9,26.85,56.9,44.5
46.7,34.849999999999994,44.5,19.1,8.35,28.4,60.0,49.4
51.35,37.55,47.4,21.8,9.35,30.5,63.15,54.5
55.05,40.4,50.3,23.8,11.75,32.25,66.0,58.3
57.9,42.4,52.4,25.3,12.8,34.0,68.15,58.8
60.1,44.05,54.1,26.4,14.05,35.25,69.5,58.7
61.349999999999994,45.1,55.4,27.2,15.05,36.0,70.19999999999999,59.4
62.15,45.3,55.7,27.6,15.65,36.2,70.2,58.7
62.15,44.9,55.2,26.6,15.9,35.55,69.44999999999999,57.4
59.45,42.8,53.4,24.7,16.05,33.7,67.95,55.6
55.65,40.3,50.3,23.2,13.95,31.75,65.65,53.0
53.349999999999994,38.95,48.4,22.1,12.399999999999999,30.7,63.45,51.1
51.2,37.7,47.1,21.1,11.25,30.2,62.45,50.0
49.4,37.0,46.3,20.4,10.9,29.5,61.4,48.9
47.8,36.1,45.5,19.8,10.55,29.1,60.35,48.0
46.5,35.6,44.7,19.2,10.3,28.65,59.65,47.0
45.5,35.0,44.2,18.9,10.05,28.25,58.900000000000006,46.3
44.5,34.4,43.5,18.3,9.75,27.75,58.3,45.7
43.6,34.0,42.9,17.9,9.600000000000001,27.5,57.650000000000006,45.3
42.9,33.55,42.6,17.5,9.45,27.2,57.3,44.9
42.349999999999994,33.150000000000006,42.0,17.1,9.4,27.0,56.849999999999994,44.5
42.05,32.8,41.5,16.9,9.2,26.8,56.55,44.2
41.55,32.4,41.2,16.6,9.1,26.6,56.150000000000006,44.1
41.55,32.150000000000006,40.8,16.5,9.05,26.45,56.0,44.1
42.6,32.349999999999994,41.5,16.7,9.0,26.6,56.45,44.8
46.8,34.75,44.3,19.2,9.6,28.2,59.6,49.7
51.45,37.5,47.4,21.6,10.35,30.4,62.8,54.7
55.2,40.3,50.3,23.9,12.25,32.1,65.6,58.4
58.05,42.2,52.4,25.4,14.5,33.8,67.80000000000001,58.9
60.3,44.0,54.2,26.6,16.25,35.05,69.15,58.8
61.7,45.0,55.3,27.4,17.05,35.9,69.9,59.5
62.55,45.25,55.6,27.5,17.200000000000003,36.150000000000006,69.9,58.9
62.55,44.849999999999994,55.1,26.7,16.85,35.55,69.25,57.5
59.7,42.8,53.3,24.7,16.05,33.7,67.69999999999999,55.7
55.95,40.25,50.5,23.1,13.649999999999999,31.7,65.4,53.1
53.55,38.849999999999994,48.5,22.0,12.1,30.8,63.150000000000006,51.2
51.55,37.849999999999994,47.1,21.3,10.899999999999999,30.1,62.1,50.2
49.65,37.0,46.2,20.6,10.55,29.55,61.0,49.0
48.05,36.1,45.5,19.8,10.3,28.9,60.0,48.3
46.95,35.4,44.6,19.2,10.35,28.4,59.3,47.3
46.099999999999994,34.849999999999994,44.2,19.0,10.1,28.1,58.599999999999994,46.6
45.2,34.25,43.4,18.4,9.95,27.65,57.95,46.0
