day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93
89.7,92.1,94.5,97.0,99.9,102.5,103.8,104.3,104.2,103.5,102.4,100.6,98.6,96.3,94.0,91.5,88.7,86.4,84.9,85.6,86.5,87.8,89.1,90.3,91.7,93.0,94.6,96.3,98.0,99.9,101.7,102.4,102.6,102.1,100.7,99.0,96.7,94.7,92.5,90.3,87.9,85.7,84.6,85.1,85.9,86.8,87.7,88.5,90.0,91.8,93.9,95.8,97.8,100.1,101.7,102.5,102.6,101.8,100.4,98.7,96.6,94.4,92.1,89.6,86.6,84.1,83.4,83.9,84.7,85.7,86.5,87.6,88.8,90.2,91.6,93.1,95.0,96.8,98.4,99.1,99.0,98.2,97.0,95.1,93.1,90.8,88.2,85.0,81.2,77.8,76.8,76.9,77.7,78.4
87.7,90.0,92.4,94.7,97.3,100.0,102.4,103.7,104.2,104.3,103.6,102.4,100.6,98.4,96.2,93.9,91.4,88.8,86.5,85.0,85.5,86.7,87.9,89.0,90.2,91.5,92.8,94.5,96.1,98.1,100.0,101.7,102.3,102.5,101.8,100.5,98.8,96.6,94.7,92.5,90.3,87.8,85.6,84.5,85.0,85.7,86.7,87.6,88.6,90.2,92.0,93.9,95.8,97.8,100.0,101.7,102.5,102.3,101.7,100.4,98.6,96.6,94.4,92.2,89.5,86.6,84.0,83.3,83.9,84.6,85.4,86.3,87.7,88.7,90.1,91.3,92.8,94.6,96.4,98.0,98.9,98.7,97.9,96.5,94.8,92.9,90.6,88.0,84.7,80.9,77.4,76.4,76.8,77.6
85.8,88.1,90.3,92.7,95.0,97.3,99.9,102.3,103.7,104.3,104.3,103.5,102.3,100.4,98.4,96.1,93.7,91.4,88.8,86.5,85.0,85.8,86.8,87.9,89.0,90.1,91.3,92.7,94.4,96.3,98.1,99.9,101.5,102.2,102.2,101.6,100.3,98.8,96.7,94.7,92.5,90.2,87.8,85.4,84.4,84.8,85.7,86.6,87.7,88.8,90.4,92.1,93.9,95.9,97.8,99.9,101.7,102.3,102.3,101.7,100.3,98.5,96.6,94.5,92.2,89.5,86.5,83.9,83.2,83.8,84.4,85.3,86.4,87.6,88.5,89.8,90.9,92.3,94.2,96.0,97.7,98.6,98.4,97.5,96.2,94.6,92.7,90.4,87.7,84.4,80.5,76.9,76.2,76.6
84.0,86.3,88.4,90.5,93.0,95.0,97.4,99.8,102.2,103.7,104.3,104.3,103.5,102.1,100.4,98.3,95.9,93.7,91.4,88.9,86.5,85.2,85.9,86.8,87.8,88.9,89.9,91.2,92.5,94.5,96.3,98.0,99.7,101.4,102.0,102.1,101.5,100.4,98.8,96.8,94.7,92.4,90.2,87.7,85.4,84.3,84.8,85.5,86.6,87.8,89.0,90.4,92.0,94.0,95.8,97.7,99.8,101.5,102.2,102.3,101.5,100.2,98.5,96.7,94.5,92.2,89.4,86.4,83.8,83.1,83.6,84.3,85.3,86.3,87.3,88.3,89.5,90.5,91.9,93.8,95.7,97.5,98.2,98.0,97.1,96.0,94.3,92.5,90.1,87.5,84.1,80.1,76.7,76.1
82.2,84.4,86.6,88.7,90.9,93.0,95.1,97.3,99.7,102.2,103.7,104.1,104.2,103.4,102.0,100.2,98.1,96.0,93.8,91.4,88.9,86.7,85.4,85.9,86.8,87.8,88.7,89.9,91.1,92.6,94.5,96.1,97.8,99.6,101.0,101.8,101.9,101.5,100.4,99.0,96.8,94.6,92.5,90.2,87.6,85.2,84.2,84.6,85.6,86.8,87.9,89.0,90.3,92.1,93.9,95.8,97.5,99.6,101.4,102.1,102.1,101.4,100.2,98.6,96.7,94.5,92.1,89.3,86.3,83.7,82.9,83.4,84.3,85.3,86.1,87.1,88.0,89.0,90.1,91.5,93.4,95.4,97.1,97.8,97.7,96.9,95.7,94.1,92.3,90.0,87.2,83.8,80.0,76.5
81.0,82.7,84.7,86.9,89.1,91.0,93.2,95.1,97.3,99.8,102.2,103.6,104.1,104.1,103.3,101.9,100.1,98.2,96.0,93.7,91.4,89.0,86.8,85.4,85.9,86.7,87.7,88.7,89.8,91.2,92.6,94.3,95.8,97.6,99.3,100.8,101.6,101.8,101.6,100.5,98.9,96.7,94.7,92.5,90.2,87.5,85.1,84.0,84.6,85.7,86.9,88.0,88.9,90.4,92.0,93.9,95.6,97.3,99.5,101.2,101.9,102.0,101.4,100.3,98.6,96.7,94.4,92.1,89.2,86.3,83.6,82.8,83.4,84.3,85.0,85.7,86.7,87.5,88.6,89.8,91.2,93.1,95.1,96.7,97.5,97.4,96.6,95.5,93.9,92.1,89.8,87.2,83.8,79.8
80.5,81.4,83.0,85.1,87.3,89.2,91.2,93.2,95.2,97.4,99.8,102.1,103.5,104.0,104.0,103.1,101.7,100.1,98.1,95.9,93.8,91.6,89.0,86.7,85.4,85.9,86.7,87.7,88.6,89.9,91.1,92.5,94.1,95.6,97.2,99.0,100.6,101.6,101.9,101.7,100.5,98.9,96.9,94.8,92.5,90.1,87.5,85.0,84.0,84.7,85.8,86.9,87.9,88.9,90.3,92.0,93.5,95.5,97.2,99.3,101.0,101.8,102.0,101.5,100.2,98.7,96.6,94.4,92.0,89.2,86.1,83.4,82.8,83.4,84.0,84.8,85.4,86.3,87.1,88.4,89.6,90.9,92.7,94.6,96.4,97.2,97.1,96.4,95.3,93.7,91.9,89.9,87.2,83.8
83.3,81.0,81.9,83.4,85.6,87.5,89.3,91.3,93.3,95.3,97.5,99.7,102.0,103.4,103.9,103.8,102.9,101.7,100.1,98.1,96.0,94.0,91.6,89.0,86.7,85.3,85.8,86.7,87.7,88.7,89.9,91.1,92.4,94.0,95.3,97.0,98.8,100.5,101.6,102.0,101.7,100.5,99.0,96.9,94.7,92.4,90.1,87.3,85.0,84.1,84.8,85.8,86.8,87.9,88.8,90.3,91.7,93.6,95.4,97.1,99.1,100.9,101.7,102.0,101.4,100.2,98.5,96.5,94.3,91.9,89.1,86.0,83.4,82.7,83.2,83.8,84.4,84.9,85.9,86.9,88.1,89.3,90.7,92.2,94.3,96.2,96.9,96.9,96.1,95.0,93.5,92.0,89.9,87.1
86.9,83.7,81.3,82.2,83.9,85.8,87.7,89.4,91.4,93.4,95.4,97.4,99.6,101.9,103.3,103.6,103.6,103.0,101.7,100.1,98.1,96.2,93.9,91.5,88.9,86.6,85.3,85.9,86.7,87.8,88.8,89.8,90.9,92.2,93.8,95.1,96.8,98.7,100.5,101.8,101.9,101.7,100.6,99.0,96.8,94.6,92.5,90.0,87.3,85.1,84.2,84.8,85.6,86.8,87.8,88.8,90.0,91.8,93.5,95.3,96.8,98.9,100.9,101.8,101.9,101.4,100.1,98.5,96.4,94.2,91.9,89.0,86.1,83.4,82.6,82.9,83.4,84.0,84.6,85.6,86.6,87.9,89.0,90.2,91.9,94.0,95.8,96.6,96.6,95.9,94.8,93.7,92.0,89.8
90.4,87.2,84.0,81.7,82.7,84.3,86.1,87.8,89.6,91.6,93.5,95.3,97.3,99.5,101.7,103.0,103.4,103.5,103.0,101.6,100.2,98.3,96.2,93.9,91.4,88.7,86.5,85.3,85.8,86.9,87.8,88.7,89.6,90.7,92.0,93.5,94.9,96.6,98.8,100.7,101.8,102.0,101.8,100.6,98.9,96.6,94.6,92.4,90.2,87.4,85.1,84.2,84.7,85.6,86.7,87.7,88.6,90.1,91.7,93.4,95.1,96.6,98.9,100.9,101.7,101.9,101.2,100.0,98.3,96.4,94.1,91.8,89.1,85.9,83.2,82.3,82.6,83.0,83.6,84.3,85.3,86.3,87.5,88.5,89.9,91.6,93.6,95.5,96.3,96.2,95.7,95.0,93.7,92.0
