day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93
38.9,40.0,40.8,42.0,43.6,46.2,50.2,52.5,53.7,54.1,53.9,53.3,52.5,51.3,50.2,48.8,46.6,43.6,41.3,41.9,42.2,43.5,44.4,45.5,46.7,48.4,49.5,50.7,52.5,56.4,60.8,62.6,63.3,63.2,62.7,62.2,61.4,60.6,59.2,57.1,54.9,52.1,48.3,48.0,49.0,50.1,51.0,52.3,53.5,55.0,56.7,58.0,59.6,62.9,65.2,66.6,67.9,68.5,68.3,67.9,67.3,66.4,65.6,64.4,62.7,60.9,58.1,56.6,57.6,58.5,60.0,61.2,62.7,64.2,65.3,66.7,68.7,72.5,75.4,77.0,77.7,77.9,77.6,76.8,75.7,74.6,73.3,71.7,69.7,67.1,64.4,62.2,62.9,63.7
37.9,39.2,40.0,41.1,42.5,44.1,46.6,50.6,53.1,54.1,54.5,54.5,53.9,52.9,52.1,50.9,49.3,47.1,44.3,41.7,41.7,42.7,43.6,44.6,45.7,47.1,48.5,49.5,51.2,53.0,56.8,61.0,62.7,63.2,63.2,63.1,62.5,62.1,61.1,59.4,57.4,55.2,52.5,49.0,48.3,49.4,50.2,51.2,52.3,53.7,55.6,57.1,58.1,59.5,62.6,65.3,67.0,68.2,68.7,68.6,68.5,67.7,67.3,66.5,65.2,63.5,61.4,58.5,57.1,58.0,59.1,60.2,61.7,63.1,64.3,65.4,66.9,68.9,72.7,75.6,77.0,77.7,77.6,77.3,76.6,75.8,75.0,73.8,72.1,70.0,67.5,64.8,62.3,63.0
36.9,38.1,39.2,40.3,41.7,43.0,44.5,47.0,51.2,53.4,54.6,55.0,55.0,54.3,53.6,52.9,51.5,49.8,47.6,44.7,41.6,42.2,42.8,43.8,44.7,46.1,47.3,48.4,50.0,51.6,53.4,57.0,61.0,62.5,63.1,63.6,63.4,63.3,62.6,61.3,59.6,57.7,55.5,53.0,49.3,48.7,49.6,50.4,51.2,52.6,54.3,56.0,57.2,58.0,59.3,62.7,65.7,67.3,68.4,68.9,69.2,68.9,68.7,68.2,67.2,66.0,64.1,61.9,59.1,57.4,58.7,59.4,60.7,62.1,63.3,64.3,65.7,67.1,69.0,72.9,75.6,76.9,77.4,77.4,77.2,76.8,76.3,75.4,74.3,72.4,70.3,67.8,64.9,62.5
36.1,37.1,37.9,39.6,41.1,42.2,43.4,44.8,47.6,51.5,54.0,55.1,55.5,55.4,55.0,54.4,53.4,52.0,50.2,48.1,44.7,42.0,42.2,43.0,43.9,45.1,46.3,47.2,48.8,50.3,52.0,53.5,57.0,60.9,62.4,63.6,63.9,64.2,63.7,62.8,61.5,59.9,58.1,56.1,53.3,49.8,49.0,49.8,50.5,51.4,53.2,54.9,56.2,57.0,57.8,59.3,63.1,66.1,67.4,68.7,69.5,69.6,69.9,69.6,68.9,68.1,66.7,64.7,62.5,59.5,58.1,58.9,59.8,61.1,62.3,63.3,64.5,65.8,67.1,69.2,73.0,75.6,76.7,77.2,77.3,77.4,77.4,76.7,75.9,74.6,72.8,70.5,67.9,65.0
35.8,36.4,36.9,38.4,40.2,41.5,42.6,43.6,45.4,47.9,52.2,54.5,55.6,55.9,56.1,55.9,55.0,54.0,52.5,50.7,48.3,45.2,42.0,42.3,43.1,44.2,45.2,46.2,47.6,49.2,50.7,52.2,53.6,57.0,60.8,62.9,63.9,64.7,64.7,64.0,63.0,61.7,60.3,58.6,56.3,53.7,50.1,49.2,49.9,50.8,52.1,53.7,55.1,56.1,56.9,57.8,59.6,63.5,66.3,67.8,69.3,69.9,70.6,70.7,70.4,69.8,68.7,67.3,65.4,63.0,60.2,58.4,59.4,60.3,61.2,62.3,63.5,64.7,65.9,67.2,69.3,73.0,75.3,76.5,77.1,77.4,78.0,77.7,77.1,76.2,74.9,72.9,70.6,68.0
35.4,36.0,36.2,37.3,39.1,40.6,41.7,42.8,44.1,45.6,48.4,52.7,54.9,56.0,56.6,56.9,56.6,55.6,54.5,52.9,50.9,48.7,45.4,42.2,42.6,43.5,44.4,45.2,46.6,48.0,49.7,50.9,52.2,53.6,57.0,61.3,63.2,64.7,65.2,65.0,64.1,63.2,62.1,60.8,58.8,56.6,54.0,50.3,49.3,50.1,51.4,52.7,53.9,55.0,56.1,57.0,58.1,60.1,63.8,66.7,68.3,69.8,70.9,71.3,71.6,71.3,70.4,69.3,68.0,65.8,63.6,60.5,58.9,59.8,60.4,61.3,62.6,63.8,64.8,66.1,67.4,69.3,72.8,75.2,76.3,77.3,78.0,78.3,78.0,77.4,76.6,75.1,73.0,70.8
34.9,35.6,35.7,36.5,38.1,39.4,40.9,42.0,43.2,44.3,45.9,49.0,53.1,55.3,56.7,57.4,57.5,57.0,56.2,54.9,53.1,51.3,49.0,45.9,42.5,42.9,43.7,44.3,45.6,46.9,48.4,49.9,51.0,52.3,53.6,57.4,61.6,63.9,65.1,65.4,65.0,64.3,63.6,62.6,61.0,59.1,56.8,54.3,50.5,49.5,50.8,52.0,52.9,53.9,55.0,56.1,57.1,58.5,60.3,64.1,67.2,68.9,70.8,71.6,72.2,72.5,71.8,71.0,70.0,68.5,66.4,63.9,60.9,59.3,59.9,60.5,61.6,62.8,64.0,65.0,66.3,67.5,69.1,72.8,75.2,76.6,77.8,78.3,78.7,78.4,77.8,76.7,75.2,73.1
36.0,35.1,35.3,36.0,37.3,38.4,39.7,41.1,42.4,43.4,44.8,46.7,49.6,53.5,56.0,57.4,58.0,57.9,57.6,56.5,55.2,53.4,51.6,49.5,46.3,42.9,43.1,43.6,44.7,46.0,47.2,48.6,50.0,51.2,52.2,54.1,57.8,62.3,64.4,65.4,65.5,65.2,64.8,64.1,62.7,61.3,59.3,57.0,54.3,50.8,50.2,51.5,52.1,52.9,53.9,55.1,56.2,57.5,58.8,60.6,64.6,67.8,69.8,71.5,72.5,73.1,73.1,72.4,71.8,70.6,69.0,66.7,64.3,61.3,59.4,60.0,60.8,61.8,63.0,64.1,65.1,66.3,67.2,69.0,72.8,75.4,77.1,78.3,78.8,79.1,78.8,77.9,76.8,75.3
39.6,36.3,34.8,35.6,36.7,37.6,38.8,40.1,41.5,42.6,43.8,45.5,47.1,49.9,54.3,56.7,58.1,58.5,58.5,57.8,56.8,55.4,53.7,52.1,50.0,46.8,43.1,43.0,44.0,45.1,46.3,47.5,48.7,50.2,51.2,52.6,54.6,58.6,62.7,64.7,65.4,65.5,65.7,65.2,64.2,63.0,61.4,59.5,57.1,54.6,51.4,50.8,51.6,52.2,53.0,54.0,55.2,56.7,57.7,59.0,61.0,65.2,68.7,70.6,72.4,73.3,73.6,73.7,73.2,72.4,71.0,69.2,67.0,64.7,61.5,59.5,60.4,61.1,62.0,63.2,64.3,65.2,65.9,67.0,69.0,73.1,75.9,77.5,78.8,79.1,79.5,78.8,78.0,77.0
42.2,39.9,36.1,35.1,36.4,36.9,38.0,39.1,40.7,41.7,43.1,44.4,45.9,47.3,50.6,55.1,57.3,58.6,59.2,58.7,58.2,57.0,55.7,54.2,52.7,50.6,47.0,43.1,43.5,44.5,45.4,46.5,47.8,48.8,50.0,51.6,53.1,55.4,59.1,63.0,64.7,65.4,66.1,66.1,65.3,64.5,63.1,61.6,59.5,57.3,55.1,52.0,51.0,51.7,52.2,53.2,54.1,55.7,56.9,58.1,59.5,61.6,66.0,69.5,71.5,73.2,73.7,74.3,74.5,73.9,72.8,71.3,69.6,67.4,64.9,61.7,59.9,60.6,61.2,62.1,63.4,64.4,64.8,65.7,67.0,69.2,73.6,76.4,77.9,79.1,79.5,79.6,79.0,78.2
