Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
45.400000000000006,27.15,46.6,19.2,7.8,30.9,61.6,46.5,38.650000000000006
44.45,26.75,46.0,18.65,7.8,30.5,61.0,45.95,38.0
43.55,26.45,45.349999999999994,18.4,7.7,30.2,60.4,45.55,37.4
42.9,26.1,44.75,18.0,7.7,29.9,59.8,45.099999999999994,36.8
42.3,25.700000000000003,44.4,17.6,7.65,29.6,59.3,44.85,36.4
42.0,25.200000000000003,44.0,17.35,7.6,29.2,58.9,44.65,36.1
41.5,24.9,43.75,17.25,7.65,29.0,58.6,44.5,35.75
41.5,24.75,43.5,17.1,7.65,28.7,58.5,44.3,35.5
42.45,24.5,44.150000000000006,17.200000000000003,7.9,28.8,59.3,45.150000000000006,36.150000000000006
46.7,27.05,47.349999999999994,19.65,8.35,30.2,62.3,50.75,39.1
51.35,30.45,50.45,22.200000000000003,9.35,32.4,66.0,56.3,41.95
55.05,33.45,52.7,24.549999999999997,11.75,34.2,69.3,58.8,44.55
57.9,35.6,54.95,26.25,12.8,35.8,70.6,61.3,46.650000000000006
60.1,37.6,56.6,27.55,14.05,36.6,71.5,62.05,48.1
61.349999999999994,38.5,57.55,28.35,15.05,37.0,71.7,61.95,49.150000000000006
62.15,38.9,58.2,28.299999999999997,15.65,37.1,71.3,61.4,49.75
62.15,38.25,57.9,27.15,15.9,36.4,70.7,59.7,49.5
59.45,35.650000000000006,55.849999999999994,25.1,16.05,35.3,69.3,56.349999999999994,47.3
55.65,33.0,52.95,23.4,13.95,33.8,66.4,53.8,44.6
53.349999999999994,31.1,50.6,22.35,12.399999999999999,33.0,64.6,51.55,42.75
51.2,30.05,49.3,21.75,11.25,32.4,63.8,50.0,41.6
49.4,29.35,48.5,21.0,10.9,31.8,63.0,49.0,40.349999999999994
47.8,28.450000000000003,47.75,20.5,10.55,31.3,62.3,48.25,39.45
46.5,27.75,47.0,19.85,10.3,31.1,61.6,47.55,38.8
45.5,27.35,46.3,19.35,10.05,30.7,61.1,46.8,38.1
44.5,27.0,45.8,18.75,9.75,30.2,60.6,46.3,37.6
43.6,26.6,45.150000000000006,18.35,9.600000000000001,29.9,60.0,45.9,37.1
42.9,26.35,44.7,18.15,9.45,29.6,59.4,45.45,36.7
