Cluster 0,Cluster 1
44.3,26.6
43.6,26.2
43.2,25.8
42.6,25.5
42.2,25.1
41.7,24.8
41.4,24.5
41.2,24.3
41.7,24.5
44.6,26.55
47.8,29.15
50.6,30.8
52.9,32.5
54.5,33.8
55.6,34.5
56.2,34.55
55.8,33.849999999999994
53.6,32.150000000000006
50.7,30.5
48.7,29.1
47.3,28.3
46.5,27.7
45.6,27.2
44.8,26.7
44.2,26.35
43.6,25.95
43.1,25.6
42.6,25.35
42.0,25.05
41.5,24.8
41.2,24.5
40.8,24.3
41.6,24.4
44.5,26.5
47.6,29.0
50.5,30.8
52.9,32.7
54.4,33.9
55.6,34.55
56.2,34.6
55.8,33.8
53.7,32.2
50.7,30.6
48.6,29.2
47.4,28.3
46.4,27.8
45.6,27.1
44.9,26.6
44.2,26.25
43.6,25.85
43.1,25.5
42.7,25.25
42.0,24.95
41.6,24.7
41.2,24.4
41.0,24.2
41.4,24.6
44.4,26.5
47.7,28.9
50.6,30.9
52.9,32.75
54.5,33.8
55.7,34.6
56.3,34.8
55.9,33.95
53.8,32.4
50.7,30.6
48.7,29.3
47.3,28.6
46.4,27.85
45.7,27.35
45.0,26.65
44.1,26.3
43.6,25.95
43.0,25.6
42.5,25.35
42.1,25.1
41.6,24.8
41.3,24.55
41.0,24.35
41.6,24.8
44.6,26.9
47.9,28.9
50.7,31.15
52.9,32.8
54.6,33.95
55.8,34.6
56.5,34.75
56.1,34.05
53.9,32.349999999999994
50.9,30.6
48.8,29.45
47.4,28.7
46.4,28.0
45.7,27.35
45.0,26.85
44.3,26.4
43.8,26.1
43.1,25.7
42.6,25.4
42.1,25.1
41.7,24.85
41.3,24.6
41.0,24.4
41.7,24.7
44.6,26.75
47.7,29.0
50.6,31.1
53.1,32.7
54.7,33.849999999999994
55.9,34.650000000000006
56.6,34.7
56.3,33.9
54.1,32.3
51.2,30.55
48.9,29.4
47.5,28.45
46.5,27.6
45.7,27.25
45.0,26.75
44.3,26.35
43.6,26.0
43.1,25.5
42.7,25.2
42.1,24.8
41.6,24.55
41.3,24.35
41.0,24.2
41.5,24.5
44.4,26.4
47.7,28.75
50.5,30.9
52.9,32.6
54.7,33.7
55.8,34.45
56.5,34.6
56.3,33.9
54.0,32.1
50.9,30.4
48.7,29.4
47.4,28.3
46.2,27.5
45.4,27.0
44.6,26.6
44.0,26.1
43.4,25.7
42.9,25.35
42.4,25.1
42.0,24.8
41.4,24.5
41.1,24.35
40.9,24.2
41.3,24.35
44.4,26.2
47.7,28.55
50.5,30.8
53.0,32.4
54.6,33.7
55.8,34.4
56.5,34.7
56.1,33.95
54.1,32.150000000000006
50.9,30.4
48.7,29.3
47.4,28.35
46.4,27.6
45.3,27.0
44.6,26.6
43.9,26.15
43.3,25.8
42.8,25.5
42.2,25.1
41.8,24.8
41.3,24.6
41.1,24.4
40.8,24.2
41.3,24.2
44.2,26.2
47.4,28.5
50.5,30.8
52.9,32.4
54.7,33.650000000000006
55.9,34.5
56.8,34.8
56.2,34.05
54.4,32.150000000000006
51.1,30.4
48.8,29.3
47.3,28.5
46.3,27.85
45.4,27.15
44.6,26.45
44.0,26.05
43.4,25.65
42.8,25.4
42.3,25.1
41.7,24.8
41.3,24.65
41.0,24.35
40.7,24.2
41.3,24.35
44.4,26.3
47.4,28.55
50.4,30.8
52.8,32.4
54.7,33.7
56.1,34.5
56.8,34.7
56.4,34.2
54.6,32.150000000000006
51.3,30.45
48.8,29.55
47.4,28.65
46.4,27.9
45.5,27.3
44.7,26.75
44.0,26.2
43.4,25.7
42.8,25.4
42.3,25.2
41.7,24.799999999999997
41.3,24.5
41.0,24.4
40.7,24.2
41.5,24.35
44.4,26.5
47.7,28.65
50.5,30.85
53.1,32.55
54.9,33.95
56.3,34.7
56.9,34.8
56.4,34.1
54.8,32.25
51.4,30.55
49.0,29.65
47.5,28.8
46.4,28.1
45.5,27.55
44.8,26.95
44.0,26.35
43.5,25.95
42.9,25.5
42.4,25.35
41.8,25.05
41.5,24.75
41.1,24.55
40.9,24.35
41.6,24.55
44.5,26.6
47.8,28.9
50.7,31.0
53.2,32.7
54.9,33.849999999999994
56.5,34.7
57.1,34.9
56.8,34.2
55.1,32.4
51.8,30.75
49.2,29.65
47.6,28.85
46.5,28.2
45.7,27.7
44.9,27.2
44.2,26.5
43.6,26.1
42.9,25.8
42.5,25.55
42.0,25.3
41.6,24.85
41.3,24.75
40.9,24.45
41.6,24.65
44.6,26.7
48.0,28.85
50.8,31.0
53.4,32.7
55.3,33.849999999999994
56.7,34.849999999999994
57.3,34.95
56.9,34.3
55.2,32.55
51.9,30.85
49.4,29.8
47.8,28.95
46.7,28.25
45.7,27.8
44.9,27.3
44.2,26.7
43.5,26.2
42.9,25.9
42.5,25.6
42.1,25.25
41.7,24.9
41.4,24.75
41.0,24.55
41.6,24.6
44.9,26.7
48.2,28.8
51.1,30.85
53.5,32.7
55.4,33.8
56.8,34.8
57.4,34.95
57.1,34.3
55.3,32.650000000000006
52.1,30.75
49.7,29.799999999999997
48.0,29.0
46.8,28.1
45.9,27.7
45.1,27.1
44.4,26.6
43.7,26.2
43.0,25.9
42.6,25.55
42.1,25.05
41.8,24.7
41.5,24.4
41.2,24.15
41.8,24.4
45.0,26.65
48.2,28.8
51.2,30.8
53.6,32.6
55.6,33.75
56.9,34.650000000000006
57.5,34.7
57.2,34.2
55.4,32.6
52.3,30.7
49.8,29.75
48.1,29.0
46.9,28.1
46.0,27.55
45.2,27.0
44.5,26.5
43.8,26.1
43.1,25.75
42.8,25.45
42.3,25.0
42.1,24.65
41.6,24.3
41.3,24.1
41.8,24.35
45.0,26.5
48.3,28.7
51.2,30.75
53.5,32.45
55.7,33.75
56.9,34.5
57.5,34.55
57.1,34.2
55.6,32.6
52.4,30.6
