Cluster 0,Cluster 1,Cluster 2
45.5,30.9,18.6
44.849999999999994,30.5,18.2
44.349999999999994,30.2,17.7
43.9,29.7,17.5
43.45,29.4,17.2
42.95,29.1,17.0
42.5,28.7,16.6
42.1,28.6,16.5
43.25,28.6,16.9
46.2,30.7,19.3
49.55,33.5,21.8
52.2,35.6,23.9
54.349999999999994,37.3,25.5
55.95,38.4,26.5
57.3,39.1,27.5
57.650000000000006,39.2,27.6
57.150000000000006,38.7,26.6
55.55,36.5,24.7
52.3,34.9,23.2
50.0,34.0,22.1
48.7,33.1,21.1
47.650000000000006,32.5,20.5
46.8,31.9,19.9
46.150000000000006,31.3,19.2
45.349999999999994,30.9,18.9
44.650000000000006,30.4,18.3
44.1,30.0,18.0
43.7,29.6,17.5
43.349999999999994,29.3,17.2
42.9,29.0,17.1
42.4,28.8,16.9
42.150000000000006,28.5,16.7
43.0,28.5,16.9
46.150000000000006,30.6,19.2
49.45,33.3,21.7
52.150000000000006,35.6,24.0
54.25,37.2,25.6
55.8,38.3,26.8
57.2,38.9,27.5
57.7,39.1,27.6
57.1,38.6,26.8
55.6,36.4,24.7
52.4,34.8,23.1
49.95,33.9,22.1
48.65,33.1,21.4
47.6,32.4,20.6
46.849999999999994,31.7,20.0
46.25,31.2,19.4
45.4,30.7,19.0
44.7,30.2,18.4
44.2,29.8,18.0
43.7,29.4,17.6
43.349999999999994,29.0,17.2
42.95,28.8,17.0
42.55,28.5,16.9
42.25,28.3,16.8
43.3,28.4,16.9
46.150000000000006,30.5,19.3
49.55,33.3,21.8
52.1,35.6,23.8
54.25,37.1,25.7
55.9,38.3,26.8
57.2,39.0,27.4
57.6,39.1,27.5
57.4,38.6,26.8
55.650000000000006,36.5,24.9
52.45,34.7,23.3
50.05,33.8,22.2
48.849999999999994,33.0,21.4
47.8,32.2,20.8
46.95,31.7,20.2
46.25,31.1,19.7
45.55,30.6,19.4
44.9,30.1,18.8
44.349999999999994,29.7,18.2
43.849999999999994,29.3,18.0
43.55,29.0,17.6
43.0,28.7,17.5
42.75,28.4,17.1
42.4,28.2,17.0
43.1,28.5,17.1
46.1,30.7,19.4
49.45,33.3,21.8
