Cluster 0,Cluster 1,Cluster 2,Cluster 3
41.2,29.4,17.4,52.95
40.6,29.1,17.0,52.35
40.1,28.9,16.6,51.900000000000006
39.7,28.4,16.3,51.45
39.3,27.9,16.0,51.05
38.9,27.6,15.8,50.55
38.7,27.2,15.5,50.0
38.3,27.2,15.3,49.75
38.8,27.4,15.4,50.55
41.5,28.9,17.2,53.5
44.6,31.1,19.2,56.6
47.7,33.4,22.7,59.1
50.1,35.5,24.2,61.599999999999994
51.9,36.8,25.2,63.25
53.0,37.7,25.7,64.4
53.4,37.9,25.8,64.69999999999999
53.0,36.9,25.1,64.55
50.7,35.2,23.2,62.150000000000006
47.8,33.2,21.4,59.2
45.9,32.0,20.1,56.7
44.4,31.0,19.5,55.4
43.5,30.5,18.9,54.6
42.6,30.0,18.3,53.6
41.9,29.5,17.7,53.099999999999994
41.1,29.1,17.4,52.65
40.5,28.9,16.9,52.15
40.0,28.6,16.5,51.65
39.6,28.3,16.2,51.3
39.2,28.0,15.8,51.0
38.8,27.5,15.7,50.55
38.5,27.1,15.4,49.95
38.0,27.0,15.2,49.7
38.6,27.2,15.6,50.400000000000006
41.3,28.8,17.3,53.5
44.6,31.0,19.4,56.400000000000006
47.9,33.3,22.8,59.1
50.2,35.5,24.2,61.25
51.9,37.0,25.2,63.1
52.9,37.5,25.9,64.15
53.4,37.8,26.1,64.44999999999999
52.9,36.9,25.2,64.4
50.8,35.1,23.6,62.4
47.9,33.1,21.3,59.1
46.0,31.9,20.3,56.5
44.5,31.1,19.5,55.4
43.6,30.3,18.9,54.650000000000006
42.7,29.8,18.3,53.75
41.9,29.3,17.8,53.05
41.3,28.9,17.3,52.5
40.7,28.7,16.9,52.05
40.2,28.5,16.5,51.650000000000006
39.7,28.1,16.1,51.35
39.3,27.8,15.9,51.349999999999994
38.9,27.4,15.6,50.8
38.5,27.2,15.3,50.3
38.2,26.9,15.1,50.0
38.6,27.0,15.7,50.95
41.4,28.6,17.5,53.849999999999994
44.8,31.0,19.7,56.599999999999994
47.9,33.4,22.6,59.2
50.1,35.4,24.4,61.45
