Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4
42.9,25.6,13.3,50.4,38.2
42.1,25.0,13.0,49.8,37.6
41.4,24.7,12.9,49.4,37.25
40.9,24.5,12.5,49.0,36.8
40.4,24.2,12.5,48.7,36.4
40.0,24.0,12.0,48.2,36.1
39.7,23.8,11.9,48.0,35.75
39.7,23.5,11.5,47.7,35.5
40.5,24.1,11.4,49.1,36.05
44.2,26.1,13.1,51.8,38.6
47.7,28.4,15.0,54.8,41.65
50.4,30.4,17.0,57.2,44.349999999999994
53.1,32.0,18.2,59.1,46.3
55.0,33.1,19.6,60.2,47.8
56.1,33.7,20.2,61.0,48.95
56.8,33.8,20.1,61.4,49.55
56.8,33.2,19.5,61.2,49.3
55.6,31.6,18.3,59.8,47.05
52.2,29.7,17.2,56.7,44.349999999999994
48.7,28.7,15.8,54.4,42.349999999999994
47.2,27.8,15.3,53.1,41.15
45.7,27.2,14.6,52.4,40.25
44.6,26.7,14.3,51.5,39.3
43.7,26.1,13.8,50.9,38.6
43.0,25.6,13.5,50.3,38.05
42.2,25.1,12.9,49.7,37.4
41.7,24.8,12.7,49.1,37.05
41.2,24.4,12.4,48.8,36.650000000000006
40.7,24.2,12.1,48.5,36.150000000000006
40.3,23.8,11.8,48.0,35.8
40.1,23.6,11.6,47.8,35.55
40.0,23.6,11.3,47.8,35.4
40.6,24.1,11.3,48.9,35.75
44.4,26.0,13.5,51.8,38.6
48.0,28.2,16.1,54.7,41.6
50.7,30.4,17.2,57.2,44.150000000000006
53.2,32.0,18.6,59.0,46.05
55.0,33.2,19.7,60.1,47.7
56.1,33.8,20.6,60.9,48.95
56.7,33.8,21.0,61.3,49.4
56.8,33.4,19.6,61.1,49.25
55.6,31.7,18.2,59.8,47.0
52.2,29.8,16.8,56.7,44.349999999999994
49.1,28.8,16.1,54.4,42.5
47.2,27.7,15.3,53.3,41.4
46.0,27.1,14.6,52.4,40.25
45.9,26.5,14.0,51.5,39.4
45.0,26.0,13.6,51.0,38.75
44.4,25.6,13.3,50.4,38.0
43.8,25.2,13.0,49.9,37.4
43.3,24.7,12.6,49.4,37.05
42.7,24.4,12.4,49.1,36.6
42.0,24.1,12.2,48.6,36.1
41.2,23.8,12.0,48.3,35.8
40.9,23.8,11.5,48.1,35.45
40.6,23.6,11.2,48.0,35.3
41.2,24.1,11.3,49.0,35.7
45.1,26.1,13.9,51.9,38.65
48.6,28.3,16.1,54.8,41.650000000000006
51.1,30.1,17.2,57.2,44.2
53.2,32.0,18.4,59.1,46.0
55.7,33.2,19.7,60.2,47.7
57.3,33.9,20.7,61.1,49.0
58.1,34.1,21.3,61.4,49.45
57.5,33.1,19.9,61.1,49.4
55.8,31.7,18.2,59.9,47.05
52.4,30.0,17.0,56.9,44.3
49.7,28.7,16.4,54.6,42.6
47.8,27.7,15.6,53.3,41.3
46.8,27.1,15.1,52.4,40.25
45.9,26.5,14.3,51.7,39.4
45.1,26.1,13.9,50.9,38.75
44.6,25.6,13.6,50.4,38.05
44.0,25.2,13.2,49.9,37.5
43.5,24.9,12.8,49.4,37.0
42.9,24.7,12.5,49.0,36.55
42.1,24.5,12.2,48.7,36.05
41.4,24.2,11.8,48.4,35.6
41.2,23.9,11.4,48.0,35.349999999999994
40.7,23.8,11.1,47.8,35.2
41.2,24.4,11.3,49.0,35.7
45.2,26.2,14.3,52.0,38.55
48.6,28.4,16.1,54.8,41.650000000000006
51.4,30.3,17.2,57.1,44.2
53.4,32.1,18.1,59.1,46.15
56.0,33.3,19.7,60.3,47.849999999999994
57.6,33.9,20.8,61.1,49.1
58.5,34.1,20.9,61.4,49.55
57.9,33.2,19.6,61.3,49.3
56.4,31.7,18.2,59.9,47.400000000000006
53.0,30.2,16.9,57.0,44.55
49.8,28.8,16.0,54.6,42.650000000000006
48.1,27.8,15.5,53.1,41.45
47.0,27.2,14.7,52.2,40.55
46.0,26.5,14.4,51.6,39.7
45.4,26.2,13.8,50.8,38.85
