Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
45.400000000000006,20.4,7.8,54.4,30.95,41.6
44.45,20.1,7.8,53.9,30.55,41.0
43.55,19.7,7.7,53.6,30.2,40.45
42.9,19.5,7.7,53.349999999999994,29.8,39.95
42.3,19.2,7.65,52.95,29.4,39.55
42.0,18.8,7.6,52.599999999999994,29.15,39.2
41.5,18.6,7.65,52.3,28.9,38.9
41.5,18.3,7.65,52.1,28.7,38.650000000000006
42.45,18.5,7.9,52.45,28.8,39.0
46.7,21.2,8.35,54.5,30.9,41.9
51.35,23.7,9.35,57.1,33.3,45.150000000000006
55.05,26.1,11.75,60.2,35.45,48.25
57.9,28.1,12.8,62.15,37.1,50.4
60.1,29.2,14.05,63.849999999999994,38.2,52.05
61.349999999999994,29.7,15.05,65.15,38.8,53.150000000000006
62.15,29.6,15.65,66.05000000000001,39.0,53.6
62.15,28.5,15.9,65.75,38.5,53.3
59.45,26.4,16.05,64.35,36.5,51.0
55.65,24.6,13.95,61.1,34.9,48.150000000000006
53.349999999999994,23.5,12.399999999999999,58.65,33.9,46.2
51.2,22.5,11.25,57.2,33.1,44.75
49.4,21.8,10.9,56.05,32.4,43.8
47.8,21.3,10.55,55.45,31.85,42.95
46.5,20.7,10.3,54.75,31.3,42.2
45.5,20.4,10.05,54.3,30.9,41.4
44.5,20.1,9.75,53.75,30.35,40.9
43.6,19.8,9.600000000000001,53.4,30.0,40.3
42.9,19.6,9.45,53.2,29.6,39.95
42.349999999999994,19.2,9.4,52.8,29.3,39.55
42.05,18.8,9.2,52.45,29.0,39.150000000000006
41.55,18.7,9.1,52.25,28.8,38.9
41.55,18.2,9.05,51.95,28.6,38.650000000000006
42.6,18.6,9.0,52.2,28.65,38.849999999999994
46.8,21.1,9.6,54.45,30.75,41.8
51.45,23.8,10.35,57.05,33.2,45.0
55.2,26.4,12.25,60.0,35.349999999999994,48.150000000000006
58.05,28.2,14.5,61.9,37.0,50.3
60.3,29.3,16.25,63.75,38.1,52.05
61.7,29.8,17.05,65.1,38.7,53.2
62.55,29.7,17.200000000000003,65.94999999999999,38.9,53.6
62.55,28.7,16.85,65.75,38.4,53.4
59.7,26.5,16.05,64.2,36.4,51.0
55.95,24.7,13.649999999999999,61.0,34.8,48.25
53.55,23.6,12.1,58.45,33.8,46.2
51.55,22.7,10.899999999999999,57.1,33.0,44.8
49.65,22.0,10.55,56.05,32.349999999999994,43.8
48.05,21.4,10.3,55.3,31.6,42.95
46.95,20.7,10.35,54.55,31.1,42.25
46.099999999999994,20.3,10.1,54.3,30.7,41.6
45.2,20.0,9.95,53.599999999999994,30.2,41.0
44.05,19.8,9.75,53.2,29.8,40.5
43.35,19.5,9.55,52.95,29.4,40.0
43.15,19.2,9.4,52.599999999999994,29.05,39.650000000000006
42.75,18.8,9.15,52.5,28.8,39.2
42.25,18.7,9.05,52.2,28.6,39.0
42.099999999999994,18.4,9.0,51.95,28.4,38.7
43.849999999999994,18.8,9.05,52.3,28.45,39.05
47.9,21.0,9.3,54.45,30.6,41.95
52.2,23.9,10.149999999999999,57.3,33.1,45.0
55.65,26.4,12.0,60.0,35.349999999999994,48.05
58.5,28.4,14.4,62.05,36.9,50.3
60.6,29.4,16.15,63.75,37.9,51.95
62.0,29.8,16.9,65.05,38.7,53.2
62.95,29.8,17.1,65.94999999999999,38.9,53.6
63.3,28.8,16.7,65.7,38.4,53.4
61.05,26.8,16.05,64.5,36.4,51.2
56.95,24.9,13.8,61.6,34.650000000000006,48.349999999999994
54.099999999999994,23.8,12.25,59.4,33.8,46.3
52.1,22.7,11.05,57.849999999999994,33.0,45.0
50.2,22.2,10.399999999999999,56.55,32.150000000000006,43.9
48.75,21.6,10.2,55.45,31.55,43.1
47.400000000000006,21.1,10.15,54.6,31.0,42.4
46.3,20.7,10.100000000000001,54.25,30.6,41.8
45.400000000000006,20.1,9.95,53.8,30.15,41.2
44.2,19.8,9.75,53.599999999999994,29.75,40.650000000000006
43.55,19.6,9.55,53.2,29.3,40.25
43.25,19.2,9.350000000000001,52.8,29.0,39.8
42.9,19.0,9.2,52.45,28.7,39.4
42.35,18.8,9.2,52.3,28.45,39.150000000000006
42.2,18.7,9.25,52.0,28.25,38.9
44.0,18.7,9.2,52.25,28.55,39.0
48.1,21.0,9.35,54.5,30.65,41.95
52.45,24.2,10.25,57.45,33.1,45.150000000000006
55.9,26.5,12.100000000000001,60.6,35.2,48.1
58.75,28.3,14.399999999999999,62.65,36.8,50.4
60.95,29.5,15.950000000000001,64.4,37.9,52.1
62.25,29.9,16.75,65.75,38.650000000000006,53.3
63.2,29.8,16.9,66.15,38.9,53.95
63.55,28.7,16.4,66.19999999999999,38.45,53.7
61.45,26.8,15.7,64.65,36.5,51.3
57.25,24.9,13.8,61.6,34.650000000000006,48.5
54.400000000000006,23.7,12.2,59.5,33.8,46.5
52.5,22.7,11.1,57.9,33.0,45.150000000000006
50.55,22.2,10.350000000000001,56.55,32.3,44.1
49.1,21.7,9.8,55.45,31.65,43.2
47.65,21.0,9.75,54.65,31.2,42.6
46.6,20.6,9.7,54.25,30.7,42.0
45.7,20.0,9.65,53.7,30.3,41.349999999999994
44.5,19.8,9.6,53.45,29.9,40.8
43.75,19.6,9.2,53.150000000000006,29.5,40.3
43.5,19.1,9.05,52.65,29.15,39.95
43.1,18.8,9.05,52.35,28.85,39.5
42.6,18.7,9.15,52.25,28.55,39.2
42.400000000000006,18.6,9.15,51.9,28.4,38.95
44.3,18.8,9.25,52.099999999999994,28.65,39.05
48.3,21.0,9.25,54.45,30.8,42.05
52.75,24.1,10.1,57.4,33.150000000000006,45.349999999999994
56.2,26.3,12.0,60.6,35.2,48.3
59.150000000000006,28.1,14.15,62.599999999999994,36.8,50.45
61.3,29.4,15.7,64.5,37.8,52.25
62.650000000000006,29.7,16.55,65.80000000000001,38.6,53.45
63.6,29.7,16.7,66.35,38.7,54.2
63.949999999999996,28.8,16.3,66.25,38.150000000000006,53.8
61.9,26.7,15.600000000000001,64.7,36.3,51.5
57.6,24.7,13.65,61.55,34.650000000000006,48.7
54.75,23.4,12.15,59.4,33.650000000000006,46.5
52.7,22.5,11.05,57.8,32.95,45.3
50.849999999999994,22.0,10.35,56.5,32.150000000000006,44.2
49.25,21.6,9.600000000000001,55.4,31.6,43.349999999999994
47.85,21.0,9.6,54.6,31.0,42.6
46.85,20.6,9.55,54.150000000000006,30.65,41.9
45.900000000000006,20.0,9.55,53.75,30.15,41.349999999999994
44.650000000000006,19.7,9.649999999999999,53.45,29.8,40.8
43.95,19.4,9.25,53.05,29.4,40.3
43.7,19.0,9.1,52.55,28.95,39.8
43.150000000000006,18.8,9.1,52.15,28.7,39.3
42.6,18.6,9.25,52.0,28.5,38.95
42.400000000000006,18.5,9.3,51.650000000000006,28.25,38.7
44.5,18.7,9.3,51.9,28.45,39.0
48.55,21.0,9.15,54.3,30.5,42.0
53.0,24.3,10.05,57.15,32.9,45.150000000000006
56.5,26.5,12.0,60.3,35.0,48.150000000000006
59.4,28.1,13.95,62.400000000000006,36.6,50.4
61.6,29.2,15.5,64.30000000000001,37.8,52.2
63.0,29.8,16.5,65.65,38.349999999999994,53.349999999999994
63.849999999999994,29.8,16.65,66.15,38.45,54.05
64.25,28.7,16.25,66.1,38.0,53.8
62.25,26.9,15.4,64.6,36.2,51.45
57.9,24.9,13.5,61.35,34.55,48.6
54.95,23.5,11.95,59.15,33.5,46.5
53.05,22.7,10.75,57.7,32.6,45.2
51.05,22.1,10.1,56.35,31.9,44.1
49.45,21.6,9.4,55.3,31.35,43.2
48.099999999999994,21.1,9.4,54.55,30.8,42.5
47.0,20.5,9.45,54.05,30.4,41.849999999999994
46.0,20.1,9.4,53.55,30.0,41.150000000000006
44.849999999999994,19.8,9.35,53.25,29.65,40.6
44.15,19.4,9.0,52.9,29.25,40.05
43.9,19.2,8.899999999999999,52.5,28.9,39.5
43.4,18.9,8.85,51.95,28.55,39.0
42.8,18.6,8.95,51.6,28.3,38.650000000000006
42.65,18.5,9.05,51.3,28.05,38.4
44.6,18.7,9.0,51.650000000000006,28.25,38.849999999999994
48.7,21.0,9.0,54.25,30.55,41.8
53.150000000000006,24.4,9.9,57.05,32.849999999999994,45.0
56.7,26.5,11.8,59.9,34.9,48.05
59.55,28.1,13.55,62.25,36.5,50.349999999999994
61.849999999999994,29.0,15.15,64.19999999999999,37.7,52.1
63.2,29.8,16.4,65.5,38.25,53.349999999999994
64.15,30.0,16.6,66.1,38.4,54.1
64.44999999999999,28.9,16.05,65.95,37.9,53.75
62.45,27.1,15.25,64.5,36.150000000000006,51.5
58.150000000000006,25.2,13.5,61.35,34.5,48.5
55.349999999999994,23.9,11.95,58.75,33.349999999999994,46.4
53.3,23.0,10.600000000000001,57.5,32.5,45.0
51.25,22.4,10.0,56.2,31.7,44.05
49.65,21.7,9.25,55.25,31.15,43.25
48.400000000000006,21.2,9.25,54.55,30.6,42.349999999999994
47.25,20.9,9.2,54.05,30.2,41.6
