Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
45.2,20.3,7.8,46.6,31.05,36.7,61.3
44.2,19.9,7.8,46.1,30.75,36.2,60.8
43.5,19.6,7.7,45.4,30.4,35.7,60.2
42.8,19.3,7.7,44.8,30.1,35.2,59.8
42.2,19.1,7.65,44.45,29.8,34.7,59.3
42.0,18.8,7.6,44.05,29.55,34.3,58.9
41.4,18.5,7.65,43.849999999999994,29.4,33.9,58.6
41.5,18.2,7.65,43.55,29.25,33.5,58.4
42.0,18.4,7.9,44.3,29.45,34.1,59.2
46.4,21.1,8.35,47.45,31.45,36.7,61.5
51.2,23.6,9.35,50.6,33.3,40.1,65.6
55.0,26.0,11.75,53.05,35.1,42.7,68.2
57.8,28.1,12.8,55.1,36.650000000000006,44.9,69.9
60.1,29.2,14.05,56.9,37.650000000000006,46.7,70.6
61.3,29.7,15.05,57.9,38.25,47.9,71.1
62.0,29.6,15.65,58.25,38.1,48.2,71.1
61.8,28.5,15.9,58.0,37.25,47.8,70.4
59.1,26.4,16.05,55.95,35.7,46.1,69.0
55.4,24.6,13.95,53.150000000000006,34.5,43.0,66.2
53.3,23.4,12.399999999999999,50.75,33.55,40.8,64.5
51.0,22.5,11.25,49.4,32.9,39.5,63.6
49.3,21.7,10.9,48.55,32.3,38.5,62.8
47.7,21.2,10.55,47.8,31.8,37.9,62.2
46.3,20.6,10.3,47.05,31.3,36.8,61.5
45.3,20.3,10.05,46.349999999999994,30.95,36.2,60.9
44.3,19.8,9.75,45.849999999999994,30.5,35.9,60.4
43.6,19.6,9.600000000000001,45.25,30.15,35.4,59.8
42.8,19.5,9.45,44.75,30.0,35.0,59.3
42.3,19.1,9.4,44.4,29.6,34.7,58.9
42.0,18.6,9.2,44.0,29.25,34.4,58.4
41.4,18.3,9.1,43.8,29.15,33.9,58.1
41.5,18.1,9.05,43.4,28.95,33.7,57.9
42.2,18.3,9.0,44.3,29.4,34.1,58.7
46.5,21.0,9.6,47.4,31.25,36.8,61.1
51.3,23.6,10.35,50.45,33.2,40.1,65.2
55.2,26.2,12.25,52.95,35.150000000000006,42.7,67.8
58.0,28.2,14.5,55.150000000000006,36.6,44.8,69.5
60.2,29.3,16.25,56.8,37.4,46.5,70.4
61.6,29.9,17.05,57.8,38.0,47.8,70.8
62.4,29.7,17.200000000000003,58.25,37.9,48.2,70.8
62.2,28.7,16.85,58.0,37.25,47.7,70.1
59.3,26.5,16.05,56.05,35.7,45.9,68.7
55.8,24.7,13.649999999999999,53.150000000000006,34.55,43.0,65.9
53.5,23.5,12.1,50.8,33.6,41.0,64.1
51.3,22.7,10.899999999999999,49.6,32.9,39.6,63.2
49.5,21.9,10.55,48.650000000000006,32.2,38.6,62.3
48.0,21.3,10.3,47.95,31.6,38.1,61.8
46.9,20.6,10.35,47.1,31.2,37.1,61.1
45.8,20.3,10.1,46.55,30.7,36.3,60.5
44.9,19.8,9.95,45.9,30.35,35.7,60.2
43.9,19.4,9.75,45.3,30.049999999999997,35.3,59.6
43.1,19.1,9.55,44.849999999999994,29.75,35.0,59.0
42.5,18.8,9.4,44.5,29.4,34.7,58.5
42.3,18.6,9.15,44.1,29.1,34.3,58.1
41.9,18.4,9.05,43.8,28.95,34.0,57.9
41.8,18.3,9.0,43.55,28.7,33.8,57.5
43.4,18.6,9.05,44.400000000000006,29.1,34.0,58.4
47.3,20.9,9.3,47.45,31.0,36.8,60.9
51.8,23.8,10.149999999999999,50.6,33.1,40.2,65.1
55.5,26.4,12.0,53.2,35.05,42.6,67.7
58.5,28.3,14.4,55.2,36.45,44.9,69.5
60.6,29.4,16.15,56.900000000000006,37.55,46.6,70.4
62.0,29.9,16.9,57.95,37.95,47.7,70.8
62.9,29.8,17.1,58.349999999999994,37.9,48.1,70.9
63.1,28.8,16.7,58.1,37.3,47.7,70.2
60.4,26.8,16.05,56.150000000000006,35.650000000000006,45.8,68.8
56.4,24.7,13.8,53.3,34.45,43.0,66.0
53.9,23.7,12.25,51.2,33.5,41.1,64.2
52.1,22.7,11.05,49.7,32.75,39.6,63.3
50.1,22.1,10.399999999999999,48.6,32.1,38.6,62.6
48.4,21.6,10.2,47.9,31.5,37.9,61.8
47.2,21.0,10.15,47.099999999999994,31.1,37.0,61.1
46.0,20.4,10.100000000000001,46.349999999999994,30.7,36.4,60.6
45.1,19.9,9.95,45.8,30.2,35.7,60.1
44.1,19.7,9.75,45.2,29.95,35.2,59.5
43.4,19.5,9.55,44.7,29.65,34.8,59.0
42.6,19.0,9.350000000000001,44.3,29.3,34.5,58.5
42.5,18.8,9.2,44.0,29.0,34.2,58.2
42.0,18.6,9.2,43.75,28.799999999999997,34.0,58.0
42.0,18.6,9.25,43.5,28.7,33.8,57.7
43.5,18.7,9.2,44.2,28.95,34.1,58.4
47.5,20.9,9.35,47.25,30.8,36.9,61.6
52.0,24.0,10.25,50.5,32.95,40.2,65.5
55.8,26.4,12.100000000000001,53.15,34.849999999999994,42.6,69.0
58.7,28.3,14.399999999999999,55.2,36.5,44.9,70.4
60.9,29.5,15.950000000000001,57.0,37.4,46.5,71.4
62.2,30.1,16.75,58.099999999999994,37.849999999999994,47.7,71.6
63.1,29.9,16.9,58.5,37.9,48.2,71.2
63.4,28.7,16.4,58.1,37.2,47.8,70.6
60.9,26.8,15.7,56.25,35.6,46.0,69.3
56.7,24.6,13.8,53.349999999999994,34.4,43.1,66.4
54.2,23.6,12.2,51.150000000000006,33.5,41.4,64.1
52.5,22.7,11.1,49.599999999999994,32.9,39.6,63.3
50.4,22.1,10.350000000000001,48.5,32.150000000000006,38.7,62.7
48.7,21.7,9.8,47.650000000000006,31.6,37.9,61.9
47.3,21.0,9.75,46.849999999999994,31.2,37.3,61.2
46.2,20.4,9.7,46.3,30.8,36.7,60.8
45.3,19.9,9.65,45.849999999999994,30.4,35.9,60.2
44.3,19.6,9.6,45.05,30.1,35.4,59.5
43.5,19.3,9.2,44.55,29.799999999999997,35.0,59.0
42.8,18.9,9.05,44.1,29.5,34.6,58.5
42.6,18.7,9.05,43.75,29.25,34.4,58.1
42.2,18.6,9.15,43.5,29.05,34.2,57.9
42.1,18.5,9.15,43.3,28.9,33.9,57.7
43.8,18.6,9.25,44.2,29.1,34.2,58.4
47.7,20.8,9.25,47.25,31.0,36.9,61.6
52.3,24.0,10.1,50.45,33.05,40.3,65.5
56.1,26.2,12.0,53.1,34.9,42.8,68.8
59.1,28.1,14.15,55.2,36.25,44.9,70.2
61.3,29.4,15.7,57.05,37.4,46.6,71.2
62.6,29.9,16.55,58.2,37.9,47.6,71.4
63.5,29.8,16.7,58.650000000000006,37.9,48.1,71.1
63.8,28.8,16.3,58.1,37.25,47.9,70.5
61.4,26.7,15.600000000000001,56.25,35.6,46.1,69.2
57.1,24.7,13.65,53.2,34.4,43.3,66.2
