Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
45.400000000000006,29.3,37.4,9.899999999999999,19.1,61.45,46.0,46.1
44.45,29.0,36.8,9.7,18.3,60.9,45.5,45.4
43.55,28.5,36.3,9.45,18.0,60.3,45.0,44.9
42.9,28.299999999999997,35.9,9.35,17.6,59.8,44.5,44.6
42.3,27.9,35.35,9.35,17.3,59.3,44.1,44.2
42.0,27.6,35.150000000000006,9.100000000000001,17.1,58.9,43.8,43.8
41.5,27.2,34.8,9.0,17.0,58.6,43.5,43.7
41.5,27.2,34.6,8.95,16.7,58.45,43.2,43.3
42.45,27.4,34.75,9.1,16.9,59.25,43.9,44.3
46.7,28.75,37.650000000000006,10.7,19.6,61.9,47.2,49.2
51.35,30.75,40.849999999999994,11.3,22.0,65.8,50.1,53.1
55.05,32.95,43.5,11.75,24.7,68.75,52.5,55.3
57.9,34.75,45.3,12.8,26.3,70.25,54.6,56.7
60.1,36.25,47.05,14.05,27.5,71.05,56.2,58.1
61.349999999999994,37.0,48.2,15.05,28.2,71.4,57.4,58.9
62.15,37.05,48.849999999999994,15.65,28.1,71.19999999999999,57.8,58.7
62.15,36.4,48.45,15.9,27.0,70.55000000000001,57.4,57.4
59.45,34.7,46.3,16.05,24.9,69.15,55.7,54.9
55.65,32.7,43.55,15.65,23.2,66.30000000000001,52.5,52.4
53.349999999999994,31.65,41.6,15.0,22.2,64.55,50.3,50.8
51.2,30.8,40.1,14.149999999999999,21.6,63.7,48.9,49.6
49.4,30.15,39.2,13.5,20.8,62.9,48.0,48.8
47.8,29.75,38.349999999999994,13.15,20.3,62.25,47.2,47.9
46.5,29.4,37.75,12.8,19.7,61.55,46.5,47.0
45.5,29.1,37.4,12.350000000000001,19.2,61.0,46.0,46.2
44.5,28.75,36.75,12.05,18.6,60.5,45.5,45.6
43.6,28.55,36.05,11.9,18.2,59.9,45.0,45.0
42.9,28.200000000000003,35.6,11.55,17.8,59.349999999999994,44.5,44.8
42.349999999999994,27.9,35.150000000000006,11.55,17.5,58.9,44.0,44.5
42.05,27.5,34.9,11.25,17.2,58.45,43.7,44.2
41.55,27.1,34.55,11.1,17.0,58.150000000000006,43.4,44.0
41.55,27.0,34.349999999999994,11.0,16.8,57.95,43.2,43.6
42.6,27.2,34.6,11.15,17.0,58.7,43.9,44.4
46.8,28.6,37.5,13.149999999999999,19.6,61.5,47.2,49.3
51.45,30.65,40.849999999999994,13.4,22.2,65.4,50.0,53.2
55.2,32.8,43.4,13.55,24.6,68.35,52.4,55.4
58.05,34.7,45.2,14.8,26.4,69.9,54.4,56.9
60.3,36.1,47.05,16.25,27.7,70.80000000000001,56.2,58.2
61.7,36.95,48.2,17.05,28.6,71.1,57.4,58.9
62.55,37.0,48.7,17.200000000000003,28.5,70.85,57.9,58.7
62.55,36.2,48.4,16.85,27.2,70.25,57.4,57.4
59.7,34.75,46.4,16.05,25.2,68.9,55.7,55.0
55.95,32.8,43.7,15.399999999999999,23.5,66.0,52.5,52.5
53.55,31.4,41.6,14.850000000000001,22.4,64.15,50.4,51.1
51.55,30.6,40.1,14.05,21.6,63.3,49.0,49.7
49.65,29.95,39.25,13.3,21.0,62.45,48.0,48.9
48.05,29.5,38.5,12.95,20.2,61.849999999999994,47.3,48.1
46.95,29.2,37.75,12.55,19.8,61.150000000000006,46.5,47.2
46.099999999999994,28.9,37.3,12.2,19.3,60.6,46.0,46.4
45.2,28.5,36.8,12.0,18.9,60.2,45.6,45.9
44.05,28.4,36.25,11.75,18.4,59.6,45.1,45.3
