day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90
53.3,54.1,55.2,56.0,56.8,58.4,61.0,66.3,69.1,69.6,68.6,67.0,64.1,61.5,57.9,53.7,48.2,42.8,39.9,39.8,40.1,40.1,40.4,40.7,41.3,41.5,42.2,43.2,44.1,45.3,47.2,50.5,55.2,56.6,56.7,55.9,54.3,51.8,48.4,43.7,37.9,33.3,32.2,32.1,32.1,32.1,32.3,32.6,33.1,33.1,33.6,33.7,35.0,35.6,36.9,38.7,43.3,46.0,46.6,46.4,44.7,42.1,37.7,32.6,27.5,24.6,24.1,23.7,23.5,23.3,23.5,23.1,23.4,22.8,23.0,23.8,24.5,25.3,26.4,27.8,30.8,33.1,33.6,33.2,31.8,29.5,26.1,22.4,18.6,17.7,17.9
52.3,52.9,53.9,54.8,55.3,56.3,57.9,60.4,65.8,68.5,68.4,67.6,65.6,63.1,60.6,56.9,52.9,47.5,42.3,39.3,39.6,39.6,39.8,39.9,40.4,40.9,41.5,42.0,42.8,43.8,44.8,46.8,49.8,54.9,56.3,56.5,55.6,53.9,51.5,48.2,43.2,37.7,32.7,31.8,31.7,31.6,32.0,32.0,32.4,32.5,32.7,32.9,33.7,34.2,34.9,36.3,38.1,42.9,46.2,46.6,46.4,44.5,41.6,37.1,31.9,27.0,24.2,23.5,23.3,23.0,23.0,22.8,22.8,22.6,22.2,22.7,23.4,24.3,24.9,26.0,27.6,30.4,32.9,33.7,33.1,31.7,29.6,26.3,22.0,18.6,17.7
51.4,51.8,52.7,53.6,54.2,54.9,55.7,57.3,59.7,65.2,67.4,67.4,66.0,64.5,62.3,59.7,56.2,52.3,46.9,41.7,39.2,39.1,39.4,39.5,39.7,40.0,40.8,41.2,41.5,42.4,43.4,44.5,46.3,49.4,54.6,56.1,56.0,55.2,53.7,51.4,47.9,42.9,37.0,32.2,31.4,31.3,31.5,31.6,31.8,31.7,32.0,32.0,32.9,32.9,33.4,34.3,35.8,37.8,43.1,46.2,46.7,46.1,44.1,40.9,36.4,31.2,26.5,23.6,23.1,22.8,22.6,22.4,22.5,21.9,21.9,21.9,22.3,23.3,24.0,24.6,25.7,27.2,30.1,32.9,33.6,33.1,31.8,29.7,25.9,21.8,18.5
50.6,51.1,51.6,52.4,53.0,53.8,54.4,55.2,56.6,59.2,64.0,66.4,65.9,65.1,63.8,61.3,58.9,55.6,51.7,46.3,41.5,38.6,38.9,39.0,39.2,39.3,40.0,40.6,40.7,41.1,41.9,43.1,44.0,45.9,49.1,54.2,55.7,55.5,55.0,53.6,51.2,47.5,42.2,36.5,31.7,30.9,31.1,31.2,31.4,31.2,31.3,31.3,31.8,32.1,32.3,32.9,33.8,35.5,37.8,43.0,46.2,46.3,45.7,43.3,40.2,35.6,30.7,25.9,23.2,22.6,22.5,22.0,22.0,21.6,21.3,21.6,21.5,22.3,22.9,23.7,24.3,25.3,26.8,30.1,32.8,33.7,33.2,31.8,29.3,25.7,21.7
49.9,50.3,50.8,51.3,51.7,52.6,53.3,53.8,54.6,56.0,58.2,63.0,64.9,64.9,64.3,62.8,60.5,58.4,55.0,51.2,46.2,40.9,38.5,38.6,38.6,38.8,39.3,39.9,40.0,40.4,40.6,41.7,42.5,43.6,45.7,48.6,53.8,55.4,55.5,54.9,53.5,51.0,46.7,41.6,35.8,31.2,30.9,30.8,31.0,30.8,30.8,30.6,31.1,31.0,31.4,31.7,32.3,33.5,35.6,37.6,42.9,45.9,45.9,44.9,42.8,39.4,35.3,30.0,25.4,22.9,22.3,21.9,21.6,21.1,21.0,21.0,21.2,21.5,21.9,22.6,23.3,23.9,24.9,26.6,30.0,32.9,33.8,33.2,31.4,29.0,25.4
49.3,49.5,50.0,50.5,50.6,51.2,52.2,52.7,53.2,54.0,55.1,57.3,61.5,63.9,64.1,63.4,62.0,60.0,57.7,54.6,51.2,45.6,40.7,38.1,38.2,38.2,38.9,39.2,39.3,39.6,39.9,40.4,41.2,42.2,43.4,45.3,48.2,53.4,55.3,55.2,54.9,53.3,50.1,46.2,41.0,35.3,31.1,30.5,30.6,30.4,30.4,30.1,30.4,30.4,30.3,30.8,31.1,32.0,33.6,35.4,37.5,42.7,45.4,45.1,44.4,42.0,39.1,34.4,29.5,25.0,22.5,21.7,21.5,20.8,20.5,20.6,20.6,21.2,21.2,21.6,22.2,22.9,23.5,24.7,26.6,30.0,33.0,33.7,32.8,31.1,28.6
49.2,49.0,49.3,49.7,49.8,50.2,50.9,51.5,52.0,52.6,53.2,54.3,56.1,60.4,63.2,63.1,62.6,61.4,59.3,57.4,54.7,50.8,45.3,40.1,37.7,37.8,38.2,38.7,38.6,39.0,39.2,39.6,39.9,41.0,41.9,42.9,44.9,47.8,53.1,55.1,55.2,54.7,52.5,49.7,45.5,40.4,35.0,30.7,30.3,30.1,30.0,29.7,29.9,29.7,29.7,29.8,30.2,30.8,32.2,33.5,35.3,37.3,42.0,44.6,44.6,43.7,41.6,38.2,33.9,29.1,24.5,21.9,21.2,20.6,20.1,20.1,20.2,20.6,20.8,21.0,21.3,21.8,22.5,23.2,24.7,26.7,30.1,32.9,33.3,32.4,30.6
53.0,48.9,48.7,49.0,48.9,49.4,49.8,50.3,50.8,51.4,51.8,52.5,53.2,55.2,59.6,62.2,62.4,62.1,60.7,59.0,57.5,54.4,50.3,44.6,39.6,37.4,37.9,38.0,38.1,38.2,38.5,39.0,39.1,39.7,40.7,41.5,42.5,44.6,47.5,52.9,55.2,55.0,53.9,52.1,49.0,45.0,40.2,34.6,30.3,29.8,29.7,29.3,29.5,29.2,29.1,29.2,29.2,29.9,30.8,32.0,33.3,35.0,36.8,41.3,44.0,43.9,43.3,40.5,37.6,33.5,28.6,23.8,21.4,20.4,20.0,19.7,19.8,20.1,20.3,20.6,20.6,20.9,21.4,22.1,23.2,24.7,26.7,30.1,32.5,33.0,31.9
58.6,52.6,48.5,48.5,48.2,48.7,49.0,49.3,49.6,50.3,50.5,51.1,51.4,52.4,54.4,58.5,61.3,61.8,61.4,60.5,59.1,57.3,54.0,49.6,44.1,39.3,37.4,37.6,37.5,37.7,37.8,38.2,38.4,38.8,39.4,40.4,41.0,42.3,44.3,47.2,52.9,55.0,54.1,53.6,51.4,48.5,44.7,39.9,34.2,29.8,29.5,29.2,29.0,28.8,28.5,28.7,28.5,29.0,29.8,30.7,31.7,32.9,34.5,36.1,40.7,43.2,43.5,42.1,40.0,37.2,32.9,27.8,23.3,20.5,19.8,19.5,19.3,19.6,19.8,20.2,20.2,20.2,20.5,20.9,22.1,23.2,24.8,26.6,29.7,32.3,32.5
63.8,58.2,52.1,48.2,47.7,47.9,48.4,48.4,48.7,49.1,49.3,49.8,50.1,50.6,51.6,53.4,57.5,60.7,61.2,61.2,60.5,58.8,56.9,53.3,49.1,43.8,39.2,37.1,37.0,37.2,37.2,37.6,37.7,38.1,38.5,39.1,39.8,40.7,41.9,43.9,47.1,52.5,54.0,53.7,52.8,50.9,48.3,44.5,39.3,33.8,29.5,29.0,28.8,28.3,28.1,28.2,28.1,28.3,28.9,29.7,30.4,31.4,32.5,33.8,35.8,39.9,42.8,42.3,41.6,39.5,36.5,31.9,27.1,22.2,19.9,19.5,19.1,19.1,19.4,19.6,19.8,19.8,19.9,20.2,21.0,22.1,23.3,24.8,26.5,29.5,31.9
