day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93
42.8,44.3,45.5,47.5,49.5,52.5,57.2,59.1,59.9,60.2,59.9,59.2,57.9,56.1,54.0,51.4,48.0,42.6,40.3,41.3,42.2,43.2,44.3,46.0,47.3,49.0,50.8,52.9,55.6,60.4,64.1,65.6,66.7,67.0,66.8,66.3,64.9,63.4,61.3,59.2,56.3,52.0,47.2,47.2,48.1,49.5,51.1,52.6,54.5,56.5,58.5,60.8,64.1,69.5,72.3,73.8,74.6,74.9,74.7,73.4,71.8,70.3,68.7,66.2,63.5,59.9,54.9,53.5,54.8,56.7,58.2,60.1,62.2,64.4,66.6,70.0,74.0,80.0,82.8,84.3,85.2,85.7,85.8,84.7,83.2,81.3,78.6,75.9,72.8,68.4,62.6,60.9,62.8,65.0
41.7,43.0,44.3,45.8,47.7,49.5,52.8,57.2,59.3,60.1,60.3,60.5,59.7,58.1,56.5,54.5,51.9,48.2,42.9,40.6,41.3,42.3,43.3,44.8,46.2,47.6,49.3,51.1,53.3,55.9,60.5,64.0,65.8,67.0,67.2,67.2,66.6,65.2,63.8,61.9,59.6,56.7,52.3,47.4,47.4,48.3,49.8,51.5,53.0,54.9,57.0,58.8,61.2,64.7,69.7,72.4,73.9,74.8,74.8,74.4,73.3,72.2,70.9,68.8,66.4,63.8,60.1,55.1,54.0,55.3,57.0,58.7,60.6,62.7,65.0,67.5,70.5,74.8,80.6,83.2,84.6,85.6,86.1,86.0,84.9,83.3,81.2,78.6,76.0,73.0,68.9,63.1,61.3,63.2
40.8,41.9,43.1,44.5,46.1,47.8,49.8,52.9,57.5,59.5,60.4,60.9,60.9,59.8,58.5,57.0,54.9,52.2,48.6,43.3,40.6,41.4,42.4,43.8,45.0,46.5,47.9,49.8,51.4,53.7,56.2,60.4,64.3,66.2,67.1,67.8,67.6,67.0,65.6,64.4,62.3,60.0,57.0,52.5,47.6,47.6,48.6,50.2,51.9,53.4,55.5,57.4,59.2,61.6,64.8,69.9,72.6,74.1,74.8,74.5,74.4,73.7,72.7,71.0,69.1,66.6,63.9,60.4,55.7,54.4,55.7,57.5,59.2,61.2,63.3,65.9,67.9,71.2,75.4,81.0,83.5,85.0,86.0,86.4,86.1,84.9,83.2,81.2,78.7,76.3,73.6,69.3,63.6,61.7
39.8,41.1,42.0,43.3,44.7,46.2,48.0,49.8,53.2,57.8,59.8,60.9,61.3,61.0,60.3,59.0,57.4,55.2,52.5,48.9,43.5,40.8,41.5,42.8,44.0,45.2,46.7,48.3,50.1,51.8,54.0,56.2,60.8,64.7,66.3,67.6,68.1,67.9,67.3,66.1,64.7,62.6,60.2,57.1,52.7,47.8,47.8,49.1,50.6,52.4,53.9,55.9,57.7,59.6,61.8,65.1,70.0,72.8,74.2,74.5,74.4,74.8,74.2,73.0,71.3,69.3,66.8,64.3,61.0,56.1,54.7,56.3,58.0,59.7,61.8,64.2,66.5,68.6,71.6,75.7,81.3,83.8,85.4,86.3,86.4,86.2,84.9,83.2,81.3,79.1,76.8,74.1,69.9,64.0
38.9,40.0,41.2,42.1,43.6,44.8,46.4,48.0,50.0,53.5,58.0,60.4,61.3,61.5,61.5,60.8,59.4,57.7,55.5,52.8,49.0,43.8,41.1,41.9,42.9,44.3,45.5,47.2,48.6,50.4,52.1,53.9,56.6,61.2,64.9,66.8,68.0,68.5,68.3,67.8,66.5,65.0,62.8,60.3,57.2,53.0,48.1,48.2,49.5,50.9,52.8,54.5,56.3,58.1,59.8,62.1,65.3,70.3,72.8,73.9,74.4,74.8,75.2,74.4,73.2,71.5,69.5,67.2,65.0,61.5,56.4,55.3,56.9,58.4,60.2,62.6,64.7,67.1,69.2,71.9,76.0,81.7,84.2,85.7,86.4,86.5,86.2,84.8,83.2,81.7,79.7,77.4,74.7,70.4
38.5,39.0,40.0,41.3,42.5,43.7,45.1,46.5,48.3,50.3,53.9,58.7,60.7,61.5,62.0,62.1,61.2,59.7,58.0,55.7,52.9,49.3,44.3,41.5,42.0,43.1,44.6,45.8,47.6,49.1,50.7,52.0,54.2,57.1,61.4,65.3,67.3,68.5,68.8,68.8,68.1,66.8,65.1,62.9,60.4,57.4,53.2,48.6,48.4,49.8,51.5,53.3,54.9,56.7,58.3,60.0,62.4,65.5,70.4,72.5,73.8,74.7,75.3,75.5,74.7,73.4,71.7,69.9,67.9,65.5,62.0,57.1,55.9,57.3,58.8,60.9,63.1,65.3,67.6,69.5,72.1,76.4,82.1,84.5,85.7,86.4,86.5,86.2,85.0,83.8,82.3,80.3,78.1,75.4
37.6,38.5,39.1,40.3,41.7,42.6,43.9,45.1,46.7,48.4,50.5,54.4,59.1,61.0,62.0,62.5,62.5,61.4,60.0,58.1,55.8,53.0,49.8,44.8,41.6,42.2,43.4,44.9,46.1,48.0,49.4,50.8,52.3,54.7,57.3,61.9,65.8,67.7,68.8,69.3,69.2,68.4,67.0,65.3,63.1,60.6,57.7,53.7,48.9,48.8,50.3,51.9,53.7,55.4,57.0,58.6,60.4,62.7,65.7,70.2,72.5,74.1,75.2,75.6,75.7,75.0,73.6,72.2,70.6,68.5,66.2,62.6,57.6,56.2,57.7,59.6,61.3,63.7,65.8,67.9,69.6,72.5,76.8,82.4,84.6,85.7,86.5,86.5,86.3,85.6,84.3,82.9,81.1,78.8
38.2,37.7,38.6,39.3,40.6,41.8,42.8,43.9,45.3,46.9,48.6,51.1,54.8,59.3,61.5,62.4,62.9,62.8,61.7,60.1,58.2,56.0,53.6,50.2,45.1,41.8,42.5,43.7,45.1,46.5,48.2,49.3,51.1,52.7,54.9,57.8,62.4,66.2,68.1,69.3,69.6,69.4,68.5,67.2,65.5,63.2,61.0,58.3,54.1,49.3,49.3,50.9,52.3,54.1,55.6,57.2,58.9,60.7,62.9,65.6,70.2,72.8,74.5,75.5,75.8,75.9,75.2,74.2,73.0,71.2,69.2,66.8,63.1,58.1,56.7,58.4,60.1,61.8,64.2,66.1,68.1,70.0,72.8,77.1,82.5,84.5,85.8,86.5,86.6,86.8,86.1,85.0,83.6,81.7
43.5,38.4,37.8,38.8,39.6,40.7,41.9,42.8,44.2,45.4,47.1,49.0,51.3,55.0,59.8,62.0,62.8,63.3,63.0,61.8,60.2,58.4,56.5,54.0,50.5,45.4,42.2,42.9,43.9,45.6,46.7,48.1,49.7,51.5,52.9,55.3,58.2,62.8,66.7,68.6,69.6,69.8,69.5,68.7,67.4,65.6,63.6,61.5,58.6,54.5,49.9,49.9,51.2,52.8,54.4,55.8,57.6,59.2,61.0,62.8,65.6,70.5,73.2,74.8,75.7,76.0,76.1,75.8,75.0,73.7,71.9,69.9,67.4,63.6,58.6,57.5,58.9,60.5,62.4,64.5,66.3,68.5,70.4,73.1,77.4,82.4,84.6,85.9,86.6,87.1,87.3,86.9,85.7,84.3
48.2,43.8,38.6,38.0,39.0,39.5,40.8,41.9,43.0,44.3,45.6,47.5,49.3,51.6,55.6,60.4,62.3,63.2,63.5,63.0,61.9,60.4,59.0,56.9,54.3,50.9,46.0,42.5,43.1,44.3,45.8,46.6,48.5,50.0,51.7,53.4,55.8,58.6,63.4,67.0,68.9,69.7,69.9,69.7,69.0,67.6,65.9,64.2,61.9,59.2,55.1,50.5,50.2,51.7,53.1,54.5,56.1,57.9,59.5,60.9,62.9,65.9,70.9,73.4,75.1,75.9,76.3,76.7,76.5,75.6,74.5,72.7,70.5,68.0,64.3,59.3,57.9,59.3,60.9,62.7,64.8,66.7,68.9,70.8,73.3,77.5,82.5,84.8,86.1,87.2,87.6,88.1,87.6,86.4
