Cluster 0,Cluster 1,Cluster 2
37.3,23.5,49.5
36.650000000000006,23.3,49.0
36.0,23.0,48.4
35.75,22.9,48.0
35.2,22.5,47.6
34.9,22.2,47.2
34.650000000000006,22.1,46.9
34.5,21.8,46.8
34.7,21.9,47.8
37.55,24.5,51.0
40.75,26.8,53.9
43.349999999999994,28.5,56.6
45.150000000000006,29.9,58.5
46.849999999999994,31.1,60.0
48.1,31.7,60.9
48.55,31.9,61.4
48.2,31.2,61.1
46.150000000000006,29.8,59.5
43.25,27.9,56.3
41.4,26.7,54.0
40.0,25.8,52.4
39.150000000000006,25.1,51.4
38.3,24.4,50.5
37.7,24.0,49.9
37.15,23.7,49.2
36.55,23.5,48.7
35.95,23.2,48.2
35.55,23.0,47.7
35.05,22.6,47.3
34.6,22.3,47.0
34.45,22.1,46.7
34.3,21.8,46.5
34.5,22.2,47.7
37.45,24.3,51.1
40.55,26.7,53.9
43.1,28.5,56.5
45.0,29.7,58.5
46.9,30.9,60.1
47.95,31.6,60.9
48.4,31.7,61.3
48.1,31.2,61.1
46.150000000000006,29.7,59.5
43.45,27.9,56.3
41.4,26.6,54.0
40.05,25.9,52.6
39.150000000000006,25.3,51.3
38.4,24.7,50.6
37.650000000000006,24.3,49.9
37.150000000000006,23.9,49.4
36.650000000000006,23.6,49.0
35.9,23.4,48.5
35.55,23.1,47.9
35.1,22.6,47.5
34.6,22.4,47.2
34.3,22.1,46.8
34.2,22.0,46.7
34.5,22.4,47.9
37.3,24.2,51.2
40.6,26.7,54.2
42.95,28.3,56.6
45.0,30.0,58.7
47.0,31.0,60.2
48.05,31.6,61.1
48.349999999999994,31.7,61.4
47.9,31.2,61.1
46.2,29.7,59.7
43.6,28.2,56.4
41.4,26.8,54.2
39.95,26.0,52.6
38.95,25.4,51.5
38.4,24.8,50.8
37.6,24.4,50.1
36.95,24.1,49.4
36.6,23.5,49.0
35.8,23.3,48.5
35.4,23.0,47.9
35.05,22.8,47.5
34.7,22.5,47.2
34.349999999999994,22.2,46.8
34.2,22.1,46.6
34.5,22.3,47.8
37.25,24.3,51.2
40.6,26.7,54.1
42.95,28.4,56.7
45.1,30.0,58.8
47.0,31.1,60.2
48.0,31.8,61.1
48.45,31.9,61.4
48.150000000000006,31.3,61.3
46.25,29.7,59.8
43.6,28.3,56.4
41.7,26.8,54.2
40.25,26.1,52.8
39.1,25.6,51.5
38.45,24.9,50.8
37.8,24.4,50.0
37.1,24.0,49.3
36.650000000000006,23.6,48.8
35.9,23.3,48.3
35.55,22.9,47.8
35.2,22.7,47.3
34.8,22.4,46.9
34.5,22.3,46.7
34.349999999999994,22.1,46.5
34.7,22.4,47.5
37.349999999999994,24.2,51.1
40.650000000000006,26.8,54.2
43.1,28.4,56.8
45.2,30.0,58.9
47.0,31.2,60.2
48.0,31.7,61.1
48.4,31.7,61.4
48.2,31.1,61.2
46.349999999999994,29.6,59.9
43.650000000000006,28.2,56.5
41.650000000000006,26.8,54.3
40.25,26.2,52.9
39.150000000000006,25.6,51.5
38.55,24.7,50.7
38.0,24.2,50.0
37.150000000000006,23.8,49.3
36.650000000000006,23.5,48.7
36.0,23.2,48.2
35.55,22.8,47.5
35.1,22.6,47.1
34.7,22.3,46.8
34.5,22.2,46.5
34.25,21.9,46.2
34.6,22.3,47.4
37.3,24.1,51.0
40.5,26.5,54.0
43.0,28.2,56.6
45.1,30.1,58.8
46.8,31.2,60.0
47.75,31.7,60.9
48.3,31.8,61.2
48.05,31.1,61.1
46.3,29.8,59.8
43.45,28.0,56.3
41.6,26.8,54.2
40.3,26.2,52.7
38.9,25.5,51.4
38.349999999999994,24.7,50.4
37.8,24.2,49.8
37.1,23.8,49.2
36.3,23.5,48.5
35.9,23.1,47.9
35.5,22.8,47.3
35.05,22.4,46.9
34.55,22.3,46.5
34.3,22.1,46.2
34.0,21.9,45.8
34.4,22.2,47.1
37.05,24.2,50.8
40.4,26.3,53.9
42.849999999999994,28.3,56.5
44.95,30.1,58.6
46.6,31.1,59.7
47.6,31.7,60.9
48.2,31.9,61.1
47.95,31.3,61.1
46.2,29.7,59.7
43.4,28.0,56.3
41.4,26.9,54.2
40.2,26.2,52.7
38.95,25.3,51.3
38.25,24.7,50.1
37.650000000000006,24.1,49.5
36.95,23.7,48.8
36.35,23.3,48.2
35.7,23.0,47.7
35.3,22.7,47.2
34.9,22.3,46.8
34.5,22.2,46.3
34.150000000000006,21.9,45.9
33.849999999999994,21.7,45.6
34.25,22.1,47.0
37.0,24.1,50.6
40.5,26.2,53.8
42.75,28.5,56.3
45.0,30.1,58.6
46.349999999999994,31.1,59.7
47.55,31.8,60.8
48.3,32.0,61.1
48.05,31.2,61.0
46.25,29.7,59.7
43.55,28.2,56.3
41.5,27.1,54.2
40.150000000000006,26.4,52.6
39.1,25.6,51.3
38.1,24.9,50.2
37.55,24.4,49.2
36.95,23.8,48.5
36.3,23.4,48.0
35.7,23.0,47.5
35.3,22.6,46.9
34.75,22.5,46.4
34.45,22.3,46.0
34.150000000000006,22.0,45.7
33.8,21.7,45.4
34.2,22.3,47.0
37.2,24.1,50.4
40.349999999999994,26.4,53.7
42.8,28.6,56.5
44.95,30.0,58.4
46.5,31.2,59.8
47.650000000000006,31.9,60.8
48.349999999999994,31.9,61.1
48.2,31.3,61.0
46.150000000000006,29.7,59.7
43.7,28.3,56.3
41.6,27.3,54.3
40.3,26.3,52.6
39.1,25.8,51.3
38.25,25.2,50.2
37.5,24.5,49.1
36.95,23.9,48.7
36.3,23.5,48.0
35.8,23.2,47.5
35.4,22.9,46.7
34.95,22.6,46.3
34.6,22.4,45.8
34.3,22.0,45.6
34.0,21.8,45.3
34.3,22.3,46.9
37.3,24.2,50.3
40.55,26.4,53.7
42.8,28.6,56.5
44.95,30.2,58.4
46.6,31.2,59.8
47.75,31.9,60.8
48.45,32.0,61.3
48.3,31.4,61.1
46.4,29.7,59.9
43.7,28.3,56.4
41.8,27.4,54.3
40.45,26.5,52.6
39.2,25.9,51.4
38.4,25.4,50.3
37.7,24.7,49.3
37.05,24.1,48.8
36.5,23.7,48.2
36.0,23.2,47.5
35.5,23.0,46.8
35.1,22.6,46.3
34.7,22.4,45.9
34.45,22.1,45.7
34.150000000000006,21.9,45.3
34.5,22.5,47.1
37.4,24.3,50.4
40.650000000000006,26.6,53.7
42.8,28.7,56.7
45.2,30.1,58.6
46.8,31.3,59.9
48.05,32.0,60.8
48.6,32.0,61.4
48.4,31.6,61.2
46.6,29.8,60.0
43.7,28.4,56.5
41.95,27.4,54.6
40.6,26.6,52.7
39.3,25.9,51.4
38.5,25.3,50.5
37.75,24.8,49.7
37.05,24.3,49.0
36.5,23.9,48.4
36.2,23.6,47.6
35.650000000000006,23.3,47.0
35.2,22.9,46.4
34.75,22.6,46.0
34.5,22.5,45.6
34.2,22.2,45.4
34.55,22.6,47.2
37.45,24.2,50.5
40.8,26.7,53.8
43.3,28.7,56.8
45.5,30.2,58.7
47.2,31.4,60.0
48.3,32.1,61.0
48.849999999999994,32.1,61.6
48.8,31.5,61.4
47.0,29.9,60.2
43.75,28.4,56.7
42.05,27.4,54.6
40.849999999999994,26.7,52.9
39.650000000000006,25.9,51.5
38.5,25.4,50.5
37.9,24.9,49.6
37.3,24.3,48.9
36.7,23.9,48.3
36.25,23.5,47.7
35.650000000000006,23.3,47.1
35.3,22.9,46.5
34.75,22.6,46.1
34.55,22.3,45.7
34.3,22.1,45.5
34.55,22.5,47.2
37.650000000000006,24.2,50.5
40.9,26.7,53.8
43.5,28.6,57.0
45.7,30.1,58.8
47.349999999999994,31.4,60.2
48.349999999999994,32.1,61.2
49.150000000000006,32.2,61.7
49.0,31.6,61.6
47.150000000000006,30.1,60.5
44.1,28.4,57.0
42.150000000000006,27.3,54.9
40.95,26.6,53.0
39.95,25.9,51.6
38.7,25.2,50.7
37.9,24.8,49.8
37.4,24.3,49.0
36.8,23.8,48.5
36.4,23.5,47.7
35.75,23.1,47.3
35.349999999999994,22.8,46.7
34.849999999999994,22.4,46.3
34.5,22.1,46.0
34.349999999999994,21.9,45.7
34.55,22.3,47.5
37.7,24.3,50.8
40.95,26.6,54.0
43.35,28.4,57.1
45.55,30.0,59.0
47.349999999999994,31.3,60.5
48.3,32.1,61.4
49.0,32.1,61.9
48.9,31.4,61.9
47.2,30.0,60.7
44.1,28.3,57.2
42.05,27.2,55.1
40.95,26.4,53.2
40.0,25.8,51.8
38.849999999999994,25.1,50.9
38.1,24.7,50.0
37.349999999999994,24.2,49.1
36.8,23.8,48.7
36.4,23.3,48.0
35.8,23.0,47.5
35.3,22.6,47.1
34.849999999999994,22.3,46.6
34.45,22.0,46.3
34.349999999999994,21.8,46.0
34.55,22.4,47.9
37.7,24.3,51.0
40.849999999999994,26.5,54.1
43.2,28.4,57.2
45.35,29.9,59.1
47.25,31.2,60.6
48.3,32.0,61.6
48.849999999999994,32.2,62.1
48.75,31.4,61.9
47.150000000000006,29.9,60.8
44.05,28.2,57.5
