Cluster 0,Cluster 1,Cluster 2,Cluster 3
41.1,17.45,52.3,29.4
40.5,17.0,51.7,29.1
40.0,16.65,51.2,28.9
39.55,16.35,50.8,28.4
39.2,16.0,50.5,27.9
38.8,15.8,50.150000000000006,27.6
38.5,15.4,49.8,27.2
38.2,15.2,49.55,27.2
38.6,15.4,50.1,27.4
41.3,17.299999999999997,53.45,28.9
44.5,19.25,56.45,31.1
47.55,22.799999999999997,59.0,33.4
49.849999999999994,24.299999999999997,60.849999999999994,35.5
51.7,25.35,62.55,36.8
52.75,25.85,63.75,37.7
53.349999999999994,25.85,64.35,37.9
52.8,25.15,63.9,36.9
50.5,23.25,62.05,35.2
47.650000000000006,21.299999999999997,58.5,33.2
45.849999999999994,20.15,56.150000000000006,32.0
44.349999999999994,19.5,55.2,31.0
43.3,18.9,54.4,30.5
42.5,18.3,53.45,30.0
41.7,17.75,52.6,29.5
41.0,17.4,52.2,29.1
40.3,16.95,51.650000000000006,28.9
39.849999999999994,16.65,51.25,28.7
39.5,16.35,50.95,28.3
39.1,15.8,50.4,28.0
38.6,15.75,50.2,27.5
38.3,15.350000000000001,49.7,27.1
38.0,15.149999999999999,49.6,27.0
38.5,15.55,50.150000000000006,27.2
41.2,17.5,53.349999999999994,28.8
44.4,19.6,56.150000000000006,31.0
47.5,22.85,58.8,33.3
49.75,24.25,60.849999999999994,35.5
51.8,25.4,62.35,37.0
52.7,26.0,63.65,37.5
53.4,26.15,64.2,37.8
52.8,25.299999999999997,64.0,36.9
50.75,23.6,62.25,35.1
47.8,21.5,58.599999999999994,33.1
45.849999999999994,20.3,56.2,31.9
44.45,19.6,55.25,31.1
43.4,19.0,54.35,30.3
42.6,18.35,53.4,29.8
41.849999999999994,17.8,52.55,29.3
41.150000000000006,17.3,52.1,28.9
40.5,16.95,51.6,28.7
40.0,16.6,51.150000000000006,28.5
39.5,16.200000000000003,50.849999999999994,28.1
39.2,15.9,50.55,27.8
38.7,15.8,50.2,27.5
38.3,15.25,49.7,27.2
38.05,15.05,49.45,27.0
38.55,15.75,50.3,27.0
41.25,17.5,53.4,28.6
44.45,19.75,56.3,31.0
47.45,22.65,59.0,33.4
49.7,24.4,60.75,35.4
51.8,25.35,62.55,37.0
52.8,26.05,63.949999999999996,37.8
53.4,26.200000000000003,64.35,37.8
52.9,25.55,64.1,36.9
50.849999999999994,23.65,62.650000000000006,35.1
47.9,21.85,59.2,33.2
46.0,20.65,56.5,31.7
44.55,20.0,55.349999999999994,31.0
43.7,19.25,54.55,30.2
42.75,18.7,53.7,29.7
42.0,18.2,52.75,29.2
41.3,17.55,52.1,28.9
40.6,17.0,51.55,28.6
40.1,16.700000000000003,51.3,28.4
39.7,16.5,50.85,28.1
39.25,16.15,50.55,27.8
38.8,15.9,50.05,27.5
38.4,15.55,49.650000000000006,27.2
38.1,15.3,49.3,27.1
38.7,16.05,50.4,27.0
41.4,17.7,53.4,28.6
44.6,20.049999999999997,56.349999999999994,31.0
47.4,22.6,59.0,33.6
49.9,24.450000000000003,61.05,35.5
51.849999999999994,25.4,62.9,37.0
52.9,26.15,64.25,37.8
53.5,26.3,64.6,37.7
52.95,25.7,64.44999999999999,36.9
51.05,23.8,62.9,35.2
48.05,22.0,59.25,33.2
46.25,20.85,56.599999999999994,31.8
44.75,20.1,55.3,31.1
43.650000000000006,19.3,54.55,30.3
42.9,18.75,53.7,29.7
42.2,18.25,52.95,29.3
41.45,17.8,52.349999999999994,29.0
40.75,17.0,51.650000000000006,28.7
40.2,16.7,51.1,28.5
39.7,16.5,50.6,28.1
39.3,16.25,50.4,27.9
38.9,15.7,49.8,27.7
38.45,15.7,49.5,27.4
38.2,15.15,49.25,27.2
38.6,16.15,50.25,27.1
41.45,17.75,53.4,28.6
44.849999999999994,20.1,56.3,31.2
47.55,22.5,59.0,33.6
50.150000000000006,24.35,61.099999999999994,35.4
51.95,25.35,63.05,36.9
53.0,26.05,64.4,37.8
53.6,26.200000000000003,64.8,37.8
53.1,25.5,64.5,36.8
51.2,23.700000000000003,63.1,35.1
48.2,21.95,59.25,33.1
46.3,20.75,56.650000000000006,31.7
44.650000000000006,19.95,55.25,30.9
43.650000000000006,19.4,54.45,30.3
42.849999999999994,18.85,53.75,29.7
42.0,18.299999999999997,53.0,29.2
41.3,17.75,52.400000000000006,28.9
40.55,17.0,51.75,28.5
40.0,16.6,51.2,28.3
39.5,16.450000000000003,50.6,28.0
39.1,16.2,50.1,27.8
38.7,15.75,49.650000000000006,27.5
38.4,15.65,49.349999999999994,27.2
38.2,15.2,49.0,26.9
38.55,16.0,50.099999999999994,27.0
41.25,17.85,53.4,28.5
44.65,20.05,55.849999999999994,31.0
47.45,22.35,58.85,33.2
50.0,24.2,61.1,35.1
51.8,25.4,63.1,36.6
