Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4
45.2,25.6,59.7,36.7,13.600000000000001
44.5,25.0,59.1,36.2,13.25
43.9,24.7,58.6,35.8,13.1
43.5,24.5,58.0,35.3,12.7
43.0,24.2,57.5,34.9,12.55
42.5,24.0,57.1,34.7,12.2
42.2,23.8,56.8,34.4,12.1
41.9,23.5,56.5,34.2,11.6
42.3,24.1,57.3,34.6,11.5
45.5,26.1,60.8,37.0,13.55
48.6,28.4,63.5,39.8,16.2
51.4,30.4,66.2,42.5,17.65
53.8,31.9,68.4,44.6,19.0
55.6,33.1,69.6,46.3,19.85
56.7,33.7,70.3,47.1,20.6
57.3,33.8,70.3,47.7,20.950000000000003
56.8,33.2,69.7,47.0,20.049999999999997
55.3,31.4,68.3,45.4,18.35
52.2,29.6,65.8,42.3,17.55
49.8,28.7,63.9,40.6,16.65
48.4,27.8,62.6,39.3,15.8
47.4,27.2,61.8,38.4,15.0
46.4,26.7,60.9,37.5,14.600000000000001
45.8,26.1,60.1,36.7,14.0
45.0,25.6,59.2,36.2,13.6
44.5,25.1,58.6,35.8,13.3
43.9,24.8,58.1,35.4,13.15
43.4,24.4,57.5,35.0,12.75
42.9,24.2,57.0,34.7,12.45
42.4,23.8,56.6,34.4,12.15
42.1,23.6,56.3,34.2,11.95
41.8,23.6,56.1,34.1,11.55
42.3,24.1,56.7,34.3,11.600000000000001
45.4,26.0,60.3,36.9,14.100000000000001
48.5,28.2,63.1,40.0,16.65
51.4,30.3,65.8,42.4,17.700000000000003
53.7,32.0,67.9,44.6,19.35
55.5,33.1,69.2,46.3,20.4
56.7,33.8,70.0,47.1,21.25
57.3,33.7,70.1,47.7,21.55
56.9,33.3,69.4,46.9,20.75
55.3,31.4,68.1,45.3,18.450000000000003
52.2,29.8,65.6,42.3,17.4
49.7,28.7,63.5,40.6,16.6
48.3,27.7,62.2,39.3,16.05
47.5,27.1,61.5,38.3,15.0
46.4,26.5,60.5,37.5,14.55
45.7,26.0,59.7,36.8,13.95
45.0,25.6,58.8,36.2,13.7
44.4,25.2,58.2,35.7,13.45
43.9,24.7,57.8,35.3,13.25
43.4,24.4,57.2,35.0,12.85
43.0,24.1,56.7,34.7,12.55
42.6,23.8,56.3,34.4,12.15
42.3,23.8,56.1,34.1,11.85
41.8,23.6,55.9,34.1,11.649999999999999
42.5,24.1,56.5,34.3,11.5
45.7,26.1,60.2,37.0,14.25
48.7,28.3,63.0,40.0,16.65
51.4,30.1,65.8,42.4,17.5
54.0,31.9,68.0,44.5,19.25
55.6,33.2,69.3,46.2,20.5
56.9,33.9,70.0,47.1,21.4
57.5,34.0,70.1,47.6,21.65
56.9,33.1,69.5,47.2,21.049999999999997
55.5,31.6,68.1,45.4,18.6
52.2,30.0,65.7,42.4,17.4
49.9,28.6,63.6,40.5,16.75
48.4,27.7,62.6,39.2,16.299999999999997
47.6,27.1,61.4,38.2,15.35
46.7,26.5,60.8,37.4,14.9
45.9,26.1,60.2,36.6,14.3
45.1,25.6,59.6,36.2,14.0
44.6,25.2,59.0,35.6,13.6
43.9,24.9,58.4,35.3,13.350000000000001
43.4,24.7,58.0,35.0,13.0
42.9,24.5,57.6,34.6,12.65
42.5,24.2,57.2,34.4,12.3
42.2,23.9,57.0,34.1,11.9
41.9,23.8,56.8,34.0,11.75
42.6,24.4,57.3,34.2,11.600000000000001
45.7,26.2,60.5,37.0,14.4
48.6,28.4,63.1,40.0,16.5
51.4,30.3,66.1,42.6,17.65
53.9,32.0,68.2,44.7,19.3
55.8,33.2,69.5,46.2,20.3
56.9,33.8,70.2,47.2,21.3
57.5,34.1,70.4,47.8,21.75
57.2,33.2,69.7,47.3,21.0
55.6,31.6,68.2,45.5,18.4
52.3,30.1,65.7,42.5,17.2
49.9,28.8,63.8,40.7,16.75
48.5,27.8,62.6,39.4,16.15
47.6,27.1,61.3,38.4,15.6
46.7,26.5,60.7,37.4,14.899999999999999
46.0,26.2,60.1,36.8,14.25
45.3,25.8,59.5,36.3,13.95
44.7,25.4,58.9,35.8,13.6
44.0,25.2,58.3,35.4,13.15
43.5,24.8,57.9,35.1,12.7
42.9,24.6,57.5,34.7,12.4
42.6,24.3,57.1,34.5,12.1
42.2,24.0,56.9,34.2,11.8
41.9,24.0,56.7,34.2,11.600000000000001
42.7,24.5,57.3,34.4,11.649999999999999
45.7,26.2,60.5,37.0,14.4
48.8,28.4,63.1,40.0,16.3
51.6,30.3,66.0,42.6,17.75
54.0,32.1,68.1,44.7,19.2
55.8,33.1,69.5,46.2,20.200000000000003
57.1,34.0,70.1,47.2,21.1
57.5,34.1,70.3,47.9,21.55
57.4,33.2,69.6,47.4,20.8
55.7,31.6,68.0,45.5,18.35
52.5,29.9,65.6,42.6,17.35
49.9,28.7,63.6,40.8,16.75
48.6,27.8,62.5,39.4,16.15
47.6,27.1,61.3,38.4,15.7
46.7,26.5,60.6,37.4,15.0
45.9,26.0,60.0,36.8,14.25
45.1,25.6,59.4,36.3,13.75
44.5,25.3,58.8,35.9,13.35
43.8,25.0,58.2,35.4,13.0
43.4,24.7,57.7,35.1,12.55
42.8,24.6,57.3,34.7,12.3
42.5,24.3,57.0,34.4,12.0
42.1,24.0,56.7,34.1,11.75
41.7,23.9,56.5,34.0,11.600000000000001
42.3,24.4,57.1,34.3,11.649999999999999
45.7,26.1,60.3,36.9,14.1
48.8,28.2,62.9,39.9,16.0
51.7,30.2,65.8,42.4,17.6
53.8,31.8,67.9,44.5,19.049999999999997
55.6,33.0,69.2,45.8,20.200000000000003
56.8,33.8,69.8,47.0,20.95
57.3,33.9,70.0,47.8,21.25
57.2,33.2,69.3,47.2,20.799999999999997
55.5,31.5,67.8,45.4,18.7
52.2,29.8,65.4,42.4,17.35
49.8,28.8,63.3,40.5,16.8
48.4,27.8,62.4,39.3,16.2
47.4,27.1,61.2,38.5,15.55
46.5,26.5,60.5,37.5,15.05
45.7,26.0,59.9,36.8,14.5
44.9,25.6,59.3,36.3,13.9
44.3,25.3,58.7,35.8,13.4
43.8,24.9,58.0,35.3,13.0
43.1,24.7,57.5,34.8,12.9
42.6,24.3,57.1,34.4,12.649999999999999
42.2,24.0,56.7,34.2,12.399999999999999
41.8,23.9,56.5,33.9,12.149999999999999
41.5,23.6,56.3,33.8,12.0
42.3,24.1,56.8,34.0,11.7
45.5,26.0,60.0,36.8,14.0
48.9,28.1,62.6,39.7,15.850000000000001
51.8,30.2,65.4,42.3,17.5
53.8,31.6,67.6,44.3,19.049999999999997
55.5,32.9,69.0,45.6,20.15
56.9,33.6,69.5,47.0,21.0
57.4,33.9,69.8,47.5,21.200000000000003
57.1,33.2,69.0,47.2,20.75
55.5,31.5,67.8,45.3,18.85
52.3,29.8,65.1,42.3,17.2
49.7,28.8,62.9,40.6,16.75
48.2,27.9,62.0,39.2,16.15
47.1,27.1,60.8,38.3,15.6
46.2,26.5,60.1,37.5,15.100000000000001
45.5,26.0,59.5,36.8,14.6
44.8,25.5,58.9,36.2,13.9
44.2,25.1,58.3,35.8,13.4
43.6,24.8,57.7,35.2,13.05
43.0,24.6,57.1,34.7,13.0
42.4,24.3,56.7,34.3,12.8
42.1,24.0,56.3,34.1,12.5
41.9,23.8,56.1,33.7,12.3
41.5,23.6,55.8,33.6,12.2
42.2,23.9,56.4,34.0,12.100000000000001
45.5,25.8,59.5,36.6,14.1
49.1,27.9,62.3,39.7,15.95
51.8,30.0,65.0,42.4,17.7
53.7,31.6,67.2,44.2,19.1
55.6,33.2,68.7,45.8,20.2
57.0,33.7,69.2,47.1,21.25
57.4,33.9,69.4,47.5,21.45
57.3,33.3,68.8,47.3,21.0
55.4,31.3,67.6,45.6,18.85
52.4,29.7,64.9,42.3,17.5
49.8,28.9,62.9,40.7,16.6
48.1,27.9,61.6,39.4,16.35
46.9,27.0,60.4,38.3,15.600000000000001
46.1,26.5,59.7,37.5,15.15
45.3,26.0,59.1,36.8,14.95
44.7,25.6,58.5,36.2,14.350000000000001
44.0,25.1,57.9,35.7,13.8
43.5,24.9,57.2,35.2,13.5
42.9,24.6,56.7,34.7,13.45
42.4,24.3,56.2,34.3,13.25
42.0,24.1,55.8,34.0,12.95
41.8,23.8,55.6,33.6,12.75
41.3,23.7,55.4,33.4,12.6
42.2,23.8,55.9,34.0,12.45
45.6,25.6,59.1,36.6,14.0
49.1,28.0,62.0,39.8,15.9
51.8,30.2,65.1,42.3,17.700000000000003
54.0,31.8,67.0,44.1,19.200000000000003
55.7,33.0,68.6,45.9,20.549999999999997
57.0,33.8,69.2,46.9,21.35
57.5,33.9,69.3,47.5,21.55
57.3,33.4,68.9,47.4,21.1
55.4,31.5,67.6,45.8,19.15
52.3,29.7,64.7,42.5,17.6
49.7,28.8,62.7,40.7,16.75
48.0,28.1,61.4,39.4,16.4
46.8,27.1,60.3,38.3,15.6
45.9,26.6,59.5,37.6,15.1
45.4,26.1,58.9,36.8,14.85
44.8,25.7,58.2,36.3,14.45
44.1,25.3,57.6,35.5,13.95
43.4,25.0,57.0,35.2,13.65
42.8,24.6,56.6,34.8,13.25
42.4,24.2,56.2,34.2,13.15
42.0,24.1,55.9,34.1,12.899999999999999
41.7,23.9,55.6,33.6,12.65
41.4,23.7,55.4,33.4,12.4
42.3,24.0,55.7,34.0,12.2
45.6,25.7,59.0,36.8,14.2
49.1,28.1,62.1,39.8,15.75
51.9,30.2,65.3,42.3,17.549999999999997
54.1,31.7,67.3,44.0,19.15
55.8,33.0,68.6,45.8,20.6
57.0,33.7,69.2,47.0,21.4
57.8,34.0,69.3,47.7,21.6
57.4,33.6,68.9,47.5,21.200000000000003
55.5,31.7,67.5,46.0,19.35
52.4,29.9,64.7,42.7,17.55
49.8,29.0,62.8,40.9,16.65
48.1,28.3,61.2,39.7,16.25
46.9,27.3,60.1,38.6,15.65
46.0,26.8,59.4,37.7,15.100000000000001
45.3,26.4,58.7,37.0,14.9
44.8,25.9,58.0,36.5,14.35
44.1,25.4,57.4,35.8,13.95
43.5,25.1,57.0,35.4,13.55
43.0,24.8,56.6,34.9,13.2
42.5,24.4,56.3,34.4,13.05
42.0,24.2,56.0,34.0,12.85
41.7,24.1,55.6,33.8,12.65
41.4,23.9,55.3,33.5,12.399999999999999
42.3,24.1,55.6,34.2,12.350000000000001
45.6,25.7,59.0,36.8,13.9
49.2,28.2,62.2,39.8,15.7
51.9,30.3,65.3,42.3,17.5
54.3,31.8,67.4,44.1,19.0
55.9,33.1,68.6,45.9,20.6
57.2,34.0,69.2,47.3,21.25
57.9,34.2,69.3,48.0,21.55
57.5,33.8,68.9,47.7,21.05
55.8,32.0,67.6,46.2,19.6
52.5,30.1,64.7,42.9,17.65
50.0,29.0,62.7,41.0,16.75
48.3,28.3,61.4,39.8,16.45
47.0,27.5,60.0,38.7,15.8
46.1,26.9,59.2,37.8,15.35
45.4,26.4,58.6,37.1,15.100000000000001
44.9,26.0,57.9,36.6,14.600000000000001
44.3,25.6,57.6,36.0,14.15
43.7,25.1,57.0,35.5,13.8
43.1,24.8,56.6,35.1,13.45
42.5,24.6,56.4,34.6,13.25
42.1,24.3,56.1,34.2,13.0
41.9,24.0,55.8,33.8,12.75
41.6,23.9,55.3,33.4,12.5
42.5,24.2,55.7,34.1,12.4
45.7,25.9,58.9,37.1,13.7
49.3,28.3,62.2,39.8,15.649999999999999
52.1,30.2,65.4,42.4,17.4
54.4,32.0,67.3,44.4,18.950000000000003
56.1,33.2,68.8,46.1,20.5
57.3,34.0,69.2,47.6,21.2
58.1,34.2,69.5,48.2,21.5
57.9,33.9,69.1,48.1,21.05
56.0,32.2,67.8,46.5,19.6
52.7,30.2,64.8,43.0,17.6
50.1,29.0,62.9,41.2,16.9
48.4,28.2,61.5,40.0,16.3
47.2,27.5,60.0,38.8,15.8
46.2,27.0,59.3,38.1,15.35
45.6,26.6,58.5,37.3,14.95
44.9,26.0,58.0,36.6,14.5
