Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
45.9,30.6,60.6,40.0,7.8,19.7
45.3,30.15,60.0,39.45,7.8,19.3
44.8,29.7,59.4,38.95,7.7,18.8
44.3,29.35,59.0,38.6,7.7,18.6
43.8,29.0,58.5,38.2,7.65,18.4
43.2,28.7,58.1,37.8,7.6,18.1
42.9,28.5,57.9,37.5,7.65,17.9
42.7,28.25,57.8,37.2,7.65,17.8
43.8,28.3,58.2,37.5,7.9,17.9
47.2,29.9,61.1,40.5,8.35,20.3
50.3,32.2,63.6,43.2,9.35,22.8
53.1,34.55,66.4,45.75,11.75,25.4
55.1,36.1,68.4,47.9,12.8,27.7
57.0,37.5,69.7,49.349999999999994,14.05,28.8
57.9,38.3,70.3,50.3,15.05,29.4
58.5,38.2,70.5,50.95,15.65,29.1
58.1,37.6,70.0,50.650000000000006,15.9,27.9
55.9,35.7,68.4,48.7,16.05,25.8
53.1,34.05,66.0,45.7,13.95,24.2
50.9,33.0,64.0,43.8,12.399999999999999,23.0
49.5,32.3,63.2,42.75,11.25,22.1
48.5,31.65,61.9,41.95,10.9,21.4
47.7,31.2,61.3,41.25,10.55,20.8
46.7,30.7,60.7,40.6,10.3,20.3
45.9,30.4,60.1,39.849999999999994,10.05,19.8
45.2,30.0,59.4,39.25,9.75,19.4
44.7,29.6,58.9,38.8,9.600000000000001,18.9
44.3,29.25,58.4,38.349999999999994,9.45,18.6
43.8,29.05,58.0,37.9,9.4,18.3
43.2,28.7,57.6,37.6,9.2,18.1
42.8,28.4,57.3,37.349999999999994,9.1,17.9
42.6,28.2,57.2,37.1,9.05,17.7
43.9,28.2,57.7,37.25,9.0,17.8
47.2,29.8,60.7,40.150000000000006,9.6,20.4
50.4,32.1,63.2,43.1,10.35,23.2
53.1,34.4,65.9,45.8,12.25,25.6
55.2,36.0,68.0,47.75,14.5,28.0
56.9,37.3,69.4,49.4,16.25,29.1
57.9,38.05,70.0,50.349999999999994,17.05,29.6
58.6,38.2,70.2,51.0,17.200000000000003,29.3
58.0,37.5,69.8,50.650000000000006,16.85,28.2
56.0,35.7,68.2,48.75,16.05,26.1
53.1,33.849999999999994,65.7,45.6,13.649999999999999,24.0
50.9,32.849999999999994,63.7,43.849999999999994,12.1,22.9
49.7,32.1,62.8,42.9,10.899999999999999,22.2
48.6,31.4,61.5,42.05,10.55,21.5
47.9,30.95,60.9,41.25,10.3,20.9
46.9,30.55,60.4,40.55,10.35,20.3
46.1,30.2,59.7,39.849999999999994,10.1,19.8
45.5,29.85,59.1,39.349999999999994,9.95,19.3
45.0,29.5,58.6,38.849999999999994,9.75,18.9
44.5,29.2,58.1,38.5,9.55,18.5
44.1,28.8,57.7,38.0,9.4,18.2
43.7,28.5,57.3,37.7,9.15,18.0
43.2,28.25,57.1,37.5,9.05,17.9
42.9,27.9,56.9,37.2,9.0,17.6
44.0,28.0,57.4,37.3,9.05,17.8
47.1,29.7,60.5,40.2,9.3,20.6
50.6,32.0,63.1,43.150000000000006,10.149999999999999,23.0
53.3,34.3,66.0,45.95,12.0,25.7
55.2,36.0,68.0,47.849999999999994,14.4,27.9
57.1,37.349999999999994,69.4,49.5,16.15,29.0
58.2,38.0,70.1,50.55,16.9,29.5
58.6,38.1,70.3,51.1,17.1,29.5
58.1,37.45,69.7,50.849999999999994,16.7,28.4
56.1,35.7,68.1,48.95,16.05,26.1
53.2,33.75,65.8,45.8,13.8,24.2
51.2,32.8,64.0,44.05,12.25,23.1
49.9,31.95,63.0,42.85,11.05,22.2
48.6,31.25,61.7,42.05,10.399999999999999,21.5
47.8,30.8,60.8,41.4,10.2,21.0
