Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
44.4,30.9,60.6,35.05,7.8,19.9,45.349999999999994
43.9,30.5,60.0,34.5,7.8,19.4,44.75
43.5,30.2,59.4,33.849999999999994,7.7,19.1,44.25
42.7,29.9,59.0,33.4,7.7,18.7,43.849999999999994
42.1,29.6,58.5,32.9,7.65,18.6,43.349999999999994
41.6,29.2,58.1,32.55,7.6,18.3,42.9
41.0,29.0,57.9,32.2,7.65,18.1,42.5
40.5,28.7,57.8,31.9,7.65,17.9,42.1
41.6,28.8,58.2,32.05,7.9,18.0,43.1
45.6,30.2,61.1,34.6,8.35,20.3,45.6
50.3,32.4,63.6,37.7,9.35,23.0,48.650000000000006
54.6,34.3,66.4,40.5,11.75,25.5,51.3
57.6,35.8,68.4,42.7,12.8,27.7,53.45
59.8,36.6,69.7,44.3,14.05,29.1,55.2
61.2,37.0,70.3,45.55,15.05,29.5,56.1
61.6,37.1,70.5,45.849999999999994,15.65,29.2,56.8
61.8,36.5,70.0,45.349999999999994,15.9,28.1,56.7
58.2,35.3,68.4,43.2,16.05,26.1,55.150000000000006
54.4,33.9,66.0,40.75,13.95,24.2,51.8
52.7,33.0,64.0,39.1,12.399999999999999,23.1,49.4
50.0,32.4,63.2,38.2,11.25,22.2,48.1
47.6,31.8,61.9,37.05,10.9,21.5,47.4
46.3,31.3,61.3,36.1,10.55,20.9,46.5
45.5,31.1,60.7,35.55,10.3,20.3,45.8
44.6,30.7,60.1,34.9,10.05,19.8,45.05
44.1,30.2,59.4,34.3,9.75,19.5,44.6
43.6,29.9,58.9,33.8,9.600000000000001,19.0,44.0
42.8,29.6,58.4,33.3,9.45,18.7,43.650000000000006
42.0,29.3,58.0,32.9,9.4,18.4,43.25
41.5,29.0,57.6,32.6,9.2,18.2,42.8
41.1,28.8,57.3,32.2,9.1,18.0,42.3
40.6,28.7,57.2,31.85,9.05,17.9,42.1
41.8,28.7,57.7,32.0,9.0,17.9,42.75
45.7,30.3,60.7,34.6,9.6,20.4,45.5
50.4,32.3,63.2,37.7,10.35,23.2,48.5
54.8,34.3,65.9,40.4,12.25,25.7,51.2
58.0,35.8,68.0,42.6,14.5,28.0,53.349999999999994
60.1,36.5,69.4,44.25,16.25,29.1,55.1
61.4,37.4,70.0,45.45,17.05,29.6,56.1
62.0,37.2,70.2,45.7,17.200000000000003,29.5,56.75
62.1,36.4,69.8,45.4,16.85,28.4,56.7
58.5,35.2,68.2,43.150000000000006,16.05,26.2,55.25
54.6,33.8,65.7,40.8,13.649999999999999,24.1,51.849999999999994
52.9,32.9,63.7,39.150000000000006,12.1,23.0,49.55
50.3,32.2,62.8,38.1,10.899999999999999,22.2,48.2
47.9,31.6,61.5,37.150000000000006,10.55,21.5,47.45
46.4,31.2,60.9,36.150000000000006,10.3,20.9,46.55
46.5,30.9,60.4,35.4,10.35,20.4,45.95
45.4,30.6,59.7,34.849999999999994,10.1,19.9,45.2
44.5,30.1,59.1,34.2,9.95,19.3,44.55
43.7,29.8,58.6,33.849999999999994,9.75,19.0,44.1
43.1,29.5,58.1,33.45,9.55,18.7,43.650000000000006
42.4,29.2,57.7,32.849999999999994,9.4,18.3,43.25
42.1,29.0,57.3,32.5,9.15,18.1,42.8
41.6,28.7,57.1,32.1,9.05,17.9,42.45
41.7,28.5,56.9,31.85,9.0,17.7,42.2
