Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
45.2,30.8,40.9,54.1,22.85,46.1,19.1,9.899999999999999
44.2,30.35,40.3,53.5,22.25,45.4,18.6,9.7
43.5,30.0,39.9,53.1,21.95,44.9,18.4,9.45
42.8,29.7,39.5,52.6,21.450000000000003,44.6,18.1,9.35
42.2,29.3,38.9,52.4,21.1,44.2,17.8,9.35
42.0,28.9,38.6,52.0,20.85,43.8,17.5,9.100000000000001
41.4,28.7,38.3,51.7,20.45,43.7,17.2,9.0
41.5,28.6,38.0,51.5,20.15,43.3,17.2,8.95
42.0,28.55,38.3,52.1,20.7,44.3,17.3,9.1
46.4,29.9,41.0,54.4,23.9,49.2,19.3,10.7
51.2,32.150000000000006,44.1,56.9,27.25,53.1,21.6,11.3
55.0,34.150000000000006,46.8,59.6,30.65,55.3,23.3,11.75
57.8,35.95,49.1,61.9,32.75,56.7,25.0,12.8
60.1,37.3,50.9,63.4,35.0,58.1,26.2,14.05
61.3,38.05,52.3,64.4,36.1,58.9,27.0,15.05
62.0,38.1,52.8,64.8,36.1,58.7,27.1,15.65
61.8,37.25,52.4,64.6,34.900000000000006,57.4,26.4,15.9
59.1,35.7,50.2,63.6,31.35,54.9,24.0,16.05
55.4,34.1,47.3,60.1,28.6,52.4,22.7,15.65
53.3,33.1,45.4,57.1,27.25,50.8,21.7,15.0
51.0,32.4,44.2,56.0,26.15,49.6,21.1,14.149999999999999
49.3,31.85,43.1,55.3,25.4,48.8,20.6,13.5
47.7,31.3,42.2,54.7,24.45,47.9,20.2,13.15
46.3,31.0,41.4,54.3,23.95,47.0,19.7,12.8
45.3,30.65,40.7,53.9,23.4,46.2,19.3,12.350000000000001
44.3,30.2,40.1,53.3,22.75,45.6,18.7,12.05
43.6,29.8,39.7,52.8,22.35,45.0,18.7,11.9
42.8,29.5,39.2,52.4,22.05,44.8,18.4,11.55
42.3,29.2,38.9,52.0,21.75,44.5,17.8,11.55
42.0,28.9,38.5,51.7,21.4,44.2,17.6,11.25
41.4,28.65,38.1,51.4,20.9,44.0,17.6,11.1
41.5,28.5,37.8,51.1,20.299999999999997,43.6,17.3,11.0
42.2,28.5,38.1,51.9,21.05,44.4,17.4,11.15
46.5,29.85,40.9,54.2,24.049999999999997,49.3,19.3,13.149999999999999
51.3,32.0,43.9,56.7,27.55,53.2,21.6,13.4
55.2,34.0,46.7,59.2,30.8,55.4,23.6,13.55
58.0,35.8,49.2,61.6,33.3,56.9,25.0,14.8
60.2,37.2,50.9,63.2,35.6,58.2,26.2,16.25
61.6,37.9,52.2,64.2,36.4,58.9,26.8,17.05
62.4,37.9,52.7,64.6,36.55,58.7,27.1,17.200000000000003
62.2,37.150000000000006,52.5,64.5,35.5,57.4,26.5,16.85
59.3,35.650000000000006,50.4,63.4,31.95,55.0,24.5,16.05
55.8,33.9,47.4,59.9,29.200000000000003,52.5,22.9,15.399999999999999
53.5,32.9,45.5,57.0,27.700000000000003,51.1,22.0,14.850000000000001
51.3,32.2,44.1,55.9,26.65,49.7,21.4,14.05
49.5,31.65,43.1,55.0,25.799999999999997,48.9,20.7,13.3
48.0,31.2,42.3,54.6,24.85,48.1,20.2,12.95
46.9,30.8,41.4,54.1,24.4,47.2,19.7,12.55
45.8,30.45,40.8,53.7,23.75,46.4,19.3,12.2
44.9,30.05,40.2,53.1,23.049999999999997,45.9,19.0,12.0
43.9,29.65,39.7,52.6,22.7,45.3,18.5,11.75
43.1,29.3,39.3,52.2,22.4,45.0,18.2,11.3
42.5,29.0,38.9,52.0,22.0,44.5,17.8,11.15
42.3,28.6,38.5,51.8,21.65,44.3,17.6,10.85
41.9,28.4,38.1,51.4,21.15,44.1,17.4,10.8
41.8,28.25,37.9,51.3,20.5,44.1,17.3,10.75
43.4,28.2,38.1,52.0,21.35,44.8,17.3,10.95
47.3,29.7,40.9,54.4,24.35,49.7,19.3,12.899999999999999
51.8,31.9,44.0,56.9,27.9,54.8,21.3,13.2
55.5,33.9,46.5,59.5,31.2,58.5,23.4,13.35
58.5,35.7,49.2,61.7,33.5,59.0,25.1,14.65
60.6,37.05,50.9,63.2,35.75,58.9,26.2,16.15
62.0,37.8,52.3,64.3,36.8,59.7,26.8,16.9
62.9,37.8,52.9,64.7,36.9,59.0,26.9,17.1
63.1,37.1,52.5,64.5,35.75,57.6,26.4,16.7
60.4,35.5,50.5,63.6,32.5,55.8,24.5,16.05
56.4,33.9,47.6,60.5,29.7,53.2,23.0,15.4
53.9,32.8,45.6,57.6,28.15,51.4,22.1,14.899999999999999
52.1,32.0,44.2,56.0,26.95,50.3,21.4,14.100000000000001
50.1,31.45,43.2,55.3,26.1,49.1,20.8,13.45
48.4,31.0,42.5,54.6,25.3,48.5,20.4,13.1
47.2,30.65,41.6,54.3,24.75,47.6,20.0,12.7
46.0,30.25,40.8,53.8,24.2,46.6,19.5,12.4
45.1,29.85,40.2,53.2,23.55,46.1,19.1,12.2
44.1,29.5,39.7,52.7,23.1,45.5,18.6,11.95
43.4,29.2,39.2,52.4,22.65,45.2,18.3,11.6
42.6,28.9,38.9,52.0,22.2,44.8,18.0,11.350000000000001
42.5,28.6,38.5,51.7,21.9,44.5,17.7,11.149999999999999
42.0,28.3,38.2,51.4,21.4,44.3,17.5,11.1
42.0,28.15,37.9,51.2,20.8,44.4,17.3,11.1
43.5,28.1,38.3,52.0,21.7,45.0,17.3,11.2
47.5,29.7,41.0,54.3,24.7,50.0,19.2,12.7
52.0,31.9,43.9,56.8,28.25,55.0,21.3,12.95
55.8,33.9,46.6,59.5,31.45,58.7,23.4,13.100000000000001
58.7,35.6,49.3,61.8,33.85,59.2,25.1,14.399999999999999
60.9,37.05,51.0,63.6,35.95,59.1,26.2,15.950000000000001
62.2,37.8,52.5,64.5,37.05,59.7,26.9,16.75
63.1,37.7,52.8,64.8,37.0,59.1,26.9,16.9
63.4,37.05,52.5,64.8,35.9,57.8,26.2,16.4
60.9,35.5,50.6,63.8,32.8,56.0,24.5,15.7
56.7,33.8,47.8,60.7,29.95,53.5,23.0,15.049999999999999
54.2,32.849999999999994,45.8,57.7,28.3,51.5,22.0,14.5
52.5,32.1,44.3,56.1,27.25,50.4,21.4,14.05
50.4,31.55,43.4,55.2,26.15,49.3,20.8,13.350000000000001
48.7,31.05,42.6,54.6,25.5,48.7,20.3,12.95
47.3,30.7,41.8,54.3,24.9,47.7,19.9,12.55
46.2,30.3,41.0,53.8,24.25,46.9,19.5,12.3
45.3,30.0,40.4,53.3,23.7,46.2,19.0,12.05
44.3,29.55,39.8,52.7,23.25,45.7,18.4,11.85
43.5,29.25,39.4,52.2,22.75,45.3,18.2,11.5
42.8,29.0,38.8,51.8,22.15,44.9,17.9,11.25
42.6,28.75,38.5,51.5,21.9,44.7,17.6,11.05
42.2,28.5,38.2,51.4,21.5,44.5,17.3,11.0
42.1,28.3,37.9,51.0,21.0,44.5,17.2,11.0
43.8,28.3,38.5,51.9,21.75,45.2,17.2,11.149999999999999
47.7,29.7,41.0,54.2,24.7,50.1,19.0,12.4
52.3,31.6,44.1,56.8,28.25,55.2,21.2,12.649999999999999
56.1,33.849999999999994,46.9,59.6,31.35,58.7,23.5,12.8
59.1,35.55,49.4,61.9,33.9,59.3,24.9,14.15
61.3,36.95,51.3,63.5,36.0,59.2,25.9,15.7
62.6,37.8,52.5,64.4,37.0,59.8,26.6,16.55
63.5,37.7,53.0,64.8,37.099999999999994,59.3,26.6,16.7
63.8,36.9,52.4,64.7,35.9,58.0,26.0,16.3
61.4,35.3,50.9,63.7,32.85,56.1,24.2,15.600000000000001
57.1,33.8,47.9,60.7,29.85,53.6,22.7,14.95
54.6,32.7,45.7,57.7,28.4,51.7,21.5,14.45
52.6,32.05,44.3,56.1,27.3,50.7,21.2,13.9
50.8,31.35,43.4,55.3,26.05,49.5,20.5,13.2
49.0,31.0,42.7,54.6,25.6,48.8,19.8,12.75
47.6,30.5,41.8,54.3,24.85,48.0,19.6,12.399999999999999
46.5,30.2,40.9,53.7,24.15,47.1,19.2,12.149999999999999
45.6,29.8,40.4,53.1,23.55,46.4,18.7,12.0
44.6,29.5,39.9,52.6,23.200000000000003,45.9,18.4,11.85
43.8,29.2,39.4,51.9,22.6,45.5,17.8,11.5
43.0,28.8,38.9,51.6,22.05,45.1,17.5,11.25
42.7,28.55,38.5,51.3,21.85,44.8,17.0,11.05
42.2,28.3,38.2,51.1,21.4,44.6,16.8,11.05
42.1,28.2,37.9,50.8,21.0,44.7,16.5,11.15
44.0,28.1,38.1,51.6,21.75,45.3,17.0,11.149999999999999
47.9,29.35,40.9,53.9,24.8,50.2,18.7,12.15
52.5,31.35,43.9,56.6,28.299999999999997,55.2,20.8,12.3
56.4,33.5,46.8,59.6,31.299999999999997,58.8,23.0,12.55
59.3,35.2,49.2,61.8,33.95,59.3,24.4,13.95
61.5,36.7,51.0,63.3,36.150000000000006,59.3,25.7,15.5
62.9,37.6,52.2,64.4,37.099999999999994,60.0,26.5,16.5
63.8,37.6,52.8,64.7,37.25,59.5,26.6,16.65
64.1,36.8,52.3,64.6,36.2,58.3,25.9,16.25
61.7,35.2,50.7,63.7,33.099999999999994,56.2,24.1,15.4
57.4,33.7,47.7,60.8,30.15,53.9,22.6,14.65
54.9,32.75,45.5,57.7,28.8,51.8,21.4,14.05
52.9,31.95,44.1,55.8,27.55,50.8,20.9,13.75
51.0,31.2,43.2,55.2,26.1,49.6,20.4,13.25
49.2,30.8,42.5,54.3,25.65,48.8,19.9,12.7
47.9,30.4,41.7,54.0,24.95,48.0,19.3,12.35
46.7,30.05,40.9,53.4,24.3,47.3,19.0,12.149999999999999
45.7,29.6,40.2,52.7,23.75,46.5,18.6,11.95
44.8,29.3,39.7,52.4,23.35,46.0,18.3,11.8
44.0,28.9,39.2,51.7,22.85,45.6,17.9,11.45
43.3,28.55,38.7,51.3,22.3,45.2,17.5,11.2
43.0,28.25,38.3,50.9,21.95,44.8,17.1,11.0
42.4,28.0,37.9,50.6,21.55,44.7,16.7,10.95
42.4,27.8,37.6,50.4,21.1,44.8,16.4,11.05
44.1,27.9,37.9,51.2,21.95,45.3,16.9,11.0
48.1,29.35,40.6,53.6,25.25,50.2,18.6,11.85
52.7,31.15,43.7,56.5,28.55,55.3,20.8,12.0
56.6,33.4,46.7,59.7,31.4,59.0,23.1,12.2
59.5,34.9,49.2,61.8,34.3,59.6,24.4,13.55
61.8,36.4,51.0,63.1,36.349999999999994,59.6,25.7,15.15
63.2,37.349999999999994,52.2,64.5,37.4,60.3,26.4,16.4
64.1,37.5,52.6,64.8,37.45,59.8,26.6,16.6
64.3,36.7,52.2,64.6,36.6,58.6,25.8,16.05
61.8,35.2,50.7,63.8,33.45,56.5,24.3,15.25
57.7,33.6,47.7,60.8,30.4,54.0,22.7,14.5
55.3,32.6,45.6,57.6,29.049999999999997,52.0,21.8,13.95
53.1,31.8,44.0,55.8,27.700000000000003,50.9,20.9,13.5
51.2,31.1,43.1,55.1,26.35,49.6,20.2,13.25
49.4,30.55,42.3,54.3,25.9,48.8,19.6,12.65
48.2,30.15,41.5,53.8,25.1,48.1,19.3,12.3
47.0,29.8,40.7,53.3,24.549999999999997,47.3,18.7,12.05
46.1,29.4,39.9,52.6,24.049999999999997,46.6,18.3,11.9
45.0,28.95,39.4,52.0,23.65,46.0,18.0,11.7
44.4,28.65,39.0,51.6,23.15,45.7,17.7,11.35
43.6,28.25,38.6,51.1,22.65,45.2,17.4,11.1
43.0,27.9,38.1,50.6,22.200000000000003,44.7,17.1,10.9
42.5,27.75,37.7,50.2,21.799999999999997,44.8,16.8,10.9
42.4,27.4,37.4,50.1,21.4,44.8,16.7,11.0
44.4,27.6,37.8,50.8,22.25,45.3,16.8,11.0
48.4,29.0,40.6,53.4,25.65,50.2,18.8,11.75
53.0,31.05,43.6,56.6,28.9,55.4,20.8,11.85
56.8,33.2,46.6,59.6,31.75,59.4,23.0,12.1
59.8,34.849999999999994,49.2,61.4,34.7,59.8,24.5,13.5
62.1,36.25,51.0,63.2,36.8,59.9,25.8,15.15
63.5,37.150000000000006,52.2,64.6,37.85,60.5,26.5,16.25
64.5,37.349999999999994,52.7,64.8,37.85,60.0,26.7,16.5
64.7,36.6,52.3,64.7,37.0,58.7,26.1,15.95
61.9,35.05,50.9,63.5,33.849999999999994,56.8,24.3,15.149999999999999
58.1,33.4,47.5,60.5,30.65,54.2,22.9,14.350000000000001
55.7,32.45,45.8,57.6,29.35,52.1,21.9,13.8
53.4,31.55,44.0,55.8,27.95,51.0,21.2,13.399999999999999
51.4,30.9,42.9,55.1,26.8,49.8,20.5,13.25
49.7,30.35,42.1,54.1,26.15,48.9,19.9,12.649999999999999
48.6,29.9,41.4,53.9,25.700000000000003,48.2,19.3,12.3
47.3,29.5,40.7,53.3,24.95,47.5,18.8,12.05
46.4,29.0,39.9,52.6,24.4,46.7,18.3,11.85
45.2,28.7,39.3,52.0,24.0,46.1,18.0,11.7
44.7,28.35,38.8,51.6,23.6,45.7,17.7,11.4
44.0,27.95,38.4,50.9,23.1,45.2,17.4,11.100000000000001
43.3,27.65,38.0,50.4,22.65,44.8,17.1,10.95
42.9,27.4,37.6,50.1,22.2,44.9,16.9,10.95
42.6,27.2,37.2,50.0,21.7,44.9,16.8,10.95
44.7,27.35,37.6,50.5,22.7,45.5,17.0,11.05
48.7,28.7,40.5,53.1,25.95,50.5,19.0,11.55
53.3,30.95,43.6,56.3,29.1,55.7,20.8,11.7
57.1,33.150000000000006,46.6,59.3,32.2,59.5,23.2,11.95
60.0,34.849999999999994,49.2,61.3,35.2,60.0,24.7,13.399999999999999
62.3,36.25,50.9,63.4,37.05,60.1,25.8,15.05
63.8,37.1,52.2,64.7,38.25,60.6,26.6,16.25
64.8,37.3,52.7,65.0,38.45,60.3,27.0,16.5
65.0,36.45,52.5,64.8,37.45,58.8,26.2,16.0
62.1,35.0,50.9,63.6,34.3,57.0,24.5,15.2
58.4,33.4,47.5,60.5,30.8,54.3,22.9,14.4
56.0,32.4,45.7,57.7,29.7,52.3,21.9,13.9
53.7,31.6,44.1,55.9,28.25,51.2,21.2,13.55
51.6,30.9,42.9,54.9,27.1,50.0,20.6,13.45
49.9,30.45,41.9,54.0,26.45,49.1,19.9,12.9
48.8,29.9,41.2,53.8,26.0,48.3,19.4,12.5
47.5,29.5,40.5,53.3,25.299999999999997,47.6,18.9,12.149999999999999
46.6,29.1,39.8,52.6,24.9,46.7,18.4,12.0
45.5,28.7,39.2,52.1,24.5,46.2,18.1,11.8
44.8,28.4,38.8,51.7,24.05,45.9,17.8,11.55
44.0,28.1,38.4,51.0,23.6,45.4,17.6,11.25
43.3,27.75,38.0,50.5,23.2,45.0,17.2,11.100000000000001
42.8,27.6,37.7,49.8,22.700000000000003,45.0,17.1,11.1
42.5,27.4,37.3,50.0,22.200000000000003,45.1,16.9,11.100000000000001
44.7,27.4,37.6,50.4,22.9,45.6,17.1,11.100000000000001
48.8,28.75,40.5,52.9,26.15,50.6,19.0,11.6
53.5,30.9,43.6,56.4,29.45,55.9,21.0,11.649999999999999
57.2,32.95,46.7,59.4,32.6,59.6,23.3,12.0
60.2,34.75,49.4,61.5,35.5,60.2,24.8,13.4
62.4,36.2,51.1,63.5,37.4,60.2,25.9,15.100000000000001
63.9,37.05,52.3,64.7,38.5,60.8,26.7,16.35
64.8,37.2,52.9,65.2,38.75,60.4,27.1,16.7
65.1,36.349999999999994,52.7,64.8,37.7,59.0,26.4,16.1
62.2,34.9,51.0,63.5,34.7,57.0,24.5,15.3
58.6,33.349999999999994,47.8,60.6,31.2,54.5,22.9,14.6
56.1,32.349999999999994,45.8,58.0,29.95,52.5,21.9,14.1
53.8,31.6,44.3,56.2,28.5,51.3,21.3,13.7
51.6,31.0,43.0,54.7,27.4,50.1,20.7,13.45
50.0,30.5,42.1,54.1,26.75,49.3,20.1,12.850000000000001
49.0,29.95,41.4,53.9,26.299999999999997,48.5,19.4,12.45
47.8,29.55,40.8,53.5,25.65,47.8,19.1,12.1
46.8,29.15,40.0,52.9,25.15,46.9,18.5,11.95
45.7,28.8,39.5,52.3,24.700000000000003,46.4,18.1,11.8
45.0,28.55,38.9,52.0,24.45,46.0,18.0,11.4
44.2,28.2,38.5,51.2,24.0,45.6,17.7,11.2
43.5,27.9,38.1,50.8,23.45,45.1,17.3,11.0
42.9,27.7,37.7,49.9,23.0,45.1,17.1,10.95
42.7,27.55,37.4,49.6,22.5,45.1,17.0,10.95
44.8,27.55,37.6,50.4,23.25,45.8,17.3,11.0
48.9,28.9,40.6,53.1,26.450000000000003,50.8,19.1,11.5
53.5,31.05,43.9,56.3,29.75,56.1,20.9,11.55
57.3,33.1,46.8,59.5,33.0,59.7,23.1,11.95
60.3,34.8,49.4,61.8,35.75,60.3,24.7,13.350000000000001
62.6,36.2,51.3,63.6,37.65,60.3,26.0,15.149999999999999
64.1,37.05,52.4,64.8,38.95,61.1,27.0,16.4
65.1,37.2,53.0,65.3,39.15,60.5,27.3,16.7
65.3,36.5,53.0,64.9,38.1,59.3,26.8,16.15
62.5,35.0,51.2,63.7,35.0,57.2,24.7,15.35
58.9,33.4,47.9,60.8,31.5,54.7,23.1,14.600000000000001
