day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90
64.8,66.0,67.1,68.8,70.3,72.4,76.4,81.0,82.5,82.4,81.4,79.6,77.1,73.6,69.8,65.3,60.3,55.3,52.4,52.6,52.8,53.2,54.0,54.8,55.4,56.4,57.7,58.8,60.1,61.6,64.4,69.7,72.6,72.9,71.9,70.1,67.3,63.7,59.5,54.5,49.1,43.5,42.5,42.9,43.7,44.4,45.3,45.9,46.4,47.7,48.6,49.6,50.7,52.5,55.1,59.9,64.0,64.3,63.4,61.2,58.6,55.0,50.7,45.6,40.0,35.3,35.4,35.8,36.2,36.4,36.8,37.2,37.9,39.0,39.6,40.4,41.7,43.4,46.0,50.4,54.9,55.4,54.8,52.9,50.5,47.3,43.5,39.0,34.0,30.9,31.3
63.6,64.5,65.7,67.0,68.5,70.1,72.0,75.9,80.5,82.1,81.9,81.1,79.1,76.7,73.4,69.5,64.7,59.6,54.6,51.9,52.0,52.3,52.9,53.7,54.3,55.0,56.0,57.2,58.2,59.2,60.8,63.9,69.3,72.2,72.5,71.6,69.7,66.8,63.6,59.2,54.0,48.8,43.1,42.3,42.8,43.5,44.1,44.9,45.6,46.2,47.3,48.3,49.0,50.2,52.2,54.6,59.4,63.4,63.7,62.8,61.2,58.5,55.0,50.4,45.3,39.5,35.0,35.2,35.6,35.6,35.9,36.5,36.8,37.8,38.4,39.2,40.2,41.7,43.4,46.1,50.5,54.9,55.3,54.7,53.0,50.9,47.7,43.6,38.9,33.8,30.9
62.7,63.2,64.3,65.7,66.7,68.2,69.7,71.7,75.3,80.2,81.6,81.5,80.6,78.7,76.4,73.2,68.8,64.0,59.0,54.1,51.2,51.5,52.0,52.6,53.2,54.0,54.7,55.6,56.5,57.3,58.4,60.2,63.5,68.8,71.7,72.2,71.2,69.2,66.7,63.2,58.7,53.7,48.3,42.8,42.1,42.6,43.2,43.8,44.7,45.3,45.8,46.9,47.7,48.4,49.8,51.7,54.1,58.9,62.9,63.1,62.8,61.2,58.5,54.6,50.0,44.8,39.1,34.8,35.1,35.1,35.2,35.5,36.1,36.8,37.3,38.0,39.1,40.1,41.5,43.5,46.0,50.3,54.8,55.1,54.8,53.4,51.4,47.8,43.4,38.8,33.8
61.7,62.4,63.0,64.2,65.4,66.5,67.8,69.4,71.2,74.9,79.6,81.2,81.1,80.2,78.5,76.1,72.5,68.1,63.5,58.6,53.4,50.7,51.2,51.7,52.1,52.9,53.7,54.3,54.9,55.7,56.6,57.9,59.8,63.1,68.3,71.5,71.9,70.7,69.1,66.4,62.7,58.4,53.2,48.0,42.5,41.9,42.3,42.9,43.5,44.3,44.9,45.5,46.5,47.1,48.2,49.4,51.2,53.6,58.3,62.4,63.1,62.9,61.2,58.1,54.1,49.6,44.3,38.8,34.6,34.6,34.5,34.8,35.2,36.0,36.3,36.8,38.0,38.9,40.0,41.6,43.5,45.9,50.2,54.7,55.1,55.2,54.0,51.4,47.6,43.4,38.7
60.8,61.4,62.2,62.9,63.9,65.2,66.1,67.4,68.9,70.8,74.3,79.2,80.7,80.7,80.0,78.2,75.4,71.8,67.7,63.0,58.0,52.9,50.4,50.9,51.2,51.7,52.7,53.2,53.5,54.1,54.9,56.0,57.6,59.3,62.6,68.0,71.1,71.3,70.6,68.9,65.9,62.4,57.9,52.9,47.7,42.3,41.6,42.0,42.5,43.2,44.1,44.5,45.0,45.8,46.9,47.7,48.9,50.6,53.2,57.8,62.3,63.1,62.9,60.6,57.6,53.7,49.1,44.1,38.6,34.1,34.0,34.1,34.5,35.1,35.5,35.9,36.8,38.1,38.8,40.0,41.5,43.3,45.8,50.1,54.8,55.4,55.7,54.0,51.2,47.6,43.5
60.1,60.5,61.1,61.9,62.5,63.7,64.7,65.7,66.9,68.6,70.3,73.7,78.7,80.3,80.5,79.7,77.5,74.7,71.4,67.1,62.5,57.5,52.6,50.1,50.4,50.9,51.5,52.2,52.5,52.6,53.4,54.4,55.6,57.1,58.8,62.3,67.6,70.6,71.2,70.4,68.4,65.7,61.9,57.7,52.6,47.3,41.9,41.2,41.7,42.3,42.9,43.8,44.0,44.3,45.5,46.5,47.4,48.4,50.3,52.7,57.6,62.3,63.0,62.3,60.1,57.2,53.2,48.7,43.6,38.0,33.5,33.7,33.9,34.4,34.6,35.1,35.9,36.8,37.9,38.9,39.8,41.4,43.2,45.8,50.2,55.1,56.0,55.6,53.9,51.3,47.7
59.4,59.8,60.2,60.9,61.6,62.3,63.3,64.3,65.2,66.4,68.1,69.8,73.3,78.2,80.0,80.1,79.0,76.8,74.3,70.9,66.7,62.2,57.2,52.2,49.7,50.0,50.7,51.1,51.4,51.8,52.0,52.8,54.0,55.1,56.6,58.6,61.9,67.1,70.5,71.1,70.0,68.2,65.2,61.6,57.3,52.1,46.7,41.5,40.8,41.3,42.0,42.5,43.2,43.4,44.0,45.1,46.1,46.8,48.1,49.9,52.5,57.5,62.2,62.3,61.7,59.7,56.6,52.7,48.2,43.0,37.3,33.0,33.4,33.8,33.9,34.3,35.1,35.9,36.6,38.0,38.6,39.9,41.2,43.2,45.9,50.5,55.6,56.1,55.5,54.0,51.4
62.0,59.1,59.5,60.0,60.6,61.3,62.0,62.9,63.8,64.7,65.8,67.5,69.5,72.9,77.9,79.6,79.5,78.3,76.4,73.9,70.6,66.4,61.7,56.8,51.6,49.3,49.8,50.2,50.3,50.7,51.0,51.5,52.4,53.5,54.6,56.3,58.2,61.5,66.9,70.3,70.6,69.8,67.7,65.0,61.2,56.9,51.7,46.2,41.1,40.5,41.2,41.5,41.9,42.5,43.1,43.6,44.7,45.5,46.5,47.6,49.7,52.3,57.4,61.5,61.8,61.3,59.1,56.1,52.0,47.5,42.3,36.7,32.8,33.3,33.4,33.6,34.3,35.1,35.8,36.7,37.7,38.4,39.6,41.1,43.3,46.2,50.9,55.6,55.9,55.6,54.1
66.5,61.7,58.8,59.2,59.7,60.3,61.0,61.5,62.4,63.3,64.3,65.3,67.1,69.1,72.5,77.5,79.0,78.8,77.9,76.0,73.6,70.4,66.1,61.4,56.3,51.2,49.1,49.5,49.5,49.4,49.9,50.6,51.1,51.9,53.0,54.2,55.9,57.9,61.2,66.6,69.9,70.4,69.4,67.5,64.7,60.8,56.5,51.0,45.9,40.8,40.3,40.8,40.9,41.3,42.2,42.7,43.2,44.2,45.2,46.1,47.4,49.5,52.2,56.8,61.0,61.3,60.7,58.7,55.3,51.1,46.8,41.7,36.2,32.6,32.9,33.2,33.6,34.3,35.0,35.8,36.4,37.5,38.2,39.6,41.3,43.5,46.5,51.0,55.4,56.1,55.7
70.6,66.2,61.3,58.6,58.9,59.4,59.9,60.5,61.2,62.0,62.8,63.7,65.0,66.8,68.8,72.0,76.8,78.3,78.4,77.5,75.7,73.5,70.0,65.8,61.0,55.9,50.9,48.7,48.7,48.6,48.7,49.6,50.2,50.6,51.5,52.7,53.9,55.5,57.6,60.9,66.1,69.6,70.1,69.3,67.2,64.2,60.3,55.8,50.8,45.5,40.6,39.9,40.2,40.3,41.0,41.7,42.3,42.7,43.8,44.9,45.9,47.3,49.4,51.7,56.2,60.5,60.8,60.2,57.7,54.4,50.4,46.2,41.1,36.0,32.3,32.7,33.2,33.6,34.2,34.9,35.5,36.2,37.3,38.2,39.8,41.3,43.9,46.7,50.8,55.7,56.2
