day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93
54.9,55.3,55.7,56.2,57.1,59.4,62.9,65.8,67.9,69.7,70.8,71.1,71.1,70.0,67.6,64.3,60.6,57.6,55.9,55.5,55.9,56.2,56.6,57.0,57.3,57.7,57.9,58.2,58.9,61.0,64.4,67.3,69.7,71.2,72.2,72.2,71.7,70.4,67.2,63.3,59.8,57.6,56.5,56.4,56.6,56.7,57.0,57.1,57.3,57.5,58.0,58.4,59.0,60.4,63.9,67.0,69.6,71.3,72.4,72.8,72.4,71.0,67.5,63.9,60.6,58.3,57.0,57.1,57.4,57.6,57.8,58.2,58.5,58.7,59.2,59.6,60.1,61.2,64.2,67.7,70.1,72.0,73.1,73.5,72.9,71.3,68.4,64.4,60.5,57.4,55.5,55.6,55.8,56.1
54.7,55.0,55.4,55.8,56.3,57.1,59.4,62.9,65.8,68.1,69.8,71.0,71.3,71.2,70.1,67.7,64.2,60.7,57.6,56.0,55.7,56.0,56.3,56.7,57.1,57.4,57.7,58.0,58.2,58.9,61.0,64.5,67.4,69.7,71.3,72.1,72.1,71.7,70.2,67.1,63.2,59.7,57.6,56.4,56.4,56.6,56.7,56.9,57.1,57.4,57.6,58.1,58.4,59.0,60.4,63.9,67.0,69.6,71.4,72.5,72.8,72.5,71.1,67.6,63.9,60.5,58.3,56.9,57.2,57.5,57.6,57.8,58.1,58.5,58.7,59.2,59.6,60.1,61.1,64.1,67.5,70.0,71.9,72.9,73.3,72.9,71.5,68.6,64.4,60.3,57.2,55.4,55.6,55.7
54.3,54.7,55.1,55.5,56.0,56.4,57.1,59.5,63.0,66.0,68.2,70.0,71.1,71.4,71.3,70.2,67.7,64.3,60.7,57.6,56.1,55.8,56.1,56.4,56.8,57.2,57.5,57.7,58.0,58.2,58.9,61.0,64.5,67.3,69.6,71.3,72.1,72.1,71.6,70.1,67.0,63.0,59.6,57.5,56.4,56.4,56.5,56.6,56.9,57.1,57.4,57.7,58.1,58.5,59.1,60.4,64.0,67.1,69.8,71.4,72.5,72.8,72.7,71.2,67.8,64.0,60.5,58.3,57.0,57.2,57.4,57.5,57.7,58.1,58.5,58.7,59.2,59.6,60.1,61.1,64.0,67.4,69.9,71.7,72.6,73.2,73.0,71.7,68.5,64.2,60.2,57.2,55.5,55.6
53.9,54.4,54.8,55.2,55.7,56.0,56.4,57.2,59.6,63.1,66.1,68.4,70.1,71.2,71.5,71.4,70.2,67.7,64.3,60.6,57.7,56.3,55.9,56.2,56.5,56.9,57.2,57.5,57.7,58.0,58.3,58.9,61.0,64.5,67.3,69.5,71.2,72.0,72.0,71.4,70.0,66.7,62.9,59.5,57.5,56.5,56.4,56.5,56.6,56.9,57.1,57.5,57.8,58.2,58.6,59.1,60.4,64.0,67.2,69.8,71.4,72.5,73.0,72.7,71.4,67.8,64.0,60.6,58.4,57.1,57.2,57.3,57.4,57.7,58.1,58.5,58.7,59.2,59.6,60.1,61.1,63.9,67.3,69.6,71.4,72.6,73.3,73.1,71.6,68.4,64.3,60.5,57.3,55.4
53.8,54.0,54.4,54.9,55.3,55.7,56.1,56.5,57.3,59.7,63.2,66.3,68.5,70.2,71.2,71.5,71.4,70.2,67.7,64.2,60.7,57.8,56.4,56.0,56.3,56.6,56.9,57.2,57.5,57.8,58.0,58.4,59.0,61.0,64.4,67.2,69.5,71.1,71.9,71.8,71.3,69.8,66.6,62.8,59.4,57.5,56.4,56.3,56.5,56.6,56.9,57.2,57.5,57.9,58.2,58.6,59.1,60.5,64.1,67.2,69.8,71.5,72.7,73.1,72.9,71.4,67.9,64.2,60.8,58.5,57.0,57.1,57.3,57.4,57.7,58.0,58.4,58.7,59.2,59.6,60.2,61.0,63.7,67.0,69.3,71.4,72.6,73.3,73.0,71.5,68.6,64.6,60.7,57.3
53.6,53.9,54.1,54.5,55.0,55.3,55.8,56.1,56.6,57.5,59.9,63.3,66.3,68.6,70.3,71.3,71.5,71.4,70.3,67.7,64.2,60.7,57.9,56.5,56.2,56.4,56.7,57.0,57.2,57.5,57.8,58.1,58.4,59.0,60.9,64.3,67.2,69.4,71.0,71.7,71.7,71.1,69.8,66.5,62.7,59.4,57.5,56.4,56.3,56.4,56.7,57.0,57.3,57.6,57.9,58.3,58.6,59.2,60.6,64.1,67.2,69.8,71.7,72.8,73.1,72.8,71.4,68.1,64.4,61.0,58.6,57.0,57.1,57.2,57.4,57.7,58.0,58.5,58.7,59.2,59.6,60.1,61.0,63.4,66.7,69.4,71.4,72.7,73.2,72.8,71.8,69.0,65.0,61.1
54.5,53.7,54.0,54.2,54.6,55.0,55.4,55.8,56.2,56.8,57.5,60.0,63.4,66.4,68.7,70.4,71.2,71.7,71.5,70.2,67.7,64.3,60.9,58.0,56.5,56.3,56.4,56.7,57.0,57.3,57.6,57.9,58.2,58.4,59.0,60.8,64.2,67.1,69.4,70.9,71.6,71.6,71.0,69.8,66.4,62.6,59.4,57.5,56.3,56.2,56.5,56.8,57.0,57.3,57.6,57.9,58.3,58.8,59.3,60.6,64.1,67.3,70.0,71.8,72.8,73.1,72.7,71.6,68.4,64.7,61.0,58.5,56.9,57.0,57.2,57.3,57.6,58.0,58.4,58.7,59.2,59.6,60.1,60.7,63.1,66.7,69.4,71.4,72.4,73.0,73.1,72.2,69.4,65.5
56.5,54.6,53.8,54.1,54.3,54.7,55.1,55.4,55.9,56.3,56.8,57.6,60.1,63.5,66.5,68.8,70.3,71.4,71.8,71.5,70.3,67.8,64.4,60.9,58.0,56.6,56.3,56.5,56.7,57.0,57.4,57.7,57.9,58.1,58.4,58.9,60.8,64.1,67.0,69.3,70.7,71.6,71.5,71.1,69.7,66.3,62.6,59.5,57.6,56.3,56.2,56.6,56.8,57.1,57.4,57.7,58.0,58.5,58.9,59.4,60.7,64.1,67.4,70.1,71.8,72.8,73.0,73.1,71.8,68.7,64.7,61.0,58.4,56.8,57.0,57.1,57.3,57.6,58.0,58.4,58.7,59.2,59.5,59.8,60.5,63.1,66.6,69.4,71.2,72.2,73.2,73.6,72.7,70.0
59.5,56.5,54.7,53.9,54.2,54.4,54.8,55.2,55.6,56.1,56.4,56.9,57.7,60.2,63.6,66.5,68.8,70.4,71.5,71.8,71.5,70.3,68.0,64.4,60.8,58.1,56.7,56.4,56.5,56.8,57.1,57.4,57.7,58.0,58.1,58.4,58.9,60.6,64.0,67.0,69.2,70.7,71.4,71.5,71.1,69.6,66.2,62.7,59.7,57.7,56.3,56.3,56.6,56.9,57.2,57.4,57.7,58.1,58.6,59.0,59.4,60.7,64.2,67.5,70.1,71.8,72.7,73.3,73.3,72.1,68.8,64.7,61.0,58.4,56.8,57.0,57.1,57.3,57.6,58.0,58.4,58.6,59.1,59.2,59.6,60.5,63.1,66.6,69.1,71.0,72.4,73.6,74.0,73.2
63.2,59.7,56.6,54.8,54.0,54.3,54.5,54.9,55.3,55.7,56.2,56.6,57.0,57.8,60.3,63.6,66.5,68.8,70.5,71.5,71.8,71.6,70.5,68.0,64.3,60.8,58.2,56.7,56.5,56.6,56.8,57.2,57.5,57.7,57.9,58.1,58.3,58.8,60.6,63.9,66.9,69.1,70.6,71.5,71.5,71.1,69.6,66.5,62.9,59.8,57.7,56.3,56.3,56.7,56.9,57.2,57.5,57.9,58.3,58.6,59.0,59.4,60.8,64.3,67.6,70.0,71.7,72.9,73.6,73.6,72.2,69.0,64.9,61.0,58.4,56.7,56.9,57.1,57.3,57.6,58.0,58.2,58.5,58.9,59.0,59.6,60.5,63.1,66.4,69.0,71.2,72.7,73.9,74.4
