day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88
49.4,49.9,49.8,50.0,50.3,51.9,54.2,57.5,62.2,64.5,48.6,49.3,50.0,50.7,51.6,53.1,55.7,59.3,63.6,65.7,67.3,68.0,67.6,65.8,63.2,59.5,53.8,48.8,48.7,49.0,49.4,49.8,49.9,50.5,51.0,51.3,51.5,52.3,53.4,55.1,57.3,61.3,64.5,66.1,67.2,67.4,67.0,65.5,63.4,60.0,54.7,49.1,49.0,49.3,49.9,50.3,50.4,50.8,51.0,51.2,51.5,52.3,53.6,55.2,57.3,60.9,63.0,64.2,64.8,65.7,66.2,64.9,62.8,60.3,56.9,51.7,50.3,50.7,51.1,51.7,52.0,52.6,52.7,53.2,53.8,54.6,55.8,57.4,59.7
48.9,49.2,49.6,49.6,49.8,50.2,51.9,54.2,57.7,62.4,48.5,48.7,49.6,50.3,51.1,51.8,53.3,56.0,59.5,63.8,65.9,67.4,68.0,67.4,65.6,63.1,59.5,53.7,48.7,48.8,49.1,49.4,49.8,50.2,50.6,51.0,51.3,51.5,52.3,53.3,55.2,57.3,61.4,64.5,66.1,67.1,67.4,67.0,65.6,63.5,60.2,54.9,49.2,49.2,49.5,49.9,50.1,50.5,50.7,50.8,51.1,51.6,52.3,53.6,55.1,57.2,60.7,62.8,64.2,65.1,66.2,66.3,65.0,63.0,60.6,57.2,52.0,50.5,50.8,51.3,51.7,52.2,52.6,52.9,53.3,53.9,54.6,55.9,57.5
48.6,48.7,48.9,49.4,49.4,49.8,50.2,51.8,54.4,57.9,48.2,48.7,49.1,49.8,50.7,51.3,52.0,53.6,56.3,59.8,63.9,65.9,67.4,67.9,67.2,65.5,63.1,59.6,53.8,48.9,48.9,49.0,49.4,49.9,50.4,50.5,51.0,51.2,51.4,52.3,53.3,55.2,57.3,61.5,64.5,66.1,67.2,67.4,67.1,65.6,63.7,60.5,55.0,49.4,49.4,49.4,49.7,50.1,50.4,50.5,50.7,51.2,51.6,52.3,53.6,55.1,57.2,60.6,62.9,64.5,65.6,66.4,66.4,65.3,63.3,60.8,57.4,52.2,50.6,51.0,51.4,51.9,52.3,52.8,53.0,53.3,53.8,54.8,56.1
48.2,48.4,48.4,48.7,49.2,49.4,49.8,50.3,52.0,54.4,47.6,48.4,49.0,49.3,50.2,50.8,51.4,52.2,53.8,56.5,60.0,64.0,65.9,67.3,67.7,67.1,65.4,63.1,59.7,54.0,49.0,48.9,49.0,49.6,50.1,50.3,50.5,50.9,51.2,51.4,52.3,53.4,55.3,57.3,61.6,64.6,66.1,67.3,67.4,67.2,65.9,63.9,60.5,55.1,49.6,49.3,49.3,49.8,50.0,50.2,50.4,50.8,51.2,51.7,52.3,53.5,55.1,57.2,60.7,63.2,64.9,65.8,66.4,66.6,65.6,63.6,60.9,57.5,52.5,50.9,51.0,51.6,52.0,52.4,52.8,53.1,53.3,54.0,54.8
47.8,48.0,48.1,48.3,48.5,49.2,49.5,49.8,50.5,51.9,47.4,47.7,48.6,49.2,49.8,50.3,50.9,51.6,52.5,54.0,56.7,60.1,64.0,65.7,67.0,67.7,67.0,65.5,63.2,59.9,54.1,49.0,48.8,49.1,49.7,50.0,50.3,50.5,50.8,51.0,51.4,52.4,53.4,55.3,57.3,61.6,64.6,66.2,67.2,67.5,67.4,66.0,64.0,60.4,55.1,49.6,49.3,49.4,49.6,49.9,50.1,50.5,50.8,51.3,51.7,52.3,53.6,55.1,57.2,61.0,63.6,65.1,65.9,66.6,66.8,65.7,63.7,60.9,57.8,52.8,50.9,51.2,51.6,52.2,52.5,52.9,53.2,53.5,54.0
47.6,47.7,47.7,48.0,48.2,48.5,49.2,49.4,50.0,50.5,47.2,47.6,48.0,48.9,49.6,49.8,50.4,51.1,51.9,52.7,54.2,56.8,60.2,63.9,65.6,67.0,67.5,67.1,65.6,63.4,60.0,54.2,48.9,49.0,49.2,49.6,49.9,50.2,50.4,50.6,51.2,51.4,52.4,53.6,55.4,57.3,61.7,64.7,66.1,67.3,67.8,67.6,66.0,63.8,60.2,55.1,49.5,49.3,49.3,49.4,49.8,50.1,50.5,50.9,51.3,51.8,52.4,53.6,55.2,57.5,61.3,63.7,65.2,66.1,66.8,66.9,65.9,63.7,61.3,58.1,53.0,51.0,51.2,51.8,52.3,52.5,52.8,53.3,53.5
47.5,47.4,47.4,47.5,47.9,48.2,48.5,49.1,49.6,50.0,46.9,47.5,47.8,48.2,49.2,49.7,50.0,50.6,51.3,52.1,52.8,54.2,56.8,60.1,63.8,65.6,66.9,67.6,67.2,65.7,63.5,60.0,54.2,49.0,49.0,49.2,49.4,49.8,50.1,50.2,50.8,51.2,51.5,52.5,53.5,55.3,57.3,61.9,64.6,66.1,67.4,67.9,67.6,65.9,63.4,60.0,55.1,49.6,49.3,49.0,49.4,49.8,50.2,50.6,50.8,51.3,51.8,52.5,53.8,55.5,57.8,61.4,63.8,65.3,66.3,66.9,67.0,65.9,64.0,61.6,58.3,53.2,51.1,51.4,51.9,52.3,52.6,53.0,53.2
47.6,47.2,47.1,47.2,47.4,47.9,48.2,48.5,49.2,49.6,46.9,47.1,47.7,48.1,48.6,49.4,49.9,50.1,50.8,51.4,52.1,53.0,54.3,56.6,60.1,63.9,65.5,67.0,67.6,67.3,65.8,63.5,60.1,54.2,49.1,49.0,49.1,49.5,49.7,49.9,50.3,50.8,51.4,51.6,52.5,53.4,55.3,57.5,61.8,64.6,66.3,67.6,67.9,67.4,65.6,63.2,60.0,55.2,49.7,49.0,49.0,49.4,49.9,50.3,50.5,50.9,51.4,51.9,52.5,53.9,55.8,57.9,61.5,64.0,65.5,66.4,67.0,67.0,66.3,64.3,61.8,58.5,53.3,51.2,51.6,52.0,52.4,52.7,53.0
52.6,47.3,46.9,47.0,47.1,47.5,47.9,48.3,48.6,49.2,51.9,47.1,47.3,47.9,48.4,48.8,49.5,50.0,50.3,50.9,51.5,52.2,52.9,54.2,56.7,60.2,63.8,65.6,67.0,67.7,67.3,65.9,63.6,60.0,54.3,49.0,48.9,49.1,49.4,49.5,50.0,50.3,50.9,51.5,51.6,52.4,53.4,55.5,57.4,61.9,64.8,66.5,67.6,67.7,66.9,65.3,63.1,59.9,55.2,49.4,48.9,49.1,49.6,50.0,50.1,50.5,50.9,51.4,51.8,52.5,54.2,55.8,58.0,61.8,64.2,65.6,66.4,67.0,67.4,66.7,64.7,61.9,58.4,53.5,51.4,51.7,52.0,52.5,52.6
58.2,52.3,47.1,46.6,46.8,47.1,47.4,48.0,48.4,48.6,58.4,51.9,47.4,47.6,48.3,48.6,49.0,49.6,50.2,50.5,51.0,51.5,52.2,52.8,54.3,56.7,60.3,63.9,65.7,67.1,67.7,67.4,66.0,63.5,60.1,54.2,48.9,48.9,49.1,49.3,49.6,50.0,50.5,51.0,51.6,51.5,52.5,53.5,55.3,57.4,62.1,65.0,66.5,67.3,67.3,66.8,65.3,62.9,59.8,55.0,49.4,49.0,49.3,49.7,49.8,50.1,50.6,50.9,51.3,51.8,52.7,54.3,56.0,58.2,62.0,64.3,65.7,66.5,67.4,67.7,67.1,64.9,61.8,58.3,53.7,51.5,51.7,52.2,52.5
