day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93
34.1,35.1,35.9,37.4,38.7,40.9,44.2,47.8,49.4,50.2,50.6,50.6,49.9,48.6,46.8,44.3,41.1,36.8,32.6,32.5,32.8,33.4,34.6,35.2,36.5,37.9,39.9,41.6,43.8,46.6,51.5,55.1,56.9,57.9,58.4,58.1,57.0,55.5,53.6,50.7,47.3,43.0,38.1,34.7,35.7,36.7,38.4,39.8,41.0,43.1,45.3,48.0,51.2,55.7,60.7,63.6,64.7,65.5,65.4,64.8,63.8,62.0,59.6,57.1,54.2,50.7,46.9,42.8,42.9,43.8,45.1,46.2,47.7,49.6,51.4,53.6,56.2,60.6,64.4,67.2,69.0,69.6,69.5,69.0,67.4,65.5,63.1,60.2,57.4,54.1,49.8,45.0,44.6,45.8
33.5,34.2,35.1,35.9,37.5,38.9,40.9,44.4,47.7,49.5,50.5,51.2,50.9,50.4,49.1,47.3,44.6,41.3,36.9,32.7,32.5,32.8,33.7,34.5,35.2,36.6,38.4,40.0,41.9,43.9,46.7,51.9,55.5,57.3,58.3,58.7,58.5,57.3,55.8,53.8,50.9,47.4,43.2,38.4,35.0,35.9,37.1,38.8,39.9,41.5,43.6,46.0,48.7,51.7,56.2,60.8,63.6,64.7,65.4,65.3,64.8,63.8,61.8,59.7,57.2,54.3,50.8,47.2,43.0,43.1,44.1,45.2,46.4,48.1,50.0,51.5,54.0,56.4,60.7,64.8,67.6,68.9,69.4,69.4,68.7,67.4,65.3,62.9,60.3,57.5,54.2,50.0,45.2,44.8
32.7,33.6,34.2,35.1,35.9,37.6,38.9,41.0,44.4,47.9,49.8,50.9,51.6,51.5,51.0,49.6,47.6,44.9,41.4,37.0,32.8,32.5,33.1,33.7,34.4,35.3,37.0,38.5,40.2,42.0,44.0,47.0,52.2,55.9,57.7,58.7,59.2,58.8,57.6,56.0,53.9,51.0,47.6,43.5,38.8,35.2,36.3,37.5,38.8,40.3,41.9,44.3,46.7,49.2,52.3,56.4,60.9,63.5,64.6,65.2,65.3,64.8,63.6,61.7,59.8,57.3,54.5,51.1,47.4,43.2,43.3,44.2,45.4,46.7,48.5,50.1,51.9,54.2,56.5,61.0,65.1,67.4,68.7,69.4,69.1,68.7,67.1,65.2,63.0,60.5,57.7,54.4,50.2,45.4
32.0,32.8,33.6,34.2,35.1,35.9,37.6,39.1,41.0,44.6,48.3,50.2,51.4,52.1,52.1,51.4,49.8,47.9,45.0,41.4,37.2,32.9,32.7,32.9,33.6,34.5,35.8,37.1,38.6,40.3,42.1,44.2,47.3,52.6,56.3,58.1,59.2,59.4,59.0,57.7,56.3,53.9,51.2,48.0,43.9,39.2,35.7,36.8,37.5,39.2,40.7,42.7,45.0,47.1,49.8,52.6,56.5,60.8,63.4,64.4,65.3,65.4,64.6,63.5,61.7,59.9,57.5,54.7,51.3,47.5,43.5,43.5,44.3,45.7,47.1,48.6,50.4,52.1,54.2,56.8,61.3,65.0,67.3,68.6,69.1,69.0,68.5,67.0,65.3,63.2,60.7,57.9,54.6,50.5
31.6,32.1,32.7,33.6,34.1,35.2,36.1,37.7,39.2,41.2,45.0,48.7,50.6,52.0,52.7,52.5,51.7,50.1,47.9,44.9,41.5,37.4,33.2,32.4,32.8,33.6,34.9,35.8,37.2,38.8,40.3,42.2,44.4,47.6,53.0,56.7,58.5,59.4,59.5,59.1,57.9,56.2,54.1,51.5,48.4,44.4,39.8,36.2,36.7,37.8,39.5,41.5,43.5,45.4,47.8,49.9,52.7,56.5,60.6,63.2,64.5,65.3,65.1,64.5,63.5,61.8,60.0,57.7,54.9,51.6,47.9,43.7,43.5,44.6,46.0,47.3,49.0,50.5,52.2,54.4,57.1,61.3,64.9,67.2,68.4,69.1,68.9,68.4,67.1,65.4,63.5,60.9,58.2,55.0
30.9,31.7,32.0,32.8,33.5,34.2,35.2,36.3,37.8,39.4,41.6,45.5,49.1,51.1,52.5,53.1,52.7,52.0,50.1,47.8,45.1,42.0,37.8,33.1,32.3,32.9,34.0,34.8,36.0,37.4,38.8,40.5,42.4,44.6,47.9,53.4,57.1,58.7,59.6,59.7,59.3,57.9,56.5,54.6,52.0,48.8,45.0,40.3,36.1,37.1,38.2,40.4,42.2,44.0,46.1,48.0,50.1,52.7,56.5,60.6,63.4,64.5,65.1,65.0,64.4,63.6,61.9,60.3,58.0,55.1,51.9,48.2,43.8,43.8,44.9,46.1,47.6,49.0,50.6,52.4,54.7,57.2,61.3,64.9,67.0,68.6,68.9,68.8,68.6,67.2,65.8,63.8,61.2,58.6
30.7,31.1,31.6,32.1,32.8,33.5,34.3,35.2,36.4,38.0,39.7,41.9,45.8,49.7,51.6,52.9,53.3,52.9,51.9,50.0,48.0,45.6,42.3,38.0,33.2,32.4,33.2,33.9,34.9,36.1,37.3,38.9,40.6,42.5,44.9,48.3,53.7,57.3,58.9,59.7,59.8,59.2,58.2,57.0,55.0,52.5,49.4,45.4,40.4,36.6,37.4,39.0,41.1,42.6,44.6,46.4,48.2,50.3,52.8,56.6,60.7,63.3,64.2,65.0,64.9,64.6,63.8,62.3,60.5,58.2,55.4,52.4,48.4,44.2,44.2,45.0,46.5,47.7,49.0,50.7,52.6,54.7,57.1,61.3,64.7,67.2,68.4,69.0,69.0,68.7,67.7,66.1,64.2,61.7
33.1,30.9,31.0,31.6,32.0,32.8,33.6,34.4,35.4,36.6,38.3,40.0,42.2,46.3,50.2,52.0,53.2,53.5,52.8,51.8,50.1,48.6,46.0,42.7,38.2,33.4,32.7,33.1,34.0,35.0,36.0,37.4,39.1,40.7,42.9,45.1,48.6,54.1,57.6,59.1,59.9,59.8,59.6,58.6,57.4,55.5,53.0,49.7,45.6,40.9,36.9,38.4,39.7,41.6,43.2,44.9,46.7,48.2,50.5,52.9,56.7,60.6,62.9,64.2,64.9,65.0,64.7,64.0,62.6,60.8,58.6,56.0,52.7,48.8,44.5,44.2,45.3,46.5,47.7,49.2,51.0,52.7,54.5,57.0,61.2,64.8,67.0,68.5,69.1,69.1,69.2,68.1,66.5,64.7
37.0,33.4,30.9,31.1,31.6,32.1,32.8,33.7,34.5,35.6,36.8,38.5,40.3,42.6,46.8,50.6,52.3,53.4,53.4,52.7,51.9,50.7,49.0,46.5,43.1,38.6,33.8,32.5,33.2,34.1,34.9,36.1,37.5,39.3,41.0,43.0,45.5,49.0,54.3,57.8,59.2,59.9,60.1,60.0,59.2,57.9,56.0,53.3,50.0,46.1,41.4,37.9,39.0,40.4,42.2,43.5,45.2,46.7,48.5,50.6,53.1,56.7,60.5,62.9,64.1,65.0,65.2,64.9,64.3,62.8,61.2,59.1,56.3,53.1,49.1,44.6,44.5,45.3,46.5,47.9,49.5,51.0,52.6,54.3,56.8,61.2,64.7,67.2,68.6,69.2,69.7,69.6,68.5,67.1
40.6,37.2,33.5,30.9,31.0,31.6,32.1,32.9,33.8,34.7,35.7,37.0,38.7,40.6,43.0,47.2,51.0,52.5,53.2,53.2,52.9,52.4,51.1,49.6,47.0,43.5,39.0,33.9,32.8,33.2,34.1,35.0,36.2,37.6,39.5,41.2,43.3,45.7,49.2,54.6,57.8,59.2,60.2,60.6,60.4,59.7,58.5,56.2,53.7,50.5,46.6,42.3,38.5,39.5,40.9,42.5,43.8,45.3,47.0,48.7,50.6,53.1,56.7,60.5,62.9,64.2,65.1,65.3,65.2,64.5,63.2,61.8,59.5,56.8,53.5,49.3,45.0,44.5,45.4,46.7,48.1,49.6,50.8,52.4,54.1,56.8,61.2,64.8,67.4,68.8,69.8,70.2,70.0,69.1
