Cluster 0,Cluster 1,Cluster 2
48.6,23.4,35.6
48.0,23.2,35.0
47.55,22.9,34.6
47.1,22.6,34.2
46.55,22.4,33.8
46.1,22.0,33.7
45.8,21.8,33.5
45.55,21.6,33.3
46.35,21.8,33.6
49.5,24.0,35.9
52.8,26.4,38.6
55.6,28.2,41.1
57.8,29.6,43.2
59.5,30.6,44.9
60.4,31.5,46.0
60.75,31.6,46.8
60.1,31.1,46.5
58.0,29.4,44.4
55.5,27.4,41.6
53.349999999999994,26.2,39.8
51.8,25.6,38.5
50.7,24.8,37.5
49.8,24.2,36.7
49.0,23.8,36.2
48.25,23.5,35.6
47.650000000000006,23.3,35.0
47.2,22.9,34.5
46.75,22.6,34.1
46.3,22.4,33.7
45.9,22.1,33.4
45.55,22.0,33.3
45.3,21.7,33.1
46.0,22.1,33.6
49.35,24.1,35.7
52.55,26.5,38.5
55.55,28.1,41.2
57.9,29.6,43.2
59.45,30.7,44.8
60.3,31.4,46.0
60.650000000000006,31.5,46.8
60.150000000000006,30.9,46.4
58.05,29.4,44.3
55.5,27.3,41.5
53.5,26.3,39.8
51.95,25.6,38.5
50.7,24.8,37.5
49.85,24.2,36.7
49.05,23.9,36.1
48.3,23.7,35.6
47.75,23.2,34.9
47.2,22.9,34.5
46.7,22.8,34.0
46.3,22.5,33.7
46.0,22.2,33.5
45.75,21.8,33.3
45.45,21.7,33.2
46.1,22.2,33.4
49.4,24.0,35.8
52.8,26.3,38.5
55.7,28.1,41.3
57.95,29.6,43.0
59.45,30.8,44.8
60.349999999999994,31.5,46.0
60.8,31.5,46.7
60.45,30.9,46.4
58.2,29.4,44.4
55.6,27.4,41.3
53.5,26.5,39.7
52.05,25.8,38.5
50.9,25.0,37.6
49.9,24.3,36.6
49.2,24.0,36.0
48.45,23.6,35.4
47.849999999999994,23.4,35.0
47.349999999999994,23.0,34.4
46.95,22.8,34.0
46.5,22.4,33.6
46.2,22.3,33.4
45.9,22.2,33.2
45.55,22.0,33.2
46.2,22.2,33.3
49.55,24.1,35.8
52.9,26.6,38.6
55.9,28.2,41.4
57.9,29.8,43.2
59.55,30.9,45.1
60.45,31.6,46.4
60.849999999999994,31.6,47.0
60.400000000000006,30.9,46.6
58.3,29.5,44.8
55.75,27.5,41.5
53.55,26.6,39.8
52.150000000000006,26.0,38.7
50.95,24.9,37.7
50.0,24.5,36.8
49.25,23.9,36.3
48.4,23.6,35.7
47.849999999999994,23.3,35.1
47.3,23.0,34.6
46.8,22.8,34.1
46.3,22.5,33.8
45.95,22.3,33.5
45.6,22.2,33.3
45.3,22.0,33.2
46.150000000000006,22.2,33.4
49.35,24.0,35.9
52.849999999999994,26.4,38.7
56.0,28.1,41.4
58.0,29.7,43.2
59.6,30.8,45.0
60.5,31.4,46.2
60.9,31.4,46.8
60.4,30.9,46.6
58.5,29.4,44.7
55.8,27.6,41.5
53.55,26.5,39.9
52.05,25.8,38.7
51.0,24.9,37.7
49.9,24.4,36.8
49.05,23.9,36.0
48.3,23.6,35.5
47.6,23.3,34.9
47.25,22.9,34.5
46.7,22.6,34.1
46.3,22.3,33.8
45.75,22.2,33.5
45.5,21.9,33.2
45.2,21.8,33.2
46.2,22.1,33.3
49.3,24.0,35.7
52.8,26.4,38.5
55.9,28.0,41.2
57.8,29.8,42.9
59.4,30.8,44.8
60.3,31.3,45.9
60.7,31.6,46.7
60.2,30.8,46.5
58.45,29.6,44.5
55.650000000000006,27.6,41.5
53.4,26.4,39.7
51.75,25.5,38.6
50.8,25.0,37.5
49.75,24.3,36.7
48.849999999999994,23.9,35.8
48.2,23.6,35.4
47.55,23.2,34.7
46.95,22.8,34.2
46.45,22.7,34.0
45.9,22.3,33.7
45.4,22.2,33.3
45.1,22.0,33.1
44.8,21.8,33.0
46.150000000000006,22.1,33.2
49.25,24.0,35.6
52.7,26.1,38.4
55.650000000000006,28.0,41.0
57.6,29.8,43.0
59.2,30.9,44.9
60.2,31.6,46.0
60.55,31.6,46.6
60.2,30.8,46.6
58.349999999999994,29.5,44.8
55.45,27.8,41.6
53.1,26.5,39.5
51.55,25.8,38.6
50.5,25.0,37.3
49.55,24.4,36.6
48.650000000000006,23.8,35.7
47.95,23.5,35.2
47.349999999999994,23.1,34.8
46.849999999999994,22.8,34.3
46.2,22.5,33.9
45.650000000000006,22.3,33.5
45.2,22.0,33.1
44.650000000000006,21.8,32.9
44.4,21.6,32.7
45.5,22.0,33.1
48.85,24.0,35.4
52.6,26.0,38.2
55.6,28.3,41.1
57.55,29.9,43.1
59.150000000000006,30.9,45.0
60.05,31.6,46.4
60.5,31.7,47.1
60.05,30.9,46.7
58.25,29.4,44.9
55.349999999999994,27.9,41.7
53.150000000000006,26.9,39.7
51.349999999999994,25.9,38.6
50.45,25.1,37.3
49.6,24.7,36.4
48.650000000000006,24.1,35.9
47.7,23.6,35.1
47.150000000000006,23.2,34.6
46.650000000000006,22.8,34.2
46.0,22.5,33.7
45.4,22.2,33.4
45.1,22.0,32.9
44.7,21.7,32.7
44.4,21.6,32.5
45.6,22.1,32.9
48.75,23.9,35.4
52.7,26.2,38.0
55.55,28.3,41.2
57.55,29.8,43.2
59.1,30.8,45.0
60.0,31.6,46.4
60.45,31.7,47.0
59.95,31.1,46.7
58.2,29.6,44.8
55.25,27.9,41.9
52.9,26.9,39.8
51.4,26.1,38.5
50.3,25.3,37.5
49.5,24.8,36.6
48.5,24.3,35.9
47.7,23.7,35.3
47.0,23.4,34.7
46.45,22.9,34.1
45.95,22.6,33.8
45.5,22.4,33.4
44.95,22.2,33.0
44.5,21.9,32.6
44.25,21.7,32.4
45.6,22.2,32.8
48.75,24.0,35.5
52.55,26.2,38.3
55.6,28.4,40.9
57.6,29.9,43.4
59.1,31.0,45.2
60.1,31.7,46.5
60.349999999999994,31.8,47.1
60.0,31.0,46.8
58.45,29.5,44.9
55.25,28.0,42.0
52.8,27.1,39.9
51.55,26.3,38.6
50.349999999999994,25.4,37.6
49.349999999999994,24.9,36.8
48.6,24.5,36.1
47.7,23.9,35.4
47.0,23.5,34.8
46.4,23.1,34.3
45.9,22.7,33.9
45.5,22.5,33.5
45.05,22.2,33.2
44.6,22.0,32.7
44.2,21.8,32.5
45.650000000000006,22.2,32.9
48.849999999999994,24.1,35.8
52.75,26.4,38.4
55.849999999999994,28.5,41.0
57.849999999999994,29.9,43.6
59.1,31.1,45.4
60.25,31.7,46.7
60.6,31.8,47.2
60.1,31.1,47.1
58.5,29.6,45.2
55.55,28.1,42.1
53.0,27.1,40.0
51.7,26.4,38.7
50.45,25.7,37.9
49.55,25.0,37.0
48.75,24.7,36.3
47.75,24.1,35.6
46.95,23.5,35.0
46.5,23.3,34.5
46.0,22.9,34.1
45.650000000000006,22.7,33.6
45.05,22.2,33.2
44.6,22.0,32.8
44.2,21.9,32.6
45.7,22.5,33.0
49.0,24.1,35.8
52.8,26.6,38.6
55.95,28.4,41.4
57.9,29.9,43.8
59.2,31.1,45.6
60.4,31.8,47.0
60.7,31.7,47.6
60.25,31.2,47.4
58.9,29.7,45.6
55.9,28.2,42.3
53.25,27.0,40.4
51.849999999999994,26.4,39.0
50.6,25.7,38.1
49.7,25.1,37.3
48.75,24.7,36.6
47.85,24.2,35.8
47.1,23.7,35.2
46.55,23.3,34.7
46.2,22.9,34.3
45.7,22.7,33.8
45.25,22.4,33.4
44.7,22.2,32.9
44.35,21.9,32.6
45.75,22.4,33.1
49.2,24.0,36.0
52.9,26.6,38.9
55.95,28.3,41.6
58.05,30.0,43.9
59.349999999999994,31.1,45.8
60.5,31.7,47.1
60.8,31.7,47.6
60.45,31.1,47.4
59.25,29.7,45.7
56.05,28.0,42.6
53.5,26.9,40.6
52.1,26.1,39.2
50.9,25.5,38.1
50.1,25.0,37.3
49.05,24.6,36.6
48.05,24.2,35.9
47.35,23.7,35.3
46.7,23.2,34.9
46.4,22.9,34.3
45.95,22.7,33.8
45.349999999999994,22.4,33.3
44.849999999999994,22.0,32.9
