Cluster 0,Cluster 1,Cluster 2,Cluster 3
51.65,17.0,28.8,40.8
51.05,16.6,28.4,40.3
50.6,16.3,28.0,39.8
50.150000000000006,15.9,27.7,39.4
49.8,15.7,27.5,38.9
49.45,15.4,27.2,38.5
49.3,15.2,27.0,38.2
49.05,15.0,26.9,37.9
49.9,15.3,27.1,38.1
52.9,16.8,28.7,41.0
55.95,18.6,30.8,44.1
58.099999999999994,20.7,33.0,46.8
60.05,22.3,35.1,49.2
61.5,23.9,36.5,51.0
62.55,24.9,37.2,52.3
63.05,24.9,37.3,52.8
62.9,23.8,36.5,52.4
61.2,22.1,34.7,50.2
57.75,20.4,32.7,47.3
55.65,19.2,31.4,45.3
54.349999999999994,18.7,30.7,44.1
53.5,18.1,30.0,43.0
52.8,17.6,29.5,42.1
52.05,17.3,29.1,41.3
51.45,16.8,28.7,40.7
50.95,16.5,28.3,40.1
50.5,16.1,27.9,39.6
49.95,15.9,27.6,39.2
49.4,15.5,27.3,38.8
49.099999999999994,15.4,27.0,38.4
48.900000000000006,15.1,26.8,38.1
48.599999999999994,14.8,26.7,37.7
49.5,15.0,26.8,38.0
52.9,16.6,28.5,40.9
55.849999999999994,18.8,30.7,44.0
58.1,20.8,32.9,46.7
60.0,22.7,35.0,49.3
61.349999999999994,24.1,36.5,51.0
62.55,25.3,37.3,52.2
63.15,25.4,37.4,52.7
63.2,24.4,36.4,52.5
61.45,22.6,34.8,50.4
57.95,20.6,32.7,47.3
55.7,19.4,31.2,45.5
54.3,18.9,30.5,44.1
53.55,17.8,29.8,43.1
52.95,17.3,29.4,42.2
52.150000000000006,17.0,29.0,41.4
51.45,16.6,28.6,40.7
50.9,16.2,28.4,40.2
50.45,16.0,28.0,39.6
50.1,15.7,27.7,39.1
49.75,15.4,27.5,38.7
49.400000000000006,15.2,27.1,38.3
49.25,15.0,26.9,38.0
48.95,14.8,26.8,37.7
49.7,14.9,26.9,38.1
52.849999999999994,16.5,28.4,40.8
55.849999999999994,18.6,30.6,44.0
58.1,21.2,32.9,46.7
59.9,23.1,35.0,49.3
61.4,24.3,36.5,51.1
62.650000000000006,25.3,37.3,52.4
