Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4
52.6,45.4,28.3,40.75,17.2
51.8,44.9,27.9,40.3,16.8
51.3,44.4,27.5,39.8,16.6
50.8,44.1,27.3,39.3,16.2
50.5,43.6,27.0,38.849999999999994,15.9
50.2,43.2,26.7,38.45,15.6
49.8,42.9,26.6,38.2,15.2
49.6,42.9,26.4,37.849999999999994,15.1
50.1,43.9,26.5,38.1,15.4
53.5,47.2,28.1,41.0,16.9
56.5,50.2,30.4,44.1,18.7
59.1,52.5,32.5,46.8,20.8
60.9,54.3,34.3,49.150000000000006,23.0
62.9,55.8,35.7,50.95,24.3
64.2,56.9,36.7,52.25,25.2
64.5,57.2,36.7,52.75,25.3
63.9,56.4,36.1,52.349999999999994,24.1
62.1,53.9,34.4,50.150000000000006,22.6
58.7,51.9,31.9,47.25,20.7
56.2,50.5,31.0,45.3,19.7
55.2,48.9,30.3,44.05,19.2
54.5,48.2,29.6,43.0,18.5
53.6,47.1,29.1,42.1,17.9
52.7,46.2,28.5,41.3,17.5
52.3,45.7,28.1,40.7,16.9
51.7,45.2,27.6,40.05,16.6
51.3,44.8,27.3,39.6,16.3
51.0,44.4,27.0,39.150000000000006,16.0
50.5,44.0,26.8,38.55,15.7
50.3,43.5,26.6,38.150000000000006,15.5
49.7,43.3,26.4,37.85,15.1
49.7,43.2,26.2,37.650000000000006,15.0
50.2,44.1,26.3,37.9,15.2
53.4,47.4,27.9,40.849999999999994,16.7
56.2,50.4,30.4,43.95,18.8
58.9,52.6,32.4,46.7,21.4
60.9,54.4,34.3,49.25,23.3
62.6,55.9,35.8,50.95,24.8
63.9,56.9,36.6,52.2,25.4
64.2,57.3,36.7,52.7,25.6
64.3,56.5,36.0,52.35,24.7
62.3,54.0,34.3,50.349999999999994,22.9
58.9,52.1,31.9,47.3,20.9
56.3,50.6,30.9,45.45,20.0
55.3,49.1,30.2,44.1,18.9
54.6,48.3,29.5,43.1,18.3
53.4,47.1,28.9,42.2,17.6
52.6,46.8,28.4,41.4,17.4
52.1,46.2,27.9,40.7,16.9
51.6,45.4,27.5,40.1,16.4
51.2,45.0,27.3,39.55,16.0
50.9,44.6,27.0,39.05,15.8
50.6,44.2,26.7,38.55,15.6
50.3,43.7,26.5,38.150000000000006,15.3
49.7,43.5,26.3,37.849999999999994,15.1
49.5,43.4,26.1,37.6,14.9
50.3,44.4,26.3,37.9,15.3
53.4,48.0,27.9,40.8,16.6
56.3,50.4,30.2,44.0,19.0
59.0,53.1,32.4,46.6,21.4
60.8,56.0,34.3,49.25,23.6
62.8,57.9,35.7,51.0,25.0
64.1,58.0,36.6,52.349999999999994,25.7
64.4,57.9,36.8,52.75,25.7
64.2,57.2,36.0,52.45,24.8
62.7,54.4,34.2,50.45,23.2
59.3,52.2,32.1,47.55,21.1
56.5,50.8,30.8,45.6,19.9
55.4,49.3,30.1,44.150000000000006,19.1
54.6,48.5,29.4,43.1,18.3
53.8,47.6,28.8,42.3,17.8
52.9,47.0,28.3,41.4,17.3
52.2,46.5,27.9,40.7,16.9
51.6,45.7,27.5,40.1,16.5
51.4,45.2,27.2,39.6,16.4
51.0,44.9,26.9,39.1,16.0
50.8,44.4,26.7,38.650000000000006,15.7
50.2,44.0,26.4,38.25,15.5
49.7,43.8,26.1,37.95,15.3
49.4,43.6,26.0,37.8,14.9
50.5,44.6,26.2,38.05,15.2
53.5,48.2,28.0,40.95,16.5
56.4,50.6,30.2,43.95,19.4
59.0,53.3,32.3,46.650000000000006,21.6
61.3,56.1,34.4,49.349999999999994,23.8
62.9,58.0,35.8,51.1,24.7
64.3,58.1,36.6,52.5,25.6
64.6,58.0,36.8,52.8,25.7
64.6,57.2,36.0,52.45,25.0
