Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
45.6,45.4,25.4,35.5,13.8,61.0
44.9,44.9,24.9,34.95,13.5,60.5
44.4,44.4,24.6,34.5,13.25,60.1
43.9,44.1,24.3,34.2,12.850000000000001,59.7
43.5,43.6,24.1,33.8,12.6,59.3
43.0,43.2,23.7,33.4,12.35,58.9
42.5,42.9,23.5,33.2,12.25,58.6
42.1,42.9,23.3,33.05,11.95,58.349999999999994
43.2,43.9,23.8,33.25,11.8,59.05
46.2,47.2,25.9,35.7,14.05,61.5
49.5,50.2,28.1,38.349999999999994,16.85,65.4
52.2,52.5,30.1,41.05,18.0,68.0
54.4,54.3,31.6,43.05,19.55,69.4
56.0,55.8,32.8,44.8,20.5,70.2
57.4,56.9,33.4,45.849999999999994,21.25,70.80000000000001
57.7,57.2,33.3,46.7,21.55,70.85
57.2,56.4,32.8,46.5,20.5,70.19999999999999
55.6,53.9,30.8,44.1,18.5,68.7
52.3,51.9,29.4,41.45,17.6,66.1
50.0,50.5,28.5,39.7,17.25,64.45
48.7,48.9,27.5,38.4,16.2,63.5
47.7,48.2,26.8,37.4,15.45,62.45
46.9,47.1,26.1,36.650000000000006,15.100000000000001,61.65
46.2,46.2,25.7,36.0,14.5,61.150000000000006
45.4,45.7,25.4,35.45,13.95,60.55
44.8,45.2,25.0,34.9,13.85,60.05
44.3,44.8,24.6,34.4,13.55,59.65
43.8,44.4,24.2,34.1,13.2,59.2
43.4,44.0,24.0,33.6,13.0,58.849999999999994
42.9,43.5,23.7,33.349999999999994,12.75,58.4
42.4,43.3,23.5,33.0,12.25,58.05
42.2,43.2,23.4,32.9,11.899999999999999,57.8
43.0,44.1,24.0,33.150000000000006,12.100000000000001,58.55
46.2,47.4,25.9,35.6,14.5,61.05
49.6,50.4,27.9,38.3,16.95,65.0
52.3,52.6,30.1,40.95,18.15,67.65
54.3,54.4,31.6,43.0,19.85,69.1
56.1,55.9,32.7,44.7,20.95,69.8
57.3,56.9,33.5,45.8,21.65,70.4
57.8,57.3,33.6,46.6,21.85,70.6
57.2,56.5,32.8,46.349999999999994,21.05,69.94999999999999
55.6,54.0,30.8,44.2,18.9,68.5
52.5,52.1,29.3,41.45,17.65,65.8
50.1,50.6,28.5,39.6,17.049999999999997,64.05
48.8,49.1,27.4,38.349999999999994,16.299999999999997,63.05
47.8,48.3,26.8,37.349999999999994,15.55,62.099999999999994
46.9,47.1,26.3,36.6,15.0,61.25
46.3,46.8,25.8,36.05,14.7,60.8
45.5,46.2,25.4,35.5,14.2,60.25
44.8,45.4,25.0,34.849999999999994,14.05,59.75
44.2,45.0,24.6,34.4,13.7,59.400000000000006
43.8,44.6,24.3,33.95,13.3,58.95
43.4,44.2,24.1,33.6,13.0,58.45
43.0,43.7,23.8,33.25,12.75,58.05
42.6,43.5,23.7,33.0,12.35,57.75
42.3,43.4,23.6,32.9,12.1,57.5
43.3,44.4,24.0,33.0,12.2,58.3
46.2,48.0,25.8,35.75,14.5,60.849999999999994
49.7,50.4,27.9,38.4,16.75,64.85
52.3,53.1,30.0,40.8,17.95,67.55000000000001
54.3,56.0,31.4,42.849999999999994,19.700000000000003,69.05000000000001
55.9,57.9,32.4,44.650000000000006,20.85,69.8
57.3,58.0,33.4,45.8,21.6,70.55
57.8,57.9,33.4,46.6,21.8,70.6
57.5,57.2,32.9,46.25,21.25,70.05000000000001
55.7,54.4,31.1,44.3,19.15,68.6
52.6,52.2,29.4,41.3,17.65,65.95
50.2,50.8,28.6,39.55,17.1,64.1
49.0,49.3,27.5,38.25,16.45,63.1
47.9,48.5,26.9,37.3,15.7,62.25
47.0,47.6,26.3,36.5,15.25,61.6
46.3,47.0,25.9,35.95,14.95,60.95
45.7,46.5,25.5,35.4,14.5,60.45
44.9,45.7,25.1,34.8,14.25,60.05
44.4,45.2,24.8,34.349999999999994,13.95,59.45
44.0,44.9,24.6,33.95,13.5,58.95
43.6,44.4,24.3,33.55,13.15,58.5
