Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
46.9,45.599999999999994,21.6,30.9,7.8,41.650000000000006,58.3
46.1,45.0,21.1,30.45,7.8,41.05,57.849999999999994
45.4,44.55,20.7,30.05,7.7,40.5,57.349999999999994
44.8,44.1,20.5,29.7,7.7,40.05,57.05
44.2,43.7,20.4,29.3,7.65,39.650000000000006,56.6
43.3,43.25,20.2,28.9,7.6,39.2,56.25
42.8,42.95,20.2,28.65,7.65,38.9,56.1
42.2,42.95,20.0,28.5,7.65,38.7,55.95
44.1,44.0,20.2,28.35,7.9,39.0,56.45
47.3,47.55,22.0,30.35,8.35,41.95,59.45
51.5,50.2,24.7,32.9,9.35,45.25,62.7
54.6,52.75,27.0,35.45,11.75,48.3,65.6
57.4,55.05,28.8,37.2,12.8,50.5,67.5
59.4,56.75,29.8,38.45,14.05,52.150000000000006,68.8
60.8,57.4,30.3,39.150000000000006,15.05,53.2,69.7
61.6,57.55,30.2,39.3,15.65,53.7,69.7
61.8,56.75,29.2,38.9,15.9,53.55,69.0
60.1,53.9,27.4,36.650000000000006,16.05,51.0,67.45
56.9,52.0,25.7,35.0,13.95,48.2,64.55
53.5,50.55,24.2,34.0,12.399999999999999,46.2,62.35
51.7,48.95,23.5,33.1,11.25,44.849999999999994,61.1
50.0,48.2,23.0,32.4,10.9,43.849999999999994,60.099999999999994
48.6,47.25,22.4,31.85,10.55,43.0,59.3
47.5,46.45,22.2,31.3,10.3,42.2,58.65
47.0,45.900000000000006,21.8,30.85,10.05,41.5,58.1
46.2,45.3,21.2,30.3,9.75,40.95,57.650000000000006
45.4,44.8,20.8,29.9,9.600000000000001,40.4,57.05
44.8,44.4,20.5,29.6,9.45,40.0,56.75
44.2,44.0,20.3,29.2,9.4,39.6,56.35
43.5,43.5,20.1,28.9,9.2,39.2,56.4
42.8,43.3,19.9,28.6,9.1,38.95,55.95
42.3,43.25,19.7,28.3,9.05,38.7,55.75
44.2,44.150000000000006,19.9,28.4,9.0,38.9,56.349999999999994
47.4,47.7,22.1,30.25,9.6,41.849999999999994,59.3
51.6,50.4,25.0,33.1,10.35,45.0,62.349999999999994
54.8,52.85,27.2,35.4,12.25,48.2,65.19999999999999
57.5,55.15,28.8,37.05,14.5,50.349999999999994,67.1
59.6,56.849999999999994,29.9,38.3,16.25,52.1,68.55000000000001
61.0,57.45,30.4,38.95,17.05,53.2,69.4
61.8,57.599999999999994,30.3,39.2,17.200000000000003,53.650000000000006,69.45
62.0,56.85,29.3,38.8,16.85,53.5,68.75
60.1,54.1,27.5,36.6,16.05,51.0,67.25
57.1,52.1,25.7,34.95,13.649999999999999,48.3,64.25
53.7,50.6,24.5,33.95,12.1,46.2,62.1
51.9,49.1,23.9,33.05,10.899999999999999,44.849999999999994,60.9
50.1,48.349999999999994,23.0,32.349999999999994,10.55,43.8,59.85
48.8,47.25,22.3,31.6,10.3,43.0,58.95
47.8,46.9,22.2,31.1,10.35,42.3,58.4
46.9,46.25,21.7,30.7,10.1,41.7,57.8
46.1,45.55,21.3,30.2,9.95,41.0,57.349999999999994
45.4,45.05,20.9,29.7,9.75,40.5,56.85
45.0,44.650000000000006,20.5,29.35,9.55,40.05,56.55
44.5,44.25,20.4,29.0,9.4,39.7,56.15
43.9,43.75,20.2,28.6,9.15,39.25,56.1
43.3,43.5,20.0,28.35,9.05,39.05,55.75
43.2,43.45,19.8,28.15,9.0,38.8,55.5
44.0,44.4,20.0,28.25,9.05,39.1,56.1
47.3,48.45,22.3,30.15,9.3,42.0,59.150000000000006
51.4,50.45,25.3,33.05,10.149999999999999,45.05,62.349999999999994
54.8,53.55,27.2,35.45,12.0,48.150000000000006,65.25
57.7,56.3,28.9,37.0,14.4,50.4,67.15
60.0,58.05,30.0,38.3,16.15,52.0,68.55000000000001
61.3,58.4,30.5,39.05,16.9,53.2,69.44999999999999
62.1,58.05,30.6,39.25,17.1,53.6,69.45
62.2,57.3,29.3,38.7,16.7,53.6,68.75
60.6,54.45,27.5,36.7,16.05,51.2,67.35
57.1,52.3,25.9,35.05,13.8,48.4,64.45
53.9,51.0,24.7,33.849999999999994,12.25,46.349999999999994,62.55
52.1,49.45,24.0,33.0,11.05,45.0,61.3
50.2,48.65,23.2,32.2,10.399999999999999,43.95,60.2
49.1,47.900000000000006,22.6,31.6,10.2,43.150000000000006,59.3
47.9,47.2,22.2,31.0,10.15,42.4,58.55
46.8,46.5,21.7,30.6,10.100000000000001,41.8,57.849999999999994
45.9,45.75,21.4,30.1,9.95,41.2,57.45
45.1,45.25,21.1,29.7,9.75,40.75,57.05
44.8,44.95,20.7,29.2,9.55,40.3,56.75
44.3,44.5,20.6,28.9,9.350000000000001,39.8,56.4
43.9,44.05,20.3,28.6,9.2,39.4,56.1
43.4,43.8,20.1,28.3,9.2,39.25,55.75
43.2,43.7,19.9,28.1,9.25,38.95,55.5
44.0,44.650000000000006,20.1,28.15,9.2,39.05,55.95
47.5,48.650000000000006,22.4,30.3,9.35,42.05,59.2
51.4,50.6,25.3,33.05,10.25,45.25,62.45
55.0,53.7,27.2,35.4,12.100000000000001,48.3,65.35
57.9,56.400000000000006,28.9,37.0,14.399999999999999,50.45,67.44999999999999
60.2,58.15,29.9,38.3,15.950000000000001,52.1,68.94999999999999
61.5,58.5,30.5,39.05,16.75,53.3,69.7
62.5,58.2,30.4,39.25,16.9,54.0,69.69999999999999
62.4,57.35,29.4,38.7,16.4,53.7,68.95
60.9,54.6,27.6,36.8,15.7,51.45,67.45
57.2,52.45,25.9,35.0,13.8,48.5,64.55
54.2,51.2,24.7,33.95,12.2,46.5,62.55
52.5,49.8,23.8,33.1,11.1,45.2,61.3
50.4,48.900000000000006,23.3,32.3,10.350000000000001,44.150000000000006,60.2
49.1,48.05,22.6,31.65,9.8,43.25,59.35
48.0,47.400000000000006,22.3,31.2,9.75,42.6,58.5
47.0,46.650000000000006,21.7,30.65,9.7,42.0,57.849999999999994
46.1,46.0,21.4,30.3,9.65,41.4,57.4
45.1,45.55,21.1,29.8,9.6,40.849999999999994,57.0
44.7,45.2,20.9,29.4,9.2,40.3,56.6
44.3,44.75,20.5,29.0,9.05,40.0,56.3
43.9,44.25,20.2,28.7,9.05,39.5,56.0
43.5,44.05,20.0,28.5,9.15,39.25,55.6
43.1,43.95,19.6,28.3,9.15,39.0,55.45
43.9,44.849999999999994,20.0,28.3,9.25,39.1,55.85
47.6,48.75,22.5,30.35,9.25,42.2,59.099999999999994
51.6,50.75,25.2,33.05,10.1,45.45,62.349999999999994
55.2,53.85,27.2,35.2,12.0,48.3,65.3
58.2,56.55,28.8,36.9,14.15,50.6,67.4
60.6,58.25,29.8,38.150000000000006,15.7,52.3,68.80000000000001
61.8,58.6,30.5,38.9,16.55,53.5,69.6
62.8,58.3,30.4,39.2,16.7,54.2,69.5
62.5,57.5,29.4,38.55,16.3,53.9,68.95
60.9,54.75,27.5,36.6,15.600000000000001,51.6,67.4
57.4,52.6,25.9,34.95,13.65,48.7,64.45
54.6,51.3,24.6,33.75,12.15,46.5,62.5
52.6,50.0,23.7,33.0,11.05,45.3,61.35
50.8,49.099999999999994,23.3,32.2,10.35,44.2,60.1
49.2,48.25,22.6,31.6,9.600000000000001,43.4,59.15
48.0,47.599999999999994,22.1,31.0,9.6,42.6,58.400000000000006
47.2,46.8,21.8,30.5,9.55,41.95,57.8
46.2,46.2,21.4,30.1,9.55,41.4,57.4
45.1,45.6,20.9,29.7,9.649999999999999,40.849999999999994,56.95
44.7,45.3,20.6,29.2,9.25,40.3,56.55
44.4,44.75,20.4,28.8,9.1,39.9,56.150000000000006
44.0,44.3,20.1,28.45,9.1,39.45,55.9
43.5,44.1,19.8,28.3,9.25,39.0,55.45
43.2,44.0,19.5,28.15,9.3,38.75,55.2
44.0,45.0,19.9,28.15,9.3,39.05,55.6
47.6,48.95,22.5,30.2,9.15,42.0,58.900000000000006
51.5,50.9,25.1,32.8,10.05,45.2,62.150000000000006
55.4,54.0,27.1,35.1,12.0,48.25,65.1
58.5,56.7,28.7,36.8,13.95,50.45,67.1
60.8,58.5,29.9,38.1,15.5,52.2,68.55
62.2,58.75,30.5,38.75,16.5,53.45,69.25
63.0,58.5,30.5,39.1,16.65,54.1,69.25
62.5,57.75,29.6,38.5,16.25,53.8,68.69999999999999
60.9,55.0,27.5,36.6,15.4,51.650000000000006,67.1
57.4,52.75,25.8,34.8,13.5,48.6,64.2
54.8,51.45,24.6,33.55,11.95,46.5,62.3
52.7,50.1,23.8,32.7,10.75,45.2,61.2
50.8,49.15,23.2,31.95,10.1,44.1,59.95
49.2,48.400000000000006,22.5,31.35,9.4,43.25,59.0
47.9,47.75,22.0,30.8,9.4,42.5,58.25
47.2,46.95,21.6,30.3,9.45,41.9,57.650000000000006
46.3,46.3,21.2,29.8,9.4,41.25,57.2
45.0,45.75,20.9,29.35,9.35,40.75,56.75
44.7,45.349999999999994,20.6,29.05,9.0,40.1,56.3
44.5,44.95,20.4,28.6,8.899999999999999,39.6,55.9
43.8,44.45,20.1,28.25,8.85,39.2,55.650000000000006
43.3,44.2,19.9,27.9,8.95,38.7,55.3
43.0,44.1,19.5,27.7,9.05,38.45,55.05
43.8,45.1,19.8,27.9,9.0,38.95,55.4
47.6,49.0,22.7,30.15,9.0,41.849999999999994,58.7
51.4,51.05,25.1,32.75,9.9,45.1,61.95
55.6,54.2,27.1,35.0,11.8,48.150000000000006,64.9
58.7,56.95,28.7,36.650000000000006,13.55,50.5,66.9
61.1,58.7,29.8,38.1,15.15,52.2,68.25
62.5,59.1,30.4,38.7,16.4,53.5,68.9
63.3,58.85,30.5,38.9,16.6,54.1,69.0
62.5,58.0,29.6,38.4,16.05,53.849999999999994,68.45
61.0,55.25,27.7,36.5,15.25,51.6,66.8
57.7,52.8,25.9,34.7,13.5,48.5,63.849999999999994
55.0,51.55,24.7,33.5,11.95,46.4,61.9
52.7,50.1,23.9,32.5,10.600000000000001,45.0,61.0
51.0,49.15,23.2,31.75,10.0,44.05,59.7
49.4,48.400000000000006,22.6,31.15,9.25,43.3,58.65
48.1,47.75,22.2,30.55,9.25,42.45,58.0
47.3,46.95,21.8,30.0,9.2,41.6,57.45
46.4,46.3,21.3,29.55,9.25,41.05,57.0
45.3,45.849999999999994,21.0,29.15,9.2,40.6,56.4
44.9,45.3,20.8,28.8,8.85,39.95,56.0
44.6,44.9,20.4,28.45,8.75,39.45,55.5
44.0,44.349999999999994,20.1,28.2,8.7,39.0,55.25
43.5,44.1,19.9,27.8,8.75,38.7,54.8
43.1,44.1,19.7,27.55,8.85,38.45,54.6
43.7,45.2,19.9,27.7,8.8,38.7,55.2
47.7,49.1,22.6,30.0,8.8,41.8,58.55
51.6,51.15,25.2,32.7,9.899999999999999,45.150000000000006,61.75
56.0,54.349999999999994,27.1,34.9,11.85,48.0,64.6
59.1,57.1,28.6,36.7,13.5,50.45,66.7
61.4,58.900000000000006,29.6,38.1,15.15,52.25,67.85
62.9,59.3,30.3,38.55,16.25,53.5,68.5
63.7,59.05,30.4,39.0,16.5,54.2,68.69999999999999
62.7,58.15,29.7,38.3,15.95,53.8,68.0
61.2,55.55,27.6,36.5,15.149999999999999,51.5,66.45
58.0,53.0,26.1,34.650000000000006,13.55,48.55,63.4
55.2,51.8,25.0,33.55,12.149999999999999,46.55,61.75
53.0,50.3,24.0,32.3,10.85,44.95,60.8
51.2,49.3,23.4,31.6,10.2,44.0,59.45
49.7,48.55,22.8,31.05,9.5,43.4,58.45
48.3,47.95,22.3,30.45,9.05,42.55,57.650000000000006
47.3,47.05,21.9,30.0,9.0,41.650000000000006,57.150000000000006
46.6,46.4,21.4,29.45,8.95,41.1,56.6
45.5,46.0,21.1,29.1,9.0,40.6,55.95
