Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
46.9,32.3,17.45,58.3,46.1,41.849999999999994,27.2,9.899999999999999
46.1,31.9,17.0,57.849999999999994,45.5,41.349999999999994,26.9,9.7
45.4,31.4,16.7,57.349999999999994,44.9,40.849999999999994,26.7,9.45
44.8,31.05,16.45,57.05,44.7,40.3,26.4,9.35
44.2,30.6,16.1,56.6,44.2,39.9,26.2,9.35
43.3,30.4,15.850000000000001,56.25,43.9,39.55,25.9,9.100000000000001
42.8,30.05,15.5,56.1,43.8,39.150000000000006,25.8,9.0
42.2,29.799999999999997,15.350000000000001,55.95,43.8,39.0,25.7,8.95
44.1,29.9,15.45,56.45,44.5,39.05,25.7,9.1
47.3,32.25,17.85,59.45,49.4,42.2,27.2,10.7
51.5,34.5,20.45,62.7,54.5,45.3,29.2,11.3
54.6,36.849999999999994,23.0,65.6,58.3,48.4,30.8,11.75
57.4,38.8,24.4,67.5,58.8,50.5,32.3,12.8
59.4,40.4,25.6,68.8,58.7,52.25,33.3,14.05
60.8,41.25,26.05,69.7,59.4,53.3,34.0,15.05
61.6,41.6,26.0,69.7,58.7,53.849999999999994,34.0,15.65
61.8,41.15,25.299999999999997,69.0,57.4,53.650000000000006,33.6,15.9
60.1,39.1,23.4,67.45,55.6,51.150000000000006,32.0,16.05
56.9,37.2,21.5,64.55,53.0,48.3,30.4,15.65
53.5,35.7,20.25,62.35,51.1,46.2,29.0,15.0
51.7,34.6,19.6,61.1,50.0,44.95,28.5,14.149999999999999
50.0,33.7,18.95,60.099999999999994,48.9,43.9,28.1,13.5
48.6,33.0,18.4,59.3,48.0,43.2,27.8,13.15
47.5,32.55,17.85,58.65,47.0,42.5,27.4,12.8
47.0,32.1,17.5,58.1,46.3,41.8,27.1,12.350000000000001
46.2,31.8,17.05,57.650000000000006,45.7,41.150000000000006,26.8,12.05
45.4,31.299999999999997,16.8,57.05,45.3,40.650000000000006,26.5,11.9
44.8,31.15,16.6,56.75,44.9,40.150000000000006,26.3,11.55
44.2,30.75,16.05,56.35,44.5,39.7,26.0,11.55
43.5,30.35,15.9,56.4,44.2,39.3,25.7,11.25
42.8,30.1,15.4,55.95,44.1,39.1,25.6,11.1
42.3,29.9,15.2,55.75,44.1,38.8,25.6,11.0
44.2,29.9,15.7,56.349999999999994,44.8,39.150000000000006,25.6,11.15
47.4,32.3,17.95,59.3,49.7,42.0,27.3,13.149999999999999
51.6,34.45,20.95,62.349999999999994,54.7,45.2,29.1,13.4
54.8,36.75,23.0,65.19999999999999,58.4,48.25,30.8,13.55
57.5,38.7,24.45,67.1,58.9,50.5,32.5,14.8
59.6,40.25,25.65,68.55000000000001,58.8,52.1,33.5,16.25
61.0,41.150000000000006,26.200000000000003,69.4,59.5,53.3,34.0,17.05
61.8,41.55,26.25,69.45,58.9,53.8,34.1,17.200000000000003
62.0,41.0,25.5,68.75,57.5,53.6,33.5,16.85
60.1,39.05,23.65,67.25,55.7,51.150000000000006,32.0,16.05
57.1,37.150000000000006,21.7,64.25,53.1,48.349999999999994,30.6,15.399999999999999
53.7,35.7,20.4,62.1,51.2,46.349999999999994,29.2,14.850000000000001
51.9,34.8,19.75,60.9,50.2,44.95,28.5,14.05
50.1,33.7,19.1,59.85,49.0,43.95,28.0,13.3
48.8,33.0,18.45,58.95,48.3,43.2,27.7,12.95
47.8,32.45,17.85,58.4,47.3,42.45,27.3,12.55
46.9,32.150000000000006,17.55,57.8,46.6,41.8,27.0,12.2
46.1,31.75,17.1,57.349999999999994,46.0,41.3,26.7,12.0
45.4,31.45,16.9,56.85,45.4,40.75,26.3,11.75
45.0,31.05,16.55,56.55,45.0,40.25,26.1,11.3
44.5,30.6,16.0,56.15,44.6,39.849999999999994,25.8,11.15
43.9,30.25,16.05,56.1,44.3,39.4,25.5,10.85
43.3,29.950000000000003,15.5,55.75,44.2,39.2,25.4,10.8
43.2,29.75,15.35,55.5,44.1,39.05,25.3,10.75
44.0,29.75,16.0,56.1,44.9,39.25,25.4,10.95
47.3,32.150000000000006,17.9,59.150000000000006,50.4,42.150000000000006,27.2,12.899999999999999
51.4,34.45,20.95,62.349999999999994,55.3,45.25,28.9,13.2
54.8,36.8,22.85,65.25,58.9,48.2,31.2,13.35
57.7,38.7,24.5,67.15,60.0,50.5,32.5,14.65
60.0,40.1,25.45,68.55000000000001,60.2,52.150000000000006,33.7,16.15
61.3,41.1,26.15,69.44999999999999,59.9,53.25,34.2,16.9
62.1,41.4,26.3,69.45,59.8,53.9,34.1,17.1
62.2,41.0,25.65,68.75,59.0,53.75,33.6,16.7
60.6,39.0,23.75,67.35,56.2,51.4,32.1,16.05
57.1,37.0,22.1,64.45,53.6,48.6,30.4,15.4
53.9,35.55,20.75,62.55,51.4,46.5,29.5,14.899999999999999
52.1,34.7,20.15,61.3,50.4,45.150000000000006,28.7,14.100000000000001
50.2,33.849999999999994,19.4,60.2,49.2,44.1,28.0,13.45
49.1,32.95,18.85,59.3,48.5,43.2,27.6,13.1
47.9,32.349999999999994,18.2,58.55,47.6,42.55,27.3,12.7
46.8,31.85,17.85,57.849999999999994,46.9,42.0,26.9,12.4
45.9,31.5,17.549999999999997,57.45,46.3,41.4,26.6,12.2
45.1,31.2,17.0,57.05,45.6,40.9,26.3,11.95
44.8,30.85,16.75,56.75,45.2,40.4,26.1,11.6
44.3,30.4,16.2,56.4,44.8,40.0,25.8,11.350000000000001
43.9,30.05,15.95,56.1,44.6,39.7,25.5,11.149999999999999
43.4,29.85,15.7,55.75,44.4,39.349999999999994,25.4,11.1
43.2,29.6,15.45,55.5,44.4,39.0,25.3,11.1
44.0,29.95,16.25,55.95,45.2,39.2,25.5,11.2
47.5,32.05,18.15,59.2,50.6,42.25,27.4,12.7
51.4,34.55,20.799999999999997,62.45,55.5,45.3,28.9,12.95
55.0,37.0,22.700000000000003,65.35,59.1,48.349999999999994,31.3,13.100000000000001
57.9,38.75,24.450000000000003,67.44999999999999,60.2,50.5,32.6,14.399999999999999
60.2,40.25,25.5,68.94999999999999,60.3,52.25,33.7,15.950000000000001
61.5,41.1,26.35,69.7,60.0,53.4,34.3,16.75
62.5,41.55,26.35,69.69999999999999,59.9,54.0,34.4,16.9
62.4,41.150000000000006,25.7,68.95,59.1,53.849999999999994,33.6,16.4
60.9,39.1,23.85,67.45,56.3,51.5,32.1,15.7
57.2,37.1,22.15,64.55,53.8,48.650000000000006,30.5,15.049999999999999
54.2,35.7,20.95,62.55,51.6,46.6,29.5,14.5
