day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93
32.4,33.1,34.6,36.1,37.7,40.0,42.6,44.4,45.3,45.6,45.4,44.9,43.9,42.7,41.3,39.3,37.3,35.3,33.4,33.7,34.7,35.5,36.4,37.9,39.5,41.0,42.7,44.4,46.9,50.3,53.8,55.6,56.7,57.1,57.0,56.2,55.1,53.7,52.1,50.3,47.9,45.6,43.3,42.7,43.8,44.7,45.9,47.1,48.5,50.1,51.9,53.8,56.3,59.7,62.8,64.0,64.9,64.9,64.8,64.8,64.4,63.7,62.7,61.1,59.2,56.8,54.3,52.5,53.2,54.2,55.4,56.7,58.2,59.7,61.3,63.4,66.0,69.6,71.9,73.5,73.9,74.1,74.3,73.6,72.7,71.8,70.2,68.2,66.0,63.8,61.4,59.2,59.4,60.1
31.4,32.4,33.4,35.1,36.5,38.1,40.3,42.8,44.7,45.7,45.9,45.8,45.3,44.4,43.2,41.6,39.9,37.8,35.4,33.4,34.2,35.0,35.7,37.0,38.5,39.8,41.5,43.1,45.1,47.6,50.9,54.1,55.9,57.0,57.5,57.2,56.3,55.4,54.1,52.9,50.7,48.4,46.3,43.9,43.1,43.9,45.1,46.2,47.5,49.0,50.5,52.1,54.2,56.7,60.2,62.9,64.3,64.8,65.1,65.4,65.7,65.1,64.6,63.4,62.0,59.8,57.4,54.9,53.0,53.6,54.5,55.9,57.2,58.6,59.9,61.7,63.5,66.2,69.8,72.1,73.1,73.9,74.3,74.3,73.8,73.3,72.1,70.2,68.4,66.3,63.9,61.5,59.3,59.5
30.6,31.5,32.8,34.0,35.4,36.9,38.5,40.4,43.2,45.1,46.0,46.4,46.2,45.8,44.9,43.5,42.0,40.3,38.1,35.7,33.9,34.5,35.1,36.2,37.7,38.8,40.3,41.9,43.8,45.7,48.2,51.2,54.5,56.3,57.5,57.7,57.3,56.6,55.7,54.9,53.3,51.3,49.2,46.9,44.3,43.2,44.3,45.5,46.6,47.9,49.3,50.7,52.5,54.6,57.1,60.4,63.2,64.2,65.1,65.8,66.3,66.4,66.0,65.3,64.3,62.6,60.3,57.8,55.3,53.4,53.9,55.0,56.3,57.5,58.8,60.2,61.8,63.7,66.4,70.0,71.9,73.2,74.1,74.4,74.6,74.3,73.6,72.1,70.4,68.8,66.5,64.0,61.6,59.4
29.9,30.6,31.8,33.3,34.1,35.7,37.2,38.5,40.7,43.6,45.4,46.5,46.7,46.6,46.3,45.2,43.9,42.4,40.6,38.5,36.2,34.2,34.7,35.6,36.9,38.0,39.3,40.6,42.5,44.4,46.3,48.5,51.6,54.8,56.8,57.7,57.8,57.6,57.0,56.5,55.3,53.9,52.0,49.6,47.2,44.4,43.6,44.7,45.8,47.0,48.3,49.5,51.1,52.8,55.0,57.2,60.7,63.2,64.5,65.7,66.6,66.9,67.3,66.6,66.2,64.9,63.0,60.7,58.3,55.8,53.8,54.4,55.3,56.7,57.7,59.1,60.3,62.0,63.9,66.6,69.8,72.0,73.4,74.2,74.8,75.1,74.7,73.7,72.2,70.8,69.0,66.5,64.2,61.8
29.2,29.9,31.0,32.3,33.4,34.5,36.1,37.3,38.8,41.1,43.8,45.8,46.9,47.1,47.1,46.6,45.6,44.2,42.8,41.1,39.0,36.6,34.4,35.2,36.3,37.2,38.5,39.7,41.4,43.1,45.0,46.7,48.8,52.0,55.3,56.9,57.7,58.1,57.9,57.8,56.9,55.9,54.6,52.5,49.8,47.4,44.9,44.0,45.1,46.2,47.3,48.4,49.8,51.4,53.3,55.2,57.5,60.7,63.5,65.2,66.5,67.2,67.8,67.9,67.6,66.7,65.3,63.4,61.2,58.8,56.2,54.3,54.8,55.7,56.9,58.0,59.2,60.6,62.3,64.0,66.5,69.9,72.2,73.4,74.5,75.3,75.3,74.7,73.8,72.7,71.0,69.0,66.8,64.3
28.5,29.2,30.2,31.5,32.4,33.7,34.9,36.2,37.5,39.2,41.4,44.2,46.2,47.3,47.5,47.4,46.9,45.8,44.6,43.4,41.6,39.5,37.1,35.0,35.9,36.5,37.6,38.8,40.4,41.9,43.6,45.3,46.9,49.1,52.5,55.5,56.9,58.0,58.4,58.8,58.2,57.6,56.6,55.0,52.6,50.1,47.9,45.4,44.4,45.5,46.4,47.4,48.7,50.0,51.8,53.4,55.4,57.5,61.1,64.1,66.0,67.1,68.1,68.4,68.8,68.1,67.2,65.7,63.8,61.6,59.1,56.7,54.7,55.2,56.0,57.2,58.2,59.5,60.8,62.4,63.9,66.6,70.1,72.2,73.8,75.0,75.6,75.4,74.9,74.2,72.8,71.0,69.3,67.0
27.9,28.5,29.6,30.8,31.7,32.8,34.1,34.9,36.3,37.8,39.5,41.8,44.6,46.6,47.6,47.9,47.7,47.1,46.2,45.2,44.0,42.1,40.1,37.7,35.8,36.2,37.0,38.0,39.4,40.9,42.4,43.9,45.5,47.2,49.7,52.8,55.5,57.2,58.3,59.3,59.2,58.9,58.3,57.0,55.0,52.9,50.5,48.4,45.8,44.8,45.7,46.5,47.6,48.9,50.5,51.9,53.7,55.5,57.9,61.7,64.9,66.6,68.1,68.7,69.4,69.3,68.6,67.5,66.0,64.2,62.0,59.6,57.1,55.1,55.5,56.3,57.3,58.5,59.7,60.9,62.2,64.0,66.8,70.2,72.6,74.3,75.3,75.6,75.6,75.3,74.3,72.8,71.3,69.5
28.6,27.9,28.9,30.2,31.0,32.0,33.1,34.1,35.0,36.7,38.1,39.9,42.1,45.1,47.0,47.9,48.2,48.0,47.4,46.9,45.8,44.5,42.8,40.6,38.4,36.1,36.6,37.3,38.6,39.9,41.4,42.7,44.0,45.9,47.8,50.0,52.9,55.9,57.5,59.2,59.8,59.8,59.6,58.6,56.9,55.4,53.4,51.0,48.8,46.3,45.0,45.7,46.7,47.9,49.4,50.6,52.2,53.6,55.8,58.5,62.5,65.5,67.6,68.7,69.8,69.9,69.8,69.0,67.9,66.4,64.6,62.5,60.1,57.5,55.4,55.8,56.4,57.6,58.7,59.8,60.8,62.3,64.3,67.0,70.6,73.1,74.6,75.3,75.9,75.9,75.3,74.3,73.2,71.6
31.4,28.8,28.4,29.6,30.4,31.4,32.3,33.1,34.1,35.4,37.0,38.4,40.1,42.5,45.5,47.3,48.2,48.5,48.4,48.1,47.5,46.3,45.2,43.3,41.3,38.8,36.6,37.0,37.9,39.1,40.4,41.6,42.7,44.5,46.3,48.0,50.2,53.3,56.1,58.4,59.6,60.3,60.5,59.9,58.5,57.2,55.7,53.8,51.4,49.3,46.5,45.0,45.8,46.9,48.3,49.6,50.8,52.2,54.0,56.4,59.2,63.1,66.5,68.2,69.7,70.2,70.4,70.2,69.4,68.3,66.9,65.1,62.9,60.4,57.9,55.7,55.9,56.7,57.8,58.7,59.7,60.8,62.6,64.5,67.4,71.0,73.4,74.7,75.6,76.2,76.0,75.4,74.4,73.4
34.2,31.5,29.3,29.1,29.8,30.7,31.7,32.4,33.1,34.5,35.7,37.3,38.6,40.6,42.9,45.8,47.6,48.4,48.9,49.0,48.7,48.0,47.1,45.6,43.9,41.8,39.3,37.1,37.6,38.4,39.6,40.6,41.6,43.1,45.0,46.6,48.4,50.6,53.5,57.0,58.9,60.2,61.0,60.7,59.8,58.8,57.5,56.1,54.2,51.9,49.6,46.8,45.2,46.0,47.4,48.6,49.8,50.9,52.5,54.5,57.2,59.9,64.0,67.1,69.2,70.2,70.8,70.8,70.6,69.8,68.8,67.3,65.6,63.2,60.7,58.1,55.8,56.1,56.9,57.9,58.6,59.7,61.1,62.9,64.9,68.0,71.4,73.6,74.9,75.9,76.2,76.1,75.6,74.7
